Payment Date,Transaction id,Supplier,Expense Type,Expense Area,Amount in Sterling,Supplier VAT Registration Number
14/10/2010,2650802,British Gas Business,"Heat, Light & Power",Asset Management & Sustainability,590.02,684966762
26/10/2010,2650949,BT Business Comm,Telecommunications Rental & Maintenance,Core IT,17445.17,245719348
12/10/2010,2650720,BT Conferencing,Other Supplies & Services Expenses,Regional Support Costs - Ops Central,857.22,245719348
26/10/2010,2651191,BT Lynx Engage IT,IT Equipment Repairs & Maintenance,Core IT,12208,245719348
26/10/2010,2651194,BT Lynx Engage IT,IT Equipment Repairs & Maintenance,Core IT,9740,245719348
19/10/2010,2650924,BT Lynx Engage IT,IT Equipment Repairs & Maintenance,Core IT,1849.07,245719348
26/10/2010,2651193,BT Lynx Engage IT,IT Equipment Repairs & Maintenance,Core IT,1353,245719348
26/10/2010,2651192,BT Lynx Engage IT,IT Equipment Repairs & Maintenance,Core IT,1249.6,245719348
01/10/2010,GPCOCT14,Butterworth Tolley,Printing (Internal),HR Training and Development,703.83,
14/10/2010,2650793,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,18398.36,232303710
14/10/2010,2650847,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,14272.14,232303710
14/10/2010,2650122,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,4143.51,232303710
14/10/2010,2650794,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,3293.65,232303710
14/10/2010,2650750,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,1696,232303710
14/10/2010,2650814,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,727.17,232303710
14/10/2010,2650849,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,602.84,232303710
14/10/2010,2650850,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,558.58,232303710
14/10/2010,2650067,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,-4171,232303710
14/10/2010,2650252,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,-7718.26,232303710
14/10/2010,2650068,Cable & Wireless Communications,Telecommunications Rental & Maintenance,Core IT,-8489,232303710
07/10/2010,2650630,Canada Life Ltd,Rent Licences (Not Leased),Asset Management & Sustainability,750,231505504
19/10/2010,2650973,Cannon Hygiene Ltd,Cleaning & Hygiene,Westward House,736.68,238034379
19/10/2010,2650974,Cannon Hygiene Ltd,Cleaning & Hygiene,Millbank - Facilities,711.75,238034379
14/10/2010,2650567,Care Quality Commission,Contractor Costs,Health and Wellbeing,8444.47,948043217
14/10/2010,2650567,Care Quality Commission,Contractor Mileage,Health and Wellbeing,143.4,948043217
14/10/2010,2650567,Care Quality Commission,Contractor Travel & Subsistence Expenses,Health and Wellbeing,5,948043217
05/10/2010,2650552,Carillion,Service Charges,Asset Management & Sustainability,1629.16,
19/10/2010,2650921,Carillion,Service Charges,Asset Management & Sustainability,1007.05,
05/10/2010,2650552,Carillion,Service Charges,Asset Management & Sustainability,428.37,
21/10/2010,GPCOCT15,CCH Professional Development,Books,HR Training and Development,820.15,
26/10/2010,2651107,Cedar Consulting (UK) Ltd,Software Support & Maintenance,Core IT,2500,864438889
19/10/2010,2650944,CIPFA,Student Training,Graduate Trading Account,20980,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,8745,627390725
26/10/2010,2651123,CIPFA,Student Training,Graduate Trading Account,7560,627390725
26/10/2010,2651124,CIPFA,Student Training,Graduate Trading Account,4270,627390725
19/10/2010,2650944,CIPFA,Student Training,Graduate Trading Account,4185,627390725
19/10/2010,2650942,CIPFA,Student Training,Graduate Trading Account,3930,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,2805,627390725
26/10/2010,2651123,CIPFA,Student Training,Graduate Trading Account,2695,627390725
19/10/2010,2650943,CIPFA,Student Training,Graduate Trading Account,2135,627390725
19/10/2010,2650942,CIPFA,Student Training,Graduate Trading Account,1375,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1295,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1240,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1240,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1130,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,1100,627390725
19/10/2010,2651024,CIPFA,Student Training,Graduate Trading Account,1080,627390725
19/10/2010,2651028,CIPFA,Student Training,Graduate Trading Account,1080,627390725
19/10/2010,2651029,CIPFA,Student Training,Graduate Trading Account,1080,627390725
19/10/2010,2651030,CIPFA,Student Training,Graduate Trading Account,1080,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,1000,627390725
26/10/2010,2651124,CIPFA,Student Training,Graduate Trading Account,930,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,900,627390725
05/10/2010,2650616,CIPFA,Student Training,Graduate Trading Account,780,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,780,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,780,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,780,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,780,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,780,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,780,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,620,627390725
05/10/2010,2650591,CIPFA,Student Training,Graduate Trading Account,540,627390725
19/10/2010,2651031,CIPFA,Student Training,Graduate Trading Account,540,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,520,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,520,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,515,627390725
19/10/2010,2650943,CIPFA,Student Training,Graduate Trading Account,465,627390725
12/10/2010,2650779,CIPFA,Student Training,Graduate Trading Account,440,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2651028,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2651029,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2651030,CIPFA,Student Training,Graduate Trading Account,385,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,285,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,275,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,275,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,260,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,260,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,260,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,260,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,260,627390725
19/10/2010,2650945,CIPFA,Student Training,Graduate Trading Account,220,627390725
19/10/2010,2651024,CIPFA,Student Training,Graduate Trading Account,220,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,200,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,200,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,200,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,200,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,200,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,180,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,180,627390725
05/10/2010,2650591,CIPFA,Student Training,Graduate Trading Account,165,627390725
19/10/2010,2651031,CIPFA,Student Training,Graduate Trading Account,165,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,135,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,100,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,100,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,100,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,100,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,90,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,90,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,90,627390725
26/10/2010,2651123,CIPFA,Student Training,Graduate Trading Account,75,627390725
19/10/2010,2650960,CIPFA,Student Training,Graduate Trading Account,45,627390725
26/10/2010,2651062,CIPFA,Student Training,Graduate Trading Account,-110,627390725
26/10/2010,2651060,CIPFA,Student Training,Graduate Trading Account,-165,627390725
21/10/2010,1024425,City of Westminster S/O,Business Rates,Estate Management,"66,731.00",
19/10/2010,2650903,Clarke Willmott,Property Services Professional Fees,Asset Management & Sustainability,1320,N/A
21/10/2010,2651081,Computacenter (UK) Ltd,IT Disks & Consumables,Core IT,1038.6,490334648
19/10/2010,2650134,Connect Water Systems Central Ltd,Office Equipment Repairs & Maintenance,Business Unit - Ops Northern,1058.43,795114416
26/10/2010,2650898,Connect Water Systems Central Ltd,Office Equipment Repairs & Maintenance,Business Unit - Ops Northern,509.7,795114416
07/10/2010,2650715,Corporate Media Supplies Ltd,Sundry Debtors,Audit Policy Division,823.2,614075562,Eurorai
07/10/2010,2650714,Corporate Media Supplies Ltd,Sundry Debtors,Audit Policy Division,536,614075562,Eurorai
05/10/2010,2650560,Countdown,Printing (Internal),HR Service Centre,551.49,852966096,
05/10/2010,2650615,D&A Consultancy,Contractor Costs,Health Directorate - Payment by Results,27125,831208657,
19/10/2010,2650907,Davitt Jones Bould - MAIN ACCOUNT,Property Services Professional Fees,Asset Management & Sustainability,1464,729159704,
19/10/2010,2650904,Davitt Jones Bould - MAIN ACCOUNT,Property Services Professional Fees,Asset Management & Sustainability,602.67,729159704,
19/10/2010,2650904,Davitt Jones Bould - MAIN ACCOUNT,Property Services Professional Fees,Asset Management & Sustainability,5,729159704,
26/10/2010,2651070,Deloitte LLP No 2 Account,Contractor Costs,Technical Support Team,8557,809707706,
14/10/2010,2650556,Deloitte LLP No 2 Account,Contractor Costs,Studies,2550,809707706,
19/10/2010,2650977,Dish,Sundry Debtors,Audit Policy Division,4425,805345152,Eurorai
21/10/2010,2651086,Dotted Eyes Ltd,Corporate Subscriptions,Analysis and Statistics,600,551428257,
19/10/2010,2650969,Edenred (UK Group) Ltd,Health & Safety (Non Furniture),HR Service Centre,2549.75,649503520,
07/10/2010,2650657,EDF Energy,"Heat, Light & Power",Asset Management & Sustainability,3715.74,523041202,
07/10/2010,2650658,EDF Energy,"Heat, Light & Power",Asset Management & Sustainability,1292.88,523041202,
19/10/2010,2650932,Essential Energy Ltd,Sustainability Fees,Asset Management & Sustainability,439.98,664475311,
07/10/2010,2650669,Evans Easyspace Limited,Rent Licences (Not Leased),Asset Management & Sustainability,1469.85,827569487,
05/10/2010,2650553,Expotel Hotel Reservations Ltd,Expotel BIF Control Account,All,5689.77,
07/10/2010,2650708,Expotel Hotel Reservations Ltd,Expotel BIF Control Account,All,5004.89,
19/10/2010,2651007,Expotel Hotel Reservations Ltd,Expotel BIF Control Account,All,8811.46,
26/10/2010,2651115,Expotel Hotel Reservations Ltd,Expotel BIF Control Account,All,2483.79,
26/10/2010,2651114,Expotel Hotel Reservations Ltd,Expotel BIF Control Account,All,1115.66,
05/10/2010,2650651,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,364,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,280,927183118
05/10/2010,2650651,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,276,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,237,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,155,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,122,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,116.5,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,101.4,927183118
05/10/2010,2650651,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,96.7,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,65,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,56.6,927183118
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,42,927183118,
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,40,927183118,
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,35,927183118,
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,31.5,927183118,
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,31,927183118,
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,26,927183118,
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,23,927183118,
05/10/2010,2650650,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,14,927183118,
05/10/2010,2650651,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,5,927183118,
05/10/2010,2650651,Flora-Tec Ltd,"Planting, Grounds and Pests",Asset Management & Sustainability,5,927183118,
19/10/2010,2650979,Frank Thompson Photographics,Sundry Debtors,Audit Policy Division,700,N/A,Eurorai
07/10/2010,2650718,FTC Kaplan,Staff Training,HR Training and Development,8000,830420767,
05/10/2010,2650614,Gerald Eve LLP,Legal Fees for advice to Auditors,Professional Standards Division,1350,239254159,
05/10/2010,2650614,Gerald Eve LLP,Legal Fees for advice to Auditors,Professional Standards Division,1200,239254159,
05/10/2010,2650614,Gerald Eve LLP,Legal Fees for advice to Auditors,Professional Standards Division,800,239254159,
07/10/2010,2650721,Gillards Worldwide Warehousing ICAEW,Staff Training,HR Training and Development,595,437097532,
05/10/2010,2650442,Grant Thornton UK LLP (Northampton),Contractor Costs,Business Unit - Ops Northern,13500,835586102
07/10/2010,2650717,Greensand Public Finance Consulting Ltd,Consultants (Non Time Sheet User),Audit Policy Division,5500,935056719
19/10/2010,2650995,GVA Grimley LLP,Property Services Professional Fees,Asset Management & Sustainability,18804,897389636
19/10/2010,2650993,GVA Grimley LLP,Property Services Professional Fees,Asset Management & Sustainability,2760,897389636
26/10/2010,2651106,GVA Grimley LLP,Property Services Professional Fees,Asset Management & Sustainability,2652,897389636
28/10/2010,2651212,GVA Grimley LLP,Property Services Professional Fees,Asset Management & Sustainability,1700,897389636
26/10/2010,2650574,Hays Accountancy Personnel,Recruitment,Recruitment - Talent,5670,
26/10/2010,2650573,Hays Accountancy Personnel,Recruitment,Recruitment - Talent,1402.1,
14/10/2010,2650759,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,45340.23,
14/10/2010,2650759,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,7936.16,
28/10/2010,2650757,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,2798.58,
12/10/2010,2650760,Hitachi Capital Vehicle Solutions Ltd,Hitachi BIF Control Account,All,2461.94,
28/10/2010,2650757,Hitachi Capital Vehicle Solutions Ltd,Hitachi Lease BIF Suspense Account,All,2272.69,
28/10/2010,2651160,Hitachi Capital Vehicle Solutions Ltd,Car Termination Penalties,Core IT,1210.23,823824822
05/10/2010,2650425,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of North West Management - Ops Northern,979,823824822
19/10/2010,2650838,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Ops - South West - Ops Southern,946.17,823824822
05/10/2010,2650425,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Ops - South West - Ops Southern,209,823824822
19/10/2010,2650838,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of North West Management - Ops Northern,153,823824822
19/10/2010,2650838,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Ops - South West - Ops Southern,141,823824822
05/10/2010,2650425,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,124,823824822
19/10/2010,2650838,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,120,823824822
19/10/2010,2650838,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Ops - South West - Ops Southern,120,823824822
19/10/2010,2650838,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of North West Management - Ops Northern,120,823824822
05/10/2010,2650425,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,72,823824822
05/10/2010,2650425,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,52,823824822
05/10/2010,2650425,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,West Midlands Sub-Region - Ops Central,44,823824822
05/10/2010,2650425,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,West Midlands Sub-Region - Ops Central,16,823824822
28/10/2010,2651163,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,-1.22,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Analysis and Statistics,-5,823824822
14/10/2010,2650777,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Head of Operations - South East - Ops Southern,-5,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,North East and Humberside,-5,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,London operational staff,-5,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,Regional Core Team - Ops Southern,-5,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,AP&P Directorate Management,-5,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,East Midlands Sub-Region - Ops Central,-5,823824822
14/10/2010,2650782,Hitachi Capital Vehicle Solutions Ltd,Car Miscellaneous Invoices,West Midlands Sub-Region - Ops Central,-5,823824822
