,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
GreaterManchester,13,76.5%,4,23.5%,561,81.5%,127,18.5%,95,71.4%,38,28.6%,61,91.0%,6,9.0%,23,92.0%,2,8.0%,227,93.0%,17,7.0%,26,89.7%,3,10.3%,92,89.3%,11,10.7%,98,92.5%,8,7.5%,108,85.0%,19,15.0%,40,83.3%,8,16.7%,326,80.3%,80,19.7%,17,100.0%
Gwent,2,66.7%,1,33.3%,107,87.7%,15,12.3%,10,76.9%,3,23.1%,14,73.7%,5,26.3%,3,100.0%,0,0.0%,90,91.8%,8,8.2%,13,92.9%,1,7.1%,24,88.9%,3,11.1%,41,97.6%,1,2.4%,28,87.5%,4,12.5%,1,100.0%,0,0.0%,90,84.9%,16,15.1%,3,100.0%
Hampshire,1,50.0%,1,50.0%,247,81.8%,55,18.2%,33,75.0%,11,25.0%,23,85.2%,4,14.8%,4,80.0%,1,20.0%,188,93.5%,13,6.5%,21,91.3%,2,8.7%,32,86.5%,5,13.5%,79,92.9%,6,7.1%,72,84.7%,13,15.3%,17,85.0%,3,15.0%,195,90.7%,20,9.3%,16,100.0%
Hertfordshire,1,100.0%,0,0.0%,184,78.6%,50,21.4%,11,73.3%,4,26.7%,18,81.8%,4,18.2%,4,66.7%,2,33.3%,189,92.6%,15,7.4%,22,78.6%,6,21.4%,29,87.9%,4,12.1%,80,94.1%,5,5.9%,60,90.9%,6,9.1%,8,100.0%,0,0.0%,128,81.5%,29,18.5%,16,100.0%
Humberside,1,100.0%,0,0.0%,217,81.0%,51,19.0%,20,69.0%,9,31.0%,22,91.7%,2,8.3%,8,80.0%,2,20.0%,140,97.2%,4,2.8%,16,94.1%,1,5.9%,40,88.9%,5,11.1%,59,92.2%,5,7.8%,66,88.0%,9,12.0%,13,86.7%,2,13.3%,111,88.1%,15,11.9%,9,100.0%
Kent,2,40.0%,3,60.0%,301,79.4%,78,20.6%,27,75.0%,9,25.0%,23,69.7%,10,30.3%,11,100.0%,0,0.0%,152,90.5%,16,9.5%,32,84.2%,6,15.8%,41,82.0%,9,18.0%,96,89.7%,11,10.3%,84,85.7%,14,14.3%,23,88.5%,3,11.5%,174,87.0%,26,13.0%,26,100.0%
Lancashire,1,100.0%,0,0.0%,252,80.5%,61,19.5%,20,90.9%,2,9.1%,50,90.9%,5,9.1%,6,42.9%,8,57.1%,253,94.4%,15,5.6%,18,90.0%,2,10.0%,56,90.3%,6,9.7%,62,98.4%,1,1.6%,102,87.2%,15,12.8%,30,93.8%,2,6.3%,239,82.1%,52,17.9%,15,100.0%
Leicestershire,1,50.0%,1,50.0%,167,81.5%,38,18.5%,20,66.7%,10,33.3%,23,95.8%,1,4.2%,5,100.0%,0,0.0%,94,88.7%,12,11.3%,14,87.5%,2,12.5%,29,72.5%,11,27.5%,30,100.0%,0,0.0%,29,90.6%,3,9.4%,6,75.0%,2,25.0%,108,83.7%,21,16.3%,7,100.0%
Lincolnshire,2,100.0%,0,0.0%,138,74.6%,47,25.4%,3,100.0%,0,0.0%,17,100.0%,0,0.0%,7,100.0%,0,0.0%,90,88.2%,12,11.8%,6,75.0%,2,25.0%,27,71.1%,11,28.9%,31,93.9%,2,6.1%,57,91.9%,5,8.1%,10,83.3%,2,16.7%,167,87.0%,25,13.0%,12,100.0%
Merseyside,4,80.0%,1,20.0%,368,82.1%,80,17.9%,37,67.3%,18,32.7%,19,79.2%,5,20.8%,8,100.0%,0,0.0%,221,94.8%,12,5.2%,25,92.6%,2,7.4%,38,82.6%,8,17.4%,189,94.5%,11,5.5%,85,87.6%,12,12.4%,30,96.8%,1,3.2%,272,83.2%,55,16.8%,18,100.0%
Metropolitan and City,15,62.5%,9,37.5%,"1,788",70.5%,749,29.5%,178,62.5%,107,37.5%,212,82.8%,44,17.2%,84,73.0%,31,27.0%,972,83.5%,192,16.5%,266,83.6%,52,16.4%,222,73.0%,82,27.0%,"1,093",91.8%,97,8.2%,510,76.9%,153,23.1%,101,78.9%,27,21.1%,"1,044",79.6%,268,20.4%,226,100.0%
Norfolk,0,-,0,-,151,88.8%,19,11.2%,17,94.4%,1,5.6%,12,92.3%,1,7.7%,4,100.0%,0,0.0%,137,95.8%,6,4.2%,10,100.0%,0,0.0%,36,87.8%,5,12.2%,71,94.7%,4,5.3%,90,93.8%,6,6.3%,16,94.1%,1,5.9%,121,89.6%,14,10.4%,10,100.0%
Northamptonshire,0,-,0,-,121,82.9%,25,17.1%,9,90.0%,1,10.0%,11,84.6%,2,15.4%,3,100.0%,0,0.0%,70,89.7%,8,10.3%,17,100.0%,0,0.0%,24,70.6%,10,29.4%,25,92.6%,2,7.4%,23,88.5%,3,11.5%,7,100.0%,0,0.0%,77,81.1%,18,18.9%,8,100.0%
Northumbria,1,50.0%,1,50.0%,306,78.7%,83,21.3%,52,62.7%,31,37.3%,46,68.7%,21,31.3%,8,80.0%,2,20.0%,289,92.9%,22,7.1%,31,81.6%,7,18.4%,81,79.4%,21,20.6%,75,92.6%,6,7.4%,148,85.5%,25,14.5%,14,63.6%,8,36.4%,187,79.9%,47,20.1%,8,100.0%
North Wales,3,100.0%,0,0.0%,140,78.2%,39,21.8%,15,62.5%,9,37.5%,18,94.7%,1,5.3%,0,0,0,0,104,99.0%,1,1.0%,9,90.0%,1,10.0%,23,82.1%,5,17.9%,39,95.1%,2,4.9%,53,94.6%,3,5.4%,18,100.0%,0,0.0%,101,91.0%,10,9.0%,5,100.0%
North Yorkshire,0,-,0,-,139,77.7%,40,22.3%,13,100.0%,0,0.0%,12,85.7%,2,14.3%,1,100.0%,0,0.0%,132,93.0%,10,7.0%,5,100.0%,0,0.0%,33,97.1%,1,2.9%,56,100.0%,0,0.0%,48,85.7%,8,14.3%,16,94.1%,1,5.9%,97,83.6%,19,16.4%,9,100.0%
Nottinghamshire,5,83.3%,1,16.7%,281,80.3%,69,19.7%,51,71.8%,20,28.2%,31,93.9%,2,6.1%,2,40.0%,3,60.0%,188,94.0%,12,6.0%,16,76.2%,5,23.8%,37,74.0%,13,26.0%,105,89.0%,13,11.0%,76,73.1%,28,26.9%,17,89.5%,2,10.5%,170,86.3%,27,13.7%,12,100.0%
South Wales,5,83.3%,1,16.7%,351,74.8%,118,25.2%,35,71.4%,14,28.6%,31,86.1%,5,13.9%,7,100.0%,0,0.0%,231,96.7%,8,3.3%,21,91.3%,2,8.7%,68,90.7%,7,9.3%,156,95.1%,8,4.9%,97,85.8%,16,14.2%,14,82.4%,3,17.6%,274,90.4%,29,9.6%,40,100.0%
South Yorkshire,2,100.0%,0,0.0%,232,75.1%,77,24.9%,13,81.3%,3,18.8%,31,83.8%,6,16.2%,4,40.0%,6,60.0%,269,92.1%,23,7.9%,13,86.7%,2,13.3%,64,79.0%,17,21.0%,77,97.5%,2,2.5%,94,88.7%,12,11.3%,15,93.8%,1,6.3%,202,88.2%,27,11.8%,41,100.0%
Staffordshire,0,-,0,-,197,74.1%,69,25.9%,33,84.6%,6,15.4%,20,90.9%,2,9.1%,0,0,0,0,152,96.2%,6,3.8%,13,76.5%,4,23.5%,52,91.2%,5,8.8%,83,94.3%,5,5.7%,62,82.7%,13,17.3%,13,86.7%,2,13.3%,165,88.2%,22,11.8%,14,100.0%
Suffolk,1,100.0%,0,0.0%,111,88.1%,15,11.9%,6,75.0%,2,25.0%,7,70.0%,3,30.0%,1,100.0%,0,0.0%,48,98.0%,1,2.0%,11,91.7%,1,8.3%,25,86.2%,4,13.8%,42,89.4%,5,10.6%,29,93.5%,2,6.5%,1,100.0%,0,0.0%,85,98.8%,1,1.2%,10,100.0%
Surrey,0,-,0,-,123,78.3%,34,21.7%,19,61.3%,12,38.7%,10,83.3%,2,16.7%,0,0,0,0,40,93.0%,3,7.0%,7,77.8%,2,22.2%,12,66.7%,6,33.3%,41,97.6%,1,2.4%,25,89.3%,3,10.7%,10,100.0%,0,0.0%,123,92.5%,10,7.5%,9,100.0%
Sussex,0,-,0,-,245,82.5%,52,17.5%,32,68.1%,15,31.9%,35,92.1%,3,7.9%,13,72.2%,5,27.8%,128,94.1%,8,5.9%,14,87.5%,2,12.5%,28,90.3%,3,9.7%,105,96.3%,4,3.7%,67,87.0%,10,13.0%,4,80.0%,1,20.0%,199,94.3%,12,5.7%,30,100.0%
Thames Valley,5,100.0%,0,0.0%,342,76.7%,104,23.3%,41,59.4%,28,40.6%,47,73.4%,17,26.6%,5,38.5%,8,61.5%,215,91.5%,20,8.5%,23,92.0%,2,8.0%,56,93.3%,4,6.7%,124,90.5%,13,9.5%,88,71.0%,36,29.0%,18,62.1%,11,37.9%,241,83.7%,47,16.3%,29,100.0%
Warwickshire,0,-,0,-,86,86.0%,14,14.0%,16,76.2%,5,23.8%,2,66.7%,1,33.3%,0,0,0,0,56,96.6%,2,3.4%,9,90.0%,1,10.0%,17,100.0%,0,0.0%,13,100.0%,0,0.0%,22,75.9%,7,24.1%,2,100.0%,0,0.0%,56,77.8%,16,22.2%,9,100.0%
West Mercia,2,100.0%,0,0.0%,218,82.3%,47,17.7%,35,72.9%,13,27.1%,24,92.3%,2,7.7%,1,33.3%,2,66.7%,163,92.6%,13,7.4%,16,88.9%,2,11.1%,35,79.5%,9,20.5%,66,90.4%,7,9.6%,87,87.0%,13,13.0%,16,88.9%,2,11.1%,218,84.5%,40,15.5%,17,100.0%
West Midlands,7,70.0%,3,30.0%,782,80.0%,196,20.0%,65,65.0%,35,35.0%,66,72.5%,25,27.5%,44,75.9%,14,24.1%,574,93.8%,38,6.2%,77,93.9%,5,6.1%,96,91.4%,9,8.6%,246,93.9%,16,6.1%,251,88.4%,33,11.6%,60,88.2%,8,11.8%,378,86.9%,57,13.1%,63,100.0%
West Yorkshire,2,50.0%,2,50.0%,509,82.5%,108,17.5%,56,72.7%,21,27.3%,61,85.9%,10,14.1%,16,94.1%,1,5.9%,333,92.8%,26,7.2%,16,72.7%,6,27.3%,99,90.0%,11,10.0%,155,93.4%,11,6.6%,136,84.0%,26,16.0%,29,96.7%,1,3.3%,319,85.3%,55,14.7%,26,100.0%
Wiltshire,1,100.0%,0,0.0%,111,91.7%,10,8.3%,15,88.2%,2,11.8%,14,100.0%,0,0.0%,5,83.3%,1,16.7%,58,98.3%,1,1.7%,10,83.3%,2,16.7%,19,90.5%,2,9.5%,17,94.4%,1,5.6%,29,82.9%,6,17.1%,6,100.0%,0,0.0%,74,92.5%,6,7.5%,0,-
