AUTHORITY,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OP-QA Hospital,Agency Staff - Basic Pay,04.07.2011,2207551340,1008.00,R,MANPOWER UK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-Test Valley Integrated LD Team,Car Leasing Business Rentals,12.07.2011,2900013344,1199.88,R,ING CAR LEASE UK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-Test Valley Integrated LD Team,Hire Of Accomodation,11.07.2011,2207574683,3276.00,R,TEST VALLEY BOROUGH COUNCIL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,CRT-Fareham Community Response,Printing,13.07.2011,2207584786,870.32,R,SUPPLIES TEAM
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-10.1.1-DIP Service,Purch Care-Indep Sector-Block Purchase SP Only,20.07.2011,9400023675,65205.48,R,THE SOCIETY OF ST JAMES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-10.1.4-County,Other Hired & Contracted Servs,14.07.2011,2207591732,18750.00,R,THE SOCIETY OF ST JAMES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-3.1.1-User/Carer Project Worker,Car Leasing Business Rentals,13.07.2011,2900013353,2190.10,R,ING CAR LEASE UK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-3.1.3-Infrastructr-Serv User Groups,Other Hired & Contracted Servs,04.07.2011,2207550210,500.00,R,FADS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-3.1.3-Infrastructr-Serv User Groups,Other Hired & Contracted Servs,21.07.2011,2207612244,1000.00,R,HAVANT COUNCIL OF COMMUNITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-3.1.3-Infrastructr-Serv User Groups,Other Hired & Contracted Servs,20.07.2011,2207610612,500.00,R,WINCHESTER AREA COMMUNITY ACTION
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-4.1.1-Support-Carer Support Line,Purch Care-Vol Sector-Block Purchase,20.07.2011,9400023376,1917.81,R,PARENT SUPPORT LINK
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-4.2.2-Supp PeerLed Carer/Other Grps,Lay People-Expenses,07.07.2011,2207564146,1000.00,R,OUR TIME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-8.1.3-Strucrured Day Services,Payments to Health Authorities,20.07.2011,9400023781,185852.03,R,SOUTHAMPTON CITY PCT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-8.1.3-Strucrured Day Services,Payments to Health Authorities,20.07.2011,9400023781,256337.54,R,SOUTHAMPTON CITY PCT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-8.2.6-Shared Care Cont-GP Contracts,Drugs & Medical supplies,14.07.2011,2207592020,1300.00,R,DR N R FERGUSON & PARTNERS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-8.2.6-Shared Care Cont-GP Contracts,Drugs & Medical supplies,14.07.2011,2207592039,1300.00,R,DR N R FERGUSON & PARTNERS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-9.1.1-Patient Detox,Payments to Health Authorities,20.07.2011,9400023375,4595.07,R,SOUTHAMPTON CITY PCT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-YP-Specialist Treatment,Purch Care-Vol Sector-Block Purchase,20.07.2011,9400023544,38356.16,R,CATCH 22
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DCMHN-Andover,Gas,21.07.2011,1100163799,3630.67,R,BRITISH GAS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DCMHN-Fareham DS-Non Del,Structural Repairs,26.07.2011,3400111644,526.53,C,TEW BROS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DCMHN-Fareham DS-Non Del,Structural Repairs,26.07.2011,3400111645,4233.05,C,TEW BROS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,Directorate,Agency Staff - Basic Pay,04.07.2011,2207549390,985.35,R,MANPOWER UK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,Directorate,Agency Staff - Basic Pay,04.07.2011,2207549411,1280.96,R,MANPOWER UK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,Directorate,Agency Staff - Basic Pay,04.07.2011,2207549434,788.28,R,MANPOWER UK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,Directorate,Agency Staff - Basic Pay,04.07.2011,2207549477,788.28,R,MANPOWER UK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HCC OPH-Non Del,Day To Day Maint - General,11.07.2011,3400111127,791.08,R,BARTRAM BUILDING MAINTENANCE SERVIC
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,JF-Gore Grange DC-NFCombWest,Purch Care-Vol Sector,14.07.2011,2207590694,10454.30,R,AGE CONCERN HAMPSHIRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day  Services Cap Res Team HQ,Drugs & Medical supplies,04.07.2011,2207548359,543.00,R,BRISTOL MAID
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day  Services Cap Res Team HQ,Drugs & Medical supplies,04.07.2011,2207548767,543.00,R,BRISTOL MAID
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day  Services Cap Res Team HQ,Furniture & Fittings Purchases,20.07.2011,3400111454,571.79,R,WINGSPAN SOLUTIONS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day  Services Cap Res Team HQ,Maint Of Grounds-Client,08.07.2011,3400111102,588.09,R,OCS HORTICULTURE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207586512,799.41,R,GRANGE CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207586537,792.47,R,GRANGE CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,19.07.2011,2207605019,701.14,R,HIGH HURLANDS NURSING HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,19.07.2011,2207605058,697.62,R,HIGH HURLANDS NURSING HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,08.07.2011,2207569950,11290.42,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207582231,1261.26,R,PARITY FOR DISABILITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207582250,1261.26,R,PARITY FOR DISABILITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207581073,1242.39,R,RAKELANDS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,19.07.2011,2207605943,1283.80,R,RAKELANDS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207580033,889.31,R,YATELEY INDUSTRIES FOR THE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207580073,1111.68,R,YATELEY INDUSTRIES FOR THE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207580100,1106.55,R,YATELEY INDUSTRIES FOR THE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207580149,1114.94,R,YATELEY INDUSTRIES FOR THE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207580196,1111.68,R,YATELEY INDUSTRIES FOR THE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207580239,1111.68,R,YATELEY INDUSTRIES FOR THE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207580253,1106.55,R,YATELEY INDUSTRIES FOR THE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207584070,1111.68,R,YATELEY INDUSTRIES FOR THE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,18.07.2011,2207600045,2286.90,R,OLD MILL DAY CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,18.07.2011,2207600122,1752.12,R,OLD MILL DAY CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,11.07.2011,2207577163,1137.50,R,PARITY FOR DISABILITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,12.07.2011,2207582260,1243.45,R,PARITY FOR DISABILITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,12.07.2011,2207582277,686.00,R,PARITY FOR DISABILITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,14.07.2011,2207590388,1112.66,R,ROBERT OWEN COMMUNITIES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Serv-Hayling Satellite-Non Del,Day To Day Maint - General,26.07.2011,3400111643,786.81,R,TEW BROS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Service Grove Centre-Win-Non Del,Day To Day Maint - General,26.07.2011,3400111648,1049.54,R,TEW BROS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Service-New Forest,Contract Cleaning,04.07.2011,2207551778,1156.29,R,MITIE CLEANING & ENVIRONMENTAL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Service-New Forest,Contract Cleaning,26.07.2011,2207626151,1156.29,R,MITIE CLEANING & ENVIRONMENTAL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Service-New Forest,"Vehicle Fuel inc petrol, diesel, etc",05.07.2011,2207553458,914.14,R,LOADERS GARAGE LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Aldershot,Hire Of Transport & Plant,22.07.2011,2207615297,1000.00,R,A1 RUSHMOOR RADIO TAXIS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Aldershot,Hire Of Transport & Plant,07.07.2011,2207561319,2859.78,R,PERSONAL PAYMENTS 
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Aldershot,Hire Of Transport & Plant,07.07.2011,2207561327,3033.80,R,PERSONAL PAYMENTS 
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Aldershot,Public Transport,11.07.2011,2207574599,868.00,R,A1 RUSHMOOR RADIO TAXIS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Aldershot-Non Del,Structural Repairs,12.07.2011,3400111213,645.76,C,TEW BROS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover,Contract Cleaning,11.07.2011,2207576693,1238.57,R,HAYWARD SERVICES LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover,Electricity,20.07.2011,1100163527,1076.74,R,BRITISH GAS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover,Gas Oil,07.07.2011,1100162902,1230.81,R,WESSEX PETROLEUM
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover,Hire Of Transport & Plant,06.07.2011,2207557344,2200.00,R,PIKES COACHES LIMITED
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover,Hire Of Transport & Plant,06.07.2011,2207557344,1518.00,R,PIKES COACHES LIMITED
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Basingstoke,Contract Cleaning,15.07.2011,2207596050,1090.30,R,INTEGRATED CLEANING MANAGEMENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Basingstoke,Hazardous/Chem Waste Disposal,14.07.2011,2207589937,787.44,R,CANNON HYGIENE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Basingstoke-Non Del,Day To Day Maint - General,12.07.2011,3400111211,2442.06,R,TEW BROS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bishopstoke-Eastleigh,Aided Transport - Home to School,20.07.2011,2207608278,2264.00,R,A2B EXPRESS TRAVEL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bishopstoke-Eastleigh,Aided Transport - Home to School,20.07.2011,2207608330,1944.00,R,A2B EXPRESS TRAVEL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bishopstoke-Eastleigh,Aided Transport - Home to School,29.07.2011,2207639404,2488.80,R,A2B EXPRESS TRAVEL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bishopstoke-Eastleigh,Aided Transport - Home to School,29.07.2011,2207639418,1962.00,R,A2B EXPRESS TRAVEL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bishopstoke-Eastleigh,Aided Transport - Home to School,11.07.2011,2207574668,526.86,R,PERSONAL PAYMENTS 
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bishopstoke-Eastleigh,Contract Cleaning,15.07.2011,2207597353,1534.27,R,INTEGRATED CLEANING MANAGEMENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bishopstoke-Non Del,Major Electrical Repairs,20.07.2011,3400111416,1372.90,C,BHM ELECTRICAL SERVICES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bishopstoke-Non Del,Vandalism,20.07.2011,3400111425,5335.75,R,BHM ELECTRICAL SERVICES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Contract Cleaning,15.07.2011,2207596397,624.50,R,INTEGRATED CLEANING MANAGEMENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Gas,19.07.2011,1100163386,887.63,R,BRITISH GAS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hire Of Transport & Plant,14.07.2011,2207592757,1892.00,R,PETE'S AIRLINK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hire Of Transport & Plant,14.07.2011,2207592792,1204.00,R,SWIFT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant-Non Del,Day To Day Maint - General,26.07.2011,3400111643,4230.81,R,TEW BROS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,13.07.2011,2207583899,3529.76,R,LODDON ALLIANCE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,26.07.2011,2207623356,755.61,R,LODDON ALLIANCE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,26.07.2011,2207623356,3529.75,R,LODDON ALLIANCE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,26.07.2011,2207623362,755.60,R,LODDON ALLIANCE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.07.2011,2207556768,2662.49,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587257,819.92,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587257,2071.44,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587257,5085.80,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587295,504.48,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587295,854.80,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587295,976.95,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587295,3026.87,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587301,3518.62,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587301,1033.26,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587301,2252.39,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,13.07.2011,2207587301,1040.90,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,14.07.2011,2207589602,1246.48,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,14.07.2011,2207589610,612.06,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,14.07.2011,2207589633,734.71,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,14.07.2011,2207590154,858.56,R,CARE UK (CAMBERLEY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,04.07.2011,2207551010,1667.49,R,PERSONAL PAYMENTS 
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.07.2011,2207554234,2573.10,R,IN CHORUS DOMICILIARY CARE SERVICES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.07.2011,2207554234,877.98,R,IN CHORUS DOMICILIARY CARE SERVICES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.07.2011,2207560739,1667.49,R,PERSONAL PAYMENTS 
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,07.07.2011,2207563140,1667.49,R,PERSONAL PAYMENTS 
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,18.07.2011,2207600533,3324.16,R,LIFESTYLE CARE SUPPORT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,18.07.2011,2207600533,1120.00,R,LIFESTYLE CARE SUPPORT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.07.2011,2207559937,1251.76,R,LOGA CARE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,12.07.2011,2207577994,2612.99,R,PERSONAL PAYMENTS 
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,04.07.2011,2207550957,1775.06,R,PERSONAL PAYMENTS 
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,18.07.2011,2207598827,7665.19,R,MAC CARING AGENCY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,22.07.2011,2207616188,7665.19,R,MAC CARING AGENCY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,20.07.2011,2207609152,929.50,R,NOBILIS CARE LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,15.07.2011,2207595287,1220.40,R,BELLS PIECE CHESHIRE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,12.07.2011,2207580755,5608.17,R,DIMENSIONS (NSO) LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,12.07.2011,2207580783,6569.63,R,DIMENSIONS (NSO) LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,07.07.2011,2207563658,1219.76,R,ELIZABETH FITZROY SUPPORT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,13.07.2011,2207586690,1180.41,R,ELIZABETH FITZROY SUPPORT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,13.07.2011,2207586704,1180.41,R,ELIZABETH FITZROY SUPPORT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,19.07.2011,2207604769,640.52,R,ELIZABETH FITZROY SUPPORT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,19.07.2011,2207604779,2896.72,R,ELIZABETH FITZROY SUPPORT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,19.07.2011,2207604799,2074.00,R,ELIZABETH FITZROY SUPPORT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,07.07.2011,2207564345,546.36,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,07.07.2011,2207564345,2154.60,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,07.07.2011,2207564472,861.84,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,07.07.2011,2207564472,2757.16,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,07.07.2011,2207564472,2154.60,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,14.07.2011,2207592845,560.56,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,14.07.2011,2207592845,2154.60,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,19.07.2011,2207604002,2154.60,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,19.07.2011,2207604002,560.56,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,19.07.2011,2207604043,5773.60,R,MCCH SOCIETY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Vol Sector,19.07.2011,2207604306,1723.68,R,MCCH SOCIETY
