Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/08/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,KEY PERSONNEL SOLUTIONS L,0000213621,"1,375.45"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/08/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,SPRING TECHNOLOGY,0000213623,415.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,KEY PERSONNEL SOLUTIONS L,0000213972,"1,375.45"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,SPRING TECHNOLOGY,0000213987,"1,245.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,SPRING TECHNOLOGY,0000213988,"1,200.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,SPRING TECHNOLOGY,0000213989,"1,600.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,SPRING TECHNOLOGY,0000213990,"2,000.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,KEY PERSONNEL SOLUTIONS L,0000214279,"1,375.45"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,KEY PERSONNEL SOLUTIONS L,0000214282,"1,375.45"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,SPRING TECHNOLOGY,0000214283,"1,660.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,SPRING TECHNOLOGY,0000214284,"2,000.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/07/2014,TRAINING AND EDUCATION,CORPORATE PROJECT OFFICE,PROF SER LRNG&DEV-STAFF TRNING,OE CAM LLP,0000213827,575.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/09/2014,TRAINING AND EDUCATION,CORPORATE PROJECT OFFICE,PROF SER LRNG&DEV-STAFF TRNING,DATRIX LEARNING SERVICES,0000213909,995.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/09/2014,CHILDCARE VOUCHERS,ENVIRONMENT,PERSONNEL RLTD-STAFF CHILDCARE,FIDELITI LIMITED,0000213721,50.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/07/2014,CONSULTANCY,ENVIRONMENT,PROF SER CNSLTNCY-PROCUREMENT,UK SHARED BUSINESS SERV L,0000212660,"24,395.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,J N BENTLEY LIMITED,0000213609,-146.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/08/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,PROF SER CNSLTNCY-MRKTNG&CMTN,CRANFIELD UNIVERSITY,0000213823,"3,375.31"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000213872,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000213873,472.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000213134,"1,101.40"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000213136,635.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000213137,"2,902.24"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/08/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213276,"8,466.87"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/07/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213286,"10,113.60"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/08/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213292,"122,295.22"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/08/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213293,"45,458.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/08/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000213304,"9,382.25"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/06/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000213306,"-2,548.20"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000213607,-803.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000213610,45.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/08/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000213643,"1,349.90"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/09/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213969,"56,960.58"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/09/2014,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,RMV CRD DC 213306 COPY,35001154,"2,548.20"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,FARES - AIR,ENVIRONMENT,TRAVEL&EVENTS-AIR,REDFERN TRAVEL LTD,0000213892,468.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,FARES - RAIL,ENVIRONMENT,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000213892,193.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,FARES - RAIL,ENVIRONMENT,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000214052,3.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,FARES - RAIL,ENVIRONMENT,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000214139,33.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000213896,2.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000214048,271.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000214116,271.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000214268,54.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,INCIDENTALS,ENVIRONMENT,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000214135,20.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,INCIDENTALS,ENVIRONMENT,PSPES NOT APPLICABLE,STAFF EXPENSES CONTROL,0000214264,20.53
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/09/2014,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,DLA PIPER UK LLP,0000213693,731.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/08/2014,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,WALKER MORRIS,0000213694,"4,016.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/09/2014,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,WALKER MORRIS,0000214381,"1,573.25"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/09/2014,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,ANDERSON STRATHERN,0000214382,"2,458.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2014,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,FEES RELATING TO BATES BO,0000214394,"1,020.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,LIABILITY SITE MONTHLY MAINT,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000213670,"5,355.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,LIABILITY SITE MONTHLY MAINT,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000213674,"8,925.64"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,LIABILITY SITE MONTHLY MAINT,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOUCHEL LTD,0000213881,"1,498.86"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,LIABILITY SITES AD-HOC TASKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213543,462.73
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,LIABILITY SITES AD-HOC TASKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213543,"6,374.53"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,LIABILITY SITES AD-HOC TASKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213543,393.57
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/08/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,BIOCHEMICA UK LIMITED,0000213329,560.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/08/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,BIOCHEMICA UK LIMITED,0000213733,524.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/08/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,BIOCHEMICA UK LIMITED,0000213735,524.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,BIOCHEMICA UK LIMITED,0000213736,"4,700.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/09/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,BIOCHEMICA UK LIMITED,0000213861,524.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/09/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,UNIVAR B V,0000213862,"5,133.80"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,BIOCHEMICA UK LIMITED,0000213879,648.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,GOLDCREST CHEMICALS LIMIT,0000213885,"3,279.98"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/09/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,BIOCHEMICA UK LIMITED,0000214019,"2,240.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/09/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,BIOCHEMICA UK LIMITED,0000214020,524.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/09/2014,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,GOLDCREST CHEMICALS LIMIT,0000214192,"3,265.83"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213536,506.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213538,"6,077.68"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213539,209.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213539,"2,555.77"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213539,"1,000.66"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213539,"2,702.27"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213539,64.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213539,33.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213539,193.73
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213540,"1,253.20"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213540,"1,684.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213540,"2,672.17"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213541,143.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213541,179.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/08/2014,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000213541,"1,109.45"
