DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,45480.96,ORDER NO SO647857 MICROSOFT CORE INFRASTRUCTURE SVRSTEDATACTR MTHLY SUB,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,39567.5,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700022,37434.75,PROJECT #C6028,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,37020,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,34307.69,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,33725,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS  - MEETING ROOM HIRE,Comms Directors Office,CALDER CONFERENCES LTD,1011700237,33536.68,CONFERENCE 2016 MANCHESTER,LS16 6RF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,C E F A S,2012700014,32445.4,APRIL TO JUNE F/Y2016/17,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011700474,32210,Feed Off. Conts 2016/17 NTS/TSI fees. Feed Official Controls funding 2016/17: NTS/TSI fees,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700021,31883.98,THE PROVISION OF OFFICAL CONTROL SRVICES OF SHELLFISH,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,VODAFONE LTD,1011700422,31548.78,CHARGES,MK3 5JL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700289,28299.76,G4S INVOICE 90118486 CONTRACT CHARGES,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700420,28299.76,G4S INVOICE 90123745,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - AMORTISATION - INTANGIBLE ASSETS,Operations Assurance ,S F W LTD,1011700215,27840,"FSA01:4, 5, 6 & 7",GU22 7UY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER,Analysis & Research Branch,MINTEL INTERNATIONAL GROUP LTD,1011700296,26040,SUB ALLOCATIONS/FOOD/DRINK,EC4V 6RN,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - AMORTISATION - INTANGIBLE ASSETS,Operations Assurance ,S F W LTD,1011700215,25661,"FSA01:4, 5, 6 & 7",GU22 7UY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,EDF ENERGY PLC,1011700377,25647.13,EDF ENGERGY 1834783 JUN16,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,EU Regulatory Reform Branch,THE ROYAL VETERINARY COLLEGE,1011700255,25000,DELIVERABLE 5 FINAL REPORT,NW1 0TV,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,EDF ENERGY PLC,1011700349,24643.35,1735597 - MAY2016,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,B A E SYSTEMS (OPS) T/A CORDA,1011700361,23780,WORK COMPLETED BY CORDA,GU14 6YU,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-11,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,Finance Director & Branch,SHARED SERVICES CONNECTED LTD,1011700318,23335.37,CCHARGES FOR SERVICES 1JULY/31JULY,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700021,23050.22,THE PROVISION OF OFFICAL CONTROL SRVICES OF SHELLFISH,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700021,22526.56,THE PROVISION OF OFFICAL CONTROL SERVICES OF SHELLFISH,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Operations Local Delivery ,C E F A S,2012700021,20652.32,THE PROVISION OF OFFICAL CONTROL SERVICES OF SHELLFISH,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,T N S UK LTD,1011700315,20650,FSA CAMPAIGN TRACKER JUNE WAVE,SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-28,"EXP - PURCHASE OF GOODS/SERVICES - TRICHINELLA TESTING, CARRIAGE & CONSUMABLES",Operational Delivery,TOPSPEED COURIERS LIMITED,1011700475,17730,TRICH X 394,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,T N S UK LTD,1011700223,17630,PO 424443 MANUKA HONEY,SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,17327.31,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700289,17155.2,G4S INVOICE 90118486 CONTRACT CHARGES,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700420,17155.2,G4S INVOICE 90123745,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700026,17047,FS102066S,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700026,17047,May-16,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011700475,16964.4,RIM X 352,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700289,16938.25,G4S INVOICE 90118486 CONTRACT CHARGES,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700420,16938.25,G4S INVOICE 90123745,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,15631.82,ORDER NO SO647857 MICROSOFT CORE INFRASTRUCTURE SVRSTEDATACTR MTHLY SUB,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,NATIONAL CENTRE FOR SOCIAL RESEARCH,1011700345,15442,P11314.00 FOOD,EC1V 0AX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,T N S UK LTD,1011700315,15000,FSA EAT LESS MEAT,SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,14867.5,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,13426.56,ORDER NO SO647857 MICROSOFT CORE INFRASTRUCTURE SVRSTEDATACTR MTHLY SUB,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,12866.4,ORDER NO SO647857 MICROSOFT CORE INFRASTRUCTURE SVRSTEDATACTR MTHLY SUB,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - AMORTISATION - INTANGIBLE ASSETS,Operations Assurance ,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700257,12727,SIR APP SERVER MIGRANTION TEST,SN14 0TW,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700420,12478.64,G4S INVOICE 90123745,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,S K V COMMUNICATIONS,1011700252,12080,FSW COSTS,M3 7NA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700289,9047.6,G4S INVOICE 90118486 CONTRACT CHARGES,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,FERA SCIENCE LIMITED,1011700469,8714.38,13 APR - JUN 16,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700257,8673.68,SSCM  DEPLOYMENT RESOURCE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,8550,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700257,8110.42,INFRASTRUCTURE CONVERGENCE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,T N S UK LTD,1011700223,7920,JOB 260127904,SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011700475,7785,TB RED X 71,WA16 8XN,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-22,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700022,7486.95,PROJECT #C6028,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,C E F A S,2012700014,7134.2,APRIL TO JUNE F/Y2016/17,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,6385.2,ORDER NO SO647857 MICROSOFT CORE INFRASTRUCTURE SVRSTEDATACTR MTHLY SUB,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-21,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,VODAFONE LTD,1011700422,6309.76,CHARGES,MK3 5JL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,5722.5,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-15,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,EDF ENERGY PLC,1011700377,5123.73,EDF ENGERGY 1834783 JUN16,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700257,5068.53,COLLABORATION SUITE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-13,EXP - PURCHASE OF GOODS/SERVICES - OTHER ENERGY/UTILITIES/WASTE COST,Security & Estates,EDF ENERGY PLC,1011700349,4921.16,1735597 - MAY2016,EX1 3UT,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,4340.8,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - AMORTISATION - INTANGIBLE ASSETS,Operations Assurance ,S F W LTD,1011700215,4230,"FSA01:4, 5, 6 & 7",GU22 7UY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,T N S UK LTD,1011700223,3526,PO 424443 MANUKA HONEY,SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILTIES COSTS - SECURITY,Security & Estates,G4S FACILITIES MANAGEMENT UK LTD,1011700289,3431.04,G4S INVOICE 90118486 CONTRACT CHARGES,S81 7QF,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700026,3409.4,FS102066S,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700026,3409.4,May-16,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,T N S UK LTD,1011700223,3311,JOB 260136149,SE1 2QY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,3177,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Service Delivery,TRUSTMARQUE SOLUTIONS LTD,1011700284,3030,ORDER NO SO647856,YO32 9GZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Local Delivery ,REDFERN TRAVEL LTD,1011700226,2838.05,INV 1908 TRAVEL & SUBSISTENCE WEEK 25,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-15,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Operations Local Delivery ,REDFERN TRAVEL LTD,1011700375,2786.35,INV 2054 TRAVEL & SUBSISTENCE WEEK 28,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - AMORTISATION - INTANGIBLE ASSETS,Operations Assurance ,S F W LTD,1011700215,2629,"FSA01:4, 5, 6 & 7",GU22 7UY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - AMORTISATION - INTANGIBLE ASSETS,Operations Assurance ,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700257,2545.4,SIR APP SERVER MIGRANTION TEST,SN14 0TW,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,S K V COMMUNICATIONS,1011700252,2500,CONSUMER PARTNERSHIP SERVICES,M3 7NA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,S K V COMMUNICATIONS,1011700252,2500,CONSUMER PARTNERSHIP SERVICES,M3 7NA,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,S K V COMMUNICATIONS,1011700252,2500,CONSUMER PARTNERSHIP SERVICES,M3 7NA,PROGRAMME
