internal phrase,,,,,,,,,,
14/Nov/11 to 20/Nov/11,,,,,,,,,,
"  Subsite [directgov central] ",,,,,,,,,,
internal phrase,,,,,,,,,,
#,Search Term,Number of Searches,,,,,,,,
237,self assessment,92,,,,,,,,
238,housing benifit,92,,,,,,,,
239,equality act 2010,91,,,,,,,,
240,equality act,91,,,,,,,,
241,lost licence,90,,,,,,,,
242,v890,90,,,,,,,,
243,speed limits,90,,,,,,,,
244,birth certificates,90,,,,,,,,
245,mobility,89,,,,,,,,
246,government gateway,89,,,,,,,,
247,marriage,89,,,,,,,,
248,passport renewal,89,,,,,,,,
249,visa,88,,,,,,,,
250,mortgage,88,,,,,,,,
251,contact dvla,88,,,,,,,,
252,highway code,88,,,,,,,,
253,national insurance contributions,87,,,,,,,,
254,employment rights,87,,,,,,,,
255,parking,87,,,,,,,,
256,provisional license,87,,,,,,,,
257,p45,86,,,,,,,,
258,permitted work,86,,,,,,,,
259,driver,86,,,,,,,,
260,savings,86,,,,,,,,
261,practice theory test,85,,,,,,,,
262,driving jobs,85,,,,,,,,
263,driving theory test,85,,,,,,,,
264,child care,84,,,,,,,,
265,trading standards,84,,,,,,,,
266,budget loans,84,,,,,,,,
267,passport fees,84,,,,,,,,
268,benifits,84,,,,,,,,
269,pension age,83,,,,,,,,
270,hmrc,83,,,,,,,,
271,petitions,83,,,,,,,,
272,jobcentre,83,,,,,,,,
273,work experience,83,,,,,,,,
274,application form,82,,,,,,,,
275,community care grants,82,,,,,,,,
276,planning,82,,,,,,,,
277,name change,82,,,,,,,,
278,address,82,,,,,,,,
279,cbt,82,,,,,,,,
280,bankruptcy,82,,,,,,,,
281,enduring power of attorney,82,,,,,,,,
282,working time,82,,,,,,,,
283,cleaning jobs,82,,,,,,,,
284,courses,82,,,,,,,,
285,child maintenance,82,,,,,,,,
286,PENSION,81,,,,,,,,
287,phone numbers,81,,,,,,,,
288,small claims court,81,,,,,,,,
289,wills,81,,,,,,,,
290,small claims,81,,,,,,,,
291,local housing allowance,80,,,,,,,,
292,working tax,80,,,,,,,,
293,immigration,80,,,,,,,,
294,benefit,79,,,,,,,,
295,motability,79,,,,,,,,
296,fees,79,,,,,,,,
297,savings credit,79,,,,,,,,
298,discrimination,78,,,,,,,,
299,court fees,78,,,,,,,,
300,dvla address,78,,,,,,,,
301,motoring,78,,,,,,,,
302,stamp duty,78,,,,,,,,
303,state pension age,78,,,,,,,,
304,b,78,,,,,,,,
305,catering,78,,,,,,,,
306,change practical test,77,,,,,,,,
307,employers,77,,,,,,,,
308,retirement,77,,,,,,,,
309,pff2,77,,,,,,,,
310,contact us,77,,,,,,,,
311,pn1,77,,,,,,,,
312,carer,76,,,,,,,,
313,esa50,76,,,,,,,,
314,adi,75,,,,,,,,
315,lpa,75,,,,,,,,
316,apprentice,75,,,,,,,,
317,v778,74,,,,,,,,
318,cv template,74,,,,,,,,
319,child benefits,74,,,,,,,,
320,Job seekers,74,,,,,,,,
321,child,74,,,,,,,,
322,consumer rights,74,,,,,,,,
323,consumer direct,74,,,,,,,,
324,vosa,73,,,,,,,,
325,work programme,73,,,,,,,,
326,tax car,72,,,,,,,,
327,warm home discount,72,,,,,,,,
328,cancellations,72,,,,,,,,
329,show me tell me,71,,,,,,,,
330,working time directive,71,,,,,,,,
331,vehicle tax,71,,,,,,,,
332,equal opportunities,71,,,,,,,,
333,education,71,,,,,,,,
334,direct payments,71,,,,,,,,
335,telephone number,71,,,,,,,,
336,ni number,70,,,,,,,,
337,new deal,70,,,,,,,,
338,tv licence,70,,,,,,,,
339,warm front,70,,,,,,,,
340,pregnant,69,,,,,,,,
341,tax codes,69,,,,,,,,
342,book test,69,,,,,,,,
343,tax rebate,69,,,,,,,,
344,hazard perception,69,,,,,,,,
345,tax refund,69,,,,,,,,
346,redundancy pay,69,,,,,,,,
347,s,69,,,,,,,,
348,back to work,68,,,,,,,,
349,magistrates,68,,,,,,,,
350,public holidays,68,,,,,,,,
351,change,68,,,,,,,,
352,diabetes,68,,,,,,,,
353,child tax,67,,,,,,,,
354,EMPLOYMENT AND SUPPORT ALLOWANCE,67,,,,,,,,
355,car tax refund,67,,,,,,,,
356,nextstep,67,,,,,,,,
357,test,66,,,,,,,,
358,sales assistant,66,,,,,,,,
359,tax code,66,,,,,,,,
360,in work credit,66,,,,,,,,
361,maternity rights,65,,,,,,,,
362,job grant,65,,,,,,,,
363,disability discrimination,65,,,,,,,,
364,jo,65,,,,,,,,
365,part time,65,,,,,,,,
366,ni,64,,,,,,,,
367,v888,64,,,,,,,,
368,bullying,64,,,,,,,,
369,schools,64,,,,,,,,
370,renew driving licence,64,,,,,,,,
371,change driving test,63,,,,,,,,
372,carer's allowance,63,,,,,,,,
373,find a job,63,,,,,,,,
374,free prescriptions,63,,,,,,,,
375,voluntary redundancy,63,,,,,,,,
376,benefit rates,63,,,,,,,,
377,unfair dismissal,63,,,,,,,,
378,hc1,63,,,,,,,,
379,bereavement benefit,62,,,,,,,,
380,contract of employment,62,,,,,,,,
381,book,62,,,,,,,,
382,crb check,62,,,,,,,,
383,ehic,62,,,,,,,,
384,childminders,62,,,,,,,,
385,sick,62,,,,,,,,
386,provisional driving licence,62,,,,,,,,
387,voluntary work,62,,,,,,,,
388,NATIONAL INSURANCE NUMBER,61,,,,,,,,
389,moving home,61,,,,,,,,
390,breaks,61,,,,,,,,
391,labourer,61,,,,,,,,
392,template letter,61,,,,,,,,
393,funeral,61,,,,,,,,
394,change of name,60,,,,,,,,
395,STATE PENSION,60,,,,,,,,
396,cold weather,60,,,,,,,,
397,a,59,,,,,,,,
398,deed poll,59,,,,,,,,
399,notice period,59,,,,,,,,
400,bursary,59,,,,,,,,
401,careers,59,,,,,,,,
402,cpc,59,,,,,,,,
403,pay court fine,59,,,,,,,,
404,income,59,,,,,,,,
405,sex discrimination,59,,,,,,,,
406,benefit advisor,58,,,,,,,,
407,electoral roll,58,,,,,,,,
408,new claim,58,,,,,,,,
409,age discrimination,57,,,,,,,,
410,jobcentreplus,57,,,,,,,,
411,constructive dismissal,57,,,,,,,,
412,driving practical test,57,,,,,,,,
413,school,57,,,,,,,,
414,solar panels,57,,,,,,,,
415,dla rates,57,,,,,,,,
416,acas,57,,,,,,,,
417,number plates,57,,,,,,,,
418,christmas payments,57,,,,,,,,
419,road tax refund,56,,,,,,,,
420,care assistant,56,,,,,,,,
421,signing off,56,,,,,,,,
422,p60,56,,,,,,,,
423,care,56,,,,,,,,
424,telephone numbers,56,,,,,,,,
425,ex50,56,,,,,,,,
426,test centres,56,,,,,,,,
427,volunteer,55,,,,,,,,
428,pay,55,,,,,,,,
429,RETAIL,55,,,,,,,,
430,carers credit,55,,,,,,,,
431,nmw,55,,,,,,,,
432,car,55,,,,,,,,
433,ipcbr1,55,,,,,,,,
434,second passport,55,,,,,,,,
435,appeals,55,,,,,,,,
436,stopping distances,54,,,,,,,,
437,asda,54,,,,,,,,
438,childcare vouchers,54,,,,,,,,
439,inheritance tax,54,,,,,,,,
440,ch,54,,,,,,,,
441,serps,54,,,,,,,,
442,pension forcast,54,,,,,,,,
443,connexions,53,,,,,,,,
444,annual leave,53,,,,,,,,
445,car insurance,53,,,,,,,,
446,new enterprise allowance,53,,,,,,,,
447,sign off,53,,,,,,,,
448,job seeker allowance,53,,,,,,,,
449,ccj,53,,,,,,,,
450,funding,53,,,,,,,,
451,winter payment,53,,,,,,,,
452,d4,53,,,,,,,,
453,crb checks,53,,,,,,,,
454,business,53,,,,,,,,
455,v11,53,,,,,,,,
456,bank holidays 2012,53,,,,,,,,
457,bereavement allowance,53,,,,,,,,
458,council tax bands,52,,,,,,,,
459,dvla local office,52,,,,,,,,
460,v55/5,52,,,,,,,,
461,return to work credit,52,,,,,,,,
462,low income,52,,,,,,,,
463,nin,52,,,,,,,,
464,register,52,,,,,,,,
465,V14,51,,,,,,,,
466,dismissal,51,,,,,,,,
467,v62 form,51,,,,,,,,
468,apprentiships,51,,,,,,,,
469,driving theory,51,,,,,,,,
470,cleaners,51,,,,,,,,
471,budget,51,,,,,,,,
472,mediation,50,,,,,,,,
473,right to buy,50,,,,,,,,
474,et1,50,,,,,,,,
475,ssp1,50,,,,,,,,
476,v20,50,,,,,,,,
477,lost,50,,,,,,,,
478,practical,50,,,,,,,,
479,sign on,50,,,,,,,,
480,winter payments,50,,,,,,,,
481,booking driving test,50,,,,,,,,
482,part time work,50,,,,,,,,
483,rent,50,,,,,,,,
484,christmas,49,,,,,,,,
485,benefit adviser,49,,,,,,,,
486,sex offenders,49,,,,,,,,
487,disabled,49,,,,,,,,
488,j,49,,,,,,,,
489,d2,49,,,,,,,,
490,child benifit,49,,,,,,,,
491,lgv,48,,,,,,,,
492,dvla phone number,48,,,,,,,,
493,paye,48,,,,,,,,
494,next steps,48,,,,,,,,
495,social loan,48,,,,,,,,
496,insolvency,48,,,,,,,,
497,pr,48,,,,,,,,
498,tax return,48,,,,,,,,
499,warm home,47,,,,,,,,
500,ma1,47,,,,,,,,
501,fostering,47,,,,,,,,
502,CRISIS LOANS,47,,,,,,,,
503,moving house,47,,,,,,,,
504,t,47,,,,,,,,
505,nhs,47,,,,,,,,
506,change name,47,,,,,,,,
507,receptionist,47,,,,,,,,
508,agency workers,46,,,,,,,,
509,motoring forms,46,,,,,,,,
510,industrial injuries,46,,,,,,,,
511,student finance england,46,,,,,,,,
512,alcohol,46,,,,,,,,
513,dr,46,,,,,,,,
514,housing benefit calculator,46,,,,,,,,
515,e111,46,,,,,,,,
516,lost driving license,46,,,,,,,,
517,healthy start,45,,,,,,,,
518,eyfs,45,,,,,,,,
519,bugeting loan,45,,,,,,,,
520,all,45,,,,,,,,
521,basic state pension,45,,,,,,,,
522,winter heating allowance,45,,,,,,,,
523,pay a court fine,45,,,,,,,,
524,local councils,45,,,,,,,,
525,police,45,,,,,,,,
526,court,45,,,,,,,,
527,isa,45,,,,,,,,
528,lost passport,45,,,,,,,,
529,GL24,45,,,,,,,,
530,employment tribunal,45,,,,,,,,
531,legislation,45,,,,,,,,
532,passport application,44,,,,,,,,
533,admin,44,,,,,,,,
534,spp,44,,,,,,,,
535,job seekers allowence,44,,,,,,,,
536,carpenter,44,,,,,,,,
537,id,44,,,,,,,,
538,better off calculation,44,,,,,,,,
539,cscs card,44,,,,,,,,
540,cover letter,43,,,,,,,,
541,attendence allowance,43,,,,,,,,
542,v,43,,,,,,,,
543,contact numbers,43,,,,,,,,
544,form e,43,,,,,,,,
545,homeless,43,,,,,,,,
546,hardship,43,,,,,,,,
547,council,43,,,,,,,,
548,cscs,43,,,,,,,,
549,d777b,43,,,,,,,,
550,ppi,43,,,,,,,,
551,smoking,43,,,,,,,,
552,support worker,43,,,,,,,,
553,dyslexia,43,,,,,,,,
554,budgeting loan form,43,,,,,,,,
555,w,43,,,,,,,,
556,local authority,42,,,,,,,,
557,vic check,42,,,,,,,,
558,fines,42,,,,,,,,
559,sex discrimination act,42,,,,,,,,
560,harassment,42,,,,,,,,
561,single parent,42,,,,,,,,
562,smi,42,,,,,,,,
563,change of circumstances,42,,,,,,,,
564,crisis,42,,,,,,,,
565,maternity benefits,42,,,,,,,,
566,working abroad,42,,,,,,,,
567,warm home discount scheme,42,,,,,,,,
568,gross misconduct,41,,,,,,,,
569,pension calculator,41,,,,,,,,
570,every child matters,41,,,,,,,,
571,towing,41,,,,,,,,
572,book practical driving test,41,,,,,,,,
573,school holidays,41,,,,,,,,
574,licence,41,,,,,,,,
575,roundabouts,41,,,,,,,,
576,writing a cv,41,,,,,,,,
577,pay a fine,41,,,,,,,,
578,employment and support,41,,,,,,,,
579,family allowance,41,,,,,,,,
580,deaths,41,,,,,,,,
581,National Minimum Wage,41,,,,,,,,
582,renewat70,41,,,,,,,,
583,points,41,,,,,,,,
584,V5,41,,,,,,,,
585,tax bands,41,,,,,,,,
586,early retirement,41,,,,,,,,
587,ptg1,41,,,,,,,,
588,counterpart,40,,,,,,,,
589,lost tax disc,40,,,,,,,,
590,human rights act,40,,,,,,,,
591,state pension calculator,40,,,,,,,,
592,journey planner,40,,,,,,,,
593,renew tax disc,40,,,,,,,,
594,book theory,40,,,,,,,,
595,sure start grant,40,,,,,,,,
596,payment,40,,,,,,,,
597,carers allowence,40,,,,,,,,
598,bricklayer,40,,,,,,,,
599,joiner,40,,,,,,,,
600,dvla contact,40,,,,,,,,
601,pass plus,40,,,,,,,,
602,templates,40,,,,,,,,
603,iva,40,,,,,,,,
604,capital gains tax,40,,,,,,,,
605,redundancy payments,40,,,,,,,,
606,unemployment,39,,,,,,,,
607,maintenance grant,39,,,,,,,,
608,dss,39,,,,,,,,
609,smp1,39,,,,,,,,
610,Sure Start maternity Grant,39,,,,,,,,
611,e,39,,,,,,,,
612,lone parent,39,,,,,,,,
613,covering letter,39,,,,,,,,
614,ma,39,,,,,,,,
615,council tax band,39,,,,,,,,
616,job seeker,39,,,,,,,,
617,child passport,39,,,,,,,,
618,renew passport,39,,,,,,,,
619,welder,39,,,,,,,,
620,petition,38,,,,,,,,
621,tax my car,38,,,,,,,,
622,road signs,38,,,,,,,,
623,jobseeker allowance,38,,,,,,,,
624,driving licence renewal,38,,,,,,,,
625,child trust fund,38,,,,,,,,
626,work,38,,,,,,,,
627,part time jobs,38,,,,,,,,
628,tax disc refund,38,,,,,,,,
629,plumber,38,,,,,,,,
630,electrician,38,,,,,,,,
631,jobseeker,38,,,,,,,,
632,heating allowence,38,,,,,,,,
633,employer,38,,,,,,,,
634,sick note,38,,,,,,,,
635,provisional driving license,38,,,,,,,,
636,tax online,38,,,,,,,,
637,d1 application form,38,,,,,,,,
638,building regulations,38,,,,,,,,
639,sign in,38,,,,,,,,
640,changing address,38,,,,,,,,
641,contracts,38,,,,,,,,
642,consent order,38,,,,,,,,
643,compassionate leave,37,,,,,,,,
644,young people,37,,,,,,,,
645,premium bonds,37,,,,,,,,
646,thoery test,37,,,,,,,,
647,travel,37,,,,,,,,
648,painter,37,,,,,,,,
649,boo,37,,,,,,,,
650,dri,37,,,,,,,,
651,unemployed,37,,,,,,,,
652,th,37,,,,,,,,
653,appointee,37,,,,,,,,
654,pgce,37,,,,,,,,
655,book a driving test,37,,,,,,,,
656,application forms,37,,,,,,,,
657,local office,37,,,,,,,,
658,ls01,37,,,,,,,,
659,plumbing,37,,,,,,,,
660,utr,37,,,,,,,,
661,practical test booking,37,,,,,,,,
662,d8,37,,,,,,,,
663,car check,37,,,,,,,,
664,declare sorn,36,,,,,,,,
665,crises loan,36,,,,,,,,
666,courts,36,,,,,,,,
667,land registry,36,,,,,,,,
668,in,36,,,,,,,,
669,overtime,36,,,,,,,,
670,payments,36,,,,,,,,
671,booking theory test,36,,,,,,,,
672,childminder,36,,,,,,,,
673,speeding,36,,,,,,,,
674,adoption leave,36,,,,,,,,
675,job center,36,,,,,,,,
676,lay off,36,,,,,,,,
677,nursery,36,,,,,,,,
678,theory test booking,36,,,,,,,,
679,scotland,36,,,,,,,,
680,change test date,36,,,,,,,,
681,bank holiday,36,,,,,,,,
682,lost license,36,,,,,,,,
683,rest breaks,36,,,,,,,,
684,lost log book,36,,,,,,,,
685,county court,36,,,,,,,,
686,health and safety at work,36,,,,,,,,
687,security guard,36,,,,,,,,
688,form d1,35,,,,,,,,
689,helpline,35,,,,,,,,
690,refund,35,,,,,,,,
691,template,35,,,,,,,,
692,warmhome,35,,,,,,,,
693,funeral costs,35,,,,,,,,
694,appeal,35,,,,,,,,
695,milk tokens,35,,,,,,,,
696,inf2,35,,,,,,,,
697,starting work,35,,,,,,,,
698,prescriptions,35,,,,,,,,
699,dentist,35,,,,,,,,
700,state pensions,35,,,,,,,,
701,starting a business,35,,,,,,,,
702,forklift driver,35,,,,,,,,
703,penalty points,35,,,,,,,,
704,form,35,,,,,,,,
705,tv license,35,,,,,,,,
706,child protection,35,,,,,,,,
707,lpa002,35,,,,,,,,
708,births,35,,,,,,,,
709,national insurance card,35,,,,,,,,
710,returning to work,35,,,,,,,,
711,digital tachograph,35,,,,,,,,
712,sex discrimination law,35,,,,,,,,
713,theroy test,35,,,,,,,,
714,benefit enquiry line,35,,,,,,,,
715,mental health,35,,,,,,,,
716,local council,35,,,,,,,,
717,severe disability premium,34,,,,,,,,
718,parental responsibility,34,,,,,,,,
719,crisis loan number,34,,,,,,,,
720,strike,34,,,,,,,,
721,hgv driver,34,,,,,,,,
722,claim form,34,,,,,,,,
723,citizenship,34,,,,,,,,
724,customer service,34,,,,,,,,
725,hc2,34,,,,,,,,
726,universal credit,34,,,,,,,,
727,bar work,34,,,,,,,,
728,motorcycle,34,,,,,,,,
729,chan,34,,,,,,,,
730,attendance,34,,,,,,,,
731,bus passes,34,,,,,,,,
732,enter the gateway,34,,,,,,,,
733,fire safety,34,,,,,,,,
734,equal pay,34,,,,,,,,
735,community grant,34,,,,,,,,
736,dda,34,,,,,,,,
737,nursery nurse,33,,,,,,,,
738,renew my photo,33,,,,,,,,
739,support allowance,33,,,,,,,,
740,m,33,,,,,,,,
741,bereavement payment,33,,,,,,,,
742,return to work,33,,,,,,,,
743,insurance number,33,,,,,,,,
744,check,33,,,,,,,,
745,dvla contact number,33,,,,,,,,
746,change test,33,,,,,,,,
747,marriage certificate,33,,,,,,,,
748,funeral payment,33,,,,,,,,
749,passport office,33,,,,,,,,
750,address change,33,,,,,,,,
751,van driver,32,,,,,,,,
752,disability benefits,32,,,,,,,,
753,pay fine,32,,,,,,,,
754,back to work bonus,32,,,,,,,,
755,care allowance,32,,,,,,,,
756,insulation,32,,,,,,,,
757,driver card,32,,,,,,,,
758,number plate,32,,,,,,,,
759,sex offenders register,32,,,,,,,,
760,ds1500,32,,,,,,,,
761,administration,32,,,,,,,,
762,warmfront,32,,,,,,,,
763,re,32,,,,,,,,
764,c100,32,,,,,,,,
765,health,32,,,,,,,,
766,company car tax,32,,,,,,,,
767,complaint,32,,,,,,,,
768,pr1,32,,,,,,,,
769,passport photo,32,,,,,,,,
770,internship,32,,,,,,,,
771,retention,32,,,,,,,,
772,company car,32,,,,,,,,
773,h,32,,,,,,,,
774,will,32,,,,,,,,
775,teaching assistant,32,,,,,,,,
776,housing benifits,31,,,,,,,,
777,tax disk,31,,,,,,,,
778,sick leave,31,,,,,,,,
779,lone parents,31,,,,,,,,
780,legally binding contract terms,31,,,,,,,,
781,personal allowance,31,,,,,,,,
782,loft insulation,31,,,,,,,,
783,car registration,31,,,,,,,,
784,interview,31,,,,,,,,
785,shop assistant,31,,,,,,,,
786,lost provisional licence,31,,,,,,,,
787,catering assistant,31,,,,,,,,
788,court fine,31,,,,,,,,
789,race relations act,31,,,,,,,,
790,equality,31,,,,,,,,
791,surestart,31,,,,,,,,
792,self assesment,31,,,,,,,,
793,winterfuel,31,,,,,,,,
794,v14 form,31,,,,,,,,
795,driving tests,30,,,,,,,,
796,interest,30,,,,,,,,
797,passport fee,30,,,,,,,,
798,paper licence,30,,,,,,,,
799,hairdressing,30,,,,,,,,
800,incapacity benifit,30,,,,,,,,
801,e petitions,30,,,,,,,,
802,tesco,30,,,,,,,,
803,prison,30,,,,,,,,
804,forklift,30,,,,,,,,
805,prescription charges,30,,,,,,,,
806,email,30,,,,,,,,
807,tell us once,30,,,,,,,,
808,care work,30,,,,,,,,
809,birth,30,,,,,,,,
810,crb application form,30,,,,,,,,
811,b1,30,,,,,,,,
812,min wage,30,,,,,,,,
813,dvla swansea,30,,,,,,,,
814,digital tacho card,30,,,,,,,,
815,funeral payments,30,,,,,,,,
816,home office,30,,,,,,,,
817,ofsted,30,,,,,,,,
818,di,30,,,,,,,,
819,stopping distance,29,,,,,,,,
820,magistrate,29,,,,,,,,
