Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount,Plain English Description
MOJ,NOMS,22/06/2012,Gas,MOJ Shared Services NOMS Delivery,CORONA ENERGY RETAIL 4 LTD,4509547,1796663.13,Gas utility costs
MOJ,NOMS,18/06/2012,Resource Grants / Grant-in-Aid,Commercial Development Group,THE SAMARITANS,4506286,226006.50,Grant payments to voluntary and community sector organisations
MOJ,NOMS,11/06/2012,Resource Grants / Grant-in-Aid,Commercial Development Group,SOVA,4491025,42066.75,Grant payments to voluntary and community sector organisations
MOJ,NOMS,08/06/2012,Resource Grants / Grant-in-Aid,Commercial Development Group,PRAXIS COMMUNITY PROJECTS,4490914,30828.00,Grant payments to voluntary and community sector organisations
MOJ,NOMS,26/06/2012,Probation - Approved Premisis,Offender Management and Public Protection Group,LANGLEY HOUSE TRUST,4516331,118850.00,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,4514122,58416.67,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,ELIZABETH FRY APPROVED PREMISES,4514118,57916.67,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,RIPON HOUSE,4514123,57750.00,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,WEST LONDON MISSION REF: KATHERINE HUGHES HOUSE,4514129,54000.00,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,ST JOHN'S APPROVED PREMISES,4514128,53333.33,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,ADELAIDE HOUSE,4514114,52833.33,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,ST. VINCENT DE PAUL SOCIETY REF OZANAM HOUSE,4514125,52083.33,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,CARDIGAN HOUSE APPROVED PREMISE,4514117,51916.67,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,ASHLEY HOUSE,4514116,50250.00,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,4514120,48250.00,Grant to voluntary approved probation premises
MOJ,NOMS,25/06/2012,Probation - Approved Premisis,Voluntary Approved Premises,ST. VINCENT DE PAUL SOCIETY REF ST CHRISTOPHERS,4514127,47833.33,Grant to voluntary approved probation premises
MOJ,NOMS,12/06/2012,Contracted-out Library,Isle of Wight,ISLE OF WIGHT COUNCIL,4497206,41012.51,Library services supplied by an external provider
MOJ,NOMS,15/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,KIER CONSTRUCTION LTD,4498422,243000.00,Major maintenance on prison estate
MOJ,NOMS,06/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,WATES CONSTRUCTION LTD,4488697,215477.40,Major maintenance on prison estate
MOJ,NOMS,21/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,VINCI CONSTRUCTION UK LTD,4489120,190296.00,Major maintenance on prison estate
MOJ,NOMS,29/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,WATES CONSTRUCTION LTD,4493148,140640.00,Major maintenance on prison estate
MOJ,NOMS,06/06/2012,"New structural works, structural maintenance and equipment",TSS West Midlands Area,GLENBEIGH CONSTRUCTION LTD,4403937,119990.15,Major maintenance on prison estate
MOJ,NOMS,12/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,INTERSERVE CONSTRUCTION LTD,4484927,114000.00,Major maintenance on prison estate
MOJ,NOMS,13/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,KIER CONSTRUCTION LTD,4498421,90000.00,Major maintenance on prison estate
MOJ,NOMS,15/06/2012,"New structural works, structural maintenance and equipment",Moorland,GARSIDE & LAYCOCK,4503263,71689.20,Major maintenance on prison estate
MOJ,NOMS,22/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,VINCI CONSTRUCTION UK LTD,4511655,65682.83,Major maintenance on prison estate
MOJ,NOMS,20/06/2012,"New structural works, structural maintenance and equipment",Hull,SEDDON PROPERTY SERVICES LTD,4415364,56468.26,Major maintenance on prison estate
MOJ,NOMS,11/06/2012,"New structural works, structural maintenance and equipment",Isle of Wight,LORNE STEWART LTD,4490408,49508.72,Major maintenance on prison estate
MOJ,NOMS,20/06/2012,"New structural works, structural maintenance and equipment",TSS Kent and Sussex,GLENBEIGH CONSTRUCTION LTD,4400985,41752.12,Major maintenance on prison estate
MOJ,NOMS,29/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,VINCI CONSTRUCTION UK LTD,4489121,34800.00,Major maintenance on prison estate
MOJ,NOMS,12/06/2012,"New structural works, structural maintenance and equipment",East Midlands Estates,HERBERT BAGGALEY CONSTRUCTION LTD,4477866,32394.60,Major maintenance on prison estate
MOJ,NOMS,26/06/2012,"New structural works, structural maintenance and equipment",Pentonville,FOLKNOLL SERVICES,4285773,30660.00,Major maintenance on prison estate
MOJ,NOMS,28/06/2012,"New structural works, structural maintenance and equipment",TSS West Midlands Area,ROBERT POOLE CONSTRUCTION LTD,4519445,29972.40,Major maintenance on prison estate
MOJ,NOMS,12/06/2012,"New structural works, structural maintenance and equipment",Estates Capacity,VINCI CONSTRUCTION UK LTD,4450624,28455.60,Major maintenance on prison estate
MOJ,NOMS,07/06/2012,"New structural works, structural maintenance and equipment",TSS West Midlands Area,TECHNICAL SERVICES (SHROPSHIRE) LTD,4404949,25559.76,Major maintenance on prison estate
MOJ,NOMS,29/06/2012,Contracted-out Building Maintenance,Brixton,MITIE JUSTICE LTD,4521929,51380.71,Major maintenance on prison estate by an external provider
MOJ,NOMS,14/06/2012,Contracted-out Building Maintenance,Brixton,MITIE JUSTICE LTD,4492386,46612.70,Major maintenance on prison estate by an external provider
MOJ,NOMS,29/06/2012,Contracted-out Building Maintenance,Brixton,MITIE JUSTICE LTD,4521928,46612.70,Major maintenance on prison estate by an external provider
MOJ,NOMS,20/06/2012,Contracted-out Building Maintenance,Lindholme,SEDDON PROPERTY SERVICES LTD,4467569,42171.01,Major maintenance on prison estate by an external provider
MOJ,NOMS,20/06/2012,Contracted-out Building Maintenance,Brixton,CARILLION SERVICES 2006 LTD,4509382,26245.57,Major maintenance on prison estate by an external provider
MOJ,NOMS,14/06/2012,Contracted-out Building Maintenance,Estates Capacity,HOME OFFICE,4490383,-30803.90,Major maintenance on prison estate by an external provider
MOJ,NOMS,14/06/2012,General Maintenance Materials,Haverigg,WACO UK LIMITED,4501658,54778.72,Minor maintenance on prison estate
MOJ,NOMS,13/06/2012,General Maintenance Materials,DDC East of England,BIS ATG LTD,4498593,43103.04,Minor maintenance on prison estate
MOJ,NOMS,14/06/2012,General Maintenance Materials,Haverigg,WACO UK LIMITED,4501657,37914.97,Minor maintenance on prison estate
MOJ,NOMS,25/06/2012,Occupational Health Services,Organisational Development Group,ATOS ORIGIN IT SERVICES UK LTD,4484650,81507.45,Occupational health services for staff
MOJ,NOMS,15/06/2012,Rates and Ground Rents,Dartmoor,DUCHY OF CORNWALL,4499535,668153.80,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,20/06/2012,Rates and Ground Rents,MOJ Shared Services NOMS Delivery,DANMERC,4393052,192920.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,15/06/2012,Rates and Ground Rents,HOPS Payroll Charge,LONDON & CAPITAL PROPERTIES LTD,4499954,99924.90,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,GREENWICH COUNCIL,4412388,79268.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,DURHAM COUNTY COUNCIL,4412230,65646.67,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,MILTON KEYNES COUNCIL,4424732,57250.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,18/06/2012,Rates and Ground Rents,Director of Finance Office,KNIGHT FRANK LLP,4495990,54900.00,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,SWALE BOROUGH COUNCIL,4412412,54196.67,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,THE EAST RIDING OF YORKSHIRE COUNCIL,4412365,53433.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,LB OF HAMMERSMITH AND FULHAM,4412212,52978.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,CHERWELL DISTRICT COUNCIL,4412426,51143.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,MANCHESTER CITY COUNCIL,4437697,48853.33,"Payment of rents, Business Rates and Council Tax"
MOJ,NOMS,28/06/2012,Rates and Ground Rents,Estates Capacity,NORTHUMBERLAND COUNTY COUNCIL,4412262,46563.33,"Payment of rents, Business Rates and Council Tax"
