Department Family,Entity,Date,Expense type,Supplier,tran_ref,Amount,Description,Supplier postcode,Supplier type,HOME_CREDIT,HOME_DEBIT,Contract Number,Project Code,Expenditure type,Year,Period,Type
BIS,The UK Commission for Employment and Skills,08/04/2014 00:00,337710 - Technical Advice (Programme),SUR002 - SurveyShack (SSL) Limited,INV-10092,700,Set up database queries and download survey tool benchmarking data,SL4 4LE,SMALL - PVT LTD BY SHARES,0,700,PR:15520,P3D-B50-17,Programme,N,1,INV
BIS,The UK Commission for Employment and Skills,08/04/2014 00:00,351220 - IT Software Licences and Software Maintenance (Pro,SUR002 - SurveyShack (SSL) Limited,INV-10111,1200,Annual Licence,SL4 4LE,SMALL - PVT LTD BY SHARES,0,1200,PR:15650,P3D-B50-17,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,10/04/2014 00:00,351210 - IT Services (Programme),SUR002 - SurveyShack (SSL) Limited,INV_10093,1500,user support during SME Pilot @ œ250 p/mth July-Dec 2013,SL4 4LE,SMALL - PVT LTD BY SHARES,0,1500,PR:15651,P3D-B50-17,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,10/04/2014 00:00,337410 - Estates Consultancy and Professional Services (Pro,SUR002 - SurveyShack (SSL) Limited,INV_10093,625,"hosting Jan-Mar 2014 inc,",SL4 4LE,SMALL - PVT LTD BY SHARES,0,625,PR:15651,P3D-B50-17,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,10/04/2014 00:00,337610 - Public Relations & Marketing Advice & Services (Pr,ASP003 - Aspect Film and Video,1071,10000,What is IIP? Animation,BS1 5UG,SMALL - LTD LIAB PARTNER,0,10000,PR:15614,P3D-B50-17,Programme,N,1,INV
BIS,The UK Commission for Employment and Skills,10/04/2014 00:00,315110 - Non Grant-in-Aid Funding of Bodies (Departmental a,MIN001 - Mineral Products Association Limited,GIF3 PR13700,45000,Investment Stage 3 - Identify qualifications/training to be recognised,SW1V 1HU,MEDIUM - LTD GTEE NON-CHARITY,0,45000,PR:13700,P3C-S34-21,SSC,N,1,INV
BIS,The UK Commission for Employment and Skills,10/04/2014 00:00,621110 - Recoverable VAT Input,ASP003 - Aspect Film and Video,1071,2000,What is IIP? Animation,BS1 5UG,SMALL - LTD LIAB PARTNER,0,2000,PR:15614,P3D-B50-17,Programme,N,1,INV
BIS,The UK Commission for Employment and Skills,11/04/2014 00:00,315110 - Non Grant-in-Aid Funding of Bodies (Departmental a,COR004 - Cornwall Marine Network Ltd,GIF4 PR14034,75828,"Investment Stage 5 - Communication and engagement of Employers including visits by Skills Brokers; engagement events; regular press releases. E marketing campaign. 2,004 SME?s engaged in Skills Awareness raising activities by Skil",TR11 4SZ,SMALL - LTD GTEE NON-CHARITY,0,75828,PR:14034,P3C-S35-21,SSC,N,1,INV
BIS,The UK Commission for Employment and Skills,14/04/2014 00:00,315110 - Non Grant-in-Aid Funding of Bodies (Departmental a,GWE001 - GWE Business West Limited,GIF3 PR14043,147488,Investment Stage 5 - 2 x immersion events held - creative and digital; financial and professional. 40 further employer TNAS conducted in priority sectors. Priority Sector Skills marketing campaign launched. Hays and Business West Su,BS8 3RA,MEDIUM - LTD GTEE NON-CHARITY,0,147488,PR:14043,P3C-S34-21,SSC,N,1,INV
BIS,The UK Commission for Employment and Skills,14/04/2014 00:00,231110 - Telecommunications (Admin),KIN002 - Kingston Communications,RGF0000184500,1378.33,Ethernet monthly line rental 8/4/14 - 7/5/15,HU1 3RE,LARGE - PUB LTD COMPANY,0,1378.33,PR:14238,,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,14/04/2014 00:00,337510 - IT Systems Development (Programme),PRO010 - Project Advisory Consulting Ltd,PAC20140411,3600,6 days - Weeks commencing 31st MArch and 7th Arpil,SO22 5HZ,SMALL - PVT LTD BY SHARES,0,3600,PR:14603,P3D-B47-17,Programme,N,1,INV
BIS,The UK Commission for Employment and Skills,14/04/2014 00:00,621110 - Recoverable VAT Input,PRO010 - Project Advisory Consulting Ltd,PAC20140411,720,6 days - Weeks commencing 31st MArch and 7th Arpil,SO22 5HZ,SMALL - PVT LTD BY SHARES,0,720,PR:14603,P3D-B47-17,Programme,N,1,INV
BIS,The UK Commission for Employment and Skills,17/04/2014 00:00,216440 - Technical Advice / Services & Support (Admin),VOC002 - Vocus UK Ltd,23451,1050,Vocus public relations professional edition - news on demand. 01/4/14 - 31/03/15,EC1Y 4TW,MEDIUM - PVT LTD BY SHARES,0,1050,PR:15677,,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,24/04/2014 00:00,211110 - Salaries - Permanent (Admin),LEW003 - John Lewis Partnership,6051000394,6400,Renumeration for 1/4/14-31/3/15,SW1P 1BX,LARGE - PARTNERSHIP,0,6400,PR:11330,,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,25/04/2014 00:00,221380 - Hire of Conference Facilities (Admin),LSO001 - LSO Productions Ltd,SL2631,5750,Venue hire for the away day,EC1V 9NG,MEDIUM - LTD GTEE NON-CHARITY,0,5750,PR:15691,,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,25/04/2014 00:00,214370 - Other UK Travel & Subsistence (T&S UK) (Admin),BAR003 - Barclaycard,EXP-RS01031415061,1600,WP-THE ROYAL PARKS,NN4 7SG,LARGE - PUB LTD COMPANY,0,1600,,,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,25/04/2014 00:00,214810 - External Training (Admin),BAR003 - Barclaycard,EXP-RS01031415061,540,INSTITUTE OF PUBLIC RL,NN4 7SG,LARGE - PUB LTD COMPANY,0,540,,,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,25/04/2014 00:00,211130 - Salaries - Casuals (Admin),HAY002 - Hays,1004254896,1580,Temp - w/e 18/04/14,KT3 4QF,PUB LTD COMPANY,0,1580,PR:15507,,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,25/04/2014 00:00,221380 - Hire of Conference Facilities (Admin),LSO001 - LSO Productions Ltd,SL2631,1150,Venue hire for the away day,EC1V 9NG,MEDIUM - LTD GTEE NON-CHARITY,0,1150,PR:15691,,Running Cost,N,1,INV
BIS,The UK Commission for Employment and Skills,30/04/2014 00:00,315110 - Non Grant-in-Aid Funding of Bodies (Departmental a,CON001 - ConstructionSkills,300312 C SF PR12659,5400,23 - Level 2 Specialist Concrete Occupations ((Construction) Including SCQF credit/levelling and core skill signposting,PE13 6RH,LTD GTEE NON-CHARITY,0,5400,PR:14082,P2A-S30-01,SSC,N,1,INV
BIS,The UK Commission for Employment and Skills,30/04/2014 00:00,315110 - Non Grant-in-Aid Funding of Bodies (Departmental a,CON001 - ConstructionSkills,300312 C SF PR12659,2050,24 - Level 2 Floor Covering (Construction) Including SCQF credit/levelling and core skill signposting,PE13 6RH,LTD GTEE NON-CHARITY,0,2050,PR:14082,P2A-S30-01,SSC,N,1,INV
BIS,The UK Commission for Employment and Skills,30/04/2014 00:00,315110 - Non Grant-in-Aid Funding of Bodies (Departmental a,CON001 - ConstructionSkills,300312 C SF PR12659,1280,24ii - Level 3 Floor Covering (Construction) Including SCQF credit/levelling and core skill signposting,PE13 6RH,LTD GTEE NON-CHARITY,0,1280,PR:14082,P2A-S30-01,SSC,N,1,INV
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* - Payment made in April 2014 but entered onto the UK Commission's finance system in February 2014,,,,,,,,,,,,,,,,,
** - Payment made in April 2014 but entered onto the UK Commission's finance system in March 2014,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sole traders and personal data,,,,,,,,,,,,,,,,,
"Please note that information about the business of a sole trader amounts to personal data. Therefore, in order to comply with the UK Commission's duties under the Data Protection Act 1998, the supplier name and postcode in this spreadsheet have been withheld. ",,,,,,,,,,,,,,,,,
