Energy and nutrient intakes derived from food & drink eaten out by ethnic origin of household reference person Average per person per day (a) Asian & Asian British(h),Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,13,Vitamin A:,Carotene,?g,428,441,417,398,396,445,361,359,547,415,379,308,328
,14,Vitamin A:,Retinol equivalent,?g,122,122,117,108,108,122,97,99,143,114,105,87,91
,21,Vitamin D,,?g,0.31,0.34,0.33,0.30,0.29,0.32,0.26,0.28,0.34,0.35,0.29,0.27,0.28
,46,Vitamin E,,mg,1.98,2.05,1.91,1.75,1.70,1.83,1.77,1.66,1.95,1.91,1.59,1.51,1.63
Energy and nutrient intakes derived from food & drink eaten out by ethnic origin of household reference person Average per person per day (a) Black & Black British,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,357,339,289,248,311,241,290,258,209,339,162,230,224
,9,,,MJ,1.5,1.4,1.2,1.0,1.3,1.0,1.2,1.1,0.9,1.4,0.7,1.0,0.9
,8,Energy from all sources excluding alcohol,,kcal,348,327,280,241,306,238,285,255,203,336,159,227,223
,1,Protein,,g,13.6,12.7,10.8,9.7,11.8,9.3,11.2,10.3,7.4,13.8,6.3,9.1,8.9
,3,Fat,,g,17,16,14,12,15,12,14,13,10,17,7,11,11
,4,Fatty acids:,Saturates,g,5.0,4.7,4.1,3.5,4.5,3.4,4.1,3.6,3.0,4.9,2.0,3.2,3.0
,5,Fatty acids:,Mono-unsaturates,g,7.2,6.9,5.7,5.1,6.4,5.1,6.1,5.6,4.1,7.4,3.1,4.9,4.9
,6,Fatty acids:,Poly-unsaturates,g,3.6,3.3,2.8,2.5,3.0,2.5,3.1,2.7,2.0,3.7,1.6,2.5,2.5
,47,Cholesterol,,mg,52,49,42,38,44,38,44,40,30,55,22,37,34
,7,Carbohydrate (b),,g,38,35,31,26,33,25,30,26,22,34,18,24,23
,31,,Total sugars,g,13,12,11,9,12,8,10,8,9,9,5,8,7
,32,,Non-milk extrinsic sugars,g,10,8,8,7,8,6,7,6,7,5,4,5,4
,24,,Starch,g,25,23,20,17,21,17,20,18,14,25,13,16,16
,35,Fibre (c),,g,2.6,2.6,2.1,1.8,2.3,2.0,2.3,2.0,1.5,2.9,1.2,1.7,1.8
,33,Alcohol,,g,1.3,1.8,1.3,1.1,0.7,0.5,0.7,0.4,1.0,0.5,0.4,0.5,0.2
,10,Calcium,,mg,99,95,80,66,89,63,81,71,57,93,51,68,61
,11,Iron,,mg,1.7,1.6,1.3,1.2,1.4,1.2,1.5,1.3,0.9,1.7,0.9,1.1,1.2
,39,Zinc,,mg,1.5,1.5,1.2,1.1,1.4,1.1,1.3,1.2,0.8,1.6,0.7,1.0,1.0
,37,Magnesium,,mg,39,39,32,28,34,27,32,28,22,39,17,25,25
,23,Sodium (d),,g,0.47,0.43,0.37,0.32,0.40,0.31,0.40,0.36,0.26,0.46,0.23,0.32,0.31
,36,Potassium,,g,0.55,0.54,0.46,0.38,0.48,0.39,0.45,0.40,0.30,0.58,0.23,0.34,0.35
,15,Thiamin,,mg,0.32,0.32,0.26,0.22,0.28,0.24,0.27,0.24,0.18,0.35,0.14,0.20,0.21
,16,Riboflavin,,mg,0.19,0.19,0.16,0.14,0.17,0.14,0.16,0.14,0.12,0.20,0.09,0.13,0.12
,19,Niacin Equivalent,,mg,6.2,5.9,4.9,4.4,5.3,4.2,5.1,4.6,3.3,6.1,2.8,4.1,4.0
,40,Vitamin B6,,mg,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.5,0.2,0.3,0.3
,41,Vitamin B12,,?g,0.8,0.8,0.6,0.6,0.7,0.6,0.7,0.6,0.5,0.9,0.3,0.5,0.5
,22,Folate,,?g,61,59,48,42,51,43,50,43,33,64,27,36,38
,20,Vitamin C,,mg,14,16,12,10,13,10,12,11,8,16,6,9,9
,12,Vitamin A:,Retinol,?g,63,60,49,50,52,45,52,49,36,67,23,38,39
,13,Vitamin A:,Carotene,?g,631,613,480,438,536,485,541,462,349,734,227,357,421
,14,Vitamin A:,Retinol equivalent,?g,168,162,129,123,142,126,142,126,95,190,61,98,109
,21,Vitamin D,,?g,0.45,0.41,0.37,0.32,0.37,0.31,0.39,0.33,0.27,0.46,0.17,0.32,0.30
,46,Vitamin E,,mg,2.50,2.29,1.98,1.68,2.07,1.68,2.17,1.87,1.36,2.48,1.07,1.71,1.69
Energy and nutrient intakes derived from food & drink eaten out by ethnic origin of household reference person Average per person per day (a) Other Ethnic groups(h),Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,444,411,309,344,294,319,311,254,252,337,262,216,240
,9,,,MJ,1.9,1.7,1.3,1.4,1.2,1.3,1.3,1.1,1.1,1.4,1.1,0.9,1.0
,8,Energy from all sources excluding alcohol,,kcal,433,405,302,335,286,311,302,249,248,334,254,211,235
,1,Protein,,g,17.7,16.1,11.6,13.8,11.6,12.5,11.8,9.8,10.0,13.6,10,8.4,9.8
,3,Fat,,g,22,21,15,16,14,16,15,12,12,16,13,11,12
,4,Fatty acids:,Saturates,g,6.4,5.8,4.5,4.8,4.1,4.2,4.5,3.5,3.5,4.6,3.7,3.3,3.3
,5,Fatty acids:,Mono-unsaturates,g,9.5,9.0,6.1,6.9,6.2,6.9,6.3,5.3,5.2,7.0,5.4,4.4,5.0
,6,Fatty acids:,Poly-unsaturates,g,4.6,4.6,3.1,3.4,3.2,3.6,3.2,2.6,2.7,3.6,2.6,2.1,2.5
,47,Cholesterol,,mg,67,64,49,51,44,47,47,36,38,50,39,36,38
,7,Carbohydrate (b),,g,44,41,33,35,29,32,32,27,26,35,27,22,24
,31,,Total sugars,g,13,12,12,12,8,10,11,9,8,9,8,8,7
,32,,Non-milk extrinsic sugars,g,8,8,9,8,5,7,7,6,5,6,6,6,4
,24,,Starch,g,31,29,21,24,21,22,21,18,18,26,18,14,17
,35,Fibre (c),,g,3.6,3.3,2.1,2.7,2.4,2.5,2.4,1.9,2.0,2.6,2.1,1.6,1.9
,33,Alcohol,,g,1.5,0.9,1.1,1.2,1.1,1.1,1.4,0.7,0.6,0.5,1.1,0.7,0.8
,10,Calcium,,mg,120,113,95,100,83,88,90,69,69,100,71,62,72
,11,Iron,,mg,2.2,2.2,1.4,1.8,1.6,1.8,1.6,1.4,1.3,1.9,1.4,1.0,1.3
,39,Zinc,,mg,2.1,1.8,1.3,1.5,1.3,1.4,1.4,1.1,1.1,1.6,1.2,1.0,1.1
,37,Magnesium,,mg,52,45,33,40,34,35,35,27,28,38,30,24,28
,23,Sodium (d),,g,0.60,0.57,0.41,0.46,0.40,0.45,0.42,0.34,0.34,0.48,0.35,0.28,0.33
,36,Potassium,,g,0.74,0.64,0.46,0.55,0.47,0.47,0.49,0.36,0.40,0.51,0.42,0.33,0.38
,15,Thiamin,,mg,0.44,0.37,0.27,0.32,0.28,0.28,0.29,0.21,0.24,0.30,0.25,0.19,0.22
,16,Riboflavin,,mg,0.26,0.23,0.18,0.20,0.17,0.17,0.18,0.13,0.14,0.18,0.14,0.12,0.14
,19,Niacin Equivalent,,mg,8.1,7.1,5.2,6.3,5.2,5.7,5.4,4.4,4.5,6.1,4.6,3.8,4.4
,40,Vitamin B6,,mg,0.7,0.6,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.5,0.4,0.3,0.3
,41,Vitamin B12,,?g,1.2,1.0,0.7,0.8,0.7,0.7,0.7,0.5,0.6,0.8,0.6,0.5,0.6
,22,Folate,,?g,80,69,49,61,51,52,54,40,45,55,47,36,41
,20,Vitamin C,,mg,20,17,11,14,12,12,14,10,11,13,11,9,10
,12,Vitamin A:,Retinol,?g,93,83,57,59,52,52,57,37,46,54,46,39,43
,13,Vitamin A:,Carotene,?g,902,708,416,639,530,545,554,362,477,567,504,356,448
,14,Vitamin A:,Retinol equivalent,?g,243,201,126,166,140,142,149,97,126,149,130,99,118
,21,Vitamin D,,?g,0.60,0.58,0.49,0.49,0.40,0.47,0.41,0.31,0.41,0.43,0.34,0.35,0.35
,46,Vitamin E,,mg,3.18,3.11,2.25,2.42,2.20,2.48,2.24,1.80,1.92,2.44,1.83,1.50,1.77
Energy and nutrient intakes derived from food & drink eaten out by ethnic origin of household reference person Average per person per day (a) Mixed,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,318,336,231,397,349,356,377,376,201,380,180,276,216
,9,,,MJ,1.3,1.4,1.0,1.7,1.5,1.5,1.6,1.6,0.8,1.6,0.8,1.2,0.9
,8,Energy from all sources excluding alcohol,,kcal,302,324,218,368,332,349,364,367,188,366,174,266,212
,1,Protein,,g,11.4,13.1,8.4,14.4,13.0,13.1,14.5,14.7,7.3,14.1,6.7,10.7,8.5
,3,Fat,,g,14,17,11,18,17,17,18,18,9,18,8,13,10
,4,Fatty acids:,Saturates,g,4.6,5.1,3.2,5.2,5.0,5.0,5.4,5.6,2.7,5.3,2.1,3.9,2.9
,5,Fatty acids:,Mono-unsaturates,g,5.9,7.0,4.4,7.8,6.8,7.2,7.6,7.8,3.8,8.0,3.4,5.6,4.3
,6,Fatty acids:,Poly-unsaturates,g,3.0,3.3,2.2,3.8,3.5,3.6,3.7,3.8,1.9,3.8,1.8,2.8,2.2
,47,Cholesterol,,mg,49,55,32,60,54,55,56,66,29,57,20,42,33
,7,Carbohydrate (b),,g,34,33,24,40,35,38,38,38,21,39,20,28,23
,31,,Total sugars,g,14,10,9,14,13,13,12,11,8,13,5,8,7
,32,,Non-milk extrinsic sugars,g,10,6,7,10,9,10,8,7,6,9,4,5,5
,24,,Starch,g,20,23,15,26,22,25,26,27,13,25,15,20,16
,35,Fibre (c),,g,2.3,2.7,1.6,2.9,2.5,2.6,2.9,3.1,1.3,2.8,1.3,2.2,1.7
,33,Alcohol,,g,2.4,1.7,1.8,4.2,2.4,1.1,1.9,1.3,1.8,2.0,1.0,1.5,0.6
,10,Calcium,,mg,96,99,64,104,103,102,111,109,55,104,55,79,63
,11,Iron,,mg,1.5,1.7,1.1,1.8,1.6,1.8,1.9,1.9,1.0,2.0,1.1,1.4,1.2
,39,Zinc,,mg,1.3,1.5,1.0,1.7,1.5,1.5,1.6,1.7,0.9,1.6,0.7,1.2,0.9
,37,Magnesium,,mg,36,40,27,47,39,38,43,44,23,41,18,33,24
,23,Sodium (d),,g,0.40,0.46,0.31,0.51,0.47,0.48,0.51,0.52,0.26,0.51,0.27,0.37,0.30
,36,Potassium,,g,0.49,0.55,0.37,0.62,0.51,0.53,0.58,0.61,0.29,0.56,0.22,0.46,0.32
,15,Thiamin,,mg,0.27,0.31,0.19,0.36,0.30,0.31,0.33,0.37,0.17,0.33,0.13,0.27,0.19
,16,Riboflavin,,mg,0.19,0.21,0.13,0.24,0.21,0.22,0.22,0.22,0.11,0.21,0.08,0.16,0.12
,19,Niacin Equivalent,,mg,5.3,6.0,4.0,7.2,6.1,5.9,6.7,6.6,3.5,6.4,3.1,5.0,3.8
,40,Vitamin B6,,mg,0.4,0.5,0.3,0.6,0.5,0.5,0.5,0.6,0.3,0.5,0.2,0.4,0.3
,41,Vitamin B12,,?g,0.7,0.9,0.5,0.9,0.8,1.2,0.9,1.0,0.5,0.9,0.3,0.7,0.5
,22,Folate,,?g,55,60,38,76,57,58,63,70,33,62,24,51,36
,20,Vitamin C,,mg,14,14,8,16,13,14,16,17,8,15,4,12,9
,12,Vitamin A:,Retinol,?g,58,64,39,64,60,159,64,77,29,66,19,52,34
,13,Vitamin A:,Carotene,?g,562,641,359,672,578,568,626,724,264,665,181,535,340
,14,Vitamin A:,Retinol equivalent,?g,152,171,99,176,157,254,168,197,73,177,49,141,91
,21,Vitamin D,,?g,0.43,0.45,0.33,0.46,0.45,0.44,0.52,0.54,0.26,0.51,0.18,0.39,0.33
,46,Vitamin E,,mg,2.21,2.36,1.55,2.52,2.44,2.49,2.55,2.68,1.35,2.66,1.15,1.95,1.52
Energy and nutrient intakes derived from food & drink eaten out by ethnic origin of household reference person Average per person per day (a) White,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,307,307,303,290,280,277,264,248,251,253,239,219,219
,9,,,MJ,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.0,1.0,1.1,1.0,0.9,0.9
,8,Energy from all sources excluding alcohol,,kcal,277,277,274,264,253,251,242,228,229,234,221,202,205
,1,Protein,,g,10.3,10.3,10.3,10.0,9.7,9.7,9.3,8.8,8.9,9.3,8.7,8.1,8.1
,3,Fat,,g,13,13,13,12,12,12,12,11,11,11,11,10,10
,4,Fatty acids:,Saturates,g,4.2,4.2,4.1,3.9,3.8,3.7,3.6,3.4,3.4,3.5,3.3,3.0,3.0
,5,Fatty acids:,Mono-unsaturates,g,5.3,5.3,5.3,5.1,4.9,4.9,4.8,4.5,4.5,4.7,4.4,4.0,4.0
,6,Fatty acids:,Poly-unsaturates,g,2.6,2.7,2.6,2.6,2.4,2.5,2.4,2.2,2.3,2.3,2.2,2.0,2.0
,47,Cholesterol,,mg,41,41,41,40,39,38,38,36,36,37,35,32,32
,7,Carbohydrate (b),,g,32,32,31,30,29,28,27,25,25,25,24,22,23
,31,,Total sugars,g,14,13,13,12,12,11,10,10,10,9,9,8,8
,32,,Non-milk extrinsic sugars,g,11,11,11,10,9,9,8,8,8,7,7,6,6
,24,,Starch,g,18,18,18,18,17,17,16,15,15,16,15,14,14
,35,Fibre (c),,g,1.9,1.9,1.9,1.8,1.7,1.8,1.7,1.6,1.6,1.7,1.6,1.4,1.5
,33,Alcohol,,g,4.3,4.2,4.1,3.8,3.8,3.6,3.2,2.9,3.0,2.8,2.7,2.3,2.1
,10,Calcium,,mg,88,88,87,84,81,80,77,73,73,74,71,65,65
,11,Iron,,mg,1.3,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.2,1.1,1.1
,39,Zinc,,mg,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.1,1.0,0.9,0.9
,37,Magnesium,,mg,37,36,35,34,33,33,31,29,29,29,28,26,25
,23,Sodium (d),,g,0.36,0.37,0.37,0.36,0.35,0.35,0.34,0.32,0.32,0.33,0.31,0.29,0.29
,36,Potassium,,g,0.45,0.44,0.44,0.41,0.40,0.40,0.38,0.36,0.36,0.38,0.35,0.32,0.32
,15,Thiamin,,mg,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.19,0.20,0.21,0.19,0.18,0.18
,16,Riboflavin,,mg,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13
,19,Niacin Equivalent,,mg,5.3,5.3,5.3,5.1,5.0,4.9,4.7,4.4,4.4,4.5,4.3,4.0,4.0
,40,Vitamin B6,,mg,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
,41,Vitamin B12,,?g,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5
,22,Folate,,?g,51,49,49,47,45,45,43,40,40,42,39,35,35
,20,Vitamin C,,mg,11,10,10,9,9,9,9,8,9,9,8,8,8
,12,Vitamin A:,Retinol,?g,54,56,55,52,51,50,47,46,45,46,45,40,39
,13,Vitamin A:,Carotene,?g,468,401,392,383,373,387,367,339,346,380,333,302,302
,14,Vitamin A:,Retinol equivalent,?g,132,123,121,116,113,114,108,102,103,109,101,90,90
,21,Vitamin D,,?g,0.37,0.38,0.38,0.37,0.36,0.35,0.35,0.33,0.33,0.34,0.32,0.31,0.31
,46,Vitamin E,,mg,1.94,1.93,1.91,1.84,1.78,1.78,1.72,1.62,1.62,1.67,1.57,1.44,1.46
