Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,WINTER PRESSURES,AGE UK ISLE OF WIGHT,10896009,"43,490.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,WINTER PRESSURES,AGE UK ISLE OF WIGHT,10896012,"-43,935.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Non NHS Payables <1Yr,BALANCE SHEET,COLVILLE CARE LTD,10896020,"25,790.90"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CARE UK CLINICAL SERVICES LTD,10896031,"39,893.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Sterile Products,PRESCRIBING,AMCARE LTD,10913763,"40,065.11"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,WINTER PRESSURES,ISLE OF WIGHT COUNCIL,10986399,"70,320.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH CSU,11021874,"34,594.65"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS SOUTH CSU,11021874,"50,917.35"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Sterile Products,PRESCRIBING,AMCARE LTD,11021951,"27,036.16"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,11065543,"-72,502.80"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,11065544,"139,402.54"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,11065544,"1,394.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,11069523,"10,566,895.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,11081962,"51,802.28"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,11110375,"79,062.26"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,11110382,"76,087.28"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Computer Software/License,ADMINISTRATION & BUSINESS SUPPORT,SSENTIF LTD,11110393,"30,000.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,11110406,"-76,087.28"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,11110412,"-79,062.26"
