Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,15/12/2010,"Property, Plant and Equipment",Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001345           ,73827.96
Department of Health,Care Quality Commission,15/12/2010,Maintenance / FM,Finance and Corporate Services Directorate,Europa,EFT8001357           ,51106.65
Department of Health,Care Quality Commission,17/12/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001411           ,46967.86
Department of Health,Care Quality Commission,17/12/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001411           ,11444.76
Department of Health,Care Quality Commission,17/12/2010,Agency,Governance and Legal,Carlisle Managed Solutions,EFT8001411           ,939.28
Department of Health,Care Quality Commission,17/12/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001411           ,1725.64
Department of Health,Care Quality Commission,17/12/2010,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001411           ,27207.47
Department of Health,Care Quality Commission,17/12/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001411           ,7917.99
Department of Health,Care Quality Commission,17/12/2010,Agency,Registration,Carlisle Managed Solutions,EFT8001411           ,17278.01
Department of Health,Care Quality Commission,17/12/2010,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001411           ,10242.96
Department of Health,Care Quality Commission,17/12/2010,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001411           ,14650.32
Department of Health,Care Quality Commission,17/12/2010,Hotels and Conferences,Commission Wide,Expotel,EFT8001415           ,213213.33
Department of Health,Care Quality Commission,21/12/2010,Publishing & Branding,Strategic Marketing & Communications Directorate,Nunwood Consulting Ltd,EFT8001447           ,50560.25
Department of Health,Care Quality Commission,21/12/2010,IT Managed Service,Registration,Specialist Computer Centres plc   ,EFT8001451           ,33384.75
Department of Health,Care Quality Commission,22/12/2010,Contracted Lawyers / Legal Fees,Governance and Legal,Anthony Collins Solicitors,EFT8001462           ,26052.87
Department of Health,Care Quality Commission,22/12/2010,Consultation Mechanism,Intelligence Directorate,Picker Institute Europe,EFT8001473           ,122285.84
Department of Health,Care Quality Commission,22/12/2010,Intangible Assets,Finance and Corporate Services Directorate,Sapient,EFT8001476           ,94329.01
Department of Health,Care Quality Commission,24/12/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001484           ,50775.79
Department of Health,Care Quality Commission,24/12/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001484           ,20555.52
Department of Health,Care Quality Commission,24/12/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001484           ,941.03
Department of Health,Care Quality Commission,24/12/2010,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001484           ,29187.79
Department of Health,Care Quality Commission,24/12/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001484           ,6768.69
Department of Health,Care Quality Commission,24/12/2010,Agency,Registration,Carlisle Managed Solutions,EFT8001484           ,16561.55
Department of Health,Care Quality Commission,24/12/2010,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001484           ,5588.6
Department of Health,Care Quality Commission,24/12/2010,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001484           ,15311.63
Department of Health,Care Quality Commission,30/12/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001499           ,19942.36
Department of Health,Care Quality Commission,30/12/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001499           ,8519.45
Department of Health,Care Quality Commission,30/12/2010,Agency,Governance and Legal,Carlisle Managed Solutions,EFT8001499           ,564.68
Department of Health,Care Quality Commission,30/12/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001499           ,326.61
Department of Health,Care Quality Commission,30/12/2010,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001499           ,30240.14
Department of Health,Care Quality Commission,30/12/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001499           ,7447.41
Department of Health,Care Quality Commission,30/12/2010,Agency,Registration,Carlisle Managed Solutions,EFT8001499           ,11653.48
Department of Health,Care Quality Commission,30/12/2010,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001499           ,2248.95
Department of Health,Care Quality Commission,30/12/2010,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001499           ,15757.9
Department of Health,Care Quality Commission,30/12/2010,IT Managed Service,Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8001500           ,556714.61
Department of Health,Care Quality Commission,30/12/2010,IT Telecommunications,Finance and Corporate Services Directorate,Vodafone Corporate,EFT8001511           ,26964.25
Department of Health,Care Quality Commission,31/12/2010,Rates,Commission Wide,Newcastle City Council,"253,251",19148
Department of Health,Care Quality Commission,31/12/2010,Rates,Commission Wide,Leeds City Council,"253,257",8363
Department of Health,Care Quality Commission,31/12/2010,Rates,Commission Wide,Bristol City Council,"253,258",6574
Department of Health,Care Quality Commission,31/12/2010,Rates,Commission Wide,Preston City Council,"253,259",4388
