Organisation,Merchant,MCC,Date Posted,Settlement Amount,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DOD`S PARLIAMENTARY CO,7399,07/10/2009,"£10,005.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DON RUFFLES LTD,5943,21/09/2009,£660.07,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,EAST LODGE COUNTRY HOUSE,7011,19/10/2009,£900.00,Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ELIESHA TRAINING,8220,02/10/2009,"£5,997.25",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ELIESHA TRAINING,8220,02/10/2009,"£8,326.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ELIESHA TRAINING,8220,02/10/2009,"£9,769.25",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,EMAP EVENTS,2741,07/10/2009,£504.85,Printing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,END DESIGN LTD,5099,05/10/2009,"£1,660.60",Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ESD SIMULATION TRA,8999,19/10/2009,"£1,817.00",Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FISCHER CONNECTORS LTD,5969,24/09/2009,£538.43,Research Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FISCHER CONNECTORS LTD,5969,28/09/2009,£568.79,Research Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,14/10/2009,£801.78,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,29/09/2009,£823.06,Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,23/09/2009,"£1,472.43",Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,FLEXIFORM BUS FURNITUR,5712,23/09/2009,"£1,472.43",Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,GEORGE HOTEL,7011,30/09/2009,"£2,435.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,HILTON HOTEL,3504,15/10/2009,"£3,630.60",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,HILTON HOTEL,3504,24/09/2009,"£8,098.80",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,HILTON HOTEL,3504,28/09/2009,"£8,268.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,HILTON HOTEL,3504,08/10/2009,"£8,695.30",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ICHEME,8398,02/10/2009,"£2,221.86",Professional Membership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ICHEME,8398,21/09/2009,£504.56,Professional Membership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ICHEME,8398,16/10/2009,£635.38,Professional Membership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,IDC TECHNOLOGIES P,8299,24/09/2009,"£1,656.00",Engineering Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,IT SERVICE MANAGEMENT,8999,21/09/2009,"£1,871.63",Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,KONECRANES SERVICES LT,7399,23/09/2009,£633.99,Research Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,LIVERPOOL HOPE ACCOMOD,8220,07/10/2009,"£1,395.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MACE & JONES,8111,02/10/2009,£603.75,Legal Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MANOR HOUSE HOTEL,7011,15/10/2009,"£2,932.73",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MANOR HOUSE HOTEL,7011,07/10/2009,"£4,777.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MARKS & SPENCER,5411,06/10/2009,"£1,000.00",Gift vouchers for the people completing research studies for 3 HSE Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MERCURE DUNKENHAIGH HOTEL,7011,02/10/2009,"£8,930.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,MERSEY SOUND PRODUCTIO,7399,09/10/2009,£601.75,Miscellaneous Industrial/Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,N Y S CORPORATE,4722,28/09/2009,£585.00,Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,N Y S CORPORATE,4722,13/10/2009,"£4,039.50",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,N Y S CORPORATE,4722,29/09/2009,"£4,138.89",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,N Y S CORPORATE,4722,12/10/2009,"£9,281.49",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,08/10/2009,£999.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,08/10/2009,"£1,000.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,12/10/2009,"£1,045.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,14/10/2009,"£1,200.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,28/09/2009,"£1,320.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,NATIONAL SCHOOL OF GOVERN,7399,30/09/2009,"£3,815.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,OLD HALL HOTEL LTD,7011,05/10/2009,"£1,255.55",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,OLD HALL HOTEL LTD,7011,25/09/2009,"£1,928.50",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,OPTIVISION YORKSHI,8099,19/10/2009,£545.10,Medical Supplies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,PARTNERSHIP MEDIA,5965,22/09/2009,£517.50,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,PETROFAC TRAINING LTD,8299,22/09/2009,£731.40,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,R S COMP/INTERNET,5065,14/10/2009,£539.38,Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,R S COMP/INTERNET,5065,09/10/2009,£950.19,Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,RAMADA H&R K'MSTER,7011,13/10/2009,£632.00,Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,RAMADA INNS,3637,29/09/2009,"£2,966.50",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,RAMADA LEEDS NORTH,7011,08/10/2009,"£3,020.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,RAMADA PLAZA,7011,14/10/2009,"£3,780.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,RAMADA SOLIHULL/BI,7011,13/10/2009,"£4,200.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,RIBBLEENVIR,5085,02/10/2009,"£1,417.24",Research Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SAFEGUARDSY,8999,06/10/2009,£847.84,Passes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SAFEGUARDSY,8999,06/10/2009,£920.00,Passes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SERCO ASSURANCE,8220,16/10/2009,"£2,059.65",Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SGAS,8299,19/10/2009,£897.00,Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SGAS,8299,12/10/2009,"£1,121.25",Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SIGMA-ALDRICH COMP,5169,21/09/2009,£934.38,Chemical and Biochemical Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SITEBOX LIMITED,5085,05/10/2009,£631.35,Research Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SKC LIMITED,5085,24/09/2009,£925.06,Air Sampling Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,SPG MEDIA GROUP PLC,5964,13/10/2009,£905.29,Event Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ST HELENS COLLEGE,8220,21/09/2009,"£1,400.00",Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,STERILIN LTD,7399,21/09/2009,£509.67,Silicone Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,THE WEST GROUP LTD,5085,20/10/2009,£695.60,Research Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF LON,8220,25/09/2009,"£9,732.00",Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,UNIVERSITY OF SALFORD CAS,8299,06/10/2009,£999.90,Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,VARIAN LIMITED,5047,20/10/2009,"£1,164.26",Medical Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,WENSUM CORPORATEWEAR L,5137,06/10/2009,"£1,117.80",Personal Protective Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,WWW.DAVPAC.CO.UK,5943,01/10/2009,£562.12,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,WWW.ERGONOMICS.ORG.UK,8299,16/10/2009,£517.50,Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,WWW.OMNIINSTRUMENTS.CO.U,5999,19/10/2009,"£3,613.76",Data Logger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,08/10/2009,£531.33,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,29/09/2009,£597.74,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,29/09/2009,£638.25,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,19/10/2009,£654.62,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,07/10/2009,£779.50,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,05/10/2009,£819.62,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,16/10/2009,£849.45,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,19/10/2009,£868.54,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,19/10/2009,£869.12,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,19/10/2009,£869.12,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,08/10/2009,£912.00,Computer Consumables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,XMA LTD,7372,08/10/2009,£927.20,Computer Consumables
Health and Safety Executive,XMA LTD,7372,09/10/2009,£933.65,Computer Consumables
Health and Safety Executive,XMA LTD,7372,08/10/2009,£978.77,Computer Consumables
Health and Safety Executive,XMA LTD,7372,14/10/2009,£982.74,Computer Consumables
Health and Safety Executive,XMA LTD,7372,14/10/2009,"£1,048.43",Computer Consumables
Health and Safety Executive,XMA LTD,7372,19/10/2009,"£1,089.58",Computer Consumables
Health and Safety Executive,XMA LTD,7372,23/09/2009,"£1,130.69",Computer Consumables
Health and Safety Executive,XMA LTD,7372,23/09/2009,"£1,138.02",Computer Consumables
Health and Safety Executive,XMA LTD,7372,08/10/2009,"£1,146.21",Computer Consumables
Health and Safety Executive,XMA LTD,7372,16/10/2009,"£1,171.45",Computer Consumables
Health and Safety Executive,XMA LTD,7372,25/09/2009,"£1,191.47",Computer Consumables
Health and Safety Executive,XMA LTD,7372,19/10/2009,"£1,194.88",Computer Consumables
Health and Safety Executive,XMA LTD,7372,13/10/2009,"£1,212.08",Computer Consumables
Health and Safety Executive,XMA LTD,7372,14/10/2009,"£1,215.58",Computer Consumables
Health and Safety Executive,XMA LTD,7372,13/10/2009,"£1,242.44",Computer Consumables
Health and Safety Executive,XMA LTD,7372,14/10/2009,"£1,258.32",Computer Consumables
Health and Safety Executive,XMA LTD,7372,22/09/2009,"£1,304.57",Computer Consumables
Health and Safety Executive,XMA LTD,7372,07/10/2009,"£1,323.01",Computer Consumables
Health and Safety Executive,XMA LTD,7372,19/10/2009,"£1,439.50",Computer Consumables
