Contract ID,Project ID,Project Name,Central Government Department,Responsible Government Body,Latest Business Case Assumed Contract Start Date,Latest Forecast Date for Contract Start,Current Approved Contract End/Expiry Date,"If existing, Original Contract Date","If existing, Latest Contract Revision Date",Prime ICT Supplier Name,Prime ICT Supplier Capability Type,Other Supplier Name 1,Other Supplier Capability Type 1,Other Supplier Name 2,Other Supplier Capability Type 2,Other Supplier Name 3,Other Supplier Capability Type 3,Other Supplier Name 4,Other Supplier Capability Type 4,Date of Current Business case,Status of Current Business case,Prime ICT Supplier - Whole Life Costs - CDEL (£'000),Prime ICT Supplier - Whole Life Costs - RDEL(£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - CDEL (£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - RDEL (£'000),Prime ICT Supplier - In Year 10/11 - CDEL (£'000),Prime ICT Supplier - In Year 10/11 - RDEL (£'000),Prime ICT Supplier - SR Period 11/12 - CDEL (£'000),Prime ICT Supplier - SR Period 11/12 - RDEL (£'000),Prime ICT Supplier - SR Period 12/13 - CDEL (£'000),Prime ICT Supplier - SR Period 12/13 - RDEL (£'000),Prime ICT Supplier - SR Period 13/14 - CDEL (£'000),Prime ICT Supplier - SR Period 13/14 - RDEL (£'000),Prime ICT Supplier - SR Period 14/15 - CDEL (£'000),Prime ICT Supplier - SR Period 14/15 - RDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs CDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs RDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - CDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - RDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - CDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - RDEL (£'000),Workstation / User devices - Included?,Workstation / User devices - % of Total spend,"COTS Corporate Applications (HR, Finance etc) - Included?","COTS Corporate Applications (HR, Finance etc) - % of Total",Business Applications Included?,Business Applications Included - % of Total,Networks - Included?,Networks - % of Total spend,Data Centres - Included?,Data Centres - % of Total spend,Email  - Included?,Email  - % of Total spend,"Operating System Platform (Windows, Linux etc) - Included?","Operating System Platform (Windows, Linux etc) - % of Total",Service Desks - Included?,Service Desks - % of Total spend,Contact Centres / Customer Relationship Management - Included?,Contact Centres / Customer Relationship Management - % of total,Telecommunications - Included?,Telecommunications - % of Total spend,Online Services  - Included?,Online Services  - % of Total spend,Other - % of Total spend,Date of SRO's last assessment,OGC review stage,Coalition Programme for Government
C011,P011,Field Survey Equipment Refresh,Communities and Local Government,CLG - Ordnance Survey HQ Estates Service,,07-Apr-11,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Outline Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Communities and Local Government
C012,P012,Fieldforce Engineering Support,Communities and Local Government,CLG - Audit Commission,01-Jun-11,01-Jun-11,31-May-11,,31-May-10,BT,Workstation / User devices,Tier 1,Not Stated,Maindec,Not Stated,Keysource,Not Stated,Not Stated,Not Stated,,,,1750,,605,,560,,500,,450,,400,,400,,,,,,,,,,,,,,,Yes,80,Not Stated,,Not Stated,,Not Stated,,Yes,20,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,20-Jul-10,,Communities and Local Government
C013,P013,FiReControl,Communities and Local Government,CLG - Central,,,29-Mar-15,,,EADS Defence & Security Ltd.,Project management & integration,Intergraph Ltd.,Business Applications (i.e. Operational applications),"Frequentis, Imass, Multitone Ltd.",Business Applications (i.e. Operational applications),HP,"Operating System Platform (Windows, Linux etc.)",Telent,"Deployment, field support",,Full Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,72,,7,,,,,,13,,2,,,,2,,,,,Gateway 3 Investment Decisions,Communities and Local Government
C014,P014,Gloucester Data Centre (GDC),Communities and Local Government,CLG - Ordnance Survey HQ Estates Service,,,01-Feb-15,,,Computacenter,Networks,Computacenter,Telecommunications,Land Registry,Data Centres,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,45,,,,,,,,,,10,,,,01-Jun-10,Not Applicable,Government Transparency
C015,P015,LOGASnet,Communities and Local Government,CLG - Central,16-Feb-12,16-Feb-12,15-Feb-15,,,Steria,Not Stated,Cable & Wireless,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,01-Aug-10,,,,,,,,,,,778,,817,,858,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,,Yes,,Yes,,Not Stated,,Not Stated,,Yes,,Not Stated,,Not Stated,,Not Stated,,,,,Communities and Local Government
C016,P016,Multi Resolution Data Programme (MRDP) - Stage 2,Communities and Local Government,CLG - Ordnance Survey HQ Estates Service,01-Sep-10,01-Sep-10,,,,Confirm on ITT response evaluation,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Outline Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Deficit Reduction
C017,P017,National Fraud Initiative,Communities and Local Government,CLG - Audit Commission,30-Apr-11,01-Jan-12,30-Apr-11,,,Synectics Solutions Ltd,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,20-Jul-10,,Deficit Reduction
C018,P018,New-GOOSE,Communities and Local Government,CLG - Ordnance Survey HQ Estates Service,,,,,,Ordnance Survey,"Online Services, CRM, Business Applications",Cable & Wireless,"Operating System Platform (Windows, Linux etc.)",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,10,,,,5,,,,5,,,Not Applicable,Communities and Local Government
C019,P019,OSL Portal (OSL),Communities and Local Government,CLG - Ordnance Survey HQ Estates Service,,,04-Oct-10,,,EMC,Online Services ,Microsoft,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,1120,,389,,731,,,,,,,,,,145,,,,145,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,100,,,,Business
C020,P020,Phoenix,Communities and Local Government,CLG - Ordnance Survey HQ Estates Service,,,01-Oct-10,,,Intergraph Ltd.,GI Systems,Not Stated,Other,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,Gateway 0 Strategic Assessment ,Not Stated
C021,P021,Verizon Web Hosting Contract,Communities and Local Government,CLG - Central,01-Sep-11,01-Sep-11,,,,To be determined,Data Centres,Informed Solutions (through separate contract),Business Applications (i.e. Operational applications),Amor Group (through separate contract),Business Applications (i.e. Operational applications),Digirati (through separate contract),Business Applications (i.e. Operational applications),Not Stated,Networks,12-Jul-10,,0,2010,0,0,0,0,0,307,0,492,0,492,0,492,0,48,0,0,0,0,0,48,0,0,0,0,0,0,Not Stated,,Not Stated,,Not Stated,,Yes,20,Yes,40,Not Stated,,Yes,30,Yes,10,Not Stated,,Not Stated,,Not Stated,,100,,Not Applicable,Communities and Local Government
C022,P022,Wide Area Network - Supplier Renewal (PSN),Communities and Local Government,CLG - Audit Commission,01-Apr-11,01-Apr-12,31-Mar-11,,,Cable & Wireless,Telecommunications,2E2,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,2680,,,,,,860,,700,,560,,560,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Yes,40,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,60,Not Stated,,,01-Jul-10,,Communities and Local Government
C023,P023,Digital Asset Management System,"Department for Culture, Media and Sport",DCMS - Natural History Museum,,,31-Mar-14,,,Steria,Business Applications (i.e. Operational applications),KE Software,,20/20 Software,,Axiell (Calm),,SirsiDynix,,,,72,,,,60,,,42,,42,,42,,,65,,,,,,,,,,,,,,No,,No,,Yes,86,No,,No,,No,,No,,No,,No,,No,,No,,0,,,"Culture, Olympics, Media and Sport"
C024,P024,Integrated Request Management & Delivery System (IRMDS) Programme,"Department for Culture, Media and Sport",DCMS - British Library,,,04-Jan-11,,,Cap Gemini Ltd,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,2155,218,955,0,1200,46,0,46,0,46,0,46,0,46,332,0,317,0,15,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Universities and Further Education
C025,P025,Business Application Software Refresh,"Department for Environment, Food and Rural Affairs","DEFRA - Department for Envronment, Food and Rural Affairs",,,17-Oct-11,,,IBM,Business Applications (i.e. Operational applications),IBM,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,4497,0,0,0,3328,0,1169,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Yes,15,No,,Yes,85,No,,No,,No,,No,,No,,No,,No,,No,,,,,"Environment, Food and Rural Affairs"
C026,P026,Business Reform Programme,"Department for Environment, Food and Rural Affairs",DEFRA - Animal Health,,,,,04-May-10,IBM,"Data Centre, Business Applications, Online Services",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,45186.14286,33334.67804,34416.5,23195.186,5894.642857,4094.6,4875,1973.892038,,1404,,1356,,1311,,,,,,,,,,,,,,,No,,No,,Yes,63,No,,No,,No,,No,,No,,No,,No,,Yes,25,12,29-Jun-10,,"Environment, Food and Rural Affairs"
C027,P027,Carbon Reduction Commitment (CRC) Energy Efficiency Scheme ,"Department for Environment, Food and Rural Affairs",DEFRA - Environment Agency,,,,,,Scysis,Business Applications (i.e. Operational applications),eLinia,Data Centres,Novena,Business Applications (i.e. Operational applications),Securetest,Business Applications (i.e. Operational applications),Not Stated,Not Stated,,Full Business Case stage,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Energy and Climate Change
C028,P028,County Parish Holdings Programme,"Department for Environment, Food and Rural Affairs",DEFRA - Animal Health,,,,,04-May-10,IBM,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,1163,478,141,478,1022,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,No,,No,,Yes,100,No,,No,,No,,No,,No,,No,,No,,No,,,20-May-10,,"Environment, Food and Rural Affairs"
C029,P029,Creating Asset Management Capacity Programme,"Department for Environment, Food and Rural Affairs",DEFRA - Environment Agency,01-Aug-10,01-Aug-10,27-Feb-12,,,In house,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,21-May-10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 0 Strategic Assessment ,"Environment, Food and Rural Affairs"
C030,P030,Data Sharing Programme - Defra Network initiatives,"Department for Environment, Food and Rural Affairs","DEFRA - Department for Envronment, Food and Rural Affairs",31-Jul-10,,,,,IBM,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,2268,1600,1400,250,868,150,,300,,300,,300,,300,1514,,910,,104,,500,,,,,,,,No,,No,,Yes,60,No,,Yes,20,No,,No,,No,,No,,No,,Yes,20,,,,"Environment, Food and Rural Affairs"
C031,P031,Desktop Transition Project,"Department for Environment, Food and Rural Affairs",DEFRA - Rural Payments Agency,31-Aug-10,31-Aug-10,,,,IBM,Workstation / User devices,IBM,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,01-Jun-10,,0,969,0,0,0,969,,,,,,,,,0,1920,0,0,0,1920,,,,,,,,,Not Stated,,Yes,34,Yes,53,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,12,04-Jun-10,,Not Stated
C032,P032,ETSWAP,"Department for Environment, Food and Rural Affairs",DEFRA - Environment Agency,01-Jun-10,29-Jun-10,02-Jul-14,29-Jun-10,,Caisse Des Depots,Business Applications (i.e. Operational applications),SFW,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,10-Jun-10,Full Business Case stage,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-Jul-10,Not Applicable,Energy and Climate Change
C033,P033,Genesis Upgrade to Meet EU Agri-Environmental Audit Findings,"Department for Environment, Food and Rural Affairs",DEFRA - Environment Agency,,,,,,Atos Origin,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,2800,0,,,1350,,1450,,,,,,,,0,0,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,"Environment, Food and Rural Affairs"
C034,P034,Integrated Regulation,"Department for Environment, Food and Rural Affairs",DEFRA - Environment Agency,,,,,08-Jul-10,Scisys,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,10,,,,20,,21-Jul-10,Not Applicable,"Environment, Food and Rural Affairs"
C035,P035,IT&DM Infrastructure Refresh,"Department for Environment, Food and Rural Affairs","DEFRA - Royal Botanic Gardens, Kew",,,,,,Computacenter (UK) Ltd ,Professional Sevices & Infrastructure,ORACLE,Not Stated,Microsoft,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,1952,735,52,180,1500,480,310,60,30,15,30,,30,,0,1475,0,0,,295,,295,,295,,295,,295,Yes,10,Yes,14,No,,Yes,7,Yes,6,Yes,1,Yes,2,Yes,1,No,,Yes,4,No,,59,,,"Environment, Food and Rural Affairs"
C036,P036,"Rationalisation and Standardisation of HR, Finance and ERP Services and Systems","Department for Environment, Food and Rural Affairs","DEFRA - Department for Envronment, Food and Rural Affairs",,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,"Environment, Food and Rural Affairs"
C037,P037,Relocate Data Centre from Kings House to IBM Samson House,"Department for Environment, Food and Rural Affairs",DEFRA - Rural Payments Agency,01-Aug-10,01-Aug-10,,,,IBM,Data Centres,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,23-Jun-10,,980,1171,0,0,665,222,315,949,0,0,0,0,0,0,600,616,0,0,600,320,0,296,0,0,0,0,0,0,No,,No,,No,,Yes,11,Yes,87,No,,No,,No,,No,,No,,No,,2,16-Jun-10,,Deficit Reduction
C038,P038,Rural Land Registry (RLR) - Systems Upgrade,"Department for Environment, Food and Rural Affairs",DEFRA - Rural Payments Agency,,,31-Dec-11,,,Accenture,Business Applications (i.e. Operational applications),eSpatial,Business Applications (i.e. Operational applications),Steria,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,,,4748,3443,2060,3177,2688,266,,,,,,,,,250,50,0,0,250,50,,,,,,,,,Not Stated,,Yes,4,Yes,83,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,13,,,"Environment, Food and Rural Affairs"
C039,P039,Service Procurement Programme,"Department for Environment, Food and Rural Affairs",DEFRA - Environment Agency,,,,,,Capgemini,"Infrastructure and Applications management, support and upgrade",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,39952,11309,3443,2596,19527,8713,14181,,2747,,55,,,,,,,,,,,,,,,,,,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,,11-Jun-10,Gateway 4 Readiness for service,"Environment, Food and Rural Affairs"
C040,P040,SharePoint implementation for Collaboration & EDRM,"Department for Environment, Food and Rural Affairs","DEFRA - Department for Envronment, Food and Rural Affairs",,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,935,2740,508,598,427,1462,,170,,170,,170,,170,0,0,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Not Applicable,"Environment, Food and Rural Affairs"
C041,P041,Single Payment Scheme (SPS) - 2011 Rollover Project,"Department for Environment, Food and Rural Affairs",DEFRA - Rural Payments Agency,,01-Mar-12,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,"Environment, Food and Rural Affairs"
C042,P042,Single Payments Scheme Future IT,"Department for Environment, Food and Rural Affairs",DEFRA - Rural Payments Agency,,01-Mar-12,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,"Environment, Food and Rural Affairs"
C043,P043,UK Location Programme,"Department for Environment, Food and Rural Affairs","DEFRA - Department for Envronment, Food and Rural Affairs",31-Jul-10,31-Jul-10,,,,IBM,Data Centres,OS via MOA,Not Stated,CO via MOA,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,0,0,450,,,,,,,,,,,,0,0,1160,,500,,,,,,,,No,,No,,Yes,10,No,,No,10,No,,No,,No,,No,,No,,Yes,40,40,,,"Environment, Food and Rural Affairs"
C044,P044,Whole Farm Approach(WFA),"Department for Environment, Food and Rural Affairs","DEFRA - Department for Envronment, Food and Rural Affairs",,01-Aug-10,01-Aug-10,,,IBM,Online Services ,CACI,Not Stated,ADLib,Not Stated,Alerts Online,Not Stated,Software AG,Not Stated,,,21778,14633,20651,13895,1127,738,,,,,,,,,9913,4698,8786,3960,1127,738,,,,,,,,,No,0,Yes,5,Yes,5,Yes,5,Yes,15,Yes,5,No,0,Yes,5,Yes,5,No,0,Yes,55,,,Gateway 0 Strategic Assessment ,"Environment, Food and Rural Affairs"
