Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction,Amount,Additional Narrative
HMRC,VOA,31.01.14,Rates,Corporate,Planning Inspectorate,5100005622,"£4,383.60",Accommodation Charges
HMRC,VOA,31.01.14,Accommodation rent,Corporate,Planning Inspectorate,5100005622,"£76,255.46",Accommodation Charges
HMRC,VOA,23.01.14,Royal mail postage,Corporate,Royal Mail,1900026718,"£46,499.91",Postage Charges
HMRC,VOA,31.01.14,Accommodation Domestic Supplies,Corporate,Senator International Ltd,5100005602,"£31,065.23",Purchase of  Office Furniture
HMRC,VOA,31.01.14,Input VAT (ST),Corporate,Senator International Ltd,5100005602,£425.12,VAT
HMRC,VOA,13.01.14,Postage,Corporate,TNT UK LTD,5100005140,"£37,183.67",Postage Charges
HMRC,VOA,13.01.14,Input VAT (ST),Corporate,TNT UK LTD,5100005140,"£7,436.73",VAT
HMRC,VOA,27.01.14,Postage,Corporate,TNT UK LTD,5100005460,"£37,183.67",Postage Charges
HMRC,VOA,27.01.14,Input VAT (ST),Corporate,TNT UK LTD,5100005460,"£7,436.73",VAT
HMRC,VOA,27.01.14,Postage,Corporate,TNT UK LTD,5100005461,"£37,183.67",Postage Charges
HMRC,VOA,27.01.14,Input VAT (ST),Corporate,TNT UK LTD,5100005461,"£7,436.73",VAT
HMRC,VOA,06.01.14,Software Licence Renewals,Corporate,Trustmarque Solutions Limited,5100005014,"£806,878.08",Software Licences
HMRC,VOA,06.01.14,Input VAT (ST),Corporate,Trustmarque Solutions Limited,5100005014,"£11,041.92",VAT
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
