QMCO - Cancelled Operations - Q3 2012-13,,,,,,,,,,
,,,,,,,,,,
Basis,Year,Period Name,SHA Code,SHA Name,Org Code,Org Name,Total theatres,Day case theatres,Cancelled operations,Breaches of standard
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,24,3,179,10
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,14,4,124,14
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,21,1,218,1
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,15,3,152,11
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,16,0,125,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,9,0,19,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,11,5,13,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,11,0,56,2
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RAX,KINGSTON HOSPITAL NHS TRUST,15,5,47,0
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,17,4,124,2
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,10,3,40,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RBK,WALSALL HEALTHCARE NHS TRUST,14,2,60,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,23,1,58,11
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,21,7,51,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RBQ,LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,9,0,17,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,13,0,12,1
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,12,4,117,21
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RBV,THE CHRISTIE NHS FOUNDATION TRUST,5,0,0,0
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,8,2,49,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RC1,BEDFORD HOSPITAL NHS TRUST,10,2,56,2
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RC3,EALING HOSPITAL NHS TRUST,5,0,53,1
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,12,2,60,5
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,30,10,147,10
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,7,2,47,0
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RCF,AIREDALE NHS FOUNDATION TRUST,8,0,32,0
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,7,1,17,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",11,4,75,5
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,14,4,212,1
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,8,3,57,1
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,15,0,257,12
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,12,0,91,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14,5,178,17
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,18,6,45,0
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,16,5,66,0
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,3,1,0,0
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,16,5,70,4
PROV,2012-13,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,9,3,23,0
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,21,0,101,3
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,14,4,91,5
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,5,0,25,3
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,5,0,41,2
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",22,5,122,3
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,12,2,31,0
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,11,2,69,1
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,13,1,37,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8,3,23,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,5,0,81,5
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,29,11,185,10
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10,0,56,2
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RGQ,IPSWICH HOSPITAL NHS TRUST,18,6,96,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,13,5,70,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,36,7,236,7
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,2,2,0,0
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,21,4,94,3
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,26,0,187,14
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,30,8,329,0
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RHU,PORTSMOUTH HOSPITALS NHS TRUST,30,10,81,0
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,20,4,52,5
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,43,17,143,2
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RJ2,LEWISHAM HEALTHCARE NHS TRUST,12,0,39,5
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RJ6,CROYDON HEALTH SERVICES NHS TRUST,15,4,42,1
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,29,5,93,2
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,10,4,46,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,11,0,64,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,26,0,287,2
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,18,9,175,8
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,18,1,102,1
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RJN,EAST CHESHIRE NHS TRUST,7,1,30,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,13,4,69,2
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,26,2,162,16
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,15,0,106,1
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RK9,PLYMOUTH HOSPITALS NHS TRUST,32,0,203,4
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,32,5,139,3
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,10,4,31,1
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,10,1,25,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,16,2,197,0
PROV,2012-13,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,24,6,62,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RLQ,WYE VALLEY NHS TRUST,8,0,22,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,9,3,31,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,3,0,4,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,29,9,200,26
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,23,3,167,2
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,19,0,74,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RMC,BOLTON NHS FOUNDATION TRUST,13,5,67,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,10,1,49,3
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,15,0,65,0
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,26,11,17,2
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RN7,DARTFORD AND GRAVESHAM NHS TRUST,9,3,152,23
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,17,5,81,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,15,3,115,13
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,13,2,146,2
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,16,0,188,6
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RNZ,SALISBURY NHS FOUNDATION TRUST,15,6,96,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,11,0,29,0
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,26,5,179,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,18,17,16,0
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RPA,MEDWAY NHS FOUNDATION TRUST,14,4,66,0
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,10,2,4,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,9,0,17,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,12,0,101,2
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,22,3,88,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,23,0,198,7
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,18,7,9,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,15,7,74,2
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,15,6,75,2
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8,3,11,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,29,5,180,0
PROV,2012-13,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,12,0,26,0
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,53,9,317,12
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",20,5,111,8
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,11,0,9,0
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,34,9,150,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,24,2,223,13
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RT3,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,11,0,87,0
PROV,2012-13,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,52,4,112,0
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,35,7,276,3
PROV,2012-13,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,24,3,42,1
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,35,11,71,7
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,16,3,32,2
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,15,5,100,0
PROV,2012-13,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,37,11,164,14
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,18,2,142,10
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,20,6,112,4
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RVJ,NORTH BRISTOL NHS TRUST,32,4,110,18
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,23,10,86,0
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,22,8,70,0
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,32,11,103,7
PROV,2012-13,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,17,4,40,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,12,0,48,1
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,2,2,18,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,47,7,156,5
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,39,12,176,0
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,35,7,175,5
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,29,0,349,67
PROV,2012-13,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,47,5,340,23
