,Percentage of respondents satisfied with Ease of Contact 12 months to September 2014,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2014,Percentage of respondents satisfied with Ease of Contact 12 months to September 2013,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2013,Percentage of respondents satisfied with Ease of Contact 12 months to September 2012,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2012,Percentage of respondents satisfied with Ease of Contact 12 months to September 2011,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2011,Percentage of respondents satisfied with Actions 12 months to September 2014,Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2014,Percentage of respondents satisfied with Actions 12 months to September 2013,Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2013,Percentage of respondents satisfied with Actions 12 months to September 2012,Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2012,Percentage of respondents satisfied with Actions 12 months to September 2011,Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2011,Percentage of respondents satisfied with Follow up 12 months to September 2014,Confidence interval Percentage of respondents satisfied with Follow up 12 months to September 2014,Percentage of respondents satisfied with Follow up 12 months to September 2013,Confidence interval Percentage of respondents satisfied with Follow up 12 months to September 2013,Percentage of respondents satisfied with Follow up 12 months to September 2012,Confidence interval Percentage of respondents satisfied with Follow up 12 months to September 2012,Percentage of respondents satisfied with Follow up 12 months to September 2011,Confidence interval Percentage of respondents satisfied with Follow up 12 months to September 2011,Percentage of respondents satisfied with Treatment 12 months to September 2014,Confidence interval Percentage of respondents satisfied with Treatment 12 months to September 2014,Percentage of respondents satisfied with Treatment 12 months to September 2013,Confidence interval Percentage of respondents satisfied with Treatment 12 months to September 2013,Percentage of respondents satisfied with Treatment 12 months to September 2012,Confidence interval Percentage of respondents satisfied with Treatment 12 months to September 2012,Percentage of respondents satisfied with Treatment 12 months to September 2011,Confidence interval Percentage of respondents satisfied with Treatment 12 months to September 2011
Kent,96.51214242,0.873120136,97.63204934,0.755222339,97.47665181,0.711593534,96.62556232,0.779311316,86.31598396,1.222961123,86.0507004,1.259411181,88.97798988,1.094391303,87.25636485,1.039006257,73.69918521,1.587616269,75.79172042,1.588856134,82.90693823,1.334438614,78.72226626,1.319661746,95.11360969,0.767323316,94.75638557,0.81045451,95.78617216,0.720494874,95.89019917,0.625885522
Lancashire,95.98201422,0.529984718,97.32706154,0.481995792,97.03799668,0.608112602,97.84695696,0.700049921,82.56903596,0.750470983,85.94139161,0.653354424,87.28594663,0.927073723,87.55544549,1.228971231,72.76482425,0.894905626,78.90587896,0.769511755,79.43765428,1.164680855,78.93196928,1.626290081,93.74451737,0.478981497,95.06554363,0.407657877,95.7953521,0.548767694,95.6846308,0.752981784
Leicestershire,93.80194771,1.510237835,95.93839109,1.256176809,95.58286511,1.27796886,95.95451156,1.16650021,81.4203785,2.036537985,82.45735065,2.012755934,81.80997711,1.909785044,83.20233796,1.770516796,78.67431345,2.16270842,78.43832373,2.209696467,78.77815924,2.055823228,79.63677221,1.942411012,92.67811033,1.342327971,94.11212106,1.21796326,94.46652815,1.11239213,94.66542822,1.067893304
Lincolnshire,93.32828869,1.659993092,93.47753745,1.644437086,93.05969324,1.749151191,90.67138527,1.953812199,79.17966319,2.163279356,78.43078472,2.208518474,79.31264618,2.142665211,76.37921181,2.095750824,73.32058071,2.399975818,74.25735026,2.372636302,73.56303612,2.372542469,74.04136205,2.189963925,94.17491154,1.237623012,93.50117471,1.302232623,93.71010737,1.277581971,93.58192234,1.209667821
Merseyside,94.42422624,0.563495675,97.66663891,0.395457382,97.33472488,0.652776361,97.23673646,0.637009327,80.97721795,0.162802615,86.54608144,0.143992063,86.12488351,0.982933304,86.98571812,0.950300052,76.89200102,0.18575819,82.12402419,0.232926198,81.50586624,1.111149931,80.72952604,1.118752101,94.46172721,0.044626731,96.55114299,0.057847453,96.45024069,0.529254709,96.07244299,0.564662959
Metropolitan Police,93.73259833,0.435158024,93.71429883,0.462444069,91.37893856,0.541130416,92.41004462,0.498551914,76.0361899,0.657550068,74.6208463,0.680242262,70.62284018,0.712849923,71.21504266,0.692008282,72.50066691,0.688672128,70.05681644,0.717640464,65.28542139,0.754539596,65.76468783,0.73526657,90.62764082,0.4423192,89.65141709,0.468849625,86.86189563,0.528806396,87.14452276,0.510302433
Norfolk,97.30255319,0.96423258,96.01236912,1.065787757,96.65300546,0.966879956,94.16508807,1.798617157,88.58208014,1.412429353,86.86872403,1.348325938,86.54416751,1.416065721,81.47172726,2.349809941,87.54326546,1.460397115,84.10422028,1.503641049,83.71130019,1.566209899,78.08257917,2.539840105,96.24009707,0.851804809,95.08444996,0.865280415,95.88775658,0.839218601,94.98137271,1.284822983
Northamptonshire,95.98584138,1.481636239,94.23012875,1.37950823,94.13443682,1.420144961,96.55312701,1.228444412,83.72561726,2.266478587,82.07508359,1.904693994,78.91517095,1.986729388,79.53986987,2.070359667,73.4081372,2.723820187,74.82422386,2.175280216,77.18413463,2.027164912,76.8841336,2.1353887,92.95870449,1.600802312,93.79732366,1.201813242,93.88834095,1.174249155,95.207848,1.071528129
Northumbria,99.01854146,0.602464841,98.74506475,0.608073282,99.09663448,0.56547105,99.23213468,0.539301452,89.3014621,1.228353966,88.85728569,1.213898866,91.57471138,1.06151651,91.10633173,1.175178938,88.71787332,1.278398877,87.27930437,1.32370938,89.22212459,1.230570858,91.38548116,1.158817886,95.98435496,0.803789886,96.65792554,0.734636399,97.67644081,0.593998238,96.89481068,0.72042614
North Wales,95.84230062,1.155030645,95.03765379,1.249070545,91.86744412,1.530962852,92.840365,1.408096646,80.73461423,1.830453491,79.2267247,1.84122851,80.10989837,1.777417022,79.74034499,1.802114923,72.67033723,2.109527707,71.61668028,2.088697426,70.14238224,2.099061779,70.8152946,2.067093842,92.11036765,1.242118323,92.5430658,1.166744045,92.94309769,1.120025576,93.25952248,1.096224049
North Yorkshire,97.72425014,0.734593372,97.29919826,0.667922133,95.88095717,1.003336024,94.24345479,1.225886863,88.16445395,1.161025389,88.40899205,0.883472159,84.58421181,1.362234542,83.97968565,1.466313302,78.47754955,1.457563475,80.2004435,1.006008498,72.53107928,1.688815197,71.6780334,1.822491475,95.66435244,0.764737463,96.1440692,0.567139562,93.70501239,0.933776304,95.49250411,0.847745308
Nottinghamshire,96.7670085,0.608652357,97.28066858,0.538651299,97.21990925,0.521767279,97.08654632,0.530856815,87.14617527,0.86059789,87.61789516,0.817683336,87.8954292,0.749000971,89.46003505,0.681712938,79.65542442,1.056587216,79.88335157,1.028921802,80.0618949,0.923337057,77.8998503,0.916856184,94.93713044,0.573703597,95.34629232,0.53621648,95.08859305,0.511928158,94.94484462,0.499601618
South Wales,97.60605637,0.638627529,97.20117345,0.574055734,95.13424672,0.805069137,96.26607512,0.732044902,85.56292647,1.058703917,85.51456561,0.980433625,80.61616295,1.098949547,84.42935912,0.985786006,81.6696867,1.165530872,78.48078062,1.141179656,70.85690332,1.262907941,74.45164783,1.177558292,96.17825934,0.589136423,95.93052311,0.557908587,94.38206365,0.649000531,95.50254037,0.581236249
South Yorkshire,97.0605103,0.871061205,97.48171008,0.788517923,95.89833788,1.136391886,97.10044527,0.883921419,83.53547413,1.416262751,82.09386181,1.492950502,81.7955105,1.599099293,80.79248869,1.607755071,75.29366227,1.674149091,73.15728241,1.743539494,73.60870386,1.841926898,75.10610504,1.794097006,94.28594763,0.902257063,92.99510663,1.006199341,93.45721202,1.03864145,93.7675302,0.978801735
Staffordshire,96.76092955,1.006641221,97.60524255,0.957603622,97.90377155,0.900660681,98.1570526,0.833991285,87.43962643,1.671733461,90.53909343,1.598667251,87.75968828,1.715072516,92.11165725,1.245858528,78.14137782,2.115083611,78.60597958,2.230415697,73.03846643,2.315082373,80.66890186,1.925170145,94.86081098,1.116473313,96.15885898,1.055592103,94.70382811,1.176601041,96.93798525,0.802226396
Suffolk,94.92765807,1.529675296,95.34740211,1.42382479,93.85650326,1.642935361,94.15752496,1.511510948,87.02895217,1.794482489,86.63710331,1.823297559,82.64160336,2.040845435,78.83394896,2.106639593,81.83347329,2.082374187,78.6466991,2.226625482,77.04773118,2.283959724,73.86017167,2.286781429,96.00283509,1.062548463,96.11195302,1.042634329,94.66957321,1.201341855,93.47775802,1.276325543
Surrey,94.78390079,0.848844521,96.34489755,0.718567199,95.68205559,0.786597821,94.98786652,0.829297176,83.21871648,1.067066309,84.75951093,0.946389755,82.1293804,1.056182783,81.84662543,1.052374225,77.32904802,1.191615685,79.80352393,1.060021932,74.01727609,1.215487422,77.60150595,1.151213345,94.85879873,0.641890517,94.67916973,0.605817653,93.52034441,0.692621203,94.19020131,0.647585873
Sussex,91.1765806,1.162142346,95.18671133,0.941087567,95.6348471,1.016793547,93.70699717,1.285769832,78.19129773,1.23625906,81.41997529,1.302832338,82.36916746,1.446261508,80.042393,1.655832553,74.53193809,1.311225709,76.59182718,1.433166292,79.74191126,1.540920374,74.73591751,1.817686307,93.44905764,0.744412156,95.83174403,0.667673293,94.66507974,0.864728981,93.7861837,1.010017546
Thames Valley,96.55331733,1.359293468,96.68235058,1.326993222,97.55280498,0.649967182,96.65947346,0.681863347,86.60994189,1.835230937,88.17744353,1.780630085,83.69013076,1.158365337,81.19732767,1.0342423,72.28321953,2.535429688,68.68369501,2.652561552,72.03590648,1.432472828,69.92570678,1.233099818,95.82183016,1.119231867,95.76069912,1.138358017,96.39407105,0.593256636,95.31961296,0.589216575
Warwickshire,95.21026259,1.226589045,96.02077987,1.176038109,95.3399948,1.357187943,92.96986845,1.639623216,84.42724216,1.682782902,85.42394176,1.669891919,80.46843548,1.908881229,79.31744172,1.769832325,75.22743817,2.000721103,75.46190339,2.038098791,67.45162329,2.259013102,73.00584316,1.964776111,93.40021325,1.175253371,94.86340819,1.056929169,93.31946401,1.22005614,91.99041354,1.196555702
West Mercia,96.90733169,0.730734065,95.84389191,0.901807053,95.75621823,0.842667064,95.53101674,0.882654045,80.90336395,1.332721056,80.41734032,1.363521191,79.24532374,1.277228993,81.32728271,1.291235177,70.58470647,1.569314568,70.11101486,1.580214735,68.7473298,1.458060606,74.28629093,1.453825221,92.59100466,0.889378089,81.38259473,1.179339387,89.50981567,1.003363765,94.96988411,0.782694145
West Midlands,96.37773545,0.281311226,95.77068015,0.427744164,96.06192433,0.708100573,94.65126517,0.592831479,83.3138131,0.037458372,84.12124871,0.050061099,86.96557614,0.952267618,83.90116203,0.766842176,79.17549949,null,80.62841456,0.031063287,83.64047566,1.046130902,76.70916471,0.879482158,95.24307232,null,95.33251357,null,95.96370621,0.567067255,94.77281779,0.465425014
West Yorkshire,97.40495264,0.500760426,97.24969679,0.497313766,96.28993488,0.561367138,95.38433286,0.575073524,85.19543007,0.845244175,82.35327318,0.857043629,82.26509256,0.82770842,79.24430983,0.849764122,80.92906949,0.912815319,78.81717891,0.918224981,77.28828738,0.904317717,72.42043974,0.939180973,95.78124934,0.502433696,95.31211831,0.508318108,94.83604884,0.500420851,93.20687084,0.535251916
Wiltshire,96.61926049,1.35396561,97.80672015,1.024328789,96.83845518,1.195173206,96.65997163,1.657574496,86.53425082,2.210384794,86.85919869,2.001427097,82.11368907,2.203680665,81.99285756,2.802083508,83.4689901,2.458731881,85.77432447,2.200149748,80.24894905,2.34110922,77.43724358,3.203028859,96.26446529,1.234864872,95.42476595,1.252754514,93.36099373,1.394957173,95.84194154,1.486841139
