Unique Reference Number,Transaction Date,Merchant Category Code Description,Location,Merchant Category Group Description,Amount,Supplier
FCOGPC2016010025,04/01/2016,"GROCERY STORES, SUPERMARKETS",ZAF,General Retail and Wholesale,"1,035.69",PNP HILLCREST BOUD
FCOGPC2016010026,04/01/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GBR,General Retail and Wholesale,"1,093.75",POWER ELECTRIC GENERAT
FCOGPC2016010027,04/01/2016,"INSURANCE SALES,UNDERWRITING,AND PREMIUMS",CAN,Financial Services,"1,118.62",ICBC 
FCOGPC2016010028,04/01/2016,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",GBR,Freight and Storage,"1,134",MARTINSPEED LTD
FCOGPC2016010029,04/01/2016,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",GBR,Freight and Storage,"1,134",MARTINSPEED LTD
FCOGPC2016010030,04/01/2016,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",GBR,Freight and Storage,"1,134",MARTINSPEED LTD
FCOGPC2016010031,04/01/2016,ELECTRONIC SALES,IND,General Retail and Wholesale,"1,151.19",DEEPAK ELECTRICALS
FCOGPC2016010032,04/01/2016,HOUSEHOLD APPLIANCE STORES,USA,General Retail and Wholesale,"1,299.86",PC RICHARD AND SON 
FCOGPC2016010033,04/01/2016,"AUTOMOTIVE PARTS, ACCESSORIES STORES",PAK,"Vehicles, servicing and spares","1,314.34",NEW IRFAN AUTOS
FCOGPC2016010034,04/01/2016,"FABRIC, NEEDLEWORK, PIECE GOODS, AND SEWING STORES",ISR,General Retail and Wholesale,"1,321.18",HENRY'S CURTAINS
FCOGPC2016010035,04/01/2016,DAIRY PRODUCTS STORES,FRA,Catering and Catering Supplies,"1,335.18",FERME D'ALEX
FCOGPC2016010036,04/01/2016,TRAVEL AGENCIES,CZE,Travel Agencies,"1,344.23",LESSER TRAVEL AGENCY
FCOGPC2016010037,04/01/2016,FAMILY CLOTHING STORES,PAK,General Retail and Wholesale,"1,423.86",A A GARMENTS
FCOGPC2016010038,04/01/2016,DUTY FREE STORES,GBR,General Retail and Wholesale,"1,498.75",WWW.I-D-S.COM
FCOGPC2016010039,04/01/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,USA,Training and Educational,"1,535.68",AMERICAN MGMT ASSOC
FCOGPC2016010040,04/01/2016,EXTERMINATING AND DISINFECTING SERVICES,LBN,Cleaning Services and Supplies,"1,720.47",BOECKER
FCOGPC2016010041,05/01/2016,"INSULATION,MASONRY,PLSTER,STONEWRK,TILESET CNTRCTR",ISR,Building Services,503.4,A.H. HEIGHTS LTD
FCOGPC2016010042,05/01/2016,DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH.,GBR,General Retail and Wholesale,511.02,LTT VENDING SOUTH
FCOGPC2016010043,05/01/2016,"GROCERY STORES, SUPERMARKETS",KEN,General Retail and Wholesale,527.75,MUTHAIGA MINI M
FCOGPC2016010044,05/01/2016,CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED,ROM,Building Materials,531.07,HORNBACH
FCOGPC2016010045,05/01/2016,MEN'S AND WOMEN'S CLOTHING STORES,DEU,General Retail and Wholesale,532.35,KOKOTT MODEHAUS
FCOGPC2016010046,05/01/2016,DEPARTMENT STORES,KWT,General Retail and Wholesale,549.25,SULTAN CENTER
FCOGPC2016010047,05/01/2016,TELECOM INCL PREPAID/RECURRING PHONE SVCS,LCA,Telecommunication Services,560.33,CABLE & WIRELESS WI LI
FCOGPC2016010048,05/01/2016,"BUILDING MATERIALS, LUMBER STORES",ISR,Building Materials,567.77,BENI
FCOGPC2016010049,05/01/2016,MISCELLANEOUS PUBLISHING AND PRINTING,GBR,Print and advertising,586.61,G4S SECURE
FCOGPC2016010050,05/01/2016,"AUTOMOTIVE PARTS, ACCESSORIES STORES",PAK,"Vehicles, servicing and spares",591.1,NEW IRFAN AUTOS
FCOGPC2016010051,05/01/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",GRC,Utilities and Non Automotive Fuel,592.23,AERIO ATTIKIS AE
FCOGPC2016010052,05/01/2016,AUTOMOTIVE TIRE STORES,LBN,"Vehicles, servicing and spares",592.62,ETS BAKARJI
FCOGPC2016010053,05/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,597.6,UBIQUS UK LIMITED
FCOGPC2016010054,05/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,597.6,UBIQUS UK LIMITED
FCOGPC2016010055,05/01/2016,ADVERTISING SERVICES,SGP,Print and advertising,634.46,SPH-CATS L2
FCOGPC2016010056,05/01/2016,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",CAN,Miscellaneous Industrial/Commercial Supplies,648.66,SCAFFEX INC.
FCOGPC2016010057,05/01/2016,POSTAL SERVICES-GOVERNMENT ONLY,FIN,Mail and Courier Services,677.83,POSTI OY
FCOGPC2016010058,05/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,684,UBIQUS UK LIMITED
FCOGPC2016010059,05/01/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,ISR,Professional Services,690.4,ILAN VAPERACH
FCOGPC2016010060,05/01/2016,"INSURANCE SALES,UNDERWRITING,AND PREMIUMS",RWA,Financial Services,699.63,SORAS ASSURANCES
FCOGPC2016010061,05/01/2016,"INSURANCE SALES,UNDERWRITING,AND PREMIUMS",RWA,Financial Services,699.63,SORAS ASSURANCES
FCOGPC2016010062,05/01/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",JAM,Utilities and Non Automotive Fuel,702.32,SHAW HAULAGE LIMITED
FCOGPC2016010063,05/01/2016,MISCELLANEOUS GENERAL MERCHANDISE,KWT,General Retail and Wholesale,714.01,ALRATHATH AUTO PART
FCOGPC2016010064,05/01/2016,"INSURANCE SALES,UNDERWRITING,AND PREMIUMS",RWA,Financial Services,769.59,SORAS ASSURANCES
FCOGPC2016010065,05/01/2016,ELECTRONIC SALES,ZWE,General Retail and Wholesale,803.2,ELECTROSALES BORROWDAL
FCOGPC2016010066,05/01/2016,MISCELLANEOUS PUBLISHING AND PRINTING,GBR,Print and advertising,833.31,G4S SECURE
FCOGPC2016010067,05/01/2016,"SCHOOLS, TRADE AND VOCATIONAL",GBR,Training and Educational,855.4,WWW.THEKNOWLEDGEACADEM
FCOGPC2016010068,05/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,855.6,UBIQUS UK LIMITED
FCOGPC2016010069,05/01/2016,ELECTRONIC SALES,NGA,General Retail and Wholesale,856.77,FOUANI NIG LTD
FCOGPC2016010070,05/01/2016,PETROLEUM AND PETROLEUM PRODUCTS,GEO,Miscellaneous Industrial/Commercial Supplies,861.15,OIL COMPANY WISSOL
FCOGPC2016010071,05/01/2016,"AUTOMOTIVE PARTS, ACCESSORIES STORES",PAK,"Vehicles, servicing and spares",890.4,NEW IRFAN AUTOS
FCOGPC2016010072,05/01/2016,"COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS",ISR,Mail and Courier Services,913.49,ROTERO HOVALA
FCOGPC2016010073,05/01/2016,DEPARTMENT STORES,GBR,General Retail and Wholesale,925.5,WWW.JOHNLEWIS.COM
FCOGPC2016010074,05/01/2016,"INSURANCE SALES,UNDERWRITING,AND PREMIUMS",RWA,Financial Services,979.48,SORAS ASSURANCES
FCOGPC2016010075,05/01/2016,TRAVEL,URY,Airline,981.76,AIRLINE
FCOGPC2016010076,05/01/2016,TRAVEL,FRA,Airline,995.01,AIRLINE
FCOGPC2016010077,05/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,"1,000",PERSONAL STRENGTHS (UK
FCOGPC2016010078,05/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,"1,000",PERSONAL STRENGTHS (UK
FCOGPC2016010079,05/01/2016,VARIETY STORES,CHN,General Retail and Wholesale,"1,020.39",PES AMAZON.CN / AMAZO
FCOGPC2016010080,05/01/2016,HOTELS/MOTELS/RESORTS ,CHN,Hotels,"1,031.80",ACCOMODATION PROVIDER 
FCOGPC2016010081,05/01/2016,HOTELS/MOTELS/RESORTS ,CHN,Hotels,"1,031.80",ACCOMODATION PROVIDER 
FCOGPC2016010082,05/01/2016,HOTELS/MOTELS/RESORTS ,CHN,Hotels,"1,031.80",ACCOMODATION PROVIDER 
FCOGPC2016010083,05/01/2016,HOTELS/MOTELS/RESORTS ,CHN,Hotels,"1,031.80",ACCOMODATION PROVIDER 
FCOGPC2016010084,05/01/2016,HOTELS/MOTELS/RESORTS ,CHN,Hotels,"1,031.80",ACCOMODATION PROVIDER 
FCOGPC2016010085,05/01/2016,LIMOUSINES AND TAXICABS,FRA,Travel - Air/Rail/Road,"1,164.28",GIVERNY CONSULT
FCOGPC2016010086,05/01/2016,MISC/AUTO/AIRCRAFT/FARM EQUIP NOT ELSEWHERE CLASS,KEN,"Vehicles, servicing and spares","1,170.04",AUTO& ELECTRO C
FCOGPC2016010087,05/01/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,GBR,Training and Educational,"1,200",KCL SHORT COURSES
FCOGPC2016010088,05/01/2016,"FABRIC, NEEDLEWORK, PIECE GOODS, AND SEWING STORES",ISR,General Retail and Wholesale,"1,262.06",HENRY'S CURTAINS
FCOGPC2016010089,05/01/2016,HOTELS/MOTELS/RESORTS ,KHM,Hotels,"1,279.14",ACCOMODATION PROVIDER 
FCOGPC2016010090,05/01/2016,TRAVEL,ESP,Airline,"1,313.93",AIRLINE
FCOGPC2016010091,05/01/2016,"BUILDING MATERIALS, LUMBER STORES",ISR,Building Materials,"1,351.84",BENI
FCOGPC2016010092,05/01/2016,"GROCERY STORES, SUPERMARKETS",ESP,General Retail and Wholesale,"1,459.32",ASTURIANOS REPARTO
FCOGPC2016010093,05/01/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",GBR,General Retail and Wholesale,"1,465.75",DIPLOMATIC MISSION SUP
FCOGPC2016010094,05/01/2016,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,KEN,"Office Stationery, equipment and supplies","1,467.68",RUMOUR AGENCIES
FCOGPC2016010095,05/01/2016,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",ISR,Computer Equipment & Services,"1,541.68",SHAMIR
FCOGPC2016010096,05/01/2016,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",ISR,Computer Equipment & Services,"1,541.68",SHAMIR
FCOGPC2016010097,05/01/2016,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,KEN,"Office Stationery, equipment and supplies","1,652.42",RUMOUR AGENCIES
FCOGPC2016010098,05/01/2016,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",USA,Clubs/Associations/Organisations,"2,203.82",ACADEMY OF INTER ART S
FCOGPC2016010099,05/01/2016,AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED,GBR,Auto rental,"2,487.08",TRAVELHIRE
FCOGPC2016010100,06/01/2016,ELECTRICAL PARTS AND EQUIPMENT,JOR,Building Materials,508.68,SMART BUY
FCOGPC2016010101,06/01/2016,TRAVEL,ESP,Airline,511.38,AIRLINE
FCOGPC2016010102,06/01/2016,"BUILDING MATERIALS, LUMBER STORES",ISR,Building Materials,512.11,BENI
FCOGPC2016010103,06/01/2016,TRAVEL,BEL,Airline,520.6,AIRLINE
FCOGPC2016010104,06/01/2016,COMPUTER SOFTWARE STORES,IRL,Computer Equipment & Services,548.78,ADOBE CREATIVE CLOUD
FCOGPC2016010105,06/01/2016,ELECTRICAL CONTRACTORS,BHR,Building Services,560.53,ALFANAR ELECTRICAL
FCOGPC2016010106,06/01/2016,FLORISTS,JPN,Estate and garden Services,586.73,RAKUTENSP FLOWERROAD
FCOGPC2016010107,06/01/2016,HARDWARE EQUIPMENT AND SUPPLIES,ZWE,Miscellaneous Industrial/Commercial Supplies,604.78,ELECTROSALES
FCOGPC2016010108,06/01/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,CHE,Training and Educational,617.75,MIGROS ECOLE CLUB
FCOGPC2016010109,06/01/2016,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",FRA,Miscellaneous Industrial/Commercial Supplies,627.64,J.M. BRUNEAU
FCOGPC2016010110,06/01/2016,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",NLD,"Office Stationery, equipment and supplies",664.53,WWW.CBSUPPLIES.NL
FCOGPC2016010111,06/01/2016,TRAVEL,ESP,Airline,676.86,AIRLINE
FCOGPC2016010112,06/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,USA,Miscellaneous Industrial/Commercial Supplies,702.16,IN MAXXIMUS ENVIRONME
FCOGPC2016010113,06/01/2016,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",ISR,General Retail and Wholesale,731.59,ICON
FCOGPC2016010114,06/01/2016,"SANITATION, POLISHING & SPECIALITY CLEANING PREP",RWA,Cleaning Services and Supplies,731.6,COPED LTD
FCOGPC2016010115,06/01/2016,"SANITATION, POLISHING & SPECIALITY CLEANING PREP",RWA,Cleaning Services and Supplies,762.55,COPED LTD
FCOGPC2016010116,06/01/2016,BAKERIES,FRA,Catering and Catering Supplies,768.76,GOSSELIN SAINT HONOR
FCOGPC2016010117,06/01/2016,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",USA,Leisure Activities,771.81,SXSW
FCOGPC2016010118,06/01/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",PAK,Professional Services,794.7,MAXTRAIN INTERNATION
FCOGPC2016010119,06/01/2016,BOOK STORES,GBR,Books and Periodicals,806.34,BLACKWELL S
FCOGPC2016010120,06/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,816,UBIQUS UK LIMITED
FCOGPC2016010121,06/01/2016,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",ISR,General Retail and Wholesale,838.25,ICON
FCOGPC2016010122,06/01/2016,ELECTRICAL CONTRACTORS,BHR,Building Services,840.78,ALFANAR ELECTRICAL
FCOGPC2016010123,06/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,USA,Miscellaneous Industrial/Commercial Supplies,841.88,REALSCREEN
FCOGPC2016010124,06/01/2016,TRAVEL,PAN,Airline,899.34,AIRLINE
FCOGPC2016010125,06/01/2016,HOTELS/MOTELS/RESORTS ,DEU,Hotels,941.43,ACCOMODATION PROVIDER 
FCOGPC2016010126,06/01/2016,ELECTRONIC SALES,CAN,General Retail and Wholesale,943.43,BEST BUY.CA 
FCOGPC2016010127,06/01/2016,"GROCERY STORES, SUPERMARKETS",LBN,General Retail and Wholesale,956.46,SPINNEYS HAZMIEH
FCOGPC2016010128,06/01/2016,TRAVEL AGENCIES,BIH,Travel Agencies,959.97,TRAVEL CENTAR D.O.O. S
FCOGPC2016010129,06/01/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",GBR,General Retail and Wholesale,971.81,DIPLOMATIC MISSION SUP
FCOGPC2016010130,06/01/2016,ELECTRICAL PARTS AND EQUIPMENT,GBR,Building Materials,989,WILTS ELECTRICAL BRITS
FCOGPC2016010131,06/01/2016,"SANITATION, POLISHING & SPECIALITY CLEANING PREP",JAM,Cleaning Services and Supplies,989.6,C & R ENTERPRISE
FCOGPC2016010132,06/01/2016,ELECTRONIC SALES,SAU,General Retail and Wholesale,991.46,AL-BASSAM TRAD EST
FCOGPC2016010133,06/01/2016,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",CAN,"Office Stationery, equipment and supplies","1,080.58",COPORATE EXPRESS CANAD
FCOGPC2016010134,06/01/2016,DEPARTMENT STORES,GBR,General Retail and Wholesale,"1,116",WWW.JOHNLEWIS.COM
FCOGPC2016010135,06/01/2016,TRAVEL,FRA,Airline,"1,126.60",AIRLINE
FCOGPC2016010136,06/01/2016,WHOLESALE CLUBS,NGA,General Retail and Wholesale,"1,145.08",ASTRAL WATERS LTD
FCOGPC2016010137,06/01/2016,HARDWARE EQUIPMENT AND SUPPLIES,ZWE,Miscellaneous Industrial/Commercial Supplies,"1,146.52",HALSTED BROTHERS PVT L
FCOGPC2016010138,06/01/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,"1,155.60",CIVIL SERVICE LEARNING
FCOGPC2016010139,06/01/2016,ELECTRONIC SALES,PAK,General Retail and Wholesale,"1,256.10",IKAS ELECTRIC
FCOGPC2016010140,06/01/2016,HOUSEHOLD APPLIANCE STORES,USA,General Retail and Wholesale,"1,404.31",PC RICHARD AND SON
FCOGPC2016010141,06/01/2016,MISCELLANEOUS PUBLISHING AND PRINTING,LUX,Print and advertising,"1,411.89",PAYPAL SCOOPMEDIA
FCOGPC2016010142,06/01/2016,"GROCERY STORES, SUPERMARKETS",ISR,General Retail and Wholesale,"1,428",ROZNER YEUDA SHIVUK LT
FCOGPC2016010143,06/01/2016,ELECTRICAL PARTS AND EQUIPMENT,GBR,Building Materials,"1,439.56",WILTS ELECTRICAL BRITS
FCOGPC2016010144,06/01/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"3,000",ACCOMODATION PROVIDER 
FCOGPC2016010145,07/01/2016,TRAVEL AGENCIES,IND,Travel Agencies,503.48,AMBASSADOR TRAVELS PVT
FCOGPC2016010146,07/01/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,IND,General Retail and Wholesale,532.3,SRI MADHURAMBAL AGENCI
FCOGPC2016010147,07/01/2016,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",JOR,"Vehicles, servicing and spares",542.9,JAGUAR (SUPPL.& MAINT.
FCOGPC2016010148,07/01/2016,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,DEU,Mail Order / Direct Selling,545.91,WWW.HANDELSBLATT.COM
FCOGPC2016010149,07/01/2016,AUTOMOBILE PARKING LOTS AND GARAGES,USA,General Retail and Wholesale,558.24,PREMIERE VALET SERVICE
FCOGPC2016010150,07/01/2016,"FABRIC, NEEDLEWORK, PIECE GOODS, AND SEWING STORES",JOR,General Retail and Wholesale,573.71,WARDE
FCOGPC2016010151,07/01/2016,CARPENTRY CONTRACTORS,NPL,Building Services,581.94,B.K SHRESTHA & BUILDER
FCOGPC2016010152,07/01/2016,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES",GBR,Training and Educational,585,WWW.ILXGROUP.COM
FCOGPC2016010153,07/01/2016,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,CAN,General Retail and Wholesale,596.43,EURO FORGINGS
FCOGPC2016010154,07/01/2016,TRAVEL AGENCIES,LBN,Travel Agencies,634.36,LETTCO TRAVEL
FCOGPC2016010155,07/01/2016,TRAVEL AGENCIES,LBN,Travel Agencies,634.36,LETTCO TRAVEL
FCOGPC2016010156,07/01/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",ZMB,Utilities and Non Automotive Fuel,641.36,ZESCO MANDA HIL
FCOGPC2016010157,07/01/2016,"ARCHITECTURAL, ENGINEERING, AND SURVEYING SERVICES",JOR,Professional Services,678.03,ENGINEERING DIMENSION
FCOGPC2016010158,07/01/2016,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",ITA,Catering and Catering Supplies,705.57,FORNO CIABATTINI F 
FCOGPC2016010159,07/01/2016,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",CAN,Computer Equipment & Services,710.38,DELL CANADA INC
FCOGPC2016010160,07/01/2016,TRAVEL AGENCIES,BIH,Travel Agencies,719.98,TRAVEL CENTAR D.O.O. S
FCOGPC2016010161,07/01/2016,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,PAN,General Retail and Wholesale,721.42,"FURNITURE CITY, S.A"
FCOGPC2016010162,07/01/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",ZMB,Utilities and Non Automotive Fuel,721.53,ZESCO MANDA HIL
FCOGPC2016010163,07/01/2016,CARPENTRY CONTRACTORS,NPL,Building Services,757.18,B.K SHRESTHA & BUILDER
FCOGPC2016010164,07/01/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,GBR,Training and Educational,764.16,CHARTERED INSTITUTE FO
FCOGPC2016010165,07/01/2016,TRAVEL,FRA,Airline,801.08,AIRLINE
FCOGPC2016010166,07/01/2016,TRAVEL,FRA,Airline,801.08,AIRLINE
FCOGPC2016010167,07/01/2016,HOTELS/MOTELS/RESORTS ,IND,Hotels,841.71,ACCOMODATION PROVIDER 
FCOGPC2016010168,07/01/2016,DUTY FREE STORES,DNK,General Retail and Wholesale,847.33,INCO CC KOPENHAVN
FCOGPC2016010169,07/01/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,859,ACCOMODATION PROVIDER 
FCOGPC2016010170,07/01/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,859,ACCOMODATION PROVIDER 
FCOGPC2016010171,07/01/2016,"DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS",AUS,Personal Services,861.09,POWDERSAFE PTY LTD
FCOGPC2016010172,07/01/2016,"DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS",AUS,Personal Services,861.09,POWDERSAFE PTY LTD
FCOGPC2016010173,07/01/2016,HOTELS/MOTELS/RESORTS ,PHL,Hotels,862.68,ACCOMODATION PROVIDER 
FCOGPC2016010174,07/01/2016,TRAVEL,PAN,Airline,871.7,AIRLINE
FCOGPC2016010175,07/01/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,USA,Miscellaneous Industrial/Commercial Supplies,912.78,KIDSCREEN.COM
FCOGPC2016010176,07/01/2016,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,SLV,Automotive Fuel,948.62,TEXACO MASFERRER
FCOGPC2016010177,07/01/2016,ELECTRONIC SALES,ROM,General Retail and Wholesale,972.85,MEDIA GALAXY FEERIA
FCOGPC2016010178,07/01/2016,"FABRIC, NEEDLEWORK, PIECE GOODS, AND SEWING STORES",JOR,General Retail and Wholesale,993.44,WARDE
FCOGPC2016010179,07/01/2016,DIRECT MARKETING-CATALOG MERCHANTS,GBR,Mail Order / Direct Selling,"1,005.22",STATIONERY OFFICE BOOK
FCOGPC2016010180,07/01/2016,"HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS",BLZ,Building Services,"1,008.75",IR LIMITED
FCOGPC2016010181,07/01/2016,"DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS",IRL,Personal Services,"1,016.88",G4S SECURE SOLUTIONS I
FCOGPC2016010182,07/01/2016,DIRECT MARKETING-CATALOG MERCHANTS,GBR,Mail Order / Direct Selling,"1,023.40",STATIONERY OFFICE BOOK
FCOGPC2016010183,07/01/2016,"HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS",BLZ,Building Services,"1,038.34",IR LIMITED
FCOGPC2016010184,07/01/2016,CARPENTRY CONTRACTORS,NPL,Building Services,"1,052.20",B.K SHRESTHA & BUILDER
