Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,3,3,9,9,20,19.4,8,8,5,4.6,0,0,45,44,0,0,0,0,2,2,0,0,2,2,47,46,"£167,864",£0,£0,£0,"£18,906","£15,233","£202,002","£11,765","£34,602","£46,367","£248,369",
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,96,92.75,176,170.2,272,265.08,242,236.43,134,119.99,0,0,920,884,37,36,1,1,2,1.8,0,0,40,38.8,960,923,"£2,663,472","£140,608","£501,899","£46,086","£668,897","£325,320","£4,346,282","£315,331",£0,"£315,331","£4,661,613",
Monitor - Independent Regulator of NHS Foundation Trusts,Executive Non-Departmental Public Body,Department of Health,14,13.56,3,3,19,18.07,79,74.39,17,16.7,0,0,132,126,7,7,16,15.6,26,21.8,0,0,49,44.4,181,170,"£702,562",£0,£0,£0,"£151,028","£73,918","£927,508","£590,489","£699,954","£1,290,443","£2,217,951",
National Institute for Health and Clinical Excellence,Special Health Authority,Department of Health,9,7.2,74,68.65,205,193.88,163,152.39,49,45.4,6,3.7,506,471,17,12.96,1,0.27,60,54.75,0,0,78,67.98,584,539,"£1,669,562","£13,044",£0,£0,"£217,443","£152,451","£2,052,501","£481,191","£1,800","£482,991","£2,535,492",
National Patient Safety Agency,Special Health Authority,Department of Health,0,0,28,27.2,37,36.0933,49,41.912,13,12.4,6,5.8,133,123,19,19,1,1,0,0,0,0,20,20,153,143,"£553,034",£0,£0,£0,"£66,058","£54,653","£673,745","£91,063","£21,308","£112,371","£786,116",
National Treatment Agency for Substance Misuse,Special Health Authority,Department of Health,1,1,27,25.6,47,43.29,73,69.8,7,6.6,0,0,155,146,0,0,0,0,1,0.6,0,0,1,0.6,156,147,"£679,874","£14,834",£0,£0,"£64,749","£53,078","£812,534","£7,250",£0,"£7,250","£819,784",
NHS Blood & Transplant,Special Health Authority,Department of Health,2555,2088,1174,1073,1509,1379,422,410,61,60,65,54,"5,786","5,064",183,183,29,29,23,23,0,0,235,235,"6,021","5,299","£11,946,828","£598,037",£0,"£315,039","£1,647,567","£1,036,803","£15,544,275","£592,636","£112,135","£704,771","£16,249,046",
NHS Business Services Authority,Special Health Authority,Department of Health,1642,1625.97,416,403.85,282,275.57,138,133.47,49,49,0,0,"2,527","2,488",15,15,1,0.6,0,0,0,0,16,15.6,"2,543","2,503","£4,549,700",£759,"£151,003","£229,042","£543,027","£363,871","£5,837,403","£22,763",£0,"£22,763","£5,860,166",
NHS Commissioning Board Authority,Special Health Authority,Department of Health,0,0,1,1,5,5,11,11,11,9.85,0,0,28,27,0,0,0,0,0,0,0,0,0,0,28,27,"£177,142",£0,£0,£0,"£33,658","£24,800","£235,600","£32,564","£100,611","£133,175","£368,775",
NHS Institute for Innovation & Improvement,Special Health Authority,Department of Health,2,1.6,28,26.65,41,38.1,73,70.52,27,25.4,1,1,172,163,35,32.3,0,0,25,20.5,0,0,60,52.8,232,216,"£1,371,165",£0,£0,£989,"£171,190","£117,161","£1,660,505","£170,732",£0,"£170,732","£1,831,237",
NHS Litigation Authority,Special Health Authority,Department of Health,6,5.6,17,16.1,42,41,44,42.93,5,5,0,0,114,111,6,5.04,0,0,4,4,0,0,10,9.04,124,120,"£391,686","£44,379",£0,£602,"£54,418","£41,071","£532,156","£32,751",£0,"£32,751","£564,907",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
