"Spend over �25,000 - Publication template",,,,,,,,,,,,,
,,,,,,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,VAT registration number,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),23/02/2011,Prescribing,Hospital & Community Services,Rotherham GP Practice,171395," 28,143.30 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),24/02/2011,Drug Services,PCT Wide,Rotherham GP Practice,171714," 36,939.14 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),24/02/2011,Cont Care,Local Partnership,Keypoint Law LLP,171931," 44,363.13 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/02/2011,Healthcare Contract,Hospital & Community Services,RBT (Connect) Ltd,168424," 27,224.34 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/02/2011,Healthcare Contract,Local Partnership,Metropolitan Borough of Rotherham,169643," 58,365.60 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Cont Care,Local Partnership,Metropolitan Borough of Rotherham,170217," 28,194.39 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,170372,"-40,000.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,167715," 27,709.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 208,654.99 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 108,858.66 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 129,528.29 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 181,121.05 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 74,865.43 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 96,999.85 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 126,119.50 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 69,610.05 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 51,236.02 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 114,932.22 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 62,110.34 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 46,725.67 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 58,587.03 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 127,153.21 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 68,462.77 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 49,436.21 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 64,742.19 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 36,451.31 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 52,577.72 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 23,072.94 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 55,587.99 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),15/02/2011,PMS,Primary Care PMS,Rotherham GP Practice,PMS," 44,882.32 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),28/02/2011,GMS,Primary Care GMS,Rotherham GP Practice,GMS," 81,718.85 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),28/02/2011,GMS,Primary Care GMS,Rotherham GP Practice,GMS," 30,593.27 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),28/02/2011,GMS,Primary Care GMS,Rotherham GP Practice,GMS," 77,757.76 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),28/02/2011,GMS,Primary Care GMS,Rotherham GP Practice,GMS," 82,386.28 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),28/02/2011,GMS,Primary Care GMS,Rotherham GP Practice,GMS," 49,705.52 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley Hospital NHS Foundation Trust,RFT," 152,093.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley Hospital NHS Foundation Trust,RFT,"-32,863.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT," 1,861,262.40 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT," 368,998.40 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT," 355,734.25 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT," 355,734.25 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT,"-76,033.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT," 216,772.08 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT," 75,408.34 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT," 70,693.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley PCT,RFT," 192,788.28 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Doncaster & Bassetlaw NHS Foundation Trust,RFT," 996,951.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Leeds Teaching Hospitals NHS Trust,RFT," 34,644.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Nottinghamshire Healthcare NHS Trust,RFT," 27,190.43 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Hospital & Community Services,Nottingham University Hospitals NHS Trust,RFT," 48,439.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Rotherham Doncaster and South Humber Mental Health NHS FND Trust,RFT," 2,104,560.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Hospital & Community Services,Rotherham Doncaster and South Humber Mental Health NHS FND Trust,RFT," 95,000.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Sheffield Childrens NHS Foundation Trust,RFT," 372,276.58 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Sheffield Childrens NHS Foundation Trust,RFT," 154,594.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Sheffield Childrens NHS Foundation Trust,RFT,"-59,734.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Sheffield Teaching Hospitals NHS FoundationTrust,RFT," 1,870,126.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Sheffield Teaching Hospitals NHS Foundation Trust,RFT," 167,044.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,RFT," 11,089,668.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,RFT," 1,800,000.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Yorkshire Ambulance Service,RFT," 505,348.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),10/02/2011,Healthcare Contract,Hospital & Community Services,Yorkshire Ambulance Service,RFT," 151,555.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),24/02/2011,Healthcare Contract,Hospital & Community Services,Sheffield Teaching Hospitals NHS Foundation Trust,RFT," 122,309.00 ",,,,,,
�
