Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/02/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1011054993,"33,228.69"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/02/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1011058160,"46,357.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1011062448,"72,742.26"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1011066516,"59,941.71"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,28/02/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1011070583,"60,299.68"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,ELECTRICITY,UTILITIES,NPOWER LTD,LGUD9537,"49,309.15"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,ELECTRICITY,UTILITIES,NPOWER LTD,LGUD9537,"8,974.27"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,ELECTRICITY,UTILITIES,NPOWER LTD,LGUD9537,776.61
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/02/2011,X-RAY EQUIPMENT : PURCHASES,RADIOLOGY,SIEMENS PLC,1019952358,"102,711.65"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050794140,"130,644.92"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,INTEREST EXPENSE ON FINANCE LEASE NON PFI NHSFT,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050794140,"8,584.70"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,OBLIGATIONS UNDER FINANCE LEASES AND HIRE PURCHASE CONTRACTS > ONE YEAR,BALANCE SHEET,SODEXO HEALTHCARE SERVICES LTD,9050794140,"6,397.38"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,GAS,UTILITIES,TOTAL GAS AND POWER LTD,64203518/11,"57,088.67"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,GAS,UTILITIES,TOTAL GAS AND POWER LTD,64203518/11,"11,214.12"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,GAS,UTILITIES,TOTAL GAS AND POWER LTD,64203518/11,"4,938.83"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,GAS,UTILITIES,TOTAL GAS AND POWER LTD,64203518/11,"2,053.13"
