Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,13135707,"2,373.43"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,13135707,"3,066.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,13135707,"17,333.39"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,13135707,"3,700.90"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Non NHS Payables <1Yr,BALANCE SHEET,LJ ACCOUNTS,13152765,"37,342.50"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,"3,445.48"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,97.01
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,838.69
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,"1,916.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,"1,605.53"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,362.67
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,"36,604.50"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,400
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,13162779,"6,542.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,"7,185.81"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,"37,608.49"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,233.02
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,"4,504.06"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,"3,891.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,"7,172.82"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,"1,013.42"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,"66,026.06"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,"2,250.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,13162780,587.1
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,"10,006.95"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,"53,777.08"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,338.87
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,907.41
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,"18,141.53"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,"2,755.60"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,"86,070.81"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,"2,916.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,13162781,"19,332.46"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,13162782,"11,294.53"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,13162782,"59,735.58"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,13162782,"50,814.19"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,13162782,"3,686.57"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,13162782,"2,547.24"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,13162782,"93,045.35"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,13162782,"2,250.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,13162782,"1,509.69"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13162783,"17,864.70"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13162783,"1,458.33"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13162783,"80,198.10"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13162783,287.27
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13162783,"3,329.78"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13162783,"6,333.33"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,13162783,"11,030.07"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,13162784,"4,438.35"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,13162784,"31,655.53"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,13162784,"2,186.83"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,13162784,"1,511.02"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,13162784,"26,687.56"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,13162784,833.33
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,13162784,"1,048.40"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"5,289.38"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"5,216.42"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"7,938.88"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"43,040.08"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,844.33
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"2,575.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"6,424.99"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"1,021.47"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"70,881.10"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"1,375.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,13162785,"1,048.40"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,13162786,"6,793.62"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,13162786,"1,250.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,13162786,"54,507.84"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,13162786,369.71
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,13162786,"3,503.04"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,13162786,"46,196.58"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,13162786,"30,730.04"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,13162786,"6,308.47"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,13162788,290.95
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,13162788,"29,630.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,13162789,"13,293.69"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,13162789,"4,500.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,13162789,"90,535.39"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,13162789,"3,874.94"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,13162789,"49,671.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,13162789,677.2
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,13162789,"71,408.52"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,13162789,"13,942.84"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,13162790,"12,223.11"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,13162790,"63,749.08"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,13162790,494.08
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,13162790,"2,931.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,13162790,"5,243.04"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,13162790,"87,216.02"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,13162790,"2,083.33"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,13162790,"2,432.28"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"5,139.28"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"6,800.48"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"1,088.38"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"3,660.15"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"2,861.66"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"1,812.03"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"1,040.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"2,885.34"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"48,978.56"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"1,000.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,13162791,"8,219.44"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,13162792,"6,247.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,13162792,"31,025.15"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,13162792,"3,638.33"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,13162792,"2,037.75"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,13162792,"51,733.84"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,13162792,"1,300.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,13162792,"3,564.55"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,"3,933.64"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,"15,938.96"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,13162793,151.94
