Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,Warrington PCT,26/03/2012,Other Public Sector,Young Adult Physical Health,WARRINGTON BOROUGH COUNCIL,"12,892.08"
Department of Health,Warrington PCT,26/03/2012,Assets Under Construction Additions,Capital Spend,INGHAM & GARNER LTD,"183,000.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"-88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"354,925.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"88,735.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"-354,925.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"-88,735.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"-88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"-88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"323,185.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"-88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"-88,732.00"
Department of Health,Warrington PCT,21/03/2012,Personal Dental Services,Dental  - Garven Place,BRIDGEWATER COMMUNITY HEALTHCARE,"-88,732.00"
Department of Health,Warrington PCT,21/03/2012,Postage & Carriage,General Medical Services - General,WESTERN CHESHIRE PCT,846
Department of Health,Warrington PCT,21/03/2012,Premises & Miscellaneous Actual Other,General Medical Services - General,WESTERN CHESHIRE PCT,"2,586.21"
Department of Health,Warrington PCT,30/03/2012,Asset Under Construction Additions,Capital Spend,PARTNERS 4 LIFT (F6) LTD,"84,000.00"
Department of Health,Warrington PCT,15/03/2012,Rent,Child Development Centre Sandy Lane - M Campbell,PARTNERS 4 LIFT F4 LTD,"33,508.12"
Department of Health,Warrington PCT,08/03/2012,Rent,PCT Head Quarters - M Campbell,EDMUND KIRBY,"44,854.93"
Department of Health,Warrington PCT,19/03/2012,Rent,Spencer House - M Campbell,AMAS LTD,"38,690.40"
Department of Health,Warrington PCT,15/03/2012,Rent,Warrington Wolves - M Campbell,WARRINGTON FC LTD,"37,620.00"
Department of Health,Warrington PCT,23/03/2012,Services Received - NHSTs,Information Technology - D Eyre,BRIDGEWATER COMMUNITY HEALTHCARE,"25,250.00"
Department of Health,Warrington PCT,07/03/2012,Services Received - PCTs,Estates Strategy - M Campbell,HALTON AND ST HELENS PCT,"25,500.00"
Department of Health,Warrington PCT,21/03/2012,Services Received - PCTs,Primary Care Commissioning,WESTERN CHESHIRE PCT,"77,449.00"
Department of Health,Warrington PCT,01/03/2012,Voluntary Sector,WARRINGTON COMMUNITY CARE - Bewsey St,WARRINGTON COMMUNITY CARE,"21,064.00"
Department of Health,Warrington PCT,01/03/2012,Voluntary Sector,WARRINGTON COMMUNITY CARE - Care co-odinator,WARRINGTON COMMUNITY CARE,"55,722.00"
Department of Health,Warrington PCT,01/03/2012,Voluntary Sector,WARRINGTON COMMUNITY CARE - Westleigh Hse,WARRINGTON COMMUNITY CARE,"24,925.00"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Alternative Primary Medical Services,WARRINGTON GP HEALTH CENTRE,"81,656.25"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Alternative Primary Medical Services,CULCHETH HEALTH CARE,"82,527.02"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,280 MANCHESTER ROAD,"41,456.54"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,BEWSEY STREET MEDICAL CENTRE,"72,459.25"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,BIRCHWOOD MEDICAL CENTRE,"161,202.51"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,CAUSEWAY MEDICAL CENTRE,"81,745.76"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,COCKHEDGE MEDICAL CENTRE,"95,512.58"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,ERIC MOORE PARTNERSHIP,"135,980.10"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,FAIRFIELD SURGERY,"34,668.34"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,FEARNHEAD MEDICAL CENTRE,"171,345.77"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,FOLLY LANE MEDICAL CENTRE,"136,305.80"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,FOUR SEASONS MEDICAL CENTRE,"39,968.60"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,GREENBANK MEDICAL CENTRE,"138,264.61"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,GUARDIAN ST MEDICAL CENTRE,"134,499.10"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,HOLES LANE SURGERY,"160,030.64"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,JACKSON AVENUE - CULCHETH,"42,134.17"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,LATCHFORD MEDICAL CENTRE,"72,320.89"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,O'LEARY STREET SURGERY,"72,804.29"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,PADGATE MEDICAL CENTRE,"93,976.92"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,STOCKTON HEATH MEDICAL CENTRE,"227,834.54"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,STRETTON MEDICAL CENTRE,"69,465.41"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,Primary Medical Services,WESTBROOK MEDICAL CENTRE,"141,330.65"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,General Medical Services,BROOKFIELD SURGERY,"114,789.94"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,General Medical Services,ERIC MOORE HEALTH CENTRE,"57,271.06"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,General Medical Services,HELSBY STREET SURGERY,"123,099.32"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,General Medical Services,LAKESIDE SURGERY,"118,644.74"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,General Medical Services,PENKETH MEDICAL CENTRE,"215,177.04"
Department of Health,Warrington PCT,31/03/2012,GP - PRIMARY CARE,General Medical Services,THOMPSON AVENUE,"78,834.06"
Department of Health,Warrington PCT,31/03/2012,OPTHALMIC,OPTHALMIC,SPECSAVERS WARRINGTON,"72,592.98"
