Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,28/07/2011,Receivers Fees - Confiscation Expenses,Organised Crime Division,Baker Tilly Restructuring and Recovery London,270711,"41,400.00",Baker Tilly Fees,EC4A 4AB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2011,Crown Court Graduated Fee Scheme,Manchester,Reid Paul ,1093427,"38,386.13",Crown Court Graduated Fee Scheme,M2 5EL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2011,Crown Court Graduated Fee Scheme,Organised Crime Division,Moulson Peter ,1093464,"51,951.17",Crown Court Graduated Fee Scheme,LS1 2LW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2011,Crown Court Graduated Fee Scheme,London,Lovell-Pank Dorian C ,1093578,"35,354.34",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2011,Crown Court Graduated Fee Scheme,West Midlands,Raggatt Timothy ,1093613,"92,946.22",Crown Court Graduated Fee Scheme,B2 5LG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2011,Crown Court Graduated Fee Scheme,Sussex,Mcatasney Philippa ,1093620,"42,685.36",Crown Court Graduated Fee Scheme,EC4A 1JQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2011,Crown Court Graduated Fee Scheme,Nottinghamshire,Latham Richard ,1093719,"56,165.28",Crown Court Graduated Fee Scheme,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2011,Crown Court Graduated Fee Scheme,Organised Crime Division,Dallas A ,1093783,"76,605.10",Crown Court Graduated Fee Scheme,LS1 2LW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/07/2011,Crown Court Graduated Fee Scheme,Hampshire,Feest Adam ,1093923,"31,275.24",Crown Court Graduated Fee Scheme,EC4Y 7DE,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/07/2011,Crown Court Very High Cost Cases,Organised Crime Division,Reid Martin ,1094499,"31,011.00",Crown Court Very High Cost Cases,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/07/2011,Crown Court Graduated Fee Scheme,Hampshire,Evans Susan ,1094849,"25,850.87",Crown Court Graduated Fee Scheme,SO23 9EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/07/2011,Crown Court Very High Cost Cases,Organised Crime Division,Altham John Robert Carr ,1094933,"40,387.20",Crown Court Very High Cost Cases,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/07/2011,Legacy RCPO Scheme Fees,Central Fraud Group,Menary Andrew ,1095313,"26,087.94",Liverpool CC 060411-300411,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/07/2011,Crown Court Very High Cost Cases,Special Crime Division,Bennett James ,1095394,"78,949.80",Crown Court Very High Cost Cases,BS1 2HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Crown Court Graduated Fee Scheme,Lancashire,Marks Richard ,1096572,"106,386.34",Crown Court Graduated Fee Scheme,M3 4DJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Crown Court Graduated Fee Scheme,North Wales,Jones Wyn Lloyd ,1096693,"39,025.88",Crown Court Graduated Fee Scheme,CH1 2LU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Crown Court Very High Cost Cases,Hampshire,Parker Christopher ,1096729,"35,682.72",Crown Court Very High Cost Cases,SO23 8BW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Crown Court Graduated Fee Scheme,West Mercia,Linehan Stephen ,1096847,"30,619.52",Crown Court Graduated Fee Scheme,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Crown Court Graduated Fee Scheme,Manchester,Bentham Howard ,1096986,"29,239.32",Crown Court Graduated Fee Scheme,M3 4DJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Crown Court Graduated Fee Scheme,Kent,Cheema Parmjit Kaur ,1097039,"49,070.27",Crown Court Graduated Fee Scheme,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Legacy RCPO Scheme Fees,Central Fraud Group,Stubbs Andrew ,1097457,"30,699.18",Liverpool CC 010611-300611,LS1 2ND,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Crown Court Graduated Fee Scheme,Dorset,Mousley William Howard ,1097537,"50,615.86",Crown Court Graduated Fee Scheme,EC4Y 7DE,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Crown Court Graduated Fee Scheme,Kent,Atkinson Duncan ,1097594,"42,656.84",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Crown Court Graduated Fee Scheme,London,Coxhill Fraser ,1097648,"32,036.80",Crown Court Graduated Fee Scheme,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Crown Court Graduated Fee Scheme,London,Larkin Sean ,1097737,"91,799.00",Crown Court Graduated Fee Scheme,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Crown Court Very High Cost Cases,London,Evans Philip ,1097739,"34,740.00",Crown Court Very High Cost Cases,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/07/2011,Crown Court Graduated Fee Scheme,Dorset,Climie Stephen ,1097983,"38,794.69",Crown Court Graduated Fee Scheme,WC2R 1BA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/07/2011,Crown Court Graduated Fee Scheme,Dorset,Shaw Barnaby ,1097988,"79,092.71",Crown Court Graduated Fee Scheme,EC4Y 7EP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/07/2011,Crown Court Graduated Fee Scheme,Avon & Somerset,Bremridge Lee ,1097995,"64,302.78",Crown Court Graduated Fee Scheme,EX4 4DW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/07/2011,Crown Court Graduated Fee Scheme,London,Raudnitz Paul ,1098218,"65,155.60",Crown Court Graduated Fee Scheme,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/07/2011,Crown Court Very High Cost Cases,London,Evans Julian ,1098219,"49,776.00",Crown Court Very High Cost Cases,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/07/2011,Crown Court Graduated Fee Scheme,Kent,Griffin Lynn ,1098378,"33,641.30",Crown Court Graduated Fee Scheme,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/07/2011,Crown Court Graduated Fee Scheme,Central Fraud Group,Dawes James ,1098403,"75,990.27",Crown Court Graduated Fee Scheme,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/07/2011,Foreign Witness Expenses,Central Fraud Group,Metropolitan Police London,1098405,"3,787.64",Repayments of flights for witnesses,SW6 1TR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/07/2011,Foreign Witness Expenses,London,Metropolitan Police London,1098405,"59,219.06",Repayments of flights for witnesses,SW6 1TR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/07/2011,Crown Court Graduated Fee Scheme,Central Fraud Group,Shorrock John Michael ,1098410,"151,963.99",Crown Court Graduated Fee Scheme,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/07/2011,Crown Court Graduated Fee Scheme,Kent,Altman Brian ,1098426,"86,900.32",Crown Court Graduated Fee Scheme,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Crown Court Graduated Fee Scheme,London,Hallam Jacob ,1098788,"41,149.08",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Crown Court Graduated Fee Scheme,London,Cohen Samantha ,1098793,"32,537.39",Crown Court Graduated Fee Scheme,WC1R 4AZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Crown Court Graduated Fee Scheme,London,Brown James Richard Charles ,1098798,"35,340.47",Crown Court Graduated Fee Scheme,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Crown Court Graduated Fee Scheme,London,Denison Simon ,1098907,"80,383.02",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Crown Court Graduated Fee Scheme,London,Farmer Matthew ,1098908,"49,902.89",Crown Court Graduated Fee Scheme,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Crown Court Graduated Fee Scheme,London,Bickerstaff Jane ,1098942,"84,605.30",Crown Court Graduated Fee Scheme,WC1R 4AZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Crown Court Very High Cost Cases,Special Crime Division,Haskell James ,1099153,"35,405.40",Crown Court Very High Cost Cases,BS1 2HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2011,Crown Court Graduated Fee Scheme,South Wales,Taylor Gregg ,1100007,"40,515.47",Crown Court Graduated Fee Scheme,CF10 3DP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/07/2011,Expert Fees,Special Crime Division,J P French Associates York,1100413,"43,200.00",Op Norbury,YO24 1AR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/07/2011,Costs Awards Against CPS,Organised Crime Division,Rainer Hughes Shenfield,1100550,"185,000.00",Windsor and Hare,CM15 8QY,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/07/2011,Crown Court Graduated Fee Scheme,Kent,Higgs Jonathan ,1100658,"67,025.72",Crown Court Graduated Fee Scheme,EC4Y 7DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/07/2011,Crown Court Graduated Fee Scheme,London,Hehir Christopher ,1100784,"34,890.96",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/07/2011,Crown Court Graduated Fee Scheme,London,Aylett Crispin David William  ,1100834,"30,428.70",Crown Court Graduated Fee Scheme,WC1R 5BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/07/2011,Crown Court Graduated Fee Scheme,London,Penny Duncan ,1100843,"31,218.19",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2011,Crown Court Graduated Fee Scheme,North Wales,Evans Elwen ,1101053,"82,473.26",Crown Court Graduated Fee Scheme,SA1 4BQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/07/2011,Crown Court Graduated Fee Scheme,London,Gadsden Mark ,1101709,"25,165.91",Crown Court Graduated Fee Scheme,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Logica contract,Business Information Sys Dir,Logica UK Limited London,5009195,"68,533.30",GC Agency Management Charge,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Logica contract,Business Information Sys Dir,Logica UK Limited London,5009195,"502,453.58",T3 Revised Core infrastructure Transition Charge,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Logica contract,Business Information Sys Dir,Logica UK Limited London,5009195,"215,259.61",Unitary Charges for CCRs,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Transcriptions And Translation,Corporate,Wordwave International Ltd,5009199,"29,938.79",Transcriptions And Translation,EC4A 2AG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Business Information Sys Dir,Global Crossing Ltd,5009205,"19,332.00",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Corporate,Global Crossing Ltd,5009205,"36,449.72",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Essex,Global Crossing Ltd,5009205,944.62,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Finance Directorate,Global Crossing Ltd,5009205,"1,368.00",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Hampshire,Global Crossing Ltd,5009205,"1,153.50",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Human Resource Directorate,Global Crossing Ltd,5009205,216,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Kent,Global Crossing Ltd,5009205,900,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,London,Global Crossing Ltd,5009205,957.6,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Manchester,Global Crossing Ltd,5009205,707.05,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Merseyside,Global Crossing Ltd,5009205,261,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Northumbria,Global Crossing Ltd,5009205,22.5,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Nottinghamshire,Global Crossing Ltd,5009205,"1,019.28",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,South Wales,Global Crossing Ltd,5009205,52.5,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,Thames Valley,Global Crossing Ltd,5009205,403.99,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,West Midlands,Global Crossing Ltd,5009205,"1,116.00",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/07/2011,Contractor/Service (Contract Management) - Global Crossing,West Yorkshire,Global Crossing Ltd,5009205,963,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2011,Communication & Technical Equipment (Capital Costs),Corporate,Global Crossing Ltd,5009230,"98,918.32",IT Links Enabling Works,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/07/2011,Overseas Accommodation & Allowances,Organised Crime Division,Foreign And Commonwealth Office,5009251,"27,166.28",TRP Port Of Spain recharges OGD,MK10 1PX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/07/2011,Other Accommodation Costs,Corporate,ISS Facility Services Ltd,5009260,"113,188.55",FM Service June2011,GU21 5RW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/07/2011,Transcriptions And Translation,Corporate,J L Harpham Ltd,5009263,"64,707.84",Transcriptions And Translation,YO1 8AJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/07/2011,Logica contract,Business Information Sys Dir,Logica UK Limited London,5009281,"69,672.52",IT Set Up charges,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/07/2011,Computer Services,Finance Directorate,Mckesson Information Solutions,5009330,"224,423.40",CPS FARMS Contract 2 Year Extension Apr-June'11,CV34 6NZ,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,11/07/2011,Reprographics - Other Costs,Merseyside,Xerox (UK) Ltd,5009369,"38,144.84",COPY CHARGES,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/07/2011,Logica contract,Special Crime Division,Logica UK Limited London,5009370,"55,857.60",CCR03014 CMS Improvements to Support Appeals,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/07/2011,Transcriptions And Translation,Corporate,AVR Transcription Ltd Bolton,5009393,"62,197.85",Transcriptions And Translation,BL6 6HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/07/2011,Transcriptions And Translation,Corporate,Mendip Media Group Ltd Tiverton,5009412,"56,661.44",Transcriptions And Translation,EX16 6SS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/07/2011,Logica contract,Business Information Sys Dir,Logica UK Limited London,5009426,"41,124.05",RCPO CCR02365,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,13/07/2011,Reprographics - Other Costs,Corporate,Xerox (UK) Ltd,5009449,"25,663.17",Reprographics - Other Costs,UB8 1HS,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,13/07/2011,Reprographics - Other Costs,Corporate,Xerox (UK) Ltd,5009449,"25,663.18",Reprographics - Other Costs,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,13/07/2011,Postage,Corporate,DX Network Services Ltd,5009471,"28,774.73",York Subs,SL0 9JQ,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Electricity,Corporate,EDF Energy,5009485,"30,875.41",Electricity,PL3 5XQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Avon & Somerset,Logica UK Limited London,5009519,"2,771.70",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica contract,Business Information Sys Dir,Logica UK Limited London,5009519,"13,029.50",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Central Fraud Group,Logica UK Limited London,5009519,"2,031.90",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Corporate,Logica UK Limited London,5009519,824.06,MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Corporate,Logica UK Limited London,5009519,"2,451.06",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Essex,Logica UK Limited London,5009519,"10,079.35",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Finance Directorate,Logica UK Limited London,5009519,133.22,MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Hampshire,Logica UK Limited London,5009519,"5,394.29",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Human Resource Directorate,Logica UK Limited London,5009519,68.34,MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Kent,Logica UK Limited London,5009519,"8,073.35",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,London,Logica UK Limited London,5009519,"8,556.41",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Manchester,Logica UK Limited London,5009519,"9,733.93",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Merseyside,Logica UK Limited London,5009519,"3,159.93",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Northumbria,Logica UK Limited London,5009519,"9,589.06",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Nottinghamshire,Logica UK Limited London,5009519,"16,583.89",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,South Wales,Logica UK Limited London,5009519,"9,402.30",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Special Crime Division,Logica UK Limited London,5009519,"3,696.78",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,Thames Valley,Logica UK Limited London,5009519,"11,925.00",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,West Midlands,Logica UK Limited London,5009519,"11,367.80",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2011,Logica / Xerox MFD click charges,West Yorkshire,Logica UK Limited London,5009519,"19,870.49",MFD Click Charges May 2011,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Reprographics - Lease/Hire Charges,London,Xerox (UK) Ltd,5009568,"43,905.49",Reprographics - Lease/Hire Charges,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Reprographics - Other Costs,London,Xerox (UK) Ltd,5009568,"159,975.21",Copy Charges,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Reprographics - Lease/Hire Charges,West Midlands,Xerox (UK) Ltd,5009568,"32,819.50",Reprographics - Lease/Hire Charges,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Reprographics - Other Costs,West Midlands,Xerox (UK) Ltd,5009568,"20,438.59",Reprographics - Other Costs,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Contractor/Service (Contract Management) - Global Crossing,Avon & Somerset,Global Crossing Ltd,5009587,216,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Contractor/Service (Contract Management) - Global Crossing,Business Information Sys Dir,Global Crossing Ltd,5009587,"22,472.60",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Contractor/Service (Contract Management) - Global Crossing,Corporate,Global Crossing Ltd,5009587,"5,677.00",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Contractor/Service (Contract Management) - Global Crossing,Essex,Global Crossing Ltd,5009587,904.73,Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2011,Contractor/Service (Contract Management) - Global Crossing,Finance Directorate,Global Crossing Ltd,5009587,"1,368.00",Managed Voice Services,RG24 8NA,Not available,Not available,Not available,Administration
