"Figure 6.1: Key telecoms indicators, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,-0.43%,-1.05%,-2.80%,-1.90%,-3.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,4.79%,4.38%,5.07%,1.28%,-3.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,1.76%,-1.73%,3.81%,-0.49%,1.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,-1.18%,-1.04%,-2.28%,2.91%,1.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,4.78%,8.02%,0.44%,1.93%,-4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,11.61%,4.66%,7.22%,1.79%,-4.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,0.52%,1.64%,4.71%,2.29%,-9.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,14.63%,6.35%,11.73%,10.24%,6.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,9.10%,8.07%,7.40%,4.53%,1.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,18.71%,28.70%,28.68%,17.49%,0.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,8.18%,15.62%,19.66%,9.37%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for the BRIC countries exclude fixed broadband revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.7:  NGA deployments and planned deployments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,,,GER,,ITA,,USA,,JPN,,AUS,,ESP,,NED,,,SWE,IRE,RUS,,,,,,,,,,,
,BT,Virgin Media,France Telecom,Iliad/Free,SFR,Numericable,Deutsche Telekom,Cable networks,Telecom Italia,FastWeb,AT&T,Verizon,NTT,KDDI,NBN,Telstra,Telefonica,ONO,KPN/ReggiFiber,UPC,Ziggo,Teliasonera,UPC,Beeline/V'com,ER,,,,,,,,,,
Deployed end 2009,0%,48%,2%,1%,1%,16%,27%,20%,1%,8%,19%,13%,92%,29%,0%,12%,2%,15%,8%,34%,55%,6%,33%,15%,7%,,,,,,,,,,
In deployment/planned,15%,2%,38%,13%,16%,13%,3%,40%,4%,32%,6%,2%,,,90%,16%,16%,26%,20%,,,39%,2%,,,,,,,,,,,,
,25%,,,,,,,,35%,,,,,,,,,,,,,,,,,,,,,,,,,,
,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,66%,50%,40%,14%,18%,29%,30%,60%,40%,40%,25%,15%,92%,29%,90%,29%,18%,41%,27%,34%,55%,45%,35%,15%,7%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, based on operator announcements and third-party data including Cullen International and IDATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Includes announcements from the largest operators only; estimates have been used where there is lack of clarity on timelines; deployments are typically gradual and incremental – the year given marks the end of a planned deployment phase ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.8: Actual and forecast availability of FTTH/B (excludes cable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,92%,94%,95%,97%,97%,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,29%,36%,42%,45%,48%,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,1%,8%,23%,34%,39%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,1%,3%,9%,18%,27%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,8%,10%,15%,20%,27%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,20%,23%,25%,27%,29%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,16%,20%,22%,23%,24%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,0%,2%,5%,9%,14%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,9%,9%,11%,13%,15%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE, World FTTx markets, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.10: Household take-up of superfast broadband, end 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTTH/B,VDSL,Cable >30Mbit/s,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,0.00%,0.00%,0.20%,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,0.30%,0.00%,0.80%,1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,0.20%,1.80%,0.00%,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,1.30%,0.10%,0.00%,1.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,4.80%,2.30%,0.00%,7.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,0.00%,3.10%,0.00%,3.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,34.40%,0.00%,0.00%,34.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,0.40%,0.00%,0.00%,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPA,0.20%,0.00%,0.20%,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,2.70%,2.50%,0.00%,5.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,12.00%,0.00%,0.00%,12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,5.90%,0.00%,0.00%,5.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,0.20%,0.00%,0.00%,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, based on operator announcements and third-party data including Cullen International and IDATE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.11: Maximum theoretical download speeds available via mobile networks, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum theoretical download speed  commercially available (Mbit/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,SWE,IRL,POL,RUS,,,,,,,,,,,,,,,,,,,,,,
HSPA,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSPA+,,,28,28,,21,42,42,21,,21,42,21,,,,,,,,,,,,,,,,,,,,,,
LTE,,,,,30,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
,14,14,28,28,30,21,42,42,21,100,21,42,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, Global Mobile Suppliers Association (GSA), Technology Update, 29 October 2010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.13: Do you or another member of your household use a PC to make phone calls over the internet?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,11%,24%,13%,14%,14%,15%,12%,9%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,17%,26%,17%,14%,12%,20%,22%,20%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: European Commission E-Communications Household Survey Report, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.14: VoIP subscribers per 100 population, 2006 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscriptions per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2006,2.6,10.4,3.4,2.1,1.8,4.8,10.8,2.2,0.5,12.1,4.5,0.6,0,,,,,,,,,,,,,,,,,,,,,,
2009,5.4,26.3,10.6,9.5,9.9,10,17.6,14,3.4,20.1,10.8,5.7,1.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Excludes those making only PC-to-PC VoIP calls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.15: Growth in VoIP subscribers per 100 population, 2006 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscribers per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
 End 2005,0.7,5.2,1.5,1.4,1,2.5,9,0.5,0.3,4.7,2.4,0,0,,,,,,,,,,,,,,,,,,,,,,
2006,2,5.2,1.9,0.7,0.9,2.4,1.8,1.7,0.2,7.4,2.1,0.6,0,,,,,,,,,,,,,,,,,,,,,,
2007,1.9,6.7,3.6,2.2,1.7,2.1,2.4,2.3,0.3,2.2,2.3,1,0.1,,,,,,,,,,,,,,,,,,,,,,
2008,0.5,5.3,1.9,2.1,3,1.8,2.2,5.7,0.9,3.1,1.5,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,
2009,0.4,3.9,1.6,3.1,3.4,1.2,2.2,4,1.7,2.7,2.4,2.6,0.7,,,,,,,,,,,,,,,,,,,,,,
Total,5.4,26.3,10.6,9.5,9.9,10,17.6,14,3.4,20.1,10.8,5.7,1.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Excludes those making only PC-to-PC VoIP calls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.16: VoIP share of fixed telephony revenues, 2006 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2006,0.80%,3.30%,0.80%,0.80%,1.40%,1.70%,4.00%,0.70%,0.20%,4.60%,3.30%,0.10%,0.00%,,,,,,,,,,,,,,,,,,,,,,
2009,3.60%,14.10%,2.60%,4.90%,12.60%,4.90%,8.80%,5.70%,1.50%,15.20%,8.80%,1.80%,0.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Excludes those making only PC-to-PC VoIP calls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.17: Total comparator country retail telecoms revenue, by sector, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed ,223,217,207,200,192,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile,240,261,283,308,324,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband ,25,33,42,50,55,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,488,511,532,558,571,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Excludes revenue from narrowband internet and corporate data services and broadband revenues for BRA, RUS, IND and CHN; covers only the 17 countries in the analysis; figures have been restated to reflect more accurate data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.18: Telecoms service retail revenue, by nation and by sector, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
Fixed ,9.2,9.7,12.7,8.3,61.8,6.4,19.4,4.2,5.5,2.3,1.3,1,1.3,14.1,5.2,2.6,12.6,,,,,,,,,,,,,,,,,,
Mobile,14.9,18.1,19.7,13.7,97.6,8.8,44.9,7.3,12.9,4.5,1.9,1.2,4,15.9,11.2,7.7,48.1,,,,,,,,,,,,,,,,,,
