Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,OTHER CREDITORS < ONE YEAR,PAYROLL,NHS PENSIONS AGENCY,EA6509 YR12MTH1,"156,914.12"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,LEASE RENTS,CENTRAL FINANCE,MEDICAL PROPERTIES LTD,LINV003951,"91,711.02"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/22/12,B8A SENIOR MGRS,CENTRAL FINANCE,NORTH TYNESIDE COUNCIL,M0005485813,"31,144.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/09/2012,ADDITIONS - INFORMATION TECHNOLOGY,ASSETS,BT INET,OP/I127341,"79,988.04"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0181905,"285,761.26"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0182971,"282,241.35"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/09/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185063,"268,822.55"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185081,"49,847.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/04/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185302,"50,238.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/18/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185593,"63,581.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185596,"93,189.58"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185850,"14,969,791.67"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185868,"3,253,478.66"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185869,"146,380.50"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,GENERAL DENTAL SERVICES,PRIMARY CARE FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0185872,"126,276.00"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,MINOR WORKS,CENTRAL FINANCE,NORLAND MANAGED SERVICES LTD,S00231727,"26,709.47"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,MINOR WORKS,CENTRAL FINANCE,NORLAND MANAGED SERVICES LTD,S00231729,"26,709.47"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,ADDITIONS - ASSETS UNDER CONSTRUCTION,ASSETS,NORLAND MANAGED SERVICES LTD,S00231740,"17,618.19"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/01/2012,MINOR WORKS,CENTRAL FINANCE,NORLAND MANAGED SERVICES LTD,S00231740,"20,181.81"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/04/2012,ADDITIONS - ASSETS UNDER CONSTRUCTION,ASSETS,NORLAND MANAGED SERVICES LTD,S00234388,"28,118.18"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/04/2012,TELEPHONE RENTAL AND CALL CHARGES,CENTRAL FINANCE,BRITISH TELECOMMUNICATIONS PLC,VP34988270Q02001XM,"43,288.49"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Saville MG,,"237,728.77"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Freeman Clinics,,"211,545.51"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Prospect House MG,,"145,433.92"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,The Grove MG,,"129,582.27"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Dr Lovedale & Partners,,"117,522.90"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Walker Medical,,"107,697.99"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,AJ Smith & Partners,,"104,636.25"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Park Medical Group,,"101,479.23"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Thornfield MG,,"100,103.86"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,GBS Re N Tyneside,,"98,469.19"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Biddlestone HC,,"93,662.83"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Holmside MG,,"90,268.93"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Betts Avenue MG,,"85,233.48"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Drs Turner Antoun,,"84,855.23"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Dr Palmer & Partners,,"81,063.17"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Gosforth Memorial MG,,"74,966.36"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Dr Edmunds & Partners,,"69,883.83"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Parkway MG,,"66,333.57"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Dr Bookless,,"65,630.41"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Denton Park MG,,"65,250.80"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Denton Turret MG,,"64,485.68"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Dr Cogan & Partners,,"63,727.24"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,St Anthony MG,,"62,063.32"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Heaton Road Surgery,,"62,001.46"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Roseworth Surgery,,"58,569.80"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Falcon House MG,,"57,154.93"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Dr Scott & Partners,,"52,014.76"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,University MG,,"45,567.04"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Dilston MC,,"45,381.34"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Elmfield HC,,"40,713.99"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,The Surgery,,"39,964.45"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,OPT,S/Alone,Ncle Visionplus,,"38,508.58"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,EV - Exeter,Drs Wadge Stack,,"37,210.39"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/31/12,GMS,S/Alone,City of Newcastle,,"28,210.40"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,PMS,EV - Exeter,Broadway MG,,"25,696.64"
Department of Health,NEWCASTLE PCT (COMMISSIONING),05/15/12,GMS,EV - Exeter,Malling Health UK,,"25,065.71"

,,,,,,,
