Department Family,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction Number,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000191194,34.65
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,CAR HIRE,CHIEF EXECUTIVE,TRAVEL&EVENTS-VEHICLE HIRE,COMPANY BARCLAYCARD,0000191194,88.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,COMPANY BARCLAYCARD,0000191194,10.93
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FUEL (VEHICLE),CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,COMPANY BARCLAYCARD,0000191194,15.43
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000191194,2.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - AIR,CHIEF EXECUTIVE,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000191195,835.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000191195,107.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,10 HRS + SUBSISTENCE,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191324,5.87
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,5 HRS + SUBSISTENCE,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191324,1.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000191324,22.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191324,2.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191334,49.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,DURRANTS LIMITED,0000190679,148.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,DURRANTS LIMITED,0000190680,368.21
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000190820,428.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000190821,605.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/03/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,OPUS INT CONSULTANTS (UK),0000189537,2125.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/03/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,INTEGRATED WATER SERVICES,0000189576,82220.02
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2012,PUMP OVERHAULS,ENVIRONMENT,LOGISTICS-WAREHOUSE&STORAGE,WEIR PUMPS LIMITED,0000189818,15000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/04/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000189901,125.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,E.ON UK,0000190011,300.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,O2 (UK) LIMITED,0000190019,14.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,O2 (UK) LIMITED,0000190020,14.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,O2 (UK) LIMITED,0000190021,18.77
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/03/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000190023,1000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/04/2012,PUMP TESTS,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,INTEGRATED WATER SERVICES,0000190076,21361.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,OPUS INT CONSULTANTS (UK),0000190260,2825.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,NATIONAL COAL MINING MUSE,0000190261,3280.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/03/2012,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,NATIONAL COAL MINING MUSE,0000190262,1350.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,WYLESS PLC,0000190263,50.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/04/2012,RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,WEST LOTHIAN COUNCIL,0000190268,27434.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/04/2012,RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,WEST LOTHIAN COUNCIL,0000190269,35678.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,NATIONAL COAL MINING MUSE,0000190270,10127.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190271,2052.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W OUTLINE DESIGN,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,RISK & POLICY ANALYSTS LT,0000190272,8172.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/04/2012,CURR YR ADD-BROUGHT PLNT/MCHNY,ENVIRONMENT,ENGINEERING GOODS-INDUSTRIAL,INTEGRATED WATER SERVICES,0000190275,800.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/04/2012,CURR YR ADD-BROUGHT PLNT/MCHNY,ENVIRONMENT,ENGINEERING GOODS-INDUSTRIAL,INTEGRATED WATER SERVICES,0000190275,800.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/04/2012,CURR YR ADD-BROUGHT PLNT/MCHNY,ENVIRONMENT,ENGINEERING GOODS-INDUSTRIAL,INTEGRATED WATER SERVICES,0000190275,800.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,1026.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,1026.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,342.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,2052.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,1026.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,342.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,684.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,1026.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,1026.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ENERGY&UTILITIES-WATER,ENVIRONMENT AGENCY WALES,0000190282,342.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000190389,394.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,UNIVAR LIMITED,0000190406,2689.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,UNIVAR LIMITED,0000190407,9052.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ENGRNG GOODS-NON-MDICL CHMCLS,SNF (UK) LIMITED,0000190410,2000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/04/2012,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,ENTECH USB LIMITED,0000190411,484.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000190413,5744.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000190413,11489.13
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190415,195.69
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/05/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190416,600.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190417,3721.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190419,2510.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190420,1950.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190421,2550.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190422,23148.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190431,6.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190432,6.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190433,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190434,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190435,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190436,61.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190437,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190437,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190437,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,1171.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,49.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,18.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,38.34
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,27.17
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,15.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,49.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,30.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,64.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,26.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/04/2012,M/W POWER AND UTILITIES,ENVIRONMENT,ICT-TELECOMS,VODAFONE LIMITED (CORPORA,0000190438,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,419.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,419.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,1258.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,3145.68
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/04/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000190439,209.71
