Title:,River Water Quality: 1990 to 2006,,,,,,,,,,,,,,,,,,,,,
North West,145,Allerdale,2002,biology,124,171.1,176,37.8,6.2,0,515.1,24.1,33.2,34.2,7.3,1.2,0,57.3,41.5,1.2,0,
North West,145,Allerdale,2002,chemistry,293.7,158.6,28.1,16.5,19.2,1,517.1,56.8,30.7,5.4,3.2,3.7,0.2,87.5,8.6,3.7,0.2,
North West,145,Allerdale,2002,nitrate,269.5,27.6,160,46,5.6,8.3,517.1,52.1,5.3,30.9,8.9,1.1,1.6,,,,,2.7
North West,145,Allerdale,2002,phosphate,252.2,82,25,122.4,33.7,2,517.1,48.8,15.9,4.8,23.7,6.5,0.4,,,,,30.6
North West,145,Allerdale,2003,biology,139.9,186,146.3,39.6,2.4,0,514.2,27.2,36.2,28.5,7.7,0.5,0,63.4,36.2,0.5,0,
North West,145,Allerdale,2003,chemistry,248.3,145.5,54.9,51.3,11.4,5.7,517.1,48,28.1,10.6,9.9,2.2,1.1,76.2,20.5,2.2,1.1,
North West,145,Allerdale,2003,nitrate,274.3,28.8,165.7,34.3,10.5,3.4,517.1,53.1,5.6,32,6.6,2,0.7,,,,,2.7
North West,145,Allerdale,2003,phosphate,252.3,60.8,47.6,108.2,39.7,8.6,517.1,48.8,11.8,9.2,20.9,7.7,1.7,,,,,30.3
North West,145,Allerdale,2004,nitrate,269.5,28.8,166.3,38.1,2.2,12.2,517.1,52.1,5.6,32.2,7.4,0.4,2.4,,,,,2.8
North West,145,Allerdale,2004,chemistry,284,100.9,49.8,43.2,30.2,8.9,517.1,54.9,19.5,9.6,8.4,5.8,1.7,74.4,18,5.8,1.7,
North West,145,Allerdale,2004,biology,130.7,225.8,105.7,44.1,8,0,514.2,25.4,43.9,20.6,8.6,1.6,0,69.3,29.1,1.6,0,
North West,145,Allerdale,2004,phosphate,232.7,65.8,44.2,119.5,46.1,8.6,517.1,45,12.7,8.6,23.1,8.9,1.7,,,,,33.7
North West,145,Allerdale,2005,biology,122.9,226.9,112.4,44.1,8,0,514.2,23.9,44.1,21.9,8.6,1.6,0,68,30.4,1.6,0,
North West,145,Allerdale,2005,chemistry,274.9,110,26.3,67.7,29.2,8.9,517.1,53.2,21.3,5.1,13.1,5.7,1.7,74.4,18.2,5.7,1.7,
North West,145,Allerdale,2005,nitrate,258.4,30.3,160.7,48.8,14.1,4.9,517.1,50,5.9,31.1,9.4,2.7,0.9,,,,,3.7
North West,145,Allerdale,2005,phosphate,232.7,65.8,42.4,124.6,42.8,8.6,517.1,45,12.7,8.2,24.1,8.3,1.7,,,,,34.1
North West,145,Allerdale,2006,chemistry,274.9,112.7,72.5,35.2,20,1.8,517.1,53.2,21.8,14,6.8,3.9,0.4,75,20.8,3.9,0.4,
North West,145,Allerdale,2006,nitrate,258.4,25.8,133.4,79.6,7.7,12.2,517.1,50,5,25.8,15.4,1.5,2.4,,,,,3.9
North West,145,Allerdale,2006,biology,110.5,238.2,112.4,46.1,7,0,514.2,21.5,46.3,21.9,9,1.4,0,67.8,30.8,1.4,0,
North West,145,Allerdale,2006,phosphate,236.7,77.5,78.5,78.2,43.8,2.5,517.1,45.8,15,15.2,15.1,8.5,0.5,,,,,24.1
North West,146,Barrow-in-Furness,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,146,Barrow-in-Furness,1990,chemistry,0,0,8.6,2.9,0.7,0.7,12.9,0,0,66.4,22.3,5.7,5.5,0,88.7,5.7,5.5,
North West,146,Barrow-in-Furness,1990,biology,0,0,0,8.6,0.7,0,9.3,0,0,0,92.3,7.7,0,0,92.3,7.7,0,
North West,146,Barrow-in-Furness,1990,phosphate,0,8.6,0.7,2.9,0.7,0,12.9,0,66.4,5.7,22.3,5.5,0,,,,,27.8
North West,146,Barrow-in-Furness,1993,chemistry,0,0,4,8.6,4.1,1.4,18.1,0,0,22.2,47.4,22.4,8,0,69.6,22.4,8,
North West,146,Barrow-in-Furness,1994,chemistry,0,1.1,11.5,0,4.1,1.4,18.1,0,6.3,63.3,0,22.4,8,6.3,63.3,22.4,8,
North West,146,Barrow-in-Furness,1995,chemistry,0,8.6,1.1,3.6,0.7,4,18.1,0,47.4,6.3,20,3.9,22.3,47.4,26.3,3.9,22.3,
North West,146,Barrow-in-Furness,1995,phosphate,1.1,14.8,0,1.4,0.7,0,18.1,6.3,81.8,0,8,3.9,0,,,,,11.9
North West,146,Barrow-in-Furness,1995,nitrate,1.1,3.3,12.9,0,0.7,0,18.1,6.3,18.3,71.3,0,4.1,0,,,,,4.1
North West,146,Barrow-in-Furness,1995,biology,0,1.1,0.7,11.2,0,0,13,0,8.7,5.5,85.8,0,0,8.7,91.3,0,0,
North West,146,Barrow-in-Furness,1996,chemistry,0,1.1,0,12.2,1.4,3.3,18.1,0,6.3,0,67.4,8,18.3,6.3,67.4,8,18.3,
North West,146,Barrow-in-Furness,1997,chemistry,0,1.1,0.7,11.5,1.4,3.3,18.1,0,6.3,4.1,63.3,8,18.3,6.3,67.4,8,18.3,
North West,146,Barrow-in-Furness,1998,chemistry,0,1.1,3.6,8.6,4,0.7,18.1,0,6.3,20,47.4,22.3,3.9,6.3,67.4,22.3,3.9,
North West,146,Barrow-in-Furness,1999,chemistry,0,0,13.3,1.4,3.3,0,18.1,0,0,73.7,8,18.3,0,0,81.7,18.3,0,
North West,146,Barrow-in-Furness,2000,nitrate,1.1,0,15.5,0.7,0.7,0,18.1,6.3,0,85.7,3.9,4.1,0,,,,,4.1
North West,146,Barrow-in-Furness,2000,phosphate,1.1,14,0.7,1.4,0,0.7,18.1,6.3,77.7,4.1,8,0,3.9,,,,,11.9
North West,146,Barrow-in-Furness,2000,chemistry,0,8.6,4,2.9,2.6,0,18.1,0,47.4,22.2,16,14.4,0,47.4,38.2,14.4,0,
North West,146,Barrow-in-Furness,2000,biology,0,1.1,0.7,11.2,0,0,13,0,8.7,5.5,85.8,0,0,8.7,91.3,0,0,
North West,146,Barrow-in-Furness,2001,phosphate,0,12.3,2.9,2.2,0,0.7,18.1,0,68.1,15.9,12.1,0,3.9,,,,,16
North West,146,Barrow-in-Furness,2001,nitrate,1.1,0,15.5,0.7,0.7,0,18.1,6.3,0,85.7,3.9,4.1,0,,,,,4.1
North West,146,Barrow-in-Furness,2001,chemistry,0,9.3,4,0.7,4,0,18.1,0,51.4,22.2,4.1,22.3,0,51.4,26.3,22.3,0,
North West,146,Barrow-in-Furness,2002,nitrate,1.1,2.6,12.9,1.5,0,0,18.1,6.3,14.4,71.3,8,0,0,,,,,0
North West,146,Barrow-in-Furness,2002,chemistry,8.6,0.7,4,0,4.8,0,18.1,47.4,3.9,22.2,0,26.4,0,51.4,22.2,26.4,0,
North West,146,Barrow-in-Furness,2002,biology,0,1.1,9.3,2.6,0,0,13,0,8.7,71.3,19.9,0,0,8.7,91.3,0,0,
North West,146,Barrow-in-Furness,2002,phosphate,0,12.3,2.9,2.2,0,0.7,18.1,0,68.1,15.9,12.1,0,3.9,,,,,16
North West,146,Barrow-in-Furness,2003,biology,0,1.1,9.3,2.6,0,0,13,0,8.7,71.3,19.9,0,0,8.7,91.3,0,0,
North West,146,Barrow-in-Furness,2003,chemistry,0,8.6,4.8,0.7,4,0,18.1,0,47.4,26.3,3.9,22.3,0,47.4,30.2,22.3,0,
North West,146,Barrow-in-Furness,2003,nitrate,1.1,0,15.5,1.5,0,0,18.1,6.3,0,85.7,8,0,0,,,,,0
North West,146,Barrow-in-Furness,2003,phosphate,2.6,9.7,2.9,2.2,0.7,0,18.1,14.4,53.7,15.9,12.1,3.9,0,,,,,16
North West,146,Barrow-in-Furness,2004,phosphate,3.7,11.5,0,2.2,0.7,0,18.1,20.6,63.3,0,12.1,3.9,0,,,,,16
North West,146,Barrow-in-Furness,2004,biology,0,1.1,9.3,2.6,0,0,13,0,8.7,71.3,19.9,0,0,8.7,91.3,0,0,
North West,146,Barrow-in-Furness,2004,chemistry,0,12.6,0.7,0.7,1.4,2.6,18.1,0,69.6,3.9,4.1,8,14.4,69.6,8,8,14.4,
North West,146,Barrow-in-Furness,2004,nitrate,1.1,0,15.5,0.7,0.7,0,18.1,6.3,0,85.7,3.9,4.1,0,,,,,4.1
North West,146,Barrow-in-Furness,2005,phosphate,3.7,2.9,9.3,1.4,0.7,0,18.1,20.6,15.9,51.5,8,3.9,0,,,,,11.9
North West,146,Barrow-in-Furness,2005,nitrate,1.1,0,15.5,0.7,0.7,0,18.1,6.3,0,85.7,3.9,4.1,0,,,,,4.1
North West,146,Barrow-in-Furness,2005,biology,0,1.9,8.6,2.6,0,0,13,0,14.2,65.8,19.9,0,0,14.2,85.8,0,0,
North West,146,Barrow-in-Furness,2005,chemistry,0,10.4,2.9,0.7,1.4,2.6,18.1,0,57.7,15.9,4.1,8,14.4,57.7,20,8,14.4,
North West,146,Barrow-in-Furness,2006,biology,0,1.9,8.6,2.6,0,0,13,0,14.2,65.8,19.9,0,0,14.2,85.8,0,0,
North West,146,Barrow-in-Furness,2006,chemistry,0,9.7,3.6,0.7,4,0,18.1,0,53.7,19.9,4.1,22.3,0,53.7,24,22.3,0,
North West,146,Barrow-in-Furness,2006,nitrate,1.1,0,15.5,0.7,0.7,0,18.1,6.3,0,85.7,3.9,4.1,0,,,,,4.1
North West,146,Barrow-in-Furness,2006,phosphate,3.7,11.5,0.7,1.4,0.7,0,18.1,20.6,63.3,4.1,8,3.9,0,,,,,11.9
North West,147,Blackburn with Darwen,1990,phosphate,9.5,4.4,3.7,6.9,8.7,0,33.1,28.6,13.3,11.1,20.8,26.3,0,,,,,47.1
North West,147,Blackburn with Darwen,1990,biology,0,0.9,9.1,2.5,9.6,7,29.1,0,3.2,31.2,8.6,33,24,3.2,39.8,33,24,
North West,147,Blackburn with Darwen,1990,chemistry,0,0.9,10.6,16.1,2,2.5,32.2,0,2.8,33,50.2,6.2,7.8,2.8,83.2,6.2,7.8,
North West,147,Blackburn with Darwen,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,147,Blackburn with Darwen,1993,chemistry,0,9,26,9,1,0,44.9,0,20,57.8,20,2.2,0,20,77.8,2.2,0,
North West,147,Blackburn with Darwen,1994,chemistry,0,9.5,17.2,18.2,0,0,44.9,0,21.2,38.3,40.5,0,0,21.2,78.8,0,0,
North West,147,Blackburn with Darwen,1995,biology,1.8,6.1,9.1,0,15.8,2.5,35.4,5.2,17.3,25.7,0,44.7,7.1,22.5,25.7,44.7,7.1,
North West,147,Blackburn with Darwen,1995,chemistry,1.3,4.3,16.3,20.4,2.5,0,44.9,3,9.6,36.3,45.5,5.6,0,12.6,81.8,5.6,0,
North West,147,Blackburn with Darwen,1995,nitrate,16.8,16.8,11.2,0,0,0,44.9,37.5,37.5,25,0,0,0,,,,,0
North West,147,Blackburn with Darwen,1995,phosphate,0,6.2,19.3,6.9,12.5,0,44.9,0,13.8,43,15.3,27.8,0,,,,,43.2
North West,147,Blackburn with Darwen,1996,chemistry,2.8,2.8,12.8,14.7,11.7,0,44.9,6.3,6.2,28.5,32.9,26.1,0,12.6,61.3,26.1,0,
North West,147,Blackburn with Darwen,1997,chemistry,3.4,3.5,20.7,8.3,9,0,44.9,7.6,7.8,46.2,18.5,20,0,15.4,64.7,20,0,
North West,147,Blackburn with Darwen,1998,chemistry,3.4,4.7,15.4,12.2,9.2,0,44.9,7.6,10.4,34.3,27.2,20.5,0,18,61.5,20.5,0,
North West,147,Blackburn with Darwen,1999,chemistry,3.4,8.9,26.6,6,0,0,44.9,7.6,19.8,59.2,13.4,0,0,27.4,72.6,0,0,
North West,147,Blackburn with Darwen,2000,biology,0,7.8,9.4,3,15.2,0,35.4,0,22.1,26.5,8.4,43,0,22.1,34.9,43,0,
North West,147,Blackburn with Darwen,2000,phosphate,0,4.8,18.3,9.1,12.7,0,44.9,0,10.6,40.7,20.4,28.4,0,,,,,48.7
North West,147,Blackburn with Darwen,2000,chemistry,3.4,9.3,15.2,17,0,0,44.9,7.6,20.7,33.9,37.9,0,0,28.2,71.8,0,0,
North West,147,Blackburn with Darwen,2000,nitrate,19.2,13.3,12.4,0,0,0,44.9,42.7,29.6,27.7,0,0,0,,,,,0
North West,147,Blackburn with Darwen,2001,chemistry,1.2,10.6,24.3,8.8,0,0,44.9,2.6,23.7,54.2,19.5,0,0,26.3,73.7,0,0,
North West,147,Blackburn with Darwen,2001,nitrate,21.3,14.9,8.7,0,0,0,44.9,47.5,33.1,19.4,0,0,0,,,,,0
North West,147,Blackburn with Darwen,2001,phosphate,0,4.8,17.3,10.1,12.7,0,44.9,0,10.6,38.6,22.5,28.4,0,,,,,50.8
North West,147,Blackburn with Darwen,2002,biology,3,8.9,4.4,3.8,9.2,6,35.4,8.4,25.2,12.5,10.8,26.1,16.9,33.6,23.4,26.1,16.9,
North West,147,Blackburn with Darwen,2002,chemistry,0,18.3,17.9,8.8,0,0,44.9,0,40.7,39.8,19.5,0,0,40.7,59.3,0,0,
North West,147,Blackburn with Darwen,2002,nitrate,21.5,14.7,8.7,0,0,0,44.9,47.8,32.8,19.4,0,0,0,,,,,0
North West,147,Blackburn with Darwen,2002,phosphate,0,3.4,21.7,7.1,12.7,0,44.9,0,7.6,48.3,15.8,28.4,0,,,,,44.2
North West,147,Blackburn with Darwen,2003,biology,3,10.8,2.6,3.8,9.2,6,35.4,8.4,30.4,7.4,10.8,26.1,16.9,38.8,18.2,26.1,16.9,
North West,147,Blackburn with Darwen,2003,phosphate,0,1.9,20.6,12.4,10,0,44.9,0,4.2,46,27.6,22.2,0,,,,,49.8
North West,147,Blackburn with Darwen,2003,nitrate,18.8,16.1,10,0,0,0,44.9,41.9,35.9,22.2,0,0,0,,,,,0
North West,147,Blackburn with Darwen,2003,chemistry,1.9,12.7,23.4,6.9,0,0,44.9,4.2,28.2,52.2,15.3,0,0,32.4,67.6,0,0,
North West,147,Blackburn with Darwen,2004,biology,3,10.9,1.2,1.3,11.8,6,34.2,8.7,32,3.4,3.9,34.4,17.6,40.7,7.3,34.4,17.6,
North West,147,Blackburn with Darwen,2004,chemistry,0,9.4,25.6,9.9,0,0,44.9,0,21,57,22,0,0,21,79,0,0,
North West,147,Blackburn with Darwen,2004,nitrate,17.9,18.3,8.7,0,0,0,44.9,39.9,40.7,19.4,0,0,0,,,,,0
North West,147,Blackburn with Darwen,2004,phosphate,0,0,21,13.9,10,0,44.9,0,0,46.9,30.9,22.2,0,,,,,53.1
North West,147,Blackburn with Darwen,2005,biology,0,9.7,5.4,1.3,17.8,0,34.2,0,28.3,15.8,3.9,52,0,28.3,19.7,52,0,
North West,147,Blackburn with Darwen,2005,chemistry,0,11.9,19.1,13.9,0,0,44.9,0,26.6,42.5,30.9,0,0,26.6,73.4,0,0,
North West,147,Blackburn with Darwen,2005,nitrate,17.9,18.3,8.7,0,0,0,44.9,39.9,40.7,19.4,0,0,0,,,,,0
North West,147,Blackburn with Darwen,2005,phosphate,0,10.9,10.3,11.2,12.5,0,44.9,0,24.3,22.9,25,27.8,0,,,,,52.8
North West,147,Blackburn with Darwen,2006,nitrate,19.2,14.3,11.5,0,0,0,44.9,42.7,31.8,25.5,0,0,0,,,,,0
North West,147,Blackburn with Darwen,2006,phosphate,0,17.6,6,10,11.2,0,44.9,0,39.3,13.4,22.3,25,0,,,,,47.3
North West,147,Blackburn with Darwen,2006,chemistry,3.2,7.1,16.7,11.9,6,0,44.9,7.2,15.8,37.1,26.5,13.4,0,23,63.7,13.4,0,
North West,147,Blackburn with Darwen,2006,biology,1.8,7.8,5.4,1.3,17.8,0,34.2,5.4,22.9,15.8,3.9,52,0,28.3,19.7,52,0,
North West,148,Blackpool,1990,chemistry,0,0,0,0,0,0.2,0.2,0,0,0,0,0,100,0,0,0,100,
North West,148,Blackpool,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,148,Blackpool,1990,phosphate,0.2,0,0,0,0,0,0.2,100,0,0,0,0,0,,,,,0
North West,148,Blackpool,1990,biology,0,0,0,0,0,0,0,,,,,,,,,,,
North West,148,Blackpool,1993,chemistry,0,0,0,0,0.2,0,0.2,0,0,0,0,100,0,0,0,100,0,
North West,148,Blackpool,1994,chemistry,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,1995,biology,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,0,100,0,0,
North West,148,Blackpool,1995,chemistry,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,1995,nitrate,0.2,0,0,0,0,0,0.2,100,0,0,0,0,0,,,,,0
North West,148,Blackpool,1995,phosphate,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,,,,,0
North West,148,Blackpool,1996,chemistry,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,1997,chemistry,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,0,100,0,0,
North West,148,Blackpool,1998,chemistry,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,0,100,0,0,
North West,148,Blackpool,1999,chemistry,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,2000,biology,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,0,100,0,0,
North West,148,Blackpool,2000,chemistry,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,2000,nitrate,0,0.2,0,0,0,0,0.2,0,100,0,0,0,0,,,,,0
North West,148,Blackpool,2000,phosphate,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,,,,,0
North West,148,Blackpool,2001,chemistry,0,0,0,0,0.2,0,0.2,0,0,0,0,100,0,0,0,100,0,
North West,148,Blackpool,2001,nitrate,0,0.2,0,0,0,0,0.2,0,100,0,0,0,0,,,,,0
North West,148,Blackpool,2001,phosphate,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,,,,,0
North West,148,Blackpool,2002,phosphate,0,0.2,0,0,0,0,0.2,0,100,0,0,0,0,,,,,0
North West,148,Blackpool,2002,biology,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,2002,chemistry,0,0,0,0,0.2,0,0.2,0,0,0,0,100,0,0,0,100,0,
North West,148,Blackpool,2002,nitrate,0,0.2,0,0,0,0,0.2,0,100,0,0,0,0,,,,,0
North West,148,Blackpool,2003,phosphate,0,0.2,0,0,0,0,0.2,0,100,0,0,0,0,,,,,0
North West,148,Blackpool,2003,nitrate,0.2,0,0,0,0,0,0.2,100,0,0,0,0,0,,,,,0
North West,148,Blackpool,2003,biology,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,2003,chemistry,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,2004,biology,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,2004,chemistry,0,0,0,0,0.2,0,0.2,0,0,0,0,100,0,0,0,100,0,
North West,148,Blackpool,2004,nitrate,0,0.2,0,0,0,0,0.2,0,100,0,0,0,0,,,,,0
North West,148,Blackpool,2004,phosphate,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,,,,,100
North West,148,Blackpool,2005,biology,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,0,100,0,0,
North West,148,Blackpool,2005,chemistry,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,148,Blackpool,2005,nitrate,0,0.2,0,0,0,0,0.2,0,100,0,0,0,0,,,,,0
North West,148,Blackpool,2005,phosphate,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,,,,,100
North West,148,Blackpool,2006,nitrate,0,0.2,0,0,0,0,0.2,0,100,0,0,0,0,,,,,0
North West,148,Blackpool,2006,phosphate,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,,,,,100
North West,148,Blackpool,2006,biology,0,0,0.2,0,0,0,0.2,0,0,100,0,0,0,0,100,0,0,
North West,148,Blackpool,2006,chemistry,0,0,0,0.2,0,0,0.2,0,0,0,100,0,0,0,100,0,0,
North West,149,Bolton,1990,chemistry,0,0.7,4.1,7.2,34.6,0,46.6,0,1.5,8.8,15.5,74.2,0,1.5,24.3,74.2,0,
North West,149,Bolton,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,149,Bolton,1990,phosphate,0,6.4,9.6,17.5,13.1,0,46.6,0,13.7,20.7,37.5,28.1,0,,,,,65.6
North West,149,Bolton,1990,biology,0,0,11.5,15.8,14.9,11.2,53.4,0,0,21.5,29.6,27.8,21,0,51.1,27.8,21,
North West,149,Bolton,1993,chemistry,0,11.9,22.7,13.4,10.4,2.4,60.7,0,19.6,37.3,22,17.1,3.9,19.6,59.3,17.1,3.9,
North West,149,Bolton,1994,chemistry,0,30.1,6.3,8.3,15.4,2.4,62.5,0,48.1,10.1,13.3,24.6,3.8,48.1,23.5,24.6,3.8,
North West,149,Bolton,1995,biology,0,3.9,17.5,23.3,7.9,7.5,60.3,0,6.5,29.1,38.7,13.2,12.5,6.5,67.8,13.2,12.5,
North West,149,Bolton,1995,chemistry,1.6,30.4,3.4,10,14.7,2.4,62.5,2.6,48.6,5.5,16,23.6,3.8,51.1,21.5,23.6,3.8,
North West,149,Bolton,1995,nitrate,26.1,26,5.1,5.4,0,0,62.5,41.7,41.6,8.2,8.6,0,0,,,,,0
North West,149,Bolton,1995,phosphate,2.4,9.2,30.1,9,8.4,3.3,62.5,3.8,14.8,48.2,14.4,13.5,5.3,,,,,33.2
North West,149,Bolton,1996,chemistry,1.6,26.5,12,5.2,9.6,7.5,62.5,2.6,42.4,19.2,8.4,15.4,12,45,27.6,15.4,12,
North West,149,Bolton,1997,chemistry,2.8,21.6,11,11.6,8,7.5,62.5,4.4,34.6,17.6,18.6,12.7,12,39,36.2,12.7,12,
North West,149,Bolton,1998,chemistry,3.5,20.9,14.5,10.2,7,6.4,62.5,5.5,33.5,23.2,16.3,11.2,10.3,39,39.5,11.2,10.3,
North West,149,Bolton,1999,chemistry,2.8,25.9,14.5,6.5,10.4,2.4,62.5,4.4,41.5,23.2,10.3,16.7,3.8,45.9,33.6,16.7,3.8,
North West,149,Bolton,2000,biology,0,8.6,11.1,19.4,11.8,3,53.9,0,15.9,20.6,35.9,21.9,5.6,15.9,56.6,21.9,5.6,
