Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,25/05/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8003516           ,7961.95
Department of Health,Care Quality Commission,25/05/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8003516           ,25401.59
Department of Health,Care Quality Commission,25/05/2011,IT Telecommunications,Finance & Corporate Services Directorate,Vodafone Corporate,EFT8003537           ,26672.88
Department of Health,Care Quality Commission,26/05/2011,Intangible Assets,Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003542           ,47162.2
Department of Health,Care Quality Commission,31/05/2011,Rates,Commission Wide,Leeds City Council,"306,589",8747
Department of Health,Care Quality Commission,31/05/2011,Rates,Commission Wide,Bristol City Council,"306,590",6424
Department of Health,Care Quality Commission,31/05/2011,Rates,Commission Wide,Preston City Council,"306,591",4590
Department of Health,Care Quality Commission,31/05/2011,"Property, Plant and Equipment",Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003552           ,25358
Department of Health,Care Quality Commission,31/05/2011,Intangible Assets,Finance & Corporate Services Directorate,Sapient,EFT8003570           ,37752
Department of Health,Care Quality Commission,31/05/2011,"Property, Plant and Equipment",Finance & Corporate Services Directorate,Sapient,EFT8003570           ,45198
Department of Health,Care Quality Commission,31/05/2011,Secondments from External Organisations,Operations Delivery Directorate,Specialist Computer Centres plc,EFT8003572           ,27309.42
Department of Health,Care Quality Commission,31/05/2011,IT Managed Service,Registration,Specialist Computer Centres plc,EFT8003572           ,26641.98
