Department,Entity ,Transaction date,Supplier Name,amount,Expenses type ,Expenses area ,Expenses  Description ,Component Code 
DFID,DFID,01-May-12,LLOYDS TSB LEASING LTD,"£2,290,684",Operating Lease rental of buildings,"Human Resources,Security & Facilities Division",Quarterly payment of rent for Chatham House -  April 2012  – June 2012,100157-101
DFID,DFID,01-May-12,RICOH UK LTD,£888,Reproduction & Printing Materials,"Human Resources,Security & Facilities Division",,100187-101
DFID,DFID,01-May-12,MITIE Catering Services Ltd,£655,Entertainment & Hospitality,Internal Audit,,100121-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,630",Air fares,Internal Audit,,100121-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,556",Air fares,Internal Audit,,100121-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,630",Air fares,Internal Audit,,100121-101
DFID,DFID,01-May-12,Corporate Travel Provider,£837,Air fares,Internal Audit,,100121-101
DFID,DFID,01-May-12,Corporate Travel Provider,£973,Air fares,Internal Audit,,100121-101
DFID,DFID,01-May-12,Corporate Travel Provider,£511,Air fares,International Finance Division,,100111-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£4,610",Air fares,International Finance Division,,100120-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,351",Air fares,International Finance Division,,100098-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,153",Air fares,International Finance Division,,202432-101
DFID,DFID,01-May-12,Corporate Travel Provider,£871,Air fares,International Finance Division,,100111-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,010",Air fares,International Finance Division,,100111-101
DFID,DFID,01-May-12,VODAFONE CORPORATE,£527,Telephone Usage & services,International Finance Division,,100111-101
DFID,DFID,01-May-12,Foreign & Commonwealth Office,£727,Entertainment & Hospitality,International Relations Division,,100236-101
DFID,DFID,01-May-12,Foreign & Commonwealth Office,"£2,515",Entertainment & Hospitality,International Relations Division,,100236-101
DFID,DFID,01-May-12,Foreign & Commonwealth Office,£503,Entertainment & Hospitality,International Relations Division,,100236-101
DFID,DFID,01-May-12,Corporate Travel Provider,£883,Air fares,International Relations Division,,100240-103
DFID,DFID,01-May-12,Corporate Travel Provider,£586,Air fares,International Relations Division,,100240-101
DFID,DFID,01-May-12,Corporate Travel Provider,£632,Air fares,International Relations Division,,100262-101
DFID,DFID,01-May-12,Corporate Travel Provider,£543,Air fares,International Relations Division,,100309-101
DFID,DFID,01-May-12,Corporate Travel Provider,£763,Air fares,International Relations Division,,100240-103
DFID,DFID,01-May-12,VODAFONE CORPORATE,£646,Telephone Usage & services,International Relations Division,,100086-101
DFID,DFID,01-May-12,VODAFONE CORPORATE,£804,Telephone Usage & services,International Relations Division,,100086-101
DFID,DFID,01-May-12,INTERNATIONAL INSTITUTE FOR SUSTAINABLE DEVELOPMENT,"£48,094",Aid Programme - Accountable Grant Payments,Joint Trade Policy Division,,201524-101
DFID,DFID,01-May-12,Center for International Forestry Research (CIFOR) (GBP),"£48,448",Aid Programme - Accountable Grant Payments,Policy Division,,114028-103
DFID,DFID,01-May-12,The Global Alliance for Improved Nutrition,"£787,449",Aid Programme - Partnership Programme Arrangements,Policy Division,,202780-101
DFID,DFID,01-May-12,COLLABORATIVE LEARNING PROJECTS,"£114,038",Aid Programme - Partnership Programme Arrangements,Policy Division,,202829-101
DFID,DFID,01-May-12,ISLAMIC RELIEF,"£250,000",Aid Programme - Partnership Programme Arrangements,Policy Division,,203105-101
DFID,DFID,01-May-12,Corporate Travel Provider,£545,Air fares,Policy Division,,100275-101
DFID,DFID,01-May-12,Corporate Travel Provider,£945,Air fares,Policy Division,,200908-102
DFID,DFID,01-May-12,Corporate Travel Provider,£720,Air fares,Policy Division,,100274-108
DFID,DFID,01-May-12,Corporate Travel Provider,£650,Air fares,Policy Division,,100275-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,496",Air fares,Policy Division,,100275-101
DFID,DFID,01-May-12,Corporate Travel Provider,£548,Air fares,Policy Division,,100275-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£3,042",Air fares,Policy Division,,100191-101
DFID,DFID,01-May-12,WHO (GENEVA),"£92,800",Aid Programme - Voluntary contributions,Policy Division,,203066-101
DFID,DFID,01-May-12,INASP,"£193,323",Aid Programme - Accountable Grant Payments,Research and Evidence Division,,114192-102
DFID,DFID,01-May-12,CAB INTERNATIONAL,"£49,287",Research & Development costs,Research and Evidence Division,,201727-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,103",Air fares,Research and Evidence Division,,202335-101
DFID,DFID,01-May-12,Corporate Travel Provider,£652,Air fares,Research and Evidence Division,,100088-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,768",Air fares,Research and Evidence Division,,100039-101
DFID,DFID,01-May-12,Corporate Travel Provider,£581,Air fares,Research and Evidence Division,,100039-114
DFID,DFID,01-May-12,HTSPE LTD,"£1,200",Technical and Advisory Services,Research and Evidence Division,,201937-101
DFID,DFID,01-May-12,ATTENDA LIMITED,"£2,370",Technical and Advisory Services,Research and Evidence Division,,100039-107
DFID,DFID,01-May-12,MITIE Catering Services Ltd,"£1,506",Entertainment & Hospitality,Security & Humanitarian and Middle East Division,,100049-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,571",Hotels - Accommodation only,Security & Humanitarian and Middle East Division,,201705-101
DFID,DFID,01-May-12,Corporate Travel Provider,£537,Air fares,Security & Humanitarian and Middle East Division,,201701-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,153",Air fares,Security & Humanitarian and Middle East Division,,100146-101
DFID,DFID,01-May-12,Corporate Travel Provider,£722,Air fares,Security & Humanitarian and Middle East Division,,100146-101
DFID,DFID,01-May-12,Corporate Travel Provider,£542,Air fares,Security & Humanitarian and Middle East Division,,100307-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,153",Air fares,Security & Humanitarian and Middle East Division,,100049-101
DFID,DFID,01-May-12,Corporate Travel Provider,£537,Air fares,Security & Humanitarian and Middle East Division,,201701-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,635",Air fares,Security & Humanitarian and Middle East Division,,100307-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£3,804",Air fares,Top Management Group,,100232-102
DFID,DFID,01-May-12,Corporate Travel Provider,"£3,804",Air fares,Top Management Group,,100232-103
DFID,DFID,01-May-12,Corporate Travel Provider,"£3,804",Air fares,Top Management Group,,100232-102
DFID,DFID,01-May-12,The Research Institute of the McGill University Health Centre,"£275,780",Aid Programme - Accountable Grant Payments,West and Southern Africa,,201854-101
DFID,DFID,01-May-12,VOLUNTARY SERVICE OVERSEAS (YOHANNES TESFAMICHAEL),"£53,606",Aid Programme - Accountable Grant Payments,West and Southern Africa,,201853-103
DFID,DFID,01-May-12,Corporate Travel Provider,£568,Hotels - Accommodation only,West and Southern Africa,,100256-105
DFID,DFID,01-May-12, FCO SERVICES,"£1,090",Office Equipment - Purchases,West and Southern Africa,,100215-101
DFID,DFID,01-May-12,FCO SERVICES,£527,Office Equipment - Purchases,West and Southern Africa,,100215-101
DFID,DFID,01-May-12,The Express Travel Group,£704,Recruitment costs,West and Southern Africa,,101618-101
DFID,DFID,01-May-12,Supplier Name withheld,£746,Air fares,West and Southern Africa,,101622-101
DFID,DFID,01-May-12,Corporate Travel Provider,£923,Air fares,West and Southern Africa,,101638-101
DFID,DFID,01-May-12,Corporate Travel Provider,£832,Air fares,West and Southern Africa,,101638-101
DFID,DFID,01-May-12,Supplier Name withheld,£629,Air fares,West and Southern Africa,,101622-101
DFID,DFID,01-May-12,Supplier Name withheld,"£1,011",Air fares,West and Southern Africa,,101622-101
DFID,DFID,01-May-12,Corporate Travel Provider,£923,Air fares,West and Southern Africa,,101638-101
DFID,DFID,01-May-12,Abt Associates,"£10,203",Technical and Advisory Services,West and Southern Africa,,202342-102
DFID,DFID,01-May-12,SEARCH FOR COMMON GROUND,"£164,801",Technical and Advisory Services,West and Southern Africa,,200856-103
DFID,DFID,01-May-12,PRICEWATERHOUSECOOPERS,"£601,129",Technical and Advisory Services,West and Southern Africa,,113961-102
DFID,DFID,01-May-12,PRICEWATERHOUSECOOPERS,"£144,296",Technical and Advisory Services,West and Southern Africa,,113961-103
DFID,DFID,01-May-12,Corporate Travel Provider,"£3,601",Hotels - Accommodation only,Western Asia and Stabilisation Division,,201699-101
DFID,DFID,01-May-12,Corporate Travel Provider,£937,Hotels - Accommodation only,Western Asia and Stabilisation Division,,101624-101
DFID,DFID,01-May-12,Foreign & Commonwealth Office,"£1,900",Secure staff accomodation,Western Asia and Stabilisation Division,,201699-101
DFID,DFID,01-May-12,Foreign & Commonwealth Office,"£1,546",Secure staff accomodation,Western Asia and Stabilisation Division,,201699-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,052",Air fares,Western Asia and Stabilisation Division,,202288-101
DFID,DFID,01-May-12,Corporate Travel Provider,£505,Air fares,Western Asia and Stabilisation Division,,203341-105
DFID,DFID,01-May-12,Corporate Travel Provider,£873,Air fares,Western Asia and Stabilisation Division,,203341-105
DFID,DFID,01-May-12,Corporate Travel Provider,£505,Air fares,Western Asia and Stabilisation Division,,100020-101
DFID,DFID,01-May-12,Corporate Travel Provider,£562,Air fares,Western Asia and Stabilisation Division,,100011-110
DFID,DFID,01-May-12,Corporate Travel Provider,£921,Air fares,Western Asia and Stabilisation Division,,203341-105
DFID,DFID,01-May-12,Corporate Travel Provider,"£2,043",Air fares,Western Asia and Stabilisation Division,,203341-105
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,396",Air fares,Western Asia and Stabilisation Division,,101601-110
DFID,DFID,01-May-12,Corporate Travel Provider,£683,Air fares,Western Asia and Stabilisation Division,,101601-110
DFID,DFID,01-May-12,Corporate Travel Provider,£873,Air fares,Western Asia and Stabilisation Division,,203341-105
DFID,DFID,01-May-12,Corporate Travel Provider,£726,Air fares,Western Asia and Stabilisation Division,,202288-106
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,914",Air fares,Western Asia and Stabilisation Division,,202405-101
DFID,DFID,01-May-12,Corporate Travel Provider,£831,Air fares,Western Asia and Stabilisation Division,,101601-110
DFID,DFID,01-May-12,Corporate Travel Provider,£504,Air fares,Western Asia and Stabilisation Division,,101601-110
DFID,DFID,01-May-12,Supplier Name withheld,"£44,394",Technical and Advisory Services,Western Asia and Stabilisation Division,,201023-104
DFID,DFID,01-May-12,Supplier Name withheld,"£324,326",Technical and Advisory Services,Western Asia and Stabilisation Division,,202054-102
DFID,DFID,01-May-12,Supplier Name withheld,"£132,657",Technical and Advisory Services,Western Asia and Stabilisation Division,,200898-104
DFID,DFID,01-May-12,Recipient name withheld,£958,Training - Travel & Subsistence,Western Asia and Stabilisation Division,,101624-101
DFID,DFID,02-May-12,Rose Town Foundation for The Built Environment Limited,"£25,639",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",,201158-107
DFID,DFID,02-May-12,S F Ahmed and Co.,"£3,731",Auditors Remuneration & Expenses - Cash,"Asia, Caribbean and Overseas Territories",,113976-103
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£7,192",Secure staff accomodation,"Asia, Caribbean and Overseas Territories",,101604-101
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£4,018",Secure staff accomodation,"Asia, Caribbean and Overseas Territories",,101604-101
DFID,DFID,02-May-12,Foreign & Commonwealth Office,£873,Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",,201674-101
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£3,277",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",,201674-101
DFID,DFID,02-May-12,Foreign & Commonwealth Office,£632,Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",,201674-101
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£8,032",Legal costs,"Asia, Caribbean and Overseas Territories",,100183-101
DFID,DFID,02-May-12,TURNER & TOWNSEND,"£33,098",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",,100151-101
DFID,DFID,02-May-12,A S Mohammad Nurullah Awal,£703,Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",,201645-109
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£1,124",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",,113977-101
DFID,DFID,02-May-12,Foreign & Commonwealth Office,£731,Telephone Usage & services,"Asia, Caribbean and Overseas Territories",,101604-101
DFID,DFID,02-May-12,IOD PARC,£550,Training - Course Fees,"Asia, Caribbean and Overseas Territories",,201689-102
DFID,DFID,02-May-12,Foreign & Commonwealth Office,£570,Vehicle Repairs & Maintenance,"Asia, Caribbean and Overseas Territories",,101604-101
DFID,DFID,02-May-12,TRUSTMARQUE SOLUTIONS LTD,"£1,205,861",Computer Software Licenses,Business Solutions Division Level,,200003-135
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£2,554",Data Network - land lines,Business Solutions Division Level,,200002-121
DFID,DFID,02-May-12,CSA Waverley,"£44,518",Hardware - servers & storage,Business Solutions Division Level,,200003-149
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£1,187",Legal costs,Business Solutions Division Level,,200001-102
DFID,DFID,02-May-12,COPYPRINT UK LTD,£778,Print Services,Communications Division,,100177-101
DFID,DFID,02-May-12,Bank of Abyssinia,£676,Bank Charges/Services,East and Central Africa,,100082-101
DFID,DFID,02-May-12,FCO SERVICES,"£2,889",Courier & Bag Services,East and Central Africa,,100227-101
DFID,DFID,02-May-12,KINNARPS UK LTD,"£23,407",Furniture & Fittings,East and Central Africa,,100083-101
DFID,DFID,02-May-12,Kigali Real Estate S.A,"£1,541",Hotels - Accommodation only,East and Central Africa,,101628-101
DFID,DFID,02-May-12,Kigali Real Estate S.A,"£1,541",Hotels - Accommodation only,East and Central Africa,,101628-101
DFID,DFID,02-May-12,Supplier Name withheld,"£12,268",Secure staff accomodation,East and Central Africa,,101634-101
DFID,DFID,02-May-12,Supplier Name withheld,"£14,870",Secure staff accomodation,East and Central Africa,,101634-101
DFID,DFID,02-May-12,FCO SERVICES,"£4,519",Office Equipment - Purchases,East and Central Africa,,100230-101
DFID,DFID,02-May-12,M.S.MEGJI LTD,£528,Office Equipment - Purchases,East and Central Africa,,101634-101
DFID,DFID,02-May-12,Mwananchi Communication Ltd,£542,Recruitment costs,East and Central Africa,,101634-101
DFID,DFID,02-May-12,Brussels Airlines Rwanda,£968,Air fares,East and Central Africa,,100212-101
DFID,DFID,02-May-12,Jasper-Semu & Associates (USD),"£1,161",Technical and Advisory Services,East and Central Africa,,200187-101
DFID,DFID,02-May-12,UN OCHA,"£250,000",Aid Programme - Voluntary contributions,East and Central Africa,,202827-103
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£1,490",Legal costs,Finance and Corporate Performance Division,,100201-101
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£1,242",Legal costs,Finance and Corporate Performance Division,,100201-101
DFID,DFID,02-May-12,Royal Mail Group Ltd,£900,Postage Costs,"Human Resources,Security & Facilities Division",,100187-101
DFID,DFID,02-May-12,Recipient name withheld,£843,Hotels - Accommodation only,International Finance Division,,100111-101
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£3,948",Secure staff accomodation,International Finance Division,,201723-102
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£5,047",Secure staff accomodation,International Finance Division,,201723-102
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£3,911",Secure staff accomodation,International Finance Division,,201723-102
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£1,034",Legal costs,International Finance Division,,100098-101
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,£607,Legal costs,International Finance Division,,100098-101
DFID,DFID,02-May-12,Foreign & Commonwealth Office,"£1,640",Air fares,International Relations Division,,201711-101
DFID,DFID,02-May-12,The British Junior Academy of Brussels ,"£14,750",Technical and Advisory Services,International Relations Division,,202319-101
DFID,DFID,02-May-12,The British Junior Academy of Brussels ,"£14,750",Technical and Advisory Services,International Relations Division,,202319-101
DFID,DFID,02-May-12,The British Junior Academy of Brussels ,"£13,690",Technical and Advisory Services,International Relations Division,,202319-101
DFID,DFID,02-May-12,Recipient name withheld,£697,Hotels - Accommodation only,Policy Division,,200659-115
DFID,DFID,02-May-12,Recipient name withheld,£617,Hotels - Accommodation only,Policy Division,,202373-101
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,£552,Legal costs,Policy Division,,114370-104
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£1,104",Legal costs,Policy Division,,100275-101
DFID,DFID,02-May-12,VODAFONE CORPORATE,"£2,180",Telephone Usage & services,Policy Division,,100274-101
DFID,DFID,02-May-12,THE INSTITUTE OF DEVELOPMENT STUDIE,"£619,155",Aid Programme - Accountable Grant Payments,Research and Evidence Division,,200456-107
DFID,DFID,02-May-12,THE INSTITUTE OF DEVELOPMENT STUDIE,"£46,575",Aid Programme - Accountable Grant Payments,Research and Evidence Division,,200456-107
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£1,518",Legal costs,Research and Evidence Division,,100039-101
DFID,DFID,02-May-12,PRACTICAL ACTION,"£276,370",Research & Development costs,Research and Evidence Division,,200490-101
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,£690,Legal costs,Security & Humanitarian and Middle East Division,,100146-101
DFID,DFID,02-May-12,SANRU,"£39,458",Aid Programme - Accountable Grant Payments,West and Southern Africa,,105861-104
DFID,DFID,02-May-12,FCO SERVICES,"£1,400",Courier & Bag Services,West and Southern Africa,,101622-101
DFID,DFID,02-May-12,FCO SERVICES,"£5,488",Courier & Bag Services,West and Southern Africa,,101637-101
DFID,DFID,02-May-12,Dal Enterprise,£576,Furniture & Fittings,West and Southern Africa,,100215-101
DFID,DFID,02-May-12,Oduntor C.Wilson,£550,Generators & spares,West and Southern Africa,,101629-101
DFID,DFID,02-May-12,NP (SL) Ltd,"£1,529",Generators & spares,West and Southern Africa,,100214-101
DFID,DFID,02-May-12,NP (SL) Ltd,"£1,529",Generators & spares,West and Southern Africa,,101629-101
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£1,661",Legal costs,West and Southern Africa,,203000-101
DFID,DFID,02-May-12,Marriott Davies Yapp LLP,"£4,030",Legal costs,West and Southern Africa,,203000-101
DFID,DFID,02-May-12, FCO SERVICES,"£1,176",Office Equipment - Maintenance,West and Southern Africa,,100254-101
DFID,DFID,02-May-12,FCO SERVICES,"£3,889",Office Equipment - Purchases,West and Southern Africa,,101637-101
DFID,DFID,02-May-12,Recipient name withheld,£901,Oil - Other Utilities,West and Southern Africa,,101622-101
DFID,DFID,02-May-12,Power Holding co of Nigeria,£640,Oil - Other Utilities,West and Southern Africa,,101622-101
DFID,DFID,02-May-12, FCO SERVICES,"£1,306",Printer Consumables,West and Southern Africa,,101638-104
DFID,DFID,02-May-12,Recipient name withheld,£532,Facilities Management payments,West and Southern Africa,,101622-101
DFID,DFID,02-May-12,Osman Thorlley,£677,Facilities Management payments,West and Southern Africa,,101629-101
DFID,DFID,02-May-12,HLSP LIMITED,"£20,744",Technical and Advisory Services,West and Southern Africa,,202819-101
DFID,DFID,02-May-12,HLSP LIMITED,"£6,190",Technical and Advisory Services,West and Southern Africa,,202819-101
DFID,DFID,02-May-12,Dr James Zasha,"£3,803",Technical and Advisory Services,West and Southern Africa,,104254-101
DFID,DFID,02-May-12,Ngozika Oji,"£7,551",Technical and Advisory Services,West and Southern Africa,,104254-101
DFID,DFID,02-May-12,Ugwu Joseph,"£6,358",Technical and Advisory Services,West and Southern Africa,,104254-101
DFID,DFID,02-May-12,HTSPE LTD,"£18,163",Technical and Advisory Services,West and Southern Africa,,202541-105
DFID,DFID,02-May-12,VODAFONE CORPORATE,"£1,223",Mobile telephones & accessories,Western Asia and Stabilisation Division,,100020-101
DFID,DFID,02-May-12,VODAFONE CORPORATE,£936,Mobile telephones & accessories,Western Asia and Stabilisation Division,,100020-101
DFID,DFID,02-May-12,VODAFONE CORPORATE,"£2,065",Mobile telephones & accessories,Western Asia and Stabilisation Division,,202288-101
DFID,DFID,02-May-12,VODAFONE CORPORATE,"£4,008",Mobile telephones & accessories,Western Asia and Stabilisation Division,,202288-101
DFID,DFID,02-May-12,Supplier Name withheld,"£1,477",Office Equipment - Maintenance,Western Asia and Stabilisation Division,,101601-110
DFID,DFID,02-May-12,Supplier Name withheld,"£228,860",Technical and Advisory Services,Western Asia and Stabilisation Division,,114286-102
DFID,DFID,02-May-12,Crown Agents Bank,"£8,601",Technical and Advisory Services,Western Asia and Stabilisation Division,,108743-103
DFID,DFID,02-May-12,SARAH MAGUIRE,"£1,100",Technical and Advisory Services,Western Asia and Stabilisation Division,,202288-105
DFID,DFID,02-May-12,THRESHOLDS,"£1,800",Training Providers/Facilitation Services,Western Asia and Stabilisation Division,,100020-101
DFID,DFID,03-May-12,SHAPE,"£37,000",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",,201049-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,"£3,815",Furniture & Fittings,"Asia, Caribbean and Overseas Territories",,100034-101
DFID,DFID,03-May-12,FUTURE GENERALI INDIA INSURANCE CO.,"£1,731",Medical/Health Services,"Asia, Caribbean and Overseas Territories",,201689-106
DFID,DFID,03-May-12,VODAFONE CORPORATE,£800,Mobile telephones & accessories,"Asia, Caribbean and Overseas Territories",,100084-101
DFID,DFID,03-May-12,VODAFONE CORPORATE,£509,Mobile telephones & accessories,"Asia, Caribbean and Overseas Territories",,100084-101
DFID,DFID,03-May-12,R M B Engineers and Builders Pvt Ltd,£690,Facilities Management payments,"Asia, Caribbean and Overseas Territories",,101621-103
DFID,DFID,03-May-12,Absolute Return for Kids (ARK),"£7,316",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",,201388-101
DFID,DFID,03-May-12,PRICEWATERHOUSECOOPERS,"£28,483",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",,114178-103
DFID,DFID,03-May-12,Foreign & Commonwealth Office,"£1,401",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",,203038-101
DFID,DFID,03-May-12,Andrew Rogers (Self Employed),"£16,794",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",,202083-101
DFID,DFID,03-May-12,Bal Krishna Dahal,£514,Water charges,"Asia, Caribbean and Overseas Territories",,101621-103
DFID,DFID,03-May-12,ALLEGIS GROUP LIMITED,£936,Contract & Agency Staff,Business Solutions Division Level,,200001-103
DFID,DFID,03-May-12,COLT TELECOMMUNICATIONS,"£1,125",Data Network -Satellite,Business Solutions Division Level,,200002-124
DFID,DFID,03-May-12,QA Limited,"£1,421",Training - Course Fees,Business Solutions Division Level,,200001-102
DFID,DFID,03-May-12,UNIVERSITY OF LONDON INSTIT,"£24,685",Aid Programme - Accountable Grant Payments,Communications Division,,201203-101
DFID,DFID,03-May-12,Damaris Global Learning,"£98,299",Aid Programme - Accountable Grant Payments,Communications Division,,201425-103
DFID,DFID,03-May-12,OXFAM,"£1,529,294",Aid Programme - Accountable Grant Payments,East and Central Africa,,202479-102
DFID,DFID,03-May-12,Foreign & Commonwealth Office,£780,"Conferences, Seminars & Meeting/Event Resource",East and Central Africa,,101633-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,£701,Electricity,East and Central Africa,,101633-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,£548,FCO shared service charges,East and Central Africa,,101633-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,£836,FCO shared service charges,East and Central Africa,,101633-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,£892,FCO shared service charges,East and Central Africa,,101633-101
DFID,DFID,03-May-12,COIMEX SARL,£614,Generators & spares,East and Central Africa,,100212-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,"£11,395",Secure staff accomodation,East and Central Africa,,101616-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,"£3,931",Secure staff accomodation,East and Central Africa,,101616-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,"£3,664",Secure staff accomodation,East and Central Africa,,101633-101
DFID,DFID,03-May-12,Foreign & Commonwealth Office,"£8,660",Secure staff accomodation,East and Central Africa,,201913-102
DFID,DFID,03-May-12,VODAFONE CORPORATE,"£1,568",Mobile telephones & accessories,East and Central Africa,,100016-106
