Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Reagent,Diagnostics & Clinical Support,ROCHE DIAGNOSTICS LTD,0001392807,"31,861.09"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001385208,"8,873.96"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001385208,"10,790.98"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001385208,"66,907.65"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Reagent,Diagnostics & Clinical Support,S G EQUIPMENT FINANCE LTD,0001376424,"62,269.17"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Reagent,Diagnostics & Clinical Support,S G EQUIPMENT FINANCE LTD,0001390417,"62,269.17"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Reagent,Diagnostics & Clinical Support,BECKMAN COULTER U K LTD,0001380796,"33,490.31"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Reagent,Diagnostics & Clinical Support,BECKMAN COULTER U K LTD,0001382924,"33,490.31"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Reagent,Diagnostics & Clinical Support,BECKMAN COULTER U K LTD,0001388002,"56,720.70"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,MRI Scans Alliance,Diagnostics & Clinical Support,ALLIANCE MEDICAL LTD,0001389528,"52,875.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Conference/Training,Diagnostics & Clinical Support,MISC BACS Sundry,0001392712,"34,971.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Externally Referred Tests,Diagnostics & Clinical Support,MEDICA REPORTING LIMITED,0001392135,"28,512.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001382049,"16,787.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001386030,"16,787.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001382049,"17,700.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001386030,"17,700.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001385915,"-27,880.78"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001385891,"26,997.71"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001373410,"82,923.76"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001385896,"82,923.76"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001385894,"140,597.85"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,SLA Central Mcr Immunology,Diagnostics & Clinical Support,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001391329,"48,498.24"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,SLA Central Mcr Virology,Diagnostics & Clinical Support,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001384230,"41,943.33"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,SLA Central Mcr Virology,Diagnostics & Clinical Support,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001385803,"41,943.33"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001381333,"1,160.95"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001385609,"3,180.60"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001385609,"3,929.82"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001381333,"4,332.20"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001385609,"7,421.48"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001385609,"15,226.70"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001381333,"27,585.94"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001366917,"30,065.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001366917,"31,258.25"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN,0001366917,"35,637.95"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Clean Ext Contracts Tender,Estates and Facilities,G4S INTEGRATED SERVICES (UK) LTD,0001395408,"1,893,051.21"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001386565,"2,125.88"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001391954,"2,169.72"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001386563,"2,752.19"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001391953,"2,832.48"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001386566,"6,530.90"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001391955,"6,620.25"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001386564,"11,858.94"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001391956,"12,256.44"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001386565,"38,059.58"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001391954,"38,846.67"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001386563,"59,760.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001391953,"61,503.79"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001386564,"121,979.13"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001391956,"126,068.19"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001386566,"141,810.80"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001391955,"143,744.90"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001395151,"2,701.65"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001395151,"163,851.02"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Energy Steam,Estates and Facilities,SRCL LTD,0001384522,"31,222.48"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Energy Steam,Estates and Facilities,SRCL LTD,0001392202,"33,362.86"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001385404,"51,367.21"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Rates,Estates and Facilities,BURY MBC,0001387997,"81,458.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Rates,Estates and Facilities,MANCHESTER CITY COUNCIL,0001387996,"104,112.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Rates,Estates and Facilities,OLDHAM M B,0001387994,"118,927.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Rates,Estates and Facilities,ROCHDALE METROPOLITAN BOROUGH COUNCIL,0001387993,"33,017.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Licences,Estates and Facilities,OLDHAM ATHLETIC (2004) A.F.C. LTD,0001389019,"36,434.30"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,Leased Car Ad Hoc Expenses,Corporate Services Other,N H C NHS FOUNDATION TRUST,0001381953,"56,994.69"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,Leased Car Insurance,Corporate Services Other,N H C NHS FOUNDATION TRUST,0001381953,"10,710.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Computer Hardware & Software,Corporate Services Other,CSC CHORLEY,0001392677,"63,000.01"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Computer Hardware & Software,Corporate Services Other,CSC CHORLEY,0001388423,"63,000.03"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Computer Hardware & Software,Corporate Services Other,CSC CHORLEY,0001388425,"302,400.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,PAS Systems Maintenance,Corporate Services Other,CSC CHORLEY,0001385619,"75,882.67"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,PAS Systems Maintenance,Corporate Services Other,CSC CHORLEY,0001392450,"75,882.67"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Net Backup Executive,Corporate Services Other,INSIGHT DIRECT UK LTD,0001374124,"11,740.03"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Net Backup Executive,Corporate Services Other,INSIGHT DIRECT UK LTD,0001374124,"17,936.16"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Net Backup Executive,Corporate Services Other,INSIGHT DIRECT UK LTD,0001374124,"40,764.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Legal Charges,Corporate Services Other,WEIGHTMANS,0001395424,"60,976.66"
Department of Health,The Pennine Acute Hospitals NHS Trust,13/06/2014,General Equip & Maintenance,Corporate Services Other,SOFTCAT LTD,0001391040,"497,637.58"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,Subscriptions,Corporate Services Other,SALFORD ROYAL NHS FOUNDATION TRUST,0001371767,"40,000.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,Subscriptions,Corporate Services Other,THE CHRISTIE NHS FOUNDATION TRUST,0001381686,"47,182.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/06/2014,Professional Fees,Corporate Services Other,DELOITTE,0001389958,"42,350.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Professional Fees,Corporate Services Other,EDENRED LTD (CHILDCARE),0001392783,"2,472.68"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,M & S Equipment,Capital,CARESTREAM HEALTH UK LTD,0001387486,"48,600.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,M & S Equipment,Capital,LEICA MICROSYSTEMS (UK) LTD,0001389470,"80,502.71"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Computer Hardware & Software,Capital,INSIGHT DIRECT UK LTD,0001392258,"1,620.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Computer Hardware & Software,Capital,INSIGHT DIRECT UK LTD,0001392258,"25,020.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Bld Contract Pennine Acute,Capital,ELLESMERE ENGINEERING CO LTD,0001387938,"34,143.22"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Bld Contract Pennine Acute,Capital,ELLESMERE ENGINEERING CO LTD,0001387909,"50,343.64"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Bld Contract Pennine Acute,Capital,MICHAEL WELSH LTD,0001387913,"8,103.81"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Bld Contract Pennine Acute,Capital,MICHAEL WELSH LTD,0001387913,"20,259.55"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Bld Contract Pennine Acute,Capital,THOMAS BARNES & SONS,0001394916,"17,296.01"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Bld Contract Pennine Acute,Capital,THOMAS BARNES & SONS,0001394916,"100,125.48"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Professional Fees,Capital,CSC CHORLEY,0001387421,"34,038.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Bury Pharmacy,Bury Pharmacy,AAH CUSTOMER SERVICE,0001389578,"61,252.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Oldham Pharmacy,Oldham Pharmacy,AAH CUSTOMER SERVICE,0001389583,"123,283.63"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,North Manchester Pharmacy,North Manchester Pharmacy,AAH CUSTOMER SERVICE,0001389580,"126,121.31"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Brookson - Brookson Fee,Brookson - Brookson Fee,BROOKSON HEALTHCARE SERVICES LLP,0001389871,"47,316.74"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Child Care Vouchers,Child Care Vouchers,EDENRED LTD (CHILDCARE),0001392783,"103,029.28"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001393381,"42,421.23"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001393631,"73,488.68"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001386325,"90,284.71"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Hospital Saturday Fund,Hospital Saturday Fund,HEALTHSURE GROUP LTD,0001389493,"30,202.27"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/06/2014,Credit Union,Credit Union,METRO MONEYWISE,0001387970,"62,626.89"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/06/2014,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001390104,"328,461.53"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/06/2014,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001391849,"391,569.12"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/06/2014,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001390106,"396,596.24"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/06/2014,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001393928,"405,928.25"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/06/2014,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001400800,"423,664.70"
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,UNISON,UNISON,UNISON,0001389500,"34,421.27"
