"Capital
Revenue",Cost Centre,Organisation,Transaction No.,Supplier Name,Expense Type,,,,
Rushmoor Borough Council,Community,2515,General Repairs and Maintenance,15/02/2018,0000212668,975.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1210,Contract Staff,22/02/2018,0000212671,1113.20,Revenue,Hays,02287
Rushmoor Borough Council,Community,2563,Operational Equipment,22/02/2018,0000212672,580.00,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,22/02/2018,0000212673,702.30,Revenue,Vodafone Ltd,08758
Rushmoor Borough Council,Legal,1210,Contract Staff,22/02/2018,0000212674,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Community,2549,Training Expenses,15/02/2018,0000212675,550.00,Revenue,Alpha Training Safety Soulutions Ltd,14916
Rushmoor Borough Council,Financial Services,3401,Conferences and Seminars,22/02/2018,0000212677,390.00,Revenue,Cipfa Business Limited,10642
Rushmoor Borough Council,Community,6573,Contract Costs,15/02/2018,0000212683,400.00,Capital,Bernard Sims Associates,10558
Rushmoor Borough Council,Environmental Health and Housing,2213,Equipment Maintenance,22/02/2018,0000212685,861.60,Revenue,Bruel And Kjaer Uk Ltd,11691
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,22/02/2018,0000212688,312.00,Revenue,Adt Fire And Security Plc,03782
Rushmoor Borough Council,Environmental Health and Housing,2218,Agency Staff,22/02/2018,0000212689,397.54,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2518,Panto Expenditure,15/02/2018,0000212692,2000.00,Revenue,Hopkins Associates Ltd,00463
Rushmoor Borough Council,Community,2518,Licenses/Performing Rights,22/02/2018,0000212693,4486.88,Revenue,The Performing Right Society Ltd,01021
Rushmoor Borough Council,Information Technology,3305,Gas,22/02/2018,0000212696,2916.11,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1212,Gas,22/02/2018,0000212697,257.99,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2526,Gas,22/02/2018,0000212700,271.48,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2551,Gas,22/02/2018,0000212703,3829.75,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2518,Payment to Artistes,15/02/2018,0000212706,5588.04,Revenue,Bound And Gagged Limited,02374
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,22/02/2018,0000212709,275.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2518,Snap Discos,22/02/2018,0000212711,716.50,Revenue,Tango Security Ltd,01412
Rushmoor Borough Council,Community,2518,Snap Discos,22/02/2018,0000212712,702.50,Revenue,Tango Security Ltd,01412
Rushmoor Borough Council,Planning,2609,Temporary Staff,22/02/2018,0000212713,1046.25,Revenue,Vivid Resourcing,14866
Rushmoor Borough Council,Community,2549,Operational Equipment,22/02/2018,0000212720,824.15,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Community,2549,Operational Equipment,22/02/2018,0000212721,297.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Community,2560,General Repairs and Maintenance,22/02/2018,0000212725,2170.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2551,Caskets and Urns,22/02/2018,0000212728,348.00,Revenue,Ashdown Supplies,00118
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,22/02/2018,0000212729,2720.00,Revenue,Pjk Solutions Ltd,14615
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,22/02/2018,0000212730,828.00,Revenue,Clearwater Technology Ltd,14478
Rushmoor Borough Council,Community,2560,Payment to Contractor Sums,22/02/2018,0000212731,9660.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,6541,Contract Costs,22/02/2018,0000212732,6000.00,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Community,2507,Operational Equipment,22/02/2018,0000212733,530.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Legal,1210,Contract Staff,22/02/2018,0000212737,558.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,22/02/2018,0000212741,953.81,Revenue,Adt Fire And Security Plc,03782
Rushmoor Borough Council,Community,2517,Tree Maintenance,22/02/2018,0000212743,720.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Customer Services,3811,Contract Staff,22/02/2018,0000212745,962.00,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Democratic Services,1327,Postages,21/02/2018,0000212749,4850.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Information Technology,7500,Web Developments,22/02/2018,0000212754,1200.00,Capital,Profectus Group Ltd,14309
Rushmoor Borough Council,Legal,1210,Contract Staff,22/02/2018,0000212755,1306.80,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,7500,Web Developments,22/02/2018,0000212756,1000.00,Capital,Profectus Group Ltd,14309
Rushmoor Borough Council,Information Technology,3307,Stationery,22/02/2018,0000212760,271.60,Revenue,Oak Farm News,01964
Rushmoor Borough Council,Community,2555,Water,22/02/2018,0000212788,544.08,Revenue,South East Water Ltd,01850
Rushmoor Borough Council,Community,2518,Refreshment Purchases,22/02/2018,0000212789,318.36,Revenue,Consort Frozen Foods Ltd,00260
Rushmoor Borough Council,Community,2560,General Repairs and Maintenance,22/02/2018,0000212790,2180.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,6548,Contract Costs,22/02/2018,0000212791,14136.00,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Community,2560,General Repairs and Maintenance,22/02/2018,0000212792,3009.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2560,Payment to Contractor Sums,22/02/2018,0000212793,1460.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2518,Payment to Artistes,22/02/2018,0000212796,1170.00,Revenue,Wendy Watts,12417
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,22/02/2018,0000212797,499.60,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,22/02/2018,0000212798,300.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2517,Playground Apparatus,22/02/2018,0000212808,261.78,Revenue,Proludic Ltd,07094
Rushmoor Borough Council,Community,2518,Refreshment Purchases,22/02/2018,0000212809,333.31,Revenue,Bentons,12526
Rushmoor Borough Council,Information Technology,3306,Photocopiers,22/02/2018,0000212812,4731.86,Revenue,Ricoh Uk Ltd,00676
Rushmoor Borough Council,Information Technology,3306,Operational Equipment,22/02/2018,0000212814,990.00,Revenue,Morgana Systems Ltd,09704
Rushmoor Borough Council,Information Technology,7500,Web Developments,22/02/2018,0000212826,536.74,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Cash Receipting Upgrade,22/02/2018,0000212826,268.37,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Revenues Citizens Account Development,22/02/2018,0000212826,1610.23,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Staff Hub Development,22/02/2018,0000212826,1073.49,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,22/02/2018,0000212826,268.37,Holding Accounts,Uk Transform Ltd,11773
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,01/02/2018,0080010063,5000.00,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,01/02/2018,0080010066,4957.35,Capital,R H Collings & Son,12238
Rushmoor Borough Council,Control Accounts,9350,Farnborough Airport Community Environment Fund Grant,01/02/2018,0080010069,654.00,Control Accounts,Wellington Community Primary School Pta,14813
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,01/02/2018,0080010075,3529.88,Capital,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Control Accounts,9301,Funds To Administer The Local Enterprise Partnership,01/02/2018,0080010076,21342.96,Control Accounts,Basingstoke & Deane Borough Council,00141
Rushmoor Borough Council,Information Technology,3305,Mineral Water,08/02/2018,0080010080,352.23,Revenue,Angel Springs Limited,14225
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,08/02/2018,0080010081,1718.40,Capital,Vistar Construction Ltd,03008
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,08/02/2018,0080010082,1268.27,Capital,Bjc Design,14608
Rushmoor Borough Council,Planning,2614,Professional Subscriptions,08/02/2018,0080010086,284.95,Revenue,Arboricultural Association,01440
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,08/02/2018,0080010091,424.17,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,08/02/2018,0080010092,893.74,Capital,Prism Medical Uk,02558
Rushmoor Borough Council,Community,2551,Ministers Fees,08/02/2018,0080010096,910.00,Revenue,Rev K Hodges,00803
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,15/02/2018,0080010098,2986.85,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,15/02/2018,0080010101,4247.69,Capital,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,15/02/2018,0080010105,872.92,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,15/02/2018,0080010106,10507.85,Capital,Luxuria Property Ltd,14458
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent In Advance,15/02/2018,0080010113,420.00,Revenue,Foster Properties,11478
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,15/02/2018,0080010121,398.20,Capital,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,15/02/2018,0080010122,6804.00,Capital,Rocon Contractors Ltd,02821
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,15/02/2018,0080010123,3375.00,Capital,Total Hygiene Ltd,08615
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,15/02/2018,0080010126,5923.96,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Holding Accounts,9406,Belle Vue Deposit Refunds,15/02/2018,0080010130,1200.00,Holding Accounts,Commercial Dishwasher Services,03316
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,14/02/2018,0080010134,1237.50,Revenue,Millbanks,14631
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,14/02/2018,0080010134,825.00,Control Accounts,Millbanks,14631
Rushmoor Borough Council,Community,2537,Smartcard Refunds,22/02/2018,0080010137,2310.37,Revenue,Vivid Housing Ltd,00707
Rushmoor Borough Council,Strategy and Communiations,1415,Apprenticeship Levy,22/02/2018,0080010140,2710.00,Revenue,Hm Revenue & Customs,00489
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,22/02/2018,0080010145,498.51,Capital,Bjc Design,14608
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,22/02/2018,0080010150,725.00,Control Accounts,Martin And Co,10511
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,22/02/2018,0080010150,1003.00,Revenue,Martin And Co,10511
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,22/02/2018,0080010154,895.00,Control Accounts,Martin And Co,10511
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,22/02/2018,0080010154,1239.00,Revenue,Martin And Co,10511
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,22/02/2018,0080010159,3721.61,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Community,2513,Direct Grants,22/02/2018,0080010160,278.52,Revenue,Blackwater Valley Runners,13114
Rushmoor Borough Council,Legal,1202,Counsels Fees,22/02/2018,0080010162,500.00,Revenue,Wheelers Solicitors,08863
Rushmoor Borough Council,Personnel & Payroll,1415,Health Care,05/02/2018,78,1520.94,Revenue,National Deposit,DD1
Rushmoor Borough Council,Community,2518,Access/Cardnet,20/02/2018,119,253.55,Revenue,Virtual Leasing,DD2
Rushmoor Borough Council,All Services,9347,Staff Rail Travel,27/02/2018,61,616.8,Revenue,Rail Settlement Plan,DD3
Rushmoor Borough Council,Democratic Services,1327,Telephones,26/02/2018,334.3,575.42,Revenue,Hullabaloo,DD4
Rushmoor Borough Council,Community,2518,Databox Maintenance,19/02/2018,104,1440.98,Revenue,Spektrix,DD5
Rushmoor Borough Council,Environmental Health and Housing,2218,DBS Checks,15/02/2018,89,308,Revenue,DBS,DD6
,,,,,,,,,
,,,,,,,,,
