Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/08/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI797286,"63,554.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/08/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI800538,"69,139.76"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI803067,"63,948.18"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,ELECTRICITY,UTILITIES,NPOWER LTD,LGUDC2C4,"40,954.95"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,ELECTRICITY,UTILITIES,NPOWER LTD,LGUDC2C4,"7,167.11"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,TELEPHONE INSTALLATION AND MAINTENANCE,TELECOMMUNICATIONS,SIEMENS ENTERPRISE COMMUNICATIONS LTD,6000796163,"23,735.88"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,TELEPHONE INSTALLATION AND MAINTENANCE,TELECOMMUNICATIONS,SIEMENS ENTERPRISE COMMUNICATIONS LTD,6000796163,"4,153.78"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,MED SURG EQPT HIRE,MEDICAL WARDS,SIEMENS FINANCIAL SERVICES LTD,320/10/0000002,"25,930.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,MED SURG EQPT HIRE,MEDICAL WARDS,SIEMENS FINANCIAL SERVICES LTD,320/10/0000002,"4,537.89"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050738947/,"138,048.03"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,FINANCE LEASE INTEREST,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050738947/,"8,584.70"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,OBLIGATIONS UNDER FINANCE LEASES AND HIRE PURCHASE CONTRACTS > ONE YEAR,BALANCE SHEET,SODEXO HEALTHCARE SERVICES LTD,9050738947/,"6,397.38"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/08/2010,COMPUTER MAINTENANCE,INFORMATION MANAGEMENT & TECHNOLOGY,SPECIALIST COMPUTER CENTRES PLC,OP/L161611,"34,745.36"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/08/2010,COMPUTER MAINTENANCE,INFORMATION MANAGEMENT & TECHNOLOGY,SPECIALIST COMPUTER CENTRES PLC,OP/L161611,"6,080.44"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/08/2010,GAS,UTILITIES,TOTAL GAS AND POWER LTD,60024387/10,"23,757.03"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/08/2010,GAS,UTILITIES,TOTAL GAS AND POWER LTD,60024387/10,"4,157.48"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,TRACLINE UK LTD,31385,"21,840.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,TRACLINE UK LTD,31385,"3,822.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,TRACLINE UK LTD,31385,223.40
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,TRACLINE UK LTD,31385,39.10

Report created October 10 - RX7 RWW,,,,,,,
