A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 1/6/2015 10:10:36 AM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,6154974,"27,146.95",,28010058,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,HERTFORDSHIRE COMMUNITY NHS TRUST,6196157,"117,983.35",,28010039,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,HERTFORDSHIRE COMMUNITY NHS TRUST,6243276,"47,193.34",,28010307,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,6155338,"188,405.00",,1801641018,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,6155365,"124,059.00",,1801641016,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,5834423,"4,397,000.00",,1801627427,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,5834423,"848,000.00",,1801627427,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE COUNTY COUNCIL,5834423,"27,000.00",,1801627427,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2014,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,5834423,"326,000.00",,1801627427,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE EYE HOSPITAL (THE),6081486,"47,954.00",,PB6014,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,6155221,"95,527.80",,2536,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,HERTS URGENT CARE,6155227,"127,337.00",,2537,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,6155493,"320,330.35",,2544,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,5910992,"93,913.00",654945990,H0110921,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,Winter Resilience,KGS MEDICAL SERVICES LTD,6135436,"26,360.00",,WPP001NOV14,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,6240774,"50,184.02",,HT000013799,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,6240774,402.50,,HT000013799,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,6026245,"30,896.00",,216293,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,5952656,"71,316.00",654463720,A0001088,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,5949575,"129,960.42",,52958303,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Computer Software/License,NON RECURRENT PROGRAMMES,MAP OF MEDICINE LTD,6026241,"59,267.31",932962895,715,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,MARIE STOPES INTERNATIONAL,6178610,"60,080.00",,MS142384,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,MEDICAL SERVICES LTD,5998475,"21,131.15",123355441,MBH80089,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,6026184,"84,420.00",,ME2000085765,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,6081521,"300,705.00",,IC0021726,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,6240781,"(86,192.03)",,HT000013807,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,6240782,"156,137.51",,HT000013808,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,6240782,"4,347.00",,HT000013808,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS CCG-Non Contract,BUSINESS INFORMATICS,NHS BEDFORDSHIRE CCG,6026192,"90,174.00",,7020700298,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Computer Hardware Purch,IM&T,NHS CENTRAL EASTERN CSU,6256548,"1,352,487.00",,7312200922,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Computer Hardware Purch,IM&T,NHS CENTRAL EASTERN CSU,6256553,"(48,476.00)",,7312200956,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,NHS ENGLAND,6196214,"29,849.00",654 442 045,7000012322,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Cont Care- Children,CHC CHILDREN,NHS HERTS VALLEYS CCG,5910633,"161,221.43",,7021200160,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Cont Care- Children,CHC CHILDREN,NHS HERTS VALLEYS CCG,6243221,"30,347.63",,7021200165,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,6081761,"394,833.00",,26562,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,6082094,"76,629.00",,26671,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,6228700,"129,720.00",,OFUEOE9078,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,6081862,"102,134.00",654935994,I0088694,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PEARTREE SURGERY,6240789,"36,919.62",,HT000013815,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,5910623,"1,083,235.00",426505170,ENHCCGPINDEC14,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,5949507,"279,867.66",426505170,ENHCCGPINERIVSPRINVFINMAR,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,PINEHILL HOSPITAL,5949642,"105,468.00",426505170,ENHCCGPINEINVCQUIN1314,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,6118920,"66,164.51",426505170,ENHCCGPINERIVINVFINJUL14,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,6136277,"(101,545.95)",426505170,ENHCCGPINERIVINVFINAUG14,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,6256617,"(126,126.73)",426505170,ENHCCGPINERIVCRADJAUG14,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,5910672,"4,077,415.17",654964985,BL140901,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,6256566,"131,196.00",654964985,A96771,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,RIVERS HOSPITAL,5949652,"(63,028.17)",426505170,ENHCCGRIVCRDRS1314,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,RIVERS HOSPITAL,5949668,"115,454.03",426505170,ENHCCGRIVINVCQUIN1314,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,5949541,"180,750.84",,I0170501,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,6118838,"(40,073.04)",,C0011775,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,6044979,"274,336.00",654946987,1340356,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,6061077,"1,719,227.00",654946987,I0071033,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),6101452,"40,383.48",,45711513,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,5949602,"278,054.00",,B0026701,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,6118898,"(28,518.00)",,B0026869,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,5949620,"137,467.00",,06K011214PFHPN,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,6060888,"186,050.17",,06K300914RECHPN,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,6169343,"30,050.00",,HT000013464,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS LES Care Home/Nursing Home,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,6169343,53.23,,HT000013464,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,6169343,428.74,,HT000013464,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,6169343,877.64,,HT000013464,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,6081733,"519,202.00",654948687,706521,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Clinical&Medical-Independent Sector,URGENT CARE,VIRGIN CARE LEA VALLEY LLP,6081906,"66,715.50",918510332,812Z364,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,6240806,"(58,692.78)",,HT000013833,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,6240807,"1,328.25",,HT000013834,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,6240807,"102,165.02",,HT000013834,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,6081510,"259,581.00",,225296,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,6240802,"38,010.60",,HT000013829,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,6240802,"1,529.50",,HT000013829,
,,,,,,,,,,
,,,,,,,"40,977,667.06",,,
