Newcastle City Council Invoices over £500 paid in October 2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,12 October 2012,BLACK KNIGHT LTDT/A CITY AUTO CARE,5676363,Revenue,1EA65,Skills For Jobs Project      M,354.30,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,12 October 2012,KIBBLESWORTH ACADEMY,5676362,Revenue,1EA65,Skills For Jobs Project      M,1500.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,12 October 2012,OUSEBURN TRUST,5676359,Revenue,1EA65,Skills For Jobs Project      M,1250.58,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,16 October 2012,PARKWAY MEDICAL GROUP,5679140,Revenue,1EA65,Skills For Jobs Project      M,500.16,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,29 October 2012,PARKWAY MEDICAL GROUP,5689384,Revenue,1EA65,Skills For Jobs Project      M,500.16,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Byker Lodge     ,Premises,31 October 2012,BUNZL CLEANING & HYGIENE SUPPLIES,5685562,Revenue,1MG26,Byker Lodge                  M,306.16,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Byker Lodge     ,Premises,05 October 2012,BUNZL CLEANING & HYGIENE SUPPLIES,5665377,Revenue,1MG26,Byker Lodge                  M,426.88,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Capability's    ,Supplies & Services,05 October 2012,APOGEE CORPORATION,5664000,Revenue,1MW03,Capabilities                 M,362.84,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Capability's    ,Supplies & Services,19 October 2012,FRESHFAYRE LTD,5682581,Revenue,1MW03,Capabilities                 M,257.95,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Drug Action Team  ,Supplies & Services,04 October 2012,JAMBOYOGA,5666770,Revenue,1MP05,DSU Service User Involvement M,720.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Drug Action Team  ,Supplies & Services,04 October 2012,JAMBOYOGA,5666938,Revenue,1MP05,DSU Service User Involvement M,720.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Capital Expenditure,24 October 2012,MIS ENVIROMENTAL LTD,5680017,Capital,2WW01,Adult And Culture Capital    M,1600.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Capital Expenditure,02 October 2012,MIS ENVIROMENTAL LTD,5663468,Capital,2WW01,Adult And Culture Capital    M,3800.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Capital Expenditure,12 October 2012,NORTHUMBRIAN WATER,5674774,Capital,2WW01,Adult And Culture Capital    M,370.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Capital Expenditure,05 October 2012,THURLOW COUNTRYSIDE MANAGEMENT LTD,5666789,Capital,2WW01,Adult And Culture Capital    M,2100.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Premises,05 October 2012,N POWER NORTHERN LTD,5668118,Revenue,1MG26,Byker Lodge                  M,1277.15,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Premises,02 October 2012,N POWER NORTHERN LTD,5663473,Revenue,1MG26,Byker Lodge                  M,1286.62,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Supplies & Services,18 October 2012,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5681748,Revenue,1MG70,Equip & Adapt Eldery         M,138894.75,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Supplies & Services,11 October 2012,SOCIAL CARE ASSOCIATION (EDUCATION),5669167,Revenue,1MR34,Development - Adult services M,292.50,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Supplies & Services,23 October 2012,SPORTS AND LEISURE PUBLICATIONS LTD,5687198,Revenue,1MP11,Healthy Alliances            M,269.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Supplies & Services,09 October 2012,SPORTS AND LEISURE PUBLICATIONS LTD,5669111,Revenue,1MP11,Healthy Alliances            M,279.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Supplies & Services,03 October 2012,SPORTS AND LEISURE PUBLICATIONS LTD,5665241,Revenue,1MP11,Healthy Alliances            M,279.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Supplies & Services,03 October 2012,SPORTS AND LEISURE PUBLICATIONS LTD,5665394,Revenue,1MP11,Healthy Alliances            M,299.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AGE UK NEWCASTLE,5688447,Revenue,1MG50,Ind Home Spot Pur Elderly    M,469.47,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AGE UK NEWCASTLE,5688501,Revenue,1MG50,Ind Home Spot Pur Elderly    M,547.68,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,03 October 2012,AGE UK NEWCASTLE,5665344,Revenue,1MG50,Ind Home Spot Pur Elderly    M,593.32,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,08 October 2012,ARK HOUSE TREATMENT CENTRE,5668896,Revenue,1MP27,DAT Residential Rehab        M,3277.68,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,15 October 2012,AZURE,5677944,Revenue,1MK50,Ind Supported Living LD      M,1190.97,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688404,Revenue,1MK50,Ind Supported Living LD      M,1251.12,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684383,Revenue,1MK54,Dom Care Own Tenancy LD      M,288.72,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684384,Revenue,1MK54,Dom Care Own Tenancy LD      M,288.72,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688541,Revenue,1MK54,Dom Care Own Tenancy LD      M,336.84,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684385,Revenue,1MK54,Dom Care Own Tenancy LD      M,384.96,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688542,Revenue,1MK54,Dom Care Own Tenancy LD      M,457.14,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688498,Revenue,1MK54,Dom Care Own Tenancy LD      M,481.20,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688409,Revenue,1MK54,Dom Care Own Tenancy LD      M,511.28,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688540,Revenue,1MK54,Dom Care Own Tenancy LD      M,577.44,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688500,Revenue,1MK54,Dom Care Own Tenancy LD      M,625.56,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19 October 2012,AZURE,5683339,Revenue,1MK54,Dom Care Own Tenancy LD      M,818.04,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684423,Revenue,1MK54,Dom Care Own Tenancy LD      M,938.28,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688474,Revenue,1MK54,Dom Care Own Tenancy LD      M,1010.52,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,AZURE,5673313,Revenue,1MK54,Dom Care Own Tenancy LD      M,1239.09,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688499,Revenue,1MK54,Dom Care Own Tenancy LD      M,1587.96,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684265,Revenue,1MK55,Dom Care Family/Carer LD     M,288.72,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688442,Revenue,1MK55,Dom Care Family/Carer LD     M,336.84,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688502,Revenue,1MK55,Dom Care Family/Carer LD     M,336.84,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688408,Revenue,1MK55,Dom Care Family/Carer LD     M,384.96,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684266,Revenue,1MK55,Dom Care Family/Carer LD     M,433.08,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684422,Revenue,1MK55,Dom Care Family/Carer LD     M,433.08,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,15 October 2012,AZURE,5677945,Revenue,1MK55,Dom Care Family/Carer LD     M,469.17,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684264,Revenue,1MK55,Dom Care Family/Carer LD     M,674.97,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,AZURE,5688410,Revenue,1MK55,Dom Care Family/Carer LD     M,769.92,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19 October 2012,AZURE,5683340,Revenue,1MK55,Dom Care Family/Carer LD     M,1130.82,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,15 October 2012,AZURE,5677946,Revenue,1MK55,Dom Care Family/Carer LD     M,1130.82,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684191,Revenue,1MK55,Dom Care Family/Carer LD     M,1227.06,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,AZURE,5684188,Revenue,1MK55,Dom Care Family/Carer LD     M,1443.60,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,17 October 2012,AZURE,5673699,Revenue,1MM50,Ind Home - Spot Pur MH       M,926.31,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,CARE UK HOMECARE,5683343,Revenue,1MH50,Ind Home Spot Pur PD         M,297.60,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,CARE UK LEARNING DISABILITIES SERVICES,5684380,Revenue,1MH50,Ind Home Spot Pur PD         M,1122.88,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,CARE UK LEARNING DISABILITIES SERVICES,5684201,Revenue,1MH50,Ind Home Spot Pur PD         M,1457.80,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,CARE UK LEARNING DISABILITIES SERVICES,5684184,Revenue,1MH50,Ind Home Spot Pur PD         M,1914.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19 October 2012,CARE UK LEARNING DISABILITIES SERVICES,5683347,Revenue,1MK54,Dom Care Own Tenancy LD      M,1556.24,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,CARE UK LEARNING DISABILITIES SERVICES,5684392,Revenue,1MK54,Dom Care Own Tenancy LD      M,1556.24,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,CARELINE HOMECARE LTD,5684185,Revenue,1MG50,Ind Home Spot Pur Elderly    M,252.30,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19 October 2012,CARELINE HOMECARE LTD,5683345,Revenue,1MG50,Ind Home Spot Pur Elderly    M,336.40,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,CAREWATCH (NEWCASTLE UPON TYNE),5673518,Revenue,1MH50,Ind Home Spot Pur PD         M,1727.87,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,CAREWATCH (NEWCASTLE UPON TYNE),5673624,Revenue,1MH50,Ind Home Spot Pur PD         M,2581.97,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,COMMUNITY INTEGRATED CARE,5673315,Revenue,1MH50,Ind Home Spot Pur PD         M,1271.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,COMMUNITY INTEGRATED CARE,5673513,Revenue,1MK20,Ind Res Care LD              M,333.60,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,COMMUNITY INTEGRATED CARE,5673310,Revenue,1MK54,Dom Care Own Tenancy LD      M,3683.33,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,COMMUNITY INTEGRATED CARE,5673315,Revenue,1MK54,Dom Care Own Tenancy LD      M,4809.11,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,COMMUNITY INTEGRATED CARE,5673315,Revenue,1MK55,Dom Care Family/Carer LD     M,10852.91,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,COQUET TRUST,5684389,Revenue,1MK54,Dom Care Own Tenancy LD      M,433.08,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,30 October 2012,COQUET TRUST,5683330,Revenue,1MK54,Dom Care Own Tenancy LD      M,1251.12,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,30 October 2012,COQUET TRUST,5682809,Revenue,1MK54,Dom Care Own Tenancy LD      M,2305.64,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19 October 2012,COQUET TRUST,5683353,Revenue,1MK54,Dom Care Own Tenancy LD      M,5352.75,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19 October 2012,COQUET TRUST,5683342,Revenue,1MK55,Dom Care Family/Carer LD     M,360.90,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,COQUET TRUST,5684192,Revenue,1MK55,Dom Care Family/Carer LD     M,481.20,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,26 October 2012,COQUET TRUST,5684268,Revenue,1MK55,Dom Care Family/Carer LD     M,487.22,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,COQUET TRUST,5684263,Revenue,1MK55,Dom Care Family/Carer LD     M,890.22,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,08 October 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5669100,Revenue,1MG50,Ind Home Spot Pur Elderly    M,299.04,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,08 October 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5669082,Revenue,1MG50,Ind Home Spot Pur Elderly    M,3427.25,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,08 October 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5669271,Revenue,1MH50,Ind Home Spot Pur PD         M,471.94,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,08 October 2012,GUARDIAN HOMECARE & NURSING (NCLE) LTD,5669065,Revenue,1MM50,Ind Home - Spot Pur MH       M,604.64,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,02 October 2012,JB SKILLCARE LTD,5664109,Revenue,1MG50,Ind Home Spot Pur Elderly    M,4032.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,16 October 2012,JB SKILLCARE LTD,5679135,Revenue,1MG50,Ind Home Spot Pur Elderly    M,4032.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,16 October 2012,JB SKILLCARE LTD,5679060,Revenue,1MH50,Ind Home Spot Pur PD         M,8068.20,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,30 October 2012,KEY ENTERPRISES (1983) LTD,5693260,Revenue,1MK60,Ind Day Care LD              M,1573.50,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19 October 2012,KEY ENTERPRISES (1983) LTD,5683351,Revenue,1MK60,Ind Day Care LD              M,1888.20,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,03 October 2012,KEY ENTERPRISES (1983) LTD,5665759,Revenue,1MK60,Ind Day Care LD              M,1888.20,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,29 October 2012,KEY ENTERPRISES (1983) LTD,5673308,Revenue,1MM60,Ind Day Care MH              M,1888.20,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,29 October 2012,KEY ENTERPRISES (1983) LTD,5673515,Revenue,1MM60,Ind Day Care MH              M,2265.84,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,17 October 2012,LEONARD CHESHIRE DISABILITY,5673509,Revenue,1MM60,Ind Day Care MH              M,420.80,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,02 October 2012,LIFEWAYS COMMUNITY CARE,5663585,Revenue,1MK54,Dom Care Own Tenancy LD      M,446.25,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,02 October 2012,LIFEWAYS COMMUNITY CARE,5663625,Revenue,1MK54,Dom Care Own Tenancy LD      M,1020.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,02 October 2012,LIFEWAYS COMMUNITY CARE,5663584,Revenue,1MK54,Dom Care Own Tenancy LD      M,11543.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,02 October 2012,LIFEWAYS COMMUNITY CARE,5663583,Revenue,1MK55,Dom Care Family/Carer LD     M,6545.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,LS CARE LTD,5673511,Revenue,1MH50,Ind Home Spot Pur PD         M,608.74,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,LS CARE LTD,5688449,Revenue,1MH50,Ind Home Spot Pur PD         M,645.64,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,08 October 2012,LS CARE LTD,5668899,Revenue,1MH50,Ind Home Spot Pur PD         M,722.82,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,LS CARE LTD,5673299,Revenue,1MH50,Ind Home Spot Pur PD         M,728.83,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,08 October 2012,LS CARE LTD,5669063,Revenue,1MH50,Ind Home Spot Pur PD         M,2620.08,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,LS CARE LTD,5688403,Revenue,1MH50,Ind Home Spot Pur PD         M,2620.08,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,LS CARE LTD,5673312,Revenue,1MH50,Ind Home Spot Pur PD         M,2620.08,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,LS CARE LTD,5673522,Revenue,1MH50,Ind Home Spot Pur PD         M,2620.08,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673306,Revenue,1MG50,Ind Home Spot Pur Elderly    M,360.40,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673307,Revenue,1MG50,Ind Home Spot Pur Elderly    M,503.30,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673517,Revenue,1MG50,Ind Home Spot Pur Elderly    M,880.70,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673516,Revenue,1MG50,Ind Home Spot Pur Elderly    M,926.05,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,MOMENTUM,5684199,Revenue,1MH50,Ind Home Spot Pur PD         M,382.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673520,Revenue,1MH50,Ind Home Spot Pur PD         M,414.10,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,MOMENTUM,5684262,Revenue,1MH50,Ind Home Spot Pur PD         M,481.20,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673663,Revenue,1MH50,Ind Home Spot Pur PD         M,504.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,MOMENTUM,5684390,Revenue,1MH50,Ind Home Spot Pur PD         M,738.40,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673303,Revenue,1MH50,Ind Home Spot Pur PD         M,748.13,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,22 October 2012,MOMENTUM,5684193,Revenue,1MH50,Ind Home Spot Pur PD         M,795.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673697,Revenue,1MH50,Ind Home Spot Pur PD         M,834.40,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,10 October 2012,MOMENTUM,5673622,Revenue,1MH50,Ind Home Spot Pur PD         M,928.60,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Finance         ,Third Party Payments,24 October 2012,MOMENTUM,5688407,Revenue,1MH50,Ind Home Spot Pur PD         M,934.00,,,,,,,,,,,,,,,
