Table 1.1,,,,,,,,,,,,,,,,,
"A2. How many employees does your business currently employ across all sites, excluding owners and partners?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
Don't know,1%,*%,3%,7%,1%,1%,*%,1%,2%,1%,1%,1%,1%,1%,0%,1%,1%
Refused,*%,0%,*%,0%,0%,0%,0%,*%,0%,*%,0%,*%,0%,*%,0%,0%,*%
Summary: No employees,6%,7%,*%,0%,0%,5%,4%,8%,10%,9%,2%,6%,2%,8%,13%,3%,6%
Summary: Micro,76%,91%,3%,1%,76%,83%,73%,80%,65%,76%,70%,77%,75%,76%,83%,86%,71%
Summary: Small,16%,2%,92%,8%,20%,10%,21%,9%,19%,12%,20%,15%,18%,13%,3%,9%,20%
Summary: Medium,2%,0%,1%,76%,4%,1%,2%,1%,3%,2%,6%,1%,3%,1%,0%,1%,3%
Summary: Large,*%,0%,0%,8%,*%,0%,*%,*%,*%,*%,1%,*%,*%,*%,*%,*%,*%
Base for stats,504,421,71,11,60,62,163,152,66,218,76,428,207,297,43,125,331
Mean,8.69,3.64,20.41,122.14,11.11,7.11,8.89,6.58,12.33,8.32,15.5,7.48,11.12,6.99,4.54,6.62,10.1
Standard error,1.04,0.24,0.79,9.91,2.76,2.09,1.71,2.26,2.87,1.76,3,1.07,1.89,1.12,2.64,2.66,1.2
Table 1.3,,,,,,,,,,,,,,,,,
"A4. Could you please tell me, was it...?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
More than currently,28%,30%,23%,15%,33%,33%,31%,21%,31%,24%,25%,29%,33%,25%,20%,17%,34%
The same,53%,55%,46%,39%,43%,51%,52%,58%,52%,56%,44%,55%,46%,58%,56%,56%,51%
Fewer,19%,16%,31%,46%,23%,16%,17%,21%,17%,20%,31%,17%,21%,17%,24%,27%,15%
Table 1.4,,,,,,,,,,,,,,,,,
A5. How many people do you expect the business to employ in twelve months time (excluding owners and partners)?,,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
0 employees,8%,9%,3%,2%,4%,10%,5%,11%,9%,11%,5%,8%,3%,11%,9%,4%,9%
1 to 9 employees,69%,82%,4%,1%,69%,68%,69%,71%,63%,69%,58%,71%,68%,69%,67%,80%,64%
10 to 49 employees,16%,4%,88%,0%,20%,7%,20%,13%,19%,15%,22%,15%,21%,13%,15%,12%,18%
50 to 249 employees,2%,*%,2%,82%,5%,1%,1%,2%,5%,3%,7%,2%,3%,2%,*%,1%,3%
250+ employees,*%,0%,*%,8%,*%,0%,*%,*%,*%,*%,1%,*%,*%,*%,*%,*%,*%
Don't know,5%,5%,3%,7%,2%,14%,4%,3%,3%,3%,8%,4%,5%,4%,8%,3%,5%
Refused,*%,0%,*%,0%,0%,0%,0%,*%,0%,*%,0%,*%,0%,*%,0%,0%,*%
Summary: No employees,8%,9%,3%,2%,4%,10%,5%,11%,9%,11%,5%,8%,3%,11%,9%,4%,9%
Summary: Micro,69%,82%,4%,1%,69%,68%,69%,71%,63%,69%,58%,71%,68%,69%,67%,80%,64%
Summary: Small,16%,4%,88%,0%,20%,7%,20%,13%,19%,15%,22%,15%,21%,13%,15%,12%,18%
Summary: Medium,2%,*%,2%,82%,5%,1%,1%,2%,5%,3%,7%,2%,3%,2%,*%,1%,3%
Summary: Large,*%,0%,*%,8%,*%,0%,*%,*%,*%,*%,1%,*%,*%,*%,*%,*%,*%
Base for stats,485,402,71,11,59,54,157,150,65,215,71,414,199,286,40,122,318
Mean,9.02,3.56,21.18,127,11.76,5.55,9.3,7.29,12.72,8.94,16.37,7.77,11.66,7.19,5.75,7.5,10.12
Standard error,1.16,0.28,1.48,10.28,2.89,1.98,2.07,2.43,3.03,1.88,3.28,1.2,2.15,1.18,3,2.85,1.35
Table 1.5,,,,,,,,,,,,,,,,,
"A6. Could you please tell me, do you expect it to be...?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
More than currently,25%,23%,37%,40%,31%,19%,24%,30%,17%,26%,29%,24%,34%,19%,46%,26%,22%
The same,64%,67%,47%,41%,58%,59%,66%,62%,70%,65%,50%,66%,56%,69%,45%,64%,66%
Fewer,10%,9%,15%,17%,10%,17%,9%,8%,13%,9%,19%,8%,8%,11%,5%,8%,12%
Don't know,1%,2%,0%,1%,1%,6%,1%,0%,*%,*%,2%,1%,2%,1%,3%,2%,1%
Table 1.6,,,,,,,,,,,,,,,,,
A7. Have you recruited any new employees in the past 12 months?,,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes,40%,32%,80%,92%,48%,43%,43%,33%,38%,35%,53%,38%,48%,34%,55%,46%,36%
No,60%,68%,20%,8%,52%,57%,57%,67%,62%,65%,47%,62%,52%,66%,45%,54%,64%
Table 1.7,,,,,,,,,,,,,,,,,
A8. Can you please tell me the approximate turnover of your business in the past 12 months?,,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
"Less than £73,000 (65)",18%,21%,4%,0%,14%,18%,8%,22%,35%,26%,12%,19%,11%,23%,18%,19%,18%
"£73,000 - £99,999 (87)",7%,8%,0%,0%,12%,12%,6%,7%,0%,5%,7%,7%,7%,7%,20%,6%,6%
"£100,000 - £249,999 (175)",25%,30%,3%,0%,22%,22%,23%,30%,25%,28%,17%,27%,18%,30%,25%,32%,21%
"£250,000 - £499,999 (375)",15%,17%,9%,0%,12%,10%,18%,17%,11%,16%,19%,15%,20%,12%,13%,20%,14%
"£500,000 - £999,999 (750)",8%,6%,18%,2%,8%,8%,7%,8%,7%,8%,8%,8%,11%,5%,11%,6%,8%
£1m - £1.49m (1250),7%,5%,20%,8%,7%,17%,6%,5%,5%,5%,16%,5%,8%,6%,9%,5%,7%
£1.5m - £2.8m (2150),4%,2%,14%,8%,3%,5%,5%,3%,1%,3%,3%,4%,4%,4%,0%,2%,5%
£2.81m - £4.99m (3900),3%,1%,12%,13%,5%,2%,3%,3%,3%,3%,6%,2%,4%,2%,*%,1%,4%
£5m - £9.99m (7500),2%,0%,8%,22%,4%,1%,3%,*%,*%,*%,2%,2%,2%,1%,*%,1%,2%
£10m - £14.99m (12500),1%,0%,3%,18%,3%,*%,1%,*%,1%,*%,2%,1%,1%,*%,0%,*%,1%
£15m - £24.99m (20000),*%,0%,1%,10%,1%,*%,1%,*%,*%,*%,1%,*%,*%,1%,0%,*%,1%
£25m or more (30000),*%,0%,*%,12%,1%,*%,*%,*%,1%,*%,1%,*%,*%,*%,0%,*%,*%
Don't know,6%,6%,5%,6%,1%,2%,11%,3%,9%,4%,3%,6%,9%,4%,3%,5%,7%
Refused,5%,5%,3%,1%,7%,3%,8%,1%,2%,2%,4%,5%,3%,5%,0%,2%,6%
Base for stats,455,377,67,11,55,59,133,148,60,208,72,384,184,271,42,117,291
Mean,985.12,368.85,2738.79,11070.7,1674.12,826.16,1240.37,640.04,790.24,683.67,1705.22,850.89,1229.09,819.67,363.27,632.15,1230.62
Standard error,130.79,41.24,297.33,1020.08,466.82,332.36,281.93,175.06,304.41,154.34,383.76,132.15,205,169.54,97.97,213.37,177.72
Table 1.8,,,,,,,,,,,,,,,,,
"A9. Compared with the previous 12 months, has your turnover in the past 12 months increased, decreased or stayed roughly the same?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Increased,33%,31%,38%,57%,29%,28%,36%,38%,19%,32%,40%,31%,36%,30%,70%,41%,24%
Decreased,31%,33%,27%,15%,29%,45%,31%,24%,41%,29%,23%,33%,26%,35%,7%,24%,37%
Stayed the same,35%,36%,33%,25%,42%,28%,33%,38%,37%,38%,36%,35%,37%,34%,22%,34%,38%
Don't know,1%,*%,2%,4%,0%,0%,1%,*%,3%,1%,1%,1%,*%,1%,*%,1%,*%
Refused,*%,0%,*%,0%,0%,0%,0%,0%,*%,*%,0%,*%,*%,0%,0%,0%,*%
Table 1.9,,,,,,,,,,,,,,,,,
"A12. In the next 12 months do you expect your turnover to increase, decrease, or stay roughly the same?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Increase,42%,41%,49%,55%,37%,43%,45%,44%,35%,42%,51%,41%,49%,38%,69%,49%,37%
Decrease,11%,11%,12%,11%,9%,18%,15%,7%,9%,7%,14%,11%,14%,10%,1%,7%,14%
Stay the same,43%,45%,36%,30%,53%,30%,38%,49%,49%,49%,33%,45%,36%,49%,28%,41%,46%
Don't know,3%,3%,3%,4%,1%,9%,2%,*%,7%,2%,3%,3%,2%,4%,3%,3%,3%
Unwilling to answer,*%,0%,*%,0%,0%,0%,0%,0%,*%,*%,0%,*%,*%,0%,0%,0%,*%
Table 1.10,,,,,,,,,,,,,,,,,
"A15. Taking into account all sources of income in the last 12 months, did you generate a profit or surplus?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes - and profit/surplus increased compared with previous 12 months,50%,49%,55%,65%,58%,31%,48%,62%,42%,56%,52%,50%,49%,52%,59%,59%,46%
Yes - but profit/surplus decreased compared with previous 12 months,18%,18%,18%,17%,18%,19%,18%,15%,22%,17%,15%,18%,12%,22%,8%,20%,19%
No,27%,28%,22%,18%,23%,49%,25%,21%,27%,23%,33%,26%,34%,21%,32%,19%,29%
Don't know,4%,4%,5%,1%,1%,*%,7%,2%,6%,3%,*%,4%,4%,4%,*%,1%,5%
Refused,1%,1%,*%,0%,0%,0%,2%,0%,3%,1%,0%,1%,1%,1%,0%,2%,1%
Table 1.11,,,,,,,,,,,,,,,,,
A16B. Do you expect to make a profit in the next 12 months?,,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes,83%,82%,88%,87%,80%,80%,84%,91%,66%,84%,75%,84%,80%,85%,86%,89%,80%
No,15%,16%,11%,12%,20%,19%,13%,9%,29%,15%,24%,14%,18%,13%,11%,10%,18%
Unwilling to answer,2%,2%,*%,1%,0%,2%,3%,0%,4%,1%,1%,2%,2%,2%,3%,1%,2%
Table 1.12,,,,,,,,,,,,,,,,,
"A17. Over the next two to three years, do you aim to grow your business?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes,70%,68%,80%,88%,72%,62%,68%,75%,72%,74%,79%,69%,73%,69%,82%,78%,67%
No,29%,31%,17%,10%,27%,38%,31%,24%,27%,25%,20%,30%,27%,30%,18%,22%,32%
Unwilling to answer,1%,*%,2%,2%,*%,0%,1%,1%,*%,1%,*%,1%,*%,1%,0%,0%,1%
Table 1.13,,,,,,,,,,,,,,,,,
A18. Do you expect to fund your business growth using internal finances or from external finance providers?,,,,,,,,,,,,,,,,,
Base: Where aim to grow business,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,393,155,156,82,68,32,102,108,83,191,108,285,193,200,29,86,276
Weighted Bases,358,288,59,11,44,39,111,116,49,164,61,297,152,206,35,97,223
Internal finance,70%,72%,63%,43%,59%,71%,66%,76%,70%,75%,39%,76%,62%,75%,67%,65%,72%
External finance,11%,10%,14%,18%,9%,17%,13%,5%,13%,8%,17%,9%,15%,8%,23%,4%,12%
Both,14%,13%,19%,38%,21%,12%,15%,14%,11%,13%,41%,9%,20%,10%,10%,25%,11%
Don't know,5%,6%,4%,1%,11%,0%,5%,5%,5%,5%,3%,6%,3%,7%,0%,7%,5%
Table 1.14,,,,,,,,,,,,,,,,,
A18A. Are you planning to increase investment in your business in the next 12 months to achieve growth?,,,,,,,,,,,,,,,,,
Base: Where aim to grow business,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,393,155,156,82,68,32,102,108,83,191,108,285,193,200,29,86,276
Weighted Bases,358,288,59,11,44,39,111,116,49,164,61,297,152,206,35,97,223
Yes,61%,59%,66%,78%,88%,59%,60%,52%,62%,55%,76%,58%,73%,52%,62%,63%,60%
No,33%,35%,30%,12%,11%,35%,29%,44%,36%,41%,20%,36%,23%,41%,29%,33%,34%
Don't know,6%,6%,4%,10%,1%,5%,11%,5%,2%,4%,4%,6%,4%,7%,9%,4%,6%
Table 1.15,,,,,,,,,,,,,,,,,
"A18B. Which of these types of investment, if any, are you planning to do in the next 12 months?",,,,,,,,,,,,,,,,,
Base: Where aim to increase investment,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,266,95,107,64,59,21,63,67,56,123,88,178,148,118,21,64,180
Weighted Bases,218,171,39,8,39,23,67,60,30,90,46,172,111,107,22,61,135
Buy new equipment or machinery,76%,75%,80%,77%,88%,85%,76%,63%,79%,68%,73%,77%,75%,77%,72%,72%,78%
Move to larger/better quality premises,20%,20%,19%,27%,10%,29%,17%,28%,17%,24%,27%,18%,22%,18%,15%,22%,20%
Training of existing staff,64%,58%,86%,82%,64%,78%,55%,63%,75%,67%,72%,62%,56%,72%,64%,63%,65%
Hiring new staff,54%,50%,67%,78%,48%,73%,51%,60%,40%,53%,56%,53%,58%,49%,65%,59%,50%
Marketing / advertising,6%,6%,6%,0%,2%,13%,*%,12%,6%,10%,14%,4%,9%,3%,11%,7%,5%
Upgrade /develop IT/Software/ website,6%,7%,4%,3%,1%,0%,5%,10%,15%,11%,9%,6%,7%,6%,2%,4%,8%
Building/ land improvements,6%,5%,8%,10%,12%,15%,1%,4%,6%,5%,7%,6%,10%,2%,0%,4%,8%
Product /service development,5%,5%,4%,3%,5%,0%,2%,6%,14%,9%,4%,5%,4%,7%,0%,8%,4%
Increasing stock levels,3%,4%,1%,0%,1%,6%,7%,2%,0%,1%,5%,3%,5%,2%,7%,2%,3%
Any other sort of investment,5%,6%,3%,6%,2%,0%,0%,17%,2%,12%,11%,4%,5%,5%,9%,6%,4%
Table 1.16,,,,,,,,,,,,,,,,,
A19. I'd now like you to think about innovation within your business i.e. new products and services. Have you introduced new or significantly improved products or services in the past 12 months?,,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes,48%,47%,52%,52%,47%,45%,50%,45%,50%,47%,55%,46%,54%,43%,69%,51%,43%
No,52%,53%,48%,47%,53%,55%,49%,55%,50%,53%,44%,54%,45%,57%,31%,48%,57%
Don't know,*%,0%,1%,1%,0%,0%,*%,*%,0%,*%,1%,*%,*%,0%,0%,*%,*%
Table 1.17,,,,,,,,,,,,,,,,,
A20. Have you introduced new or significantly improved processes in the last 12 months?,,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes,39%,37%,48%,52%,39%,33%,42%,39%,35%,38%,45%,38%,50%,31%,45%,39%,38%
No,60%,61%,52%,48%,61%,67%,56%,59%,64%,61%,55%,61%,50%,67%,52%,60%,61%
Don't know,1%,2%,0%,0%,0%,0%,2%,1%,1%,1%,0%,1%,*%,2%,3%,1%,1%
Table 1.18,,,,,,,,,,,,,,,,,
"A21. Over the past 12 months, has your business funded or arranged any training and development for staff in the organisation, including any informal on the job training?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes,62%,58%,84%,91%,68%,61%,57%,67%,63%,65%,71%,61%,74%,54%,60%,70%,60%
No,38%,42%,16%,9%,32%,39%,43%,33%,37%,35%,29%,39%,26%,46%,40%,30%,40%
Table 1.19,,,,,,,,,,,,,,,,,
A21A. Has any of this training been used to develop management skills?,,,,,,,,,,,,,,,,,
Base: Where have funded/ arranged training,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,385,129,170,86,65,31,96,100,93,193,106,279,200,185,22,85,276
Weighted Bases,317,244,62,11,41,38,93,103,42,145,54,262,155,162,26,88,201
Yes,45%,39%,62%,76%,46%,42%,47%,42%,51%,44%,50%,44%,50%,40%,46%,46%,45%
No,54%,60%,38%,24%,54%,54%,53%,58%,49%,56%,48%,56%,49%,60%,49%,54%,55%
Don't know,*%,1%,0%,0%,0%,4%,0%,0%,0%,0%,3%,0%,1%,0%,6%,0%,0%
Table 1.20,,,,,,,,,,,,,,,,,
"A21B. Over the next 12 months do you expect to reduce, maintain or increase your investment in training?",,,,,,,,,,,,,,,,,
Base: Where have funded/ arranged training,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,385,129,170,86,65,31,96,100,93,193,106,279,200,185,22,85,276
Weighted Bases,317,244,62,11,41,38,93,103,42,145,54,262,155,162,26,88,201
Reduce investment in training,7%,7%,5%,6%,3%,13%,9%,3%,7%,4%,8%,6%,8%,6%,0%,6%,8%
Maintain investment in training,64%,66%,59%,55%,70%,58%,67%,67%,53%,63%,48%,68%,58%,71%,78%,64%,62%
Increase investment in training,29%,26%,35%,38%,26%,29%,24%,29%,40%,32%,42%,26%,34%,23%,22%,28%,30%
Don't know,*%,*%,0%,1%,*%,0%,0%,1%,0%,1%,2%,0%,1%,*%,0%,1%,*%
Table 1.21,,,,,,,,,,,,,,,,,
A22. Does your business currently sell goods or services or licence your product outside of the UK?,,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
Yes,19%,17%,28%,33%,22%,5%,19%,28%,10%,23%,28%,18%,25%,15%,20%,25%,17%
No,81%,83%,71%,67%,78%,95%,81%,72%,90%,77%,72%,82%,75%,84%,80%,75%,83%
Don't know,*%,0%,1%,0%,0%,0%,*%,0%,0%,0%,0%,*%,0%,*%,0%,0%,*%
Table 1.22,,,,,,,,,,,,,,,,,
"A23. In the next 12 months do you expect your export/overseas sales to increase, decrease or stay roughly the same as export/overseas sales in the last 12 months?",,,,,,,,,,,,,,,,,
"Base: Where sell goods, services or licence products outside the UK",,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
