A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 11/5/2014 3:57:18 PM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,5518048,"2,076.90",,HT000012463,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5213381,"90,964.43",,77000146,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5213411,"854,197.05",,70011844,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5213444,"397,001.00",,77000085,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5306330,"56,967.81",,80150594,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5264052,"15,253,432.00",,4109437,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5264061,"44,492.00",,4109447,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5418964,"415,000.00",,4110183,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5418970,"2,755,546.00",,4110194,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,5321295,"1,248,556.00",,827839,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,5355287,"33,917.00",,828091,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,5338054,"65,651.42",,X0123167,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,5338067,"(44,305.80)",,X0123133,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,5338033,"95,995.00",,3149168,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,External Consultancy Fees,NON RECURRENT PROGRAMMES,HANYA PARTNERS LTD,5321326,"36,000.00",181272907,1420ENHCCG1,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5195560,"(41,207.53)",,28009520,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Seconded-Basic Sal-Staff fm oth org,PERFORMANCE,HERTFORDSHIRE COMMUNITY NHS TRUST,5248299,"29,721.33",,28009622,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5195917,"32,797.83",,28009537,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5195565,"71,417.76",,28009278,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5550631,"75,863.00",,28010051,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5550363,"78,727.00",,28009795,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5550356,"81,572.00",,28009796,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5550455,"83,288.00",,28009881,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5195927,"139,860.77",,28009624,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5195933,"2,567,628.42",,28009600,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,5550623,"2,567,628.42",,28010047,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,5484739,"188,405.00",,1801613753,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,5506187,"124,059.00",,1801613757,
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,5096736,"326,000.00",,1801594674,
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE COUNTY COUNCIL,5096736,"27,000.00",,1801594674,
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,5096736,"848,000.00",,1801594674,
Department of Health,NHS East & North Hertfordshire CCG,30/09/2014,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,5096736,"4,397,000.00",,1801594674,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,HERTFORDSHIRE EYE HOSPITAL (THE),5355092,"37,646.80",,PB614,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,5282412,"95,527.80",,2485,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,5282426,"320,330.35",,2480,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,HERTS URGENT CARE,5321440,"127,337.00",,2486,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5282057,"31,578.00",,153774,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,5227394,"93,913.00",654945990,H0108451,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,5338025,"(34,899.00)",654945990,H0107672,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,5338127,"74,063.00",654945990,H0108452,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,5518066,"31,013.47",,HT000012481,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,5518066,265.65,,HT000012481,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,5306313,"30,896.00",,212021,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,5248211,"92,875.50",,52957012,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,5338599,"(104,679.68)",,52957323,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,MARIE STOPES INTERNATIONAL,5355433,"52,292.00",,MS141852,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,5518074,"(72,313.98)",,HT000012490,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,5518075,"139,574.68",,HT000012491,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,5518075,"3,606.40",,HT000012491,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Charges from CSU,NON RECURRENT PROGRAMMES,NHS CENTRAL EASTERN CSU,5282004,"45,550.00",,7312200148,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Charges from CSU,NON RECURRENT PROGRAMMES,NHS CENTRAL EASTERN CSU,5282041,"58,294.00",,7312200213,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Charges from CSU,NON RECURRENT PROGRAMMES,NHS CENTRAL EASTERN CSU,5282303,"46,526.00",,7312200934,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,5369259,"37,096.88",,48344685,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,5321402,"394,833.00",,25800,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,5321756,"153,762.00",,25895,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH WEST LONDON HOSPITALS NHS TRUST,5264833,"71,316.00",,I0162459,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,5355533,"61,110.00",,OFUEOE9076,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,5338087,"104,004.00",654935994,I0087652,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,5393344,"1,083,235.00",,ENHCCGPINOCT14,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,5195519,"4,077,415.17",,BL140701,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Non Contract,NON RECURRENT PROGRAMMES,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,5522561,"500,000.00",,BL140823,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,5248132,"180,750.83",,I0169229,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,5263758,"(58,050.44)",,C0011639,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,5264167,"(26,447.10)",,C0011689,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,5264095,"355,073.00",654946987,1338814,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,5282582,"1,303,224.00",654946987,I0069736,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),5380198,"35,186.00",,45710389,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,5248285,"278,054.00",,B0026122,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,5248293,"137,467.00",,06K011014PFHPN,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,5508493,"29,560.00",,HT000012143,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS LES Care Home/Nursing Home,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,5508493,10.00,,HT000012143,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,5508493,215.26,,HT000012143,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS NES Near Patient Testing,LOCAL ENHANCED SERVICES,STANMORE MEDICAL GROUP,5508493,466.49,,HT000012143,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Prescribing,PRESCRIBING,UNITEDHEALTH UK,5248306,"232,385.16",,693,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,5213515,"519,202.00",654948687,5010030745,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,5322705,"108,570.00",654948687,5010016052,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,URGENT CARE,VIRGIN CARE LEA VALLEY LLP,5321559,"60,115.50",918510332,812Z361,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,5518101,"(40,678.05)",,HT000012517,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,5518102,"87,243.12",,HT000012518,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,5518102,"1,271.90",,HT000012518,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,5321071,"287,656.00",,223741,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,5321530,"(45,807.00)",,22035,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,5518097,"36,064.39",,HT000012513,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,5518097,"1,819.30",,HT000012513,
,,,,,,,,,,
,,,,,,,"46,162,703.05",,,
