DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,PHOENIX SOFTWARE LIMITED,1011702786,60750,DELL WYSE,YO42 1NS,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011702804,55803,FS102087 RETENTION,W1W 7SQ,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,PUBLIC HEALTH ENGLAND,2012700190,55585.3,CHARGES FOR DELIVERABLES 7 : SUBMISSION OF SAMPLING,NW9 5EQ,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,CEREDIGION COUNTY COUNCIL,1011702695,50000,FAO INCIDENT TEAM,SY23 3UE,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,T N S UK LTD,1011702901,46000,CON BIZ AND LA,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Digital,WUNDER LTD,1011702741,44300,DISCOVERY PAHSE 1.03.2017.-31.03.2017.,N1 9AB,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-20,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,Regulatory Delivery,CENTSA,1011702829,41872,CONTRIBUTION FROM OTHER PUBLIC BODIES,CV35 7DP,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,41177.18,IMPLEMENTATION,SN14 0TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,COMPUTACENTER UK LTD,1011702677,38205,PART NUMBER 80VV003UUK,AL10 9TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,COMPUTACENTER UK LTD,1011702789,38000,LENOVO,AL10 9TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702691,36841.6,SNOW RENEWAL,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-03,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Regulatory Delivery,CHERWELL DISTRICT COUNCIL,1011702630,35413.2,FS225003 EXPENSES,OX15 4BH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,VODAFONE LTD,1011702809,31476.83,SERVICE,MK3 5JL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-28,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROF SERV - LEGAL DEBT RECOVERY COSTS,Finance Director & Branch,FLINT BISHOP LLP,1011702917,31107.66,PROFESSIONAL FEES,DE1 3HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702691,27713,YORK IL2 IMPLEMENTATION,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER SOFTWARE,IT Strategy,SOURCECODE UK LTD T/A K2.NET UK,1011702803,25115.63,TECHNICAL SUPPORT,KT13 0NY,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702691,23671.68,VMW ARE RENEWAL,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700189,22526.56,PROJECT C5674,NR33 0HT,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,T N S UK LTD,1011702624,21710,FSA CAMPAIGN TRACKER FEB 2017,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,21526.31,IMPLEMENTATION,SN14 0TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,T N S UK LTD,1011702698,21318,FSA RISK QUANTITATIVE  ELEMENT,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,IT Information & Knowledge Management,OPEN DATA INSTITUTE,1011702669,21000,WEB DEVELOPMENT,EC2A 4JE,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Information & Knowledge Management,OPEN DATA INSTITUTE,1011702903,21000,OPEN DATA PUBLISHING TOOL,EC2A 4JE,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,T N S UK LTD,1011702901,21000,JOB NO 260138927,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700189,20652.32,PROJECT C5674,NR33 0HT,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,FERA SCIENCE LIMITED,1011702706,20037,FS301027:Red meat as a transmission route of antimicrobial resistance to human pathogens: literature review ,YO41 1LZ,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,FERA SCIENCE LIMITED,1011702706,19912,FS301028:Development of an early warning system (EWS) for emerging risk ,YO41 1LZ,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011702811,18440,RIM *374,WA16 8XN,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,T N S UK LTD,1011702702,16698.5,PO:11770000955,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700189,16497.98,PROJECT C5674,NR33 0HT,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS  - MEETING ROOM HIRE,Regulating our Future,T N S UK LTD,1011702702,15816,Specialist services related the establishment and management of a consumer advisory panels in order to gain insight and inform the development of the Regulating our Future (RoF) programme.,SE1 2QY,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700189,15386,PROJECT C5674,NR33 0HT,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,T N S UK LTD,1011702721,15331,FIELD WORK,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,T N S UK LTD,1011702721,15331,FIELD WORK,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Scientific Methods & Laboratory Policy,FERA SCIENCE LIMITED,1011702706,15153,FS301029: Science workshop on emerging risk ,YO41 1LZ,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,MALT FILMS LTD,1011702682,14925,PHOTOGRAPHY COST FOR INSTAGRAM SOCIAL MEDIA PROJECT,EC2A 3AG,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,MALT FILMS LTD,1011702682,14187.5,Malt - the production of 8 GIF clips for social media,EC2A 3AG,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,"EXP - PURCHASE OF GOODS/SERVICES - TRICHINELLA TESTING, CARRIAGE & CONSUMABLES",Operational Delivery,TOPSPEED COURIERS LIMITED,1011702811,14130,TRICH*314,WA16 8XN,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,WILLIAMS LEA TAG,1011702755,13505.5,Re-print of FHRS Window  Wall Stickers,EC1M 4NA,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,Exp - Purchase Of Goods/Services - Other Professional Services,Regulatory Delivery,TRADING STANDARDS INSTITUTE (GRANTS),1011702808,12800,Intel team staff and costs (inc management oversight) Jan-Mar 2017,SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-06,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Incidents & Resilience - Prog,T N S UK LTD,1011702702,12757.5,PO:11770000955,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,PHOENIX SOFTWARE LIMITED,1011702786,12666,DELL WYSE,YO42 1NS,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,11967.75,YORK 2 IMPLEMENTATION,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,C E F A S,2012700189,11639.22,PROJECT C5674,NR33 0HT,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CARRIAGE OF SAMPLES,Operational Delivery,TOPSPEED COURIERS LIMITED,1011702811,9450,TB RED,WA16 8XN,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,9147.29,FHRS CLONE MARCH17,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,COMPUTACENTER UK LTD,1011702789,8975,LENOVO,AL10 9TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,8235.44,IMPLEMENTATION,SN14 0TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702691,7652.7,CISCO SUPPORT,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702691,7167.41,SCCM DEVELOYMENT,SN14 0TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-03,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Regulatory Delivery,CHERWELL DISTRICT COUNCIL,1011702630,7082.64,FS225003 EXPENSES,OX15 4BH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,6837.86,IMPLETATION,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Comms Directors Office,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702691,6636,ACROBAT PRO & PHOTOSHOP,SN14 0TW,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-25,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROF SERV - PAYMENTS TO PAYROLL PROVIDER,"Employee Relations, Systems and Data",CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702882,6392.04,MIDLAND HOSTING,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - TELEPHONE,IT Service Delivery,VODAFONE LTD,1011702809,6295.37,SERVICE,MK3 5JL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-25,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702882,5715.68,STANDARD RATE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-25,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702882,5636.63,VOIP CALL CHARGES,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,Exp - Purchase Of Goods/Services - Other Professional Services,Regulatory Delivery,TRADING STANDARDS INSTITUTE (GRANTS),1011702808,5000,"Technical expert support for meetings, 4 days permonth",SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-04,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,VODAFONE LTD,1011702667,4900,TRIPLE SIM,RG14 5FF,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-04,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,VODAFONE LTD,1011702667,4900,TRIPLE SIM,RG14 5FF,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-04,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,VODAFONE LTD,1011702667,4900,TRIPLE SIM,RG14 5FF,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-04,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,VODAFONE LTD,1011702667,4900,TRIPLE SIM,RG14 5FF,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-04,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,VODAFONE LTD,1011702667,4900,TRIPLE SIM,RG14 5FF,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-04,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,VODAFONE LTD,1011702667,4900,TRIPLE SIM,RG14 5FF,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,Finance Director & Branch,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702691,4852,SIR SOP CHARGES,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,4305.26,IMPLEMENTATION,SN14 0TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Analysis & Research Branch,T N S UK LTD,1011702698,4263.6,FSA RISK QUANTITATIVE  ELEMENT,SE1 2QY,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-12,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Regulating our Future,CAPITA BUSINESS SERVICES LTD,1011702772,4219.74,TEMPORARY STAFF,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-12,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Regulating our Future,CAPITA BUSINESS SERVICES LTD,1011702772,4219.74,TEMPORARY STAFF,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-12,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Regulating our Future,CAPITA BUSINESS SERVICES LTD,1011702772,4219.74,TEMPORARY STAFF,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-12,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Regulating our Future,CAPITA BUSINESS SERVICES LTD,1011702772,4219.74,TEMPORARY STAFF,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,IT Information & Knowledge Management,OPEN DATA INSTITUTE,1011702669,4200,WEB DEVELOPMENT,EC2A 4JE,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,Exp - Purchase Of Goods/Services - Other Professional Services,Regulatory Delivery,TRADING STANDARDS INSTITUTE (GRANTS),1011702808,4200,"other costs: post report work, meeting costs, travel and overtime.",SS15 6TH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-07,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,FERA SCIENCE LIMITED,1011702706,4000,VARIOUS REPORT,YO41 1LZ,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,3594.82,SCCM DEVOLPMENT,SN14 0TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-27,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702900,3572.59,SCCM DEVOLPMENT,SN14 0TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-12,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Regulating our Future,CAPITA BUSINESS SERVICES LTD,1011702772,3375.79,TEMPORARY STAFF,SL6 1DP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-19,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011702808,3360,Feed Off. Conts 2016/17 Prog delivery (inland/ports). Feed Official Controls funding 2016/17: To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2016/17.,SS15 6TH,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,COMPUTACENTER UK LTD,1011702789,3332.5,LENOVO,AL10 9TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-12,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Planning and Performance,CAPITA BUSINESS SERVICES LTD,1011702772,3004.86,TEMPORARY STAFF,SL6 1DP,ADMIN
