Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Oxoid,Estates and Facilities,ABBOTT LABORATORIES,0001520441,"1,223.64",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,ProLab,Estates and Facilities,ABBOTT LABORATORIES,0001520441,"4,202.05",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,416.08,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,"1,215.83",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520442,"11,109.80",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"3,947.90",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"15,870.84",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,953.51,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Sarstedt,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"4,388.04",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Oxoid,Estates and Facilities,ABBOTT LABORATORIES,0001530236,321.72,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"8,743.40",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"4,735.16",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,HAIN,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"2,161.94",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530237,"21,126.60",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Sarstedt,Estates and Facilities,ABBOTT LABORATORIES,0001530237,"1,744.64",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001537833,"57,158.28",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001536774,"19,815.97",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001538203,"10,670.24",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001542353,"9,334.28",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Rochdale Pharmacy,Rochdale Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001536774,"7,572.64",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Rochdale Pharmacy,Rochdale Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001540201,"15,810.95",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Rochdale Pharmacy,Rochdale Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001542353,"16,745.74",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001536774,"6,611.96",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001538203,"6,633.29",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001540201,"9,105.57",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001542353,"2,564.69",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001536774,"18,285.28",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001538203,"22,522.56",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001540201,"15,307.37",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001542353,"10,153.52",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Oldham Pharmacy,Oldham Pharmacy,ALLOGA UK LTD,0001538211,"23,965.15",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Bury Pharmacy,Bury Pharmacy,ALLOGA UK LTD,0001538211,"2,763.06",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Reagent,Estates and Facilities,BIOMERIEUX UK LTD,0001537380,"102,176.51",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Rates,Estates and Facilities,BURY MBC,0001536121,"64,090.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Professional Fees - Capsticks,Corporate Services Other,CAPSTICKS,0001535987,"27,500.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,M & S Equipment,Capital,CARDIAC SERVICES LTD,0001530834,"4,953.60",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,M & S Equipment,Capital,CARDIAC SERVICES LTD,0001530834,"2,664.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,M & S Equipment,Capital,CARDIAC SERVICES LTD,0001530834,"6,897.60",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,M & S Equipment,Capital,CARDIAC SERVICES LTD,0001530834,"5,917.44",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,M & S Equipment,Capital,CARDIAC SERVICES LTD,0001530834,"7,689.60",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,M & S Equipment,Capital,CARDIAC SERVICES LTD,0001530834,"36,892.80",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,M & S Equipment,Capital,CARDIAC SERVICES LTD,0001530834,"75,945.60",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,M & S Equipment,Capital,CARDIAC SERVICES LTD,0001530834,"2,462.40",
Department of Health,The Pennine Acute Hospitals NHS Trust,03/11/2015,SLA Central Mcr Immunology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001531810,"47,923.38",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Central Mcr Immunology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001540451,"47,923.38",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Central Mcr Virology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001529779,"39,799.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Central Mcr Virology,Estates and Facilities,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001540448,"39,799.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Professional Fees,Corporate Services Other,CHILDCARE VOUCHERS LIMITED,0001540382,"2,371.50",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Child Care Vouchers,Child Care Vouchers,CHILDCARE VOUCHERS LIMITED,0001540382,"98,812.61",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Non NHS Services General,Integrated & Community Service,COMMUNITY INTEGRATED CARE,0001530200,"37,774.93",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,PAS Systems Maintenance,Corporate Services Other,CSC CHORLEY,0001533451,"60,603.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,PAS Systems Maintenance,Corporate Services Other,CSC CHORLEY,0001533452,"63,993.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Miscellaneous Expenditure,Corporate Services Other,DR FOSTER LTD,0001523269,"100,000.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Non NHS Services General,Medicine,E-LOGICA LTD,0001537580,"30,483.75",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Consultancy Services,Corporate Services Other,ERNST & YOUNG LLP,0001541384,"231,831.90",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001537750,"116,046.22",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001539389,"35,799.08",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001539396,"43,268.17",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001541364,"75,661.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Professional Fees,Corporate Services Other,GATENBYSANDERSON,0001539603,"25,726.80",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532240,"43,192.42",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532242,"45,570.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532243,"46,993.35",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532244,"65,927.65",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532245,"73,363.39",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001533645,"50,888.08",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532252,"-46,488.17",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532252,"-1,150.38",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532253,-921.27,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532253,"-37,302.47",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532254,"-1,372.35",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532254,"-55,619.94",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532255,"-65,596.56",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532255,"-1,613.01",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532256,"-72,811.32",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001532256,"-1,792.64",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,GENMEDME LIMITED,0001538234,"62,229.58",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,GENMEDME LIMITED,0001538237,"38,862.25",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Blood Gas Analyser,Estates and Facilities,GENMEDME LIMITED,0001538235,"68,117.50",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Oldham Pharmacy,Oldham Pharmacy,HEALTHCARE AT HOME LTD,0001536773,"6,413.56",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,Oldham Pharmacy,Oldham Pharmacy,HEALTHCARE AT HOME LTD,0001538199,"6,657.74",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Oldham Pharmacy,Oldham Pharmacy,HEALTHCARE AT HOME LTD,0001542348,"7,549.84",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Rochdale Pharmacy,Rochdale Pharmacy,HEALTHCARE AT HOME LTD,0001536773,"27,937.97",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Rochdale Pharmacy,Rochdale Pharmacy,HEALTHCARE AT HOME LTD,0001540200,"110,559.90",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Bury Pharmacy,Bury Pharmacy,HEALTHCARE AT HOME LTD,0001536773,"42,909.25",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Bury Pharmacy,Bury Pharmacy,HEALTHCARE AT HOME LTD,0001540200,"15,615.52",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001536773,"27,680.90",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001538199,"32,377.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001538199,"53,911.20",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001540200,"86,975.36",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0001542348,"81,745.92",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,PACS Support & Maintenance,Corporate Services Other,HEALTHCARE SOFTWARE SOLUTIONS LTD,0001536553,"41,932.75",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Hospital Saturday Fund,Hospital Saturday Fund,HEALTHSURE GROUP LTD,0001542363,"65,285.26",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Records Scanning,Elective Access,KAINOS SOFTWARE LTD,0001528212,"232,998.16",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Drugs,Estates and Facilities,LLOYDS RETAIL CHEMISTS LTD,0001537421,"2,198,445.83",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Rates,Estates and Facilities,MANCHESTER CITY COUNCIL,0001536116,"106,488.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Consultancy Services,Corporate Services Other,MCKINSEY & COMPANY,0001539160,"200,000.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Metro Moneywise,Metro Moneywise,METRO MONEYWISE,0001536231,"79,816.20",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Computer Hardware & Software,Capital,MISCO COMPUTER SUPPLIES LTD,0001524340,"46,584.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Computer Hardware & Software,Capital,MISCO COMPUTER SUPPLIES LTD,0001524839,"26,778.60",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001542897,"5,221.10",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001542898,"5,040.26",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001542897,"20,538.42",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001542898,"21,011.55",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001542897,"1,666.57",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001542898,"2,501.16",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001542897,1.10,
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,FP10 Prescriptions,Estates and Facilities,NHS BUSINESS SERVICES AUTHORITY,0001542898,170.60,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/11/2015,SLA Manchester PCT - IT,Integrated & Community Service,NHS GREATER MANCHESTER CSU,0001534160,"66,282.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Manchester PCT - Estates,Integrated & Community Service,NHS PROPERTY SERVICES LTD,0001540516,"25,253.16",
Department of Health,The Pennine Acute Hospitals NHS Trust,03/11/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001536157,"-4,418.39",
Department of Health,The Pennine Acute Hospitals NHS Trust,10/11/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001537561,"-5,336.99",
Department of Health,The Pennine Acute Hospitals NHS Trust,17/11/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001539949,"-3,610.77",
Department of Health,The Pennine Acute Hospitals NHS Trust,23/11/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001541182,"-7,835.54",
Department of Health,The Pennine Acute Hospitals NHS Trust,30/11/2015,NHSSC Rebate,Corporate Services Other,NHS SUPPLY CHAIN,0001543097,"-4,319.92",
Department of Health,The Pennine Acute Hospitals NHS Trust,03/11/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001536157,"441,838.98",
Department of Health,The Pennine Acute Hospitals NHS Trust,10/11/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001537561,"533,698.98",
Department of Health,The Pennine Acute Hospitals NHS Trust,17/11/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001539949,"361,077.45",
Department of Health,The Pennine Acute Hospitals NHS Trust,23/11/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001541182,"783,554.95",
Department of Health,The Pennine Acute Hospitals NHS Trust,30/11/2015,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001543097,"431,992.25",
Department of Health,The Pennine Acute Hospitals NHS Trust,03/11/2015,X-Ray Maintenance Contracts,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001531383,"34,230.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Blood Transfusion,Estates and Facilities,NHSBT,0001534140,"116,618.87",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Blood Transfusion,Estates and Facilities,NHSBT,0001540506,"116,618.67",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Blood Transfusion,Estates and Facilities,NHSBT,0001540513,"43,480.30",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Blood Transfusion,Estates and Facilities,NHSBT,0001534155,"66,834.67",
Department of Health,The Pennine Acute Hospitals NHS Trust,27/11/2015,SLA Blood Transfusion,Estates and Facilities,NHSBT,0001540507,"66,834.67",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,NPOWER YORKSHIRE LTD,0001539753,"1,276.38",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,NPOWER YORKSHIRE LTD,0001539757,"1,677.90",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,NPOWER YORKSHIRE LTD,0001539758,"6,376.02",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,NPOWER YORKSHIRE LTD,0001539756,"11,708.55",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,NPOWER YORKSHIRE LTD,0001539753,"29,349.13",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,NPOWER YORKSHIRE LTD,0001539757,"31,794.39",
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2015,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001532639,"38,125.97",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,NPOWER YORKSHIRE LTD,0001539756,"127,502.19",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Water & Sewerage,Estates and Facilities,NPOWER YORKSHIRE LTD,0001539758,"146,512.36",
