"Publication of Spend over £25,000.00 between 01/06/2012 and 30/06/2012",,,,,,,

Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Trans No,Amount
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RXW T - Shrewsbury/Telford Pur,Healthcare Block Contracts,Rxw T : Shrewsbury And Telford Hosp,10193527,"33,135.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RRJ FT - Royal Orthopeadic Pur,Healthcare - Foundation,Rrj F : The Royal Orthopaedic Hosp Nhs,10193528,"27,017.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,Purchase of Healthcare - NHS,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,10193529,"12,213,520.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RXK T - Sandwell & W Bham Purc,Healthcare Block Contracts,Rxk T : Sandwell And West Birmingha,10193530,"79,557.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RRK FT - UHB Purchase of Healt,Healthcare - Foundation,Rrk Ft : University Hospital Birmingham,10193531,"143,744.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RBK T - Walsall Hosp Purchase,Healthcare Block Contracts,Walsall Hospital Nhs Trust,10193532,"198,265.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,Purchase of Healthcare - NHS,Community Services @ RWHT,Rl4 T : Royal Wolverhampton Hospita,10193544,"3,791,261.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,TAJ FT - Black Country Partner,Healthcare - Foundation,Taj Ft : Black Country Partnership,10193545,"2,746,408.00"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Non NHS Statutory Sector,Healthcare Grants,Wolverhampton Doctors On Call,10193628,"46,716.00"
Wolverhampton City PCT,Wolverhampton City PCT,14/06/2012,Free Nursing Care,Free Nursing Care Payments,Wolverhampton City Council,10193675,"114,556.39"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Rent - General Premises,The Gem Centre,W-Ton  City  &  Walsall Lift  Accom.,10193719,"95,731.97"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Rent - General Premises,The Phoenix Centre,W-Ton  City  &  Walsall Lift  Accom.,10193722,"35,589.76"
Wolverhampton City PCT,Wolverhampton City PCT,26/06/2012,Other Miscellaneous,Finance,Rl4 T : Royal Wolverhampton Hospita,10193970,"60,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,13/06/2012,Rent - General Premises,Mayfields Clinic,Premier Medical Properties Ltd,10194017,"25,965.47"
Wolverhampton City PCT,Wolverhampton City PCT,26/06/2012,Contribute to Critical Care,Chief Executive,5M3 P : Walsall Pct,10194041,"28,050.00"
Wolverhampton City PCT,Wolverhampton City PCT,26/06/2012,Provisions for Liabs & Charges,Purchaser - SOFP,Taj Ft : Black Country Partnership,10194381,"1,045,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Purchase of Healthcare - Non,Ind Cases - Complex Children,Wolverhampton City Council,10194435,"27,226.71"
,,,,,,Total Payments - June 2012,"31,321,276.12"
