Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",19,16,37,35,19,19,5,5,,,1,0.006,81,75,,,,,,,,,0,0,81,75,"£256,800.00","£22,072.00",£0.00,£0.00,"£63,028.00","£25,842.00","£367,742.00",,,£0.00,"£367,742.00",,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",39,36.36,36,34.03,136,127.43,31,29.91,4,4,,,246,232,1,1,,,3,3,,,4,4,250,236,"£621,939.98","£14,125.77","£12,400.00","£3,735.10","£159,274.90","£46,833.03","£858,308.78","£19,188.18",,"£19,188.18","£877,496.96",,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",18,15,34,32.76,80,75.28,18,17.91,2,1.95,,,152,143,2,2,,,,,,,2,2,154,145,"£382,222.20","£4,955.68","£27,189.00",,"£96,890.21","£31,915.84","£543,172.93","£4,577.76",,"£4,577.76","£547,750.69",,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",27,23,9,8,155,138,80,73,31,30,,,302,272,11,11,,,1,1,,,12,12,314,284,"£950,051.13","£2,643.75","£107,049.81","£4,652.11","£189,930.64","£94,437.77","£1,348,765.21","£21,784.47","£46,293.21","£68,077.68","£1,416,842.89",Some of the costs included within consultants are for project management of Bristol office move,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",525,485.872,232,218.729,649,620.4872,91,90.8378,7,6.6757,0,0,"1,504","1,423",122,122,,,16,16,,,138,138,"1,642","1,561","£3,660,519.60","£7,989.70",£0.00,"£1,089.12","£770,755.36","£306,452.83","£4,746,806.61","£391,438.29",,"£391,438.29","£5,138,244.90",,
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",309,288.57,2103,1835.34,1732,1590.95,195,180.74,13,13,,,"4,352","3,909",0,0,26,26,0,0,,,26,26,"4,378","3,935","£9,515,804.18","£210,979.13",,"£462,316.58","£2,011,205.71","£741,671.23","£12,941,976.83","£491,293.81",£0.00,"£491,293.81","£13,433,270.64",,Overtime figures are expected to start falling before the end of the financial year following recruitment in November.
Met Office,Executive Agency,"Department for Business, Innovation and Skills",,,,,,,,,,,2148,2064.5,"2,148","2,065",149,56.2,,,,,,,149,56.2,"2,297","2,121","£5,574,861.00","£351,059.00",£0.00,"£183,189.00","£1,245,953.00","£464,467.00","£7,819,529.00","£724,731.00",£0.00,"£724,731.00","£8,544,260.00",,"Met Office have no grades, just generic roles"
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",231,211.36,396,378.76,1079,1055.82,140,133.89,88,82.83,21,11.19,"1,955","1,874",3,3,11,11,3,3,0,0,17,17,"1,972","1,891","£5,509,297.00","£332,301.00",£0.00,"£15,312.00","£725,585.00","£516,709.00","£7,099,204.00","£407,895.00",£0.00,"£407,895.00","£7,507,099.00",,
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",224,202,379,356,1019,971.3,323,310,23,22.5,592,577,"2,560","2,439",6,6,0,0,1,1,0,0,7,7,"2,567","2,446","£6,872,585.48","£220,420.31","£13,260.37","£33,945.56","£1,715,483.90","£565,493.69","£9,421,189.31","£52,801.28",£0.00,"£52,801.28","£9,473,990.59",,
National Measurement and Regulation Office,Executive Agency,"Department for Business, Innovation and Skills",4,3.29,25,24.5,40,38.33,14,12.9,0,0,3,0.1,86,79,3,2.2,0,0,0,0,0,0,3,2.2,89,81,"£215,817.08",£234.00,£0.00,£0.00,"£41,974.80","£13,708.37","£271,734.25","£4,339.05",£0.00,"£4,339.05","£276,073.30",,
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",0,0,3,2.5,13,12.2,5,4.5,2,1.6,0,0,23,21,3,3,0,0,0,0,0,0,3,3,26,24,"£58,985.00",£0.00,"£14,361.98",£640.37,"£11,482.27","£6,343.78","£91,813.40","£4,897.61",£0.00,"£4,897.61","£96,711.01",,EO increased by one due to temp to perm arrangement. One month agency support was engaged for a special project. Remaining costs will appear in November return
Skills Funding Agency,Executive Agency,"Department for Business, Innovation and Skills",92,88.45,0,0,687,668.32,94,93.95,26,25,0,0,899,876,10,10,0,0,40,40,0,0,50,50,949,926,"£2,869,622.87","£82,835.44",£0.00,£572.80,"£619,872.12","£255,219.87","£3,828,123.10","£425,122.00",,"£425,122.00","£4,253,245.10",,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",1954,1841.89608,818,783.59024,24,24,20,19.4,5,5,6,0.853333333,"2,827","2,675",19,19,0,0,19,19,0,0,38,38,"2,865","2,713","£4,779,169.96","£162,192.71","£10,313.39","£216,877.98","£525,480.33","£365,855.90","£6,059,890.27","£270,027.86",£0.00,"£270,027.86","£6,329,918.13",,
Science and Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",143,137.49,271,258.94,1079,1054.08,365,354.72,34,32.78,47,47,"1,939","1,885",7,7,,,58,58,,,65,65,"2,004","1,950","£5,606,784.06","£216,709.00","£12,357.30","£90,661.22","£1,438,115.00","£494,243.81","£7,858,870.39","£203,973.17",,"£203,973.17","£8,062,843.56",,
Technology Strategy Board (Innovate UK),Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",,,60,60,49,49,197,197,8,8,,,314,314,7,7,,,,,,,7,7,321,321,"£1,282,851.09","£135,818.09",,,"£311,458.78","£136,048.61","£1,866,176.57","£92,729.11",,"£92,729.11","£1,958,905.68",,
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",53,50.08,92,89.57,371,366.16,135,131.6,9,9,21,21,681,667,4,4,0,0,385,385,0,0,389,389,"1,070","1,056","£2,332,097.00",£0.00,"£76,701.00","£28,620.00","£337,427.00","£211,371.00","£2,986,216.00","£1,534,667.00",£0.00,"£1,534,667.00","£4,520,883.00",Allowances are included within Salary. Non consolidated Performance accrued during year for payment once a year.,
UK Commission for Employment and Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",22,22,16,15.6,55,52.9,13,12.8,5,5,,,111,108,,,,,2,2,,,2,2,113,110,"£405,941.72",,,,"£68,768.22","£39,646.12","£514,356.06","£25,273.38",,"£25,273.38","£539,629.44",,
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation and Skills",238,213.58,347,330.38,318,309.67,249,233.95,27,26.55,1,1,"1,180","1,115",9,9,,,34,34,,,43,43,"1,223","1,158","£2,884,402.00","£136,911.00","£2,359.00","£70,154.00","£654,933.00","£257,629.00","£4,006,388.00","£678,494.00",,"£678,494.00","£4,684,882.00",,"The ""other"" in staff is a fast stream person"
UK Space Agency,Executive Agency,"Department for Business, Innovation and Skills",3,3,5,5,29,28.6,33,31.9,5,4.7,0,0,75,73,2,2,0,0,1,0.4,0,0,3,2.4,78,76,"£245,198.28","£3,612.12",£500.00,£288.75,"£52,467.78","£21,431.66","£323,498.59","£5,816.27",£0.00,"£5,816.27","£329,314.86",,Within the staff on payroll are included 2.4 FTE inward secondees from industry and academia (whose pay costs are met by UKSA). UKSA benefited from further 1 FTE inward secondee provided at nil cost as part of their personal development - this FTE was excluded from this return to avoid double counting by home departments. 1 FTE started in the period whose costs are yet to be transferred from another GD (this will be backdated in November 2015).
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
