#,Phrase,Number of Searches,Other pages,NoResult pages,Results pages,Specific-product pages
175,employment,161,0,0,0.96,0.01
176,mobility allowance,159,0,0,0.97,0.02
177,speed limits,159,0,0,0.99,0.01
178,health in pregnancy grant,159,0,0,0.98,0.01
179,find a job,159,0,0,0.98,0.00
180,part time,159,0,0,0.98,0.01
181,gl24,158,0,0,0.97,0.02
182,security,157,0,0,0.99,0.01
183,housing benefits,157,0,0,0.98,0.00
184,winter fuel,157,0,0,0.97,0.01
185,cleaning,157,0,0,0.98,0.01
186,data protection,156,0,0,0.98,0.01
187,benifits,155,0,0,0.99,0.00
188,test centres,154,0,0,0.98,0.00
189,benefit fraud,152,0,0,0.98,0.01
190,rapid reclaim,152,0,0,0.99,0.00
191,new deal,152,0,0,0.96,0.02
192,debt,152,0,0,0.97,0.01
193,benefit calculator,151,0,0,0.97,0.02
194,tupe,150,0,0,0.98,0.01
195,flexible working,149,0,0,0.96,0.01
196,phone numbers,148,0,0,0.98,0.00
197,complaints,147,0,0,0.97,0.01
198,parental leave,146,0,0,0.98,0.01
199,paternity,146,0,0,0.98,0.01
200,jobcentreplus,146,0,0,0.99,0.00
201,dwp,145,0,0,0.95,0.02
202,hazard perception,143,0,0,0.98,0.01
203,next step,143,0,0,0.97,0.01
204,benefits advisor,142,0,0,0.97,0.01
205,hgv,140,0,0,0.98,0.01
206,unemployment benefit,139,0,0,0.98,0.01
207,contact us,138,0,0,0.98,0.00
208,discrimination,138,0,0,0.97,0.00
209,lost licence,137,0,0,0.94,0.02
210,provisional license,137,0,0,0.99,0.01
211,vehicle check,137,0,0,0.99,0.01
212,login,137,0,0,0.97,0.01
213,highway code,136,0,0,0.98,0.00
214,free school meals,136,0,0,0.99,0.01
215,retirement,135,0,0,0.98,0.00
216,csa,133,0,0,0.98,0.01
217,schools,133,0,0,0.95,0.01
218,access to work,133,0,0,0.97,0.02
219,pff1 form,132,0,0,0.98,0.01
220,mobility,132,0,0,0.96,0.01
221,volunteering,131,0,0,0.96,0.02
222,marriage,131,0,0,0.97,0.01
223,housing benifit,130,0,0,0.98,0.01
224,log book,130,0,0,0.98,0.01
225,v888,129,0,0,0.99,0.01
226,bereavement,129,0,0,0.99,0.01
227,pension forcast,129,0,0,0.97,0.01
228,v890,129,0,0,0.99,0.01
229,fees,129,0,0,0.96,0.02
230,lost driving licence,127,0,0,0.98,0.01
231,education,127,0,0,0.99,0.00
232,national insurance contributions,126,0,0,0.98,0.01
233,name change,126,0,0,0.97,0.01
234,gateway,125,0,0,0.99,0.00
235,book practical test,125,0,0,1.00,0.00
236,ni,125,0,0,0.99,0.01
237,disability allowance,124,0,0,0.99,0.00
238,careers advice,123,0,0,0.98,0.01
239,vehicle enquiry,123,0,0,0.98,0.00
240,incapacity,122,0,0,0.99,0.00
241,adi,121,0,0,0.98,0.00
242,adult learning grant,121,0,0,0.96,0.01
243,holiday,120,0,0,0.99,0.01
244,ESA,119,0,0,0.99,0.00
245,passport renewal,118,0,0,0.97,0.00
246,declaration form,118,0,0,0.98,0.01
247,winter fuel payments,118,0,0,0.97,0.03
248,redundancy calculator,118,0,0,0.98,0.01
249,all jobs,117,0,0,0.99,0.01
250,pff2 form,117,0,0,0.97,0.01
251,working hours,116,0,0,0.96,0.01
252,fraud,116,0,0,0.94,0.02
253,signing on,115,0,0,0.97,0.00
254,child care,115,0,0,0.96,0.01
255,permitted work,115,0,0,0.97,0.03
256,show me tell me,115,0,0,0.97,0.02
257,p45,115,0,0,0.99,0.01
258,visa,114,0,0,0.96,0.02
259,construction,113,0,0,0.99,0.01
260,cbt,113,0,0,0.99,0.01
261,sickness,113,0,0,0.96,0.01
262,ni number,113,0,0,0.96,0.01
263,adoption,112,0,0,0.97,0.01
264,voluntary redundancy,112,0,0,0.99,0.00
265,pr1 form,112,0,0,0.96,0.02
266,mortgage,112,0,0,0.97,0.01
267,childcare vouchers,111,0,0,0.99,0.01
268,contract of employment,111,0,0,0.97,0.01
269,equality act 2010,111,0,0,0.97,0.00
270,change of name,110,0,0,0.99,0.00
271,back to work,110,0,0,0.96,0.01
272,p60,110,0,0,0.99,0.01
273,redundancy pay,108,0,0,0.99,0.01
274,child benefits,108,0,0,0.99,0.00
275,motability,107,0,0,0.99,0.00
276,part time jobs,107,0,0,0.94,0.01
277,student grant,104,0,0,0.99,0.00
278,br19,103,0,0,0.99,0.01
279,contact dvla,103,0,0,0.98,0.01
280,self assessment,103,0,0,0.98,0.00
281,hmrc,102,0,0,0.98,0.02
282,sure start grant,102,0,0,0.99,0.00
283,cleaning jobs,102,0,0,0.96,0.00
284,skills account,101,0,0,0.96,0.01
285,paternity pay,101,0,0,0.98,0.02
286,planning,101,0,0,0.97,0.01
287,nmw,100,0,0,0.98,0.02
288,telephone numbers,100,0,0,0.97,0.00
289,smi,100,0,0,0.97,0.03
290,student finance england,100,0,0,0.98,0.00
291,telephone number,100,0,0,0.99,0.01
292,maintenance loan,99,0,0,0.99,0.00
293,birth certificates,99,0,0,0.97,0.00
294,social fund loan,98,0,0,0.97,0.01
295,change of circumstances form,98,0,0,0.97,0.00
296,provisional driving licence,98,0,0,0.98,0.01
297,change practical test,97,0,0,0.98,0.01
298,practice theory test,96,0,0,0.98,0.02
299,savings credit,96,0,0,0.99,0.01
300,e111,96,0,0,0.98,0.01
301,working time directive,96,0,0,0.97,0.00
302,v20,96,0,0,0.96,0.02
303,parking,96,0,0,0.96,0.00
304,benefits adviser,95,0,0,0.96,0.04
305,child benifit,95,0,0,1.00,0.00
306,employment law,95,0,0,0.97,0.00
307,serps,95,0,0,0.96,0.01
308,bursary,95,0,0,1.00,0.00
309,job center,95,0,0,0.97,0.01
310,cv builder,94,0,0,0.97,0.02
311,hazard perception test,93,0,0,0.98,0.01
312,state pension forecast,93,0,0,0.99,0.01
313,employers,93,0,0,0.98,0.00
314,paye,93,0,0,0.98,0.01
315,childminder,93,0,0,0.95,0.00
316,student finance calculator,92,0,0,0.97,0.01
317,v778,92,0,0,0.98,0.01
318,voluntary work,92,0,0,0.93,0.03
319,working tax,91,0,0,0.98,0.01
320,catering,91,0,0,0.98,0.00
321,teaching,91,0,0,0.95,0.01
322,budget loans,91,0,0,0.98,0.02
323,government gateway,91,0,0,0.99,0.01
324,equal opportunities,90,0,0,0.98,0.00
325,self employment credit,90,0,0,0.97,0.01
326,crb,90,0,0,0.97,0.00
327,nhs,90,0,0,0.94,0.00
328,child trust fund,89,0,0,0.96,0.04
329,pay court fine,88,0,0,0.99,0.01
330,sex discrimination,88,0,0,0.96,0.01
331,savings,88,0,0,0.98,0.01
332,co1,88,0,0,0.98,0.01
333,immigration,88,0,0,0.96,0.02
334,Disability living allowance,88,0,0,0.98,0.00
335,change of circumstance,88,0,0,0.97,0.00
336,students,87,0,0,0.99,0.00
337,show me tell me questions,87,0,0,0.94,0.02
338,child tax,87,0,0,0.97,0.02
339,apprenticeship,87,0,0,0.98,0.00
340,job profiles,87,0,0,0.96,0.02
341,motoring,87,0,0,0.97,0.00
342,maternity rights,87,0,0,0.98,0.00
343,child maintenance,86,0,0,0.96,0.03
344,deed poll,86,0,0,0.96,0.01
345,v62 form,85,0,0,0.98,0.02
346,courses,85,0,0,0.97,0.01
347,student finance address,85,0,0,0.93,0.03
348,power of attorney,85,0,0,0.98,0.00
349,tv licence,84,0,0,0.98,0.00
350,stopping distances,84,0,0,0.97,0.02
351,stamp duty,84,0,0,0.97,0.01
352,driving theory test,84,0,0,1.00,0.00
353,job grant,83,0,0,0.97,0.02
354,benefit,83,0,0,0.98,0.00
355,change driving test,83,0,0,0.96,0.02
356,unemployment,82,0,0,0.98,0.01
357,tax codes,82,0,0,0.95,0.02
358,sickness benefit,82,0,0,1.00,0.00
359,dyslexia,81,0,0,0.98,0.01
360,driving test routes,81,0,0,0.99,0.01
361,advertise a job,81,0,0,0.95,0.00
362,community care grants,80,0,0,0.99,0.00
363,benefit advisor,80,0,0,0.93,0.05
364,national insurance card,80,0,0,0.98,0.02
365,driving test centres,80,0,0,0.99,0.00
366,d4,80,0,0,0.98,0.00
367,d2,79,0,0,0.99,0.00
368,compassionate leave,79,0,0,0.99,0.01
369,fostering,79,0,0,0.96,0.01
370,legislation,79,0,0,0.94,0.01
371,childcare grant,79,0,0,0.99,0.00
372,bullying,78,0,0,0.99,0.00
373,second passport,78,0,0,0.99,0.01
374,dda,78,0,0,0.98,0.01
375,direct payments,77,0,0,0.99,0.00
376,local councils,77,0,0,0.98,0.00
377,number plates,77,0,0,0.98,0.00
378,carer,77,0,0,0.98,0.01
379,every child matters,76,0,0,0.96,0.00
380,bankruptcy,76,0,0,0.98,0.01
381,student grants,76,0,0,0.99,0.00
382,family allowance,76,0,0,0.96,0.00
383,school holidays,76,0,0,0.96,0.01
384,career development loan,75,0,0,0.93,0.06
385,iva,75,0,0,0.98,0.01
386,wills,75,0,0,0.97,0.01
387,vosa,74,0,0,0.99,0.01
388,mot check,74,0,0,0.98,0.01
389,search for a job,74,0,0,0.96,0.01
390,ehic,74,0,0,0.94,0.02
391,single parent,74,0,0,0.99,0.00
392,teaching assistant,73,0,0,0.99,0.00
393,human rights,73,0,0,0.98,0.01
394,book test,73,0,0,1.00,0.00
395,contact numbers,73,0,0,0.99,0.00
396,local authorities,73,0,0,0.98,0.00
397,ssp1,72,0,0,0.98,0.01
398,jobseeker allowance,72,0,0,0.95,0.02
399,forms and guides,72,0,0,0.99,0.01
400,equality,72,0,0,0.96,0.02
401,return to work credit,72,0,0,0.97,0.02
402,maternity benefits,72,0,0,0.99,0.00
403,mortgage help,71,0,0,0.99,0.00
404,receptionist,71,0,0,0.97,0.00
405,cpc,71,0,0,0.98,0.01
406,tax refund,71,0,0,0.97,0.01
407,inheritance tax,71,0,0,0.99,0.00
408,job application form,70,0,0,0.99,0.01
409,employment rights,70,0,0,0.98,0.00
410,work experience,70,0,0,0.95,0.02
411,in work credit,70,0,0,0.99,0.00
412,mock theory test,70,0,0,1.00,0.00
413,application forms,70,0,0,0.98,0.00
414,benefit rates,70,0,0,0.96,0.02
415,bereavement benefit,69,0,0,0.96,0.00
416,insurance,69,0,0,0.98,0.01
417,home office,69,0,0,0.96,0.00
418,contact student finance,69,0,0,0.99,0.01
419,journey planner,69,0,0,0.96,0.03
420,part time work,69,0,0,0.99,0.00
421,nin,68,0,0,0.51,0.01
422,driver,68,0,0,0.97,0.00
423,tax return,68,0,0,0.99,0.00
424,childminding,68,0,0,0.98,0.00
425,hc1,68,0,0,0.99,0.01
426,change name,68,0,0,1.00,0.00
427,carer's credit,68,0,0,0.99,0.00
428,low income,68,0,0,0.97,0.01
429,Job seekers,67,0,0,0.97,0.00
430,job seekers allowence,67,0,0,0.99,0.01
431,cost of theory test,67,0,0,0.98,0.01
432,central government,67,0,0,0.99,0.01
433,sex discrimination act,67,0,0,0.95,0.05
434,new claim,67,0,0,1.00,0.00
435,business,67,0,0,0.99,0.00
436,digital tachograph,67,0,0,0.95,0.00
437,disability discrimination act,67,0,0,0.97,0.02
438,deaths,66,0,0,0.99,0.00
439,carer's allowance,66,0,0,0.94,0.01
440,notice period,66,0,0,0.99,0.00
441,homeless,66,0,0,0.98,0.01
442,tax rebate,66,0,0,0.96,0.00
443,points,66,0,0,0.96,0.01
444,funding,66,0,0,0.98,0.00
445,lost passport,65,0,0,0.99,0.00
446,special support grant,65,0,0,0.98,0.00
447,pay council tax,65,0,0,0.96,0.02
448,min wage,65,0,0,0.96,0.01
449,breaks,64,0,0,0.96,0.03
450,address change,64,0,0,0.99,0.00
451,lgv,64,0,0,0.99,0.00
452,local authority,63,0,0,0.99,0.00
453,v55/5,63,0,0,0.96,0.02
454,income suport,63,0,0,1.00,0.00
455,admin,63,0,0,1.00,0.00
456,PFF1,63,0,0,0.97,0.03
457,sick leave,63,0,0,0.94,0.03
458,signing off,63,0,0,0.98,0.00
459,vehicle tax,63,0,0,0.95,0.01
460,labourer,63,0,0,0.96,0.00
461,sales assistant,63,0,0,0.96,0.00
462,EMPLOYMENT AND SUPPORT ALLOWANCE,63,0,0,0.99,0.00
463,mortgage interest,63,0,0,0.94,0.00
464,pay a court fine,62,0,0,0.96,0.01
465,pass plus,62,0,0,0.99,0.00
466,tax bands,62,0,0,0.97,0.01
467,renew driving licence,62,0,0,0.96,0.01
468,electrician,62,0,0,0.99,0.00
469,change test date,62,0,0,0.97,0.00
470,funeral,62,0,0,0.98,0.01
471,travel,62,0,0,0.99,0.00
472,nvq,62,0,0,0.97,0.01
473,legal aid,61,0,0,0.96,0.03
474,pension age,61,0,0,0.97,0.01
475,constructive dismissal,61,0,0,0.97,0.01
476,school,61,0,0,1.00,0.00
477,annual leave,61,0,0,0.96,0.01
478,test,61,0,0,0.99,0.00
479,dvla offices,61,0,0,0.94,0.03
480,free prescriptions,61,0,0,0.95,0.03
481,NATIONAL INSURANCE NUMBER,61,0,0,0.99,0.01
482,dvla local office,60,0,0,1.00,0.00
483,unfair dismissal,60,0,0,0.99,0.01
484,dvla contact,60,0,0,0.95,0.03
485,redundancy payments,59,0,0,0.99,0.01
486,pregnant,59,0,0,0.98,0.00
487,hutton report,59,0,0,0.95,0.03
488,local government,59,0,0,0.92,0.04
489,consumer rights,59,0,0,0.99,0.00
490,jobseeker,59,0,0,0.99,0.01
491,tuition fee loan request form,59,0,0,0.99,0.01
492,dvla phone number,58,0,0,1.00,0.00
493,race relations act,58,0,0,0.97,0.00
494,tachograph,58,0,0,0.98,0.00
495,returning to work,58,0,0,0.97,0.03
496,changing address,58,0,0,0.98,0.02
497,moving home,58,0,0,0.99,0.01
498,care to learn,58,0,0,0.96,0.04
499,housing benefit calculator,58,0,0,1.00,0.00
500,d46p,58,0,0,0.96,0.01
501,mot history,57,0,0,1.00,0.00
502,pension calculator,57,0,0,0.94,0.01
503,ccg1,57,0,0,1.00,0.00
504,motoring forms,57,0,0,0.95,0.05
505,counterpart,57,0,0,0.99,0.00
506,moving house,57,0,0,0.99,0.00
507,capital gains tax,57,0,0,0.97,0.00
508,tax office,57,0,0,0.99,0.00
509,census,57,0,0,1.00,0.00
510,equal pay,57,0,0,0.96,0.01
511,care assistant,57,0,0,0.99,0.00
512,lone parent,57,0,0,0.96,0.03
513,alcohol,56,0,0,0.97,0.00
514,cold weather payments,56,0,0,0.92,0.05
515,ptg1 form,56,0,0,0.96,0.03
516,funeral payments,56,0,0,1.00,0.00
517,job centre application form,56,0,0,0.98,0.01
518,bursaries,56,0,0,0.99,0.00
519,employer,56,0,0,1.00,0.00
520,jobcentre application form,56,0,0,0.99,0.01
521,car tax refund,56,0,0,0.95,0.02
522,pgce,56,0,0,0.98,0.00
523,dismissal,56,0,0,0.93,0.01
524,publications,56,0,0,0.94,0.01
525,tax credit calculator,55,0,0,0.93,0.07
526,cancelations,55,0,-1,0.00,0.00
527,penalty points,55,0,0,0.96,0.03
528,my account,55,0,0,0.97,0.00
529,work,55,0,0,0.97,0.00
530,security jobs,55,0,0,0.98,0.00
531,vic check,55,0,0,0.94,0.05
532,towing,55,0,0,0.96,0.02
533,health and safety at work,55,0,0,0.95,0.01
534,provisional driving license,55,0,0,1.00,0.00
535,ema bonus,54,0,0,0.99,0.00
536,early retirement,54,0,0,0.99,0.00
537,dvla contact number,54,0,0,1.00,0.00
538,adi 3,54,0,0,1.00,0.00
539,p46 form,54,0,0,0.93,0.01
540,wages,54,0,0,0.96,0.01
541,complaint,54,0,0,0.95,0.00
542,adoption leave,54,0,0,0.99,0.01
543,cv template,54,0,0,0.99,0.01
544,police,54,0,0,1.00,0.00
545,lost driving license,54,0,0,0.98,0.02
546,parents learning allowance,54,0,0,1.00,0.00
547,vic1,54,0,0,0.93,0.02
548,court of protection,54,0,0,0.96,0.04
549,car insurance,53,0,0,0.99,0.00
550,form d1,53,0,0,0.98,0.02
551,log on,53,0,0,0.99,0.00
552,bus passes,53,0,0,0.98,0.02
553,theory test booking,53,0,0,1.00,0.00
554,notice,53,0,0,1.00,0.00
555,better off calculation,53,0,0,0.96,0.00
556,eu students,53,0,0,0.97,0.02
557,telephone,53,0,0,1.00,0.00
558,passport offices,52,0,0,1.00,0.00
559,diabetes,52,0,0,1.00,0.00
560,jobcentre plus application form,52,0,0,0.98,0.02
561,equal pay act,52,0,0,0.92,0.00
562,tax calculator,52,0,0,0.97,0.03
563,apprentice,52,0,0,0.97,0.02
564,booking theory test,52,0,0,0.98,0.02
565,cold weather payment,51,0,0,1.00,0.00
566,lha,51,0,0,0.96,0.02
567,form,51,0,0,0.97,0.00
568,budgeting loan form,51,0,0,1.00,0.00
569,check and send,51,0,0,0.95,0.00
570,d1 application form,51,0,0,0.95,0.02
571,digital tachograph card,51,0,0,0.97,0.01
572,community grant,51,0,0,0.97,0.02
573,theroy test,51,0,0,0.99,0.00
574,v11,51,0,0,0.98,0.00
575,booking driving test,51,0,0,0.98,0.02
576,passport fee,51,0,0,0.95,0.02
577,bereavement allowance,50,0,0,1.00,0.00
578,passport application,50,0,0,1.00,0.00
579,job centres,50,0,0,0.98,0.00
580,driver card,50,0,0,1.00,0.00
581,jobseeker's allowance,50,0,0,1.00,0.00
582,job seeker allowance,50,0,0,1.00,0.00
583,apprentiships,50,0,-1,0.00,0.02
584,PENSION,50,0,0,0.93,0.02
585,administration,50,0,0,0.97,0.03
586,change of circumstance form,49,0,0,0.98,0.00
587,esol,49,0,0,0.98,0.02
588,london,49,0,0,0.99,0.00
589,disabled students allowance,49,0,0,0.95,0.02
590,email,49,0,0,1.00,0.00
591,v756,49,0,0,1.00,0.00
592,tax disc refund,49,0,0,1.00,0.00
593,scotland,49,0,0,0.97,0.00
594,licence,49,0,0,0.99,0.00
595,family tax credit,49,0,0,1.00,0.00
596,braehead,49,0,-1,0.02,0.00
597,appeals,49,0,0,0.99,0.00
598,speeding,49,0,0,0.98,0.02
599,stopping distance,49,0,0,0.95,0.00
600,v888/2,49,0,0,0.96,0.00
601,interview,49,0,0,0.94,0.04
602,rent,49,0,0,0.93,0.02
603,inland revenue,49,0,0,0.98,0.00
604,starting work,48,0,0,0.97,0.02
605,hairdressing,48,0,0,0.98,0.00
606,phone,48,0,0,0.96,0.02
607,change test,48,0,0,0.98,0.00
608,ipcbr1,48,0,0,0.95,0.05
609,test route,48,0,0,0.97,0.01
610,V14,48,0,0,0.98,0.02
611,cscs,48,0,0,1.00,0.00
612,contracts,48,0,0,0.97,0.01
613,part time student finance,48,0,0,0.97,0.03
614,international driving licence,48,0,0,0.99,0.01
615,roundabouts,48,0,0,0.98,0.02
616,CRISIS LOANS,48,0,0,1.00,0.00
617,student finace,48,0,0,0.98,0.00
618,lost,48,0,0,0.96,0.00
619,chef,48,0,0,0.98,0.00
620,glasgow,48,0,0,1.00,0.00
621,smp1,48,0,0,0.94,0.06
622,lost license,48,0,0,0.96,0.04
623,passport photo,48,0,0,0.93,0.06
624,care allowance,48,0,0,1.00,0.00
625,crisis loan number,48,0,0,0.97,0.03
626,free bus pass,47,0,0,0.95,0.03
627,studentfinance,47,0,0,1.00,0.00
628,health in pregnancy,47,0,0,0.94,0.02
629,industrial injuries,47,0,0,0.98,0.00
630,public holidays,47,0,0,0.92,0.00
631,co1 form,47,0,0,0.98,0.00
632,nursery,47,0,0,0.98,0.02
633,hardship,47,0,0,0.96,0.01
634,sign off,47,0,0,0.97,0.00
635,declaration,47,0,0,0.98,0.00
636,finance,47,0,0,0.98,0.00
637,social fund loans,47,0,0,0.97,0.00
638,adress,46,0,-1,0.00,0.00
639,child protection,46,0,0,0.98,0.00
640,book practical driving test,46,0,0,1.00,0.00
641,road signs,46,0,0,0.96,0.00
642,change theory test,46,0,0,0.98,0.02
643,jobseekers allowence,46,0,0,0.98,0.02
644,tax disk,46,0,0,0.98,0.00
645,contact details,46,0,0,0.97,0.02
646,dvla swansea,46,0,0,0.98,0.02
647,lost tax disc,46,0,0,0.97,0.02
648,school profile,46,0,0,0.96,0.00
649,disabled,46,0,0,0.97,0.01
650,health,46,0,0,0.98,0.00
651,sign on,46,0,0,1.00,0.00
652,google,46,0,0,0.95,0.00
653,asda,46,0,0,0.96,0.02
654,d777b,46,0,0,0.92,0.00
655,dla rates,46,0,0,1.00,0.00
656,renewat70,46,0,0,1.00,0.00
657,sign in,45,0,0,0.98,0.00
658,support worker,45,0,0,1.00,0.00
659,pay,45,0,0,1.00,0.00
660,disciplinary,45,0,0,0.98,0.00
661,enter the gateway,45,0,0,0.98,0.00
