Department,Entity,Pay Date,Product Family,Expense Area,Supplier Name,Transaction Number,Net Amount
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,ILF Ltd,5003108,£873.20
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Shropshire Stainless & Aluminium Ltd,5003109,£178.60
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Carillon Industrial Services Ltd,5003110,£16.90
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Peak Sensors Ltd,5003111,£80.40
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Other,Peak Sensors Ltd,5003111,£20.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Sundry Supplier,5003112,£205.84
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Other,Sundry Supplier,5003112,£16.86
BEIS,UKAEA,07/12/2016,Facilities,Fusion,Lorne Stewart Plc,5003113,"£35,426.70"
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003114,£34.60
BEIS,UKAEA,05/12/2016,Operational Goods,Support Services,Arco Ltd,5003114,£34.20
BEIS,UKAEA,05/12/2016,Engineering Goods,Support Services,Arco Ltd,5003114,£121.22
BEIS,UKAEA,05/12/2016,ICT,Fusion,Kerrco Automation Ltd,5003115,£12.50
BEIS,UKAEA,05/12/2016,ICT,Fusion,Kerrco Automation Ltd,5003116,"£5,205.55"
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,RS Components Ltd,5003117,£39.05
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Edmundson Electricals Ltd,5003118,£205.90
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Edmundson Electricals Ltd,5003119,£42.58
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003121,£248.88
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003122,£139.68
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003123,£111.44
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Sundry Supplier,5003124,"£8,082.50"
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003125,£111.44
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003126,£583.20
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003127,£28.19
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003128,£85.44
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003129,£111.44
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003130,£68.72
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003131,£334.49
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003131,£587.76
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003132,£110.00
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003133,£68.72
BEIS,UKAEA,05/12/2016,Waste Management,Property,Grundon Waste Management Ltd,5003134,£111.44
BEIS,UKAEA,05/12/2016,Professional Services,Fusion,Southern Calibration Laboratories L,5003135,£521.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Aquila Nuclear Engineering Ltd,5003136,"£107,047.50"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Aquila Nuclear Engineering Ltd,5003137,"£55,650.00"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003138,"£30,266.20"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003139,"£30,872.70"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003140,"£29,809.89"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003141,"£30,504.75"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003142,"£32,233.80"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003143,"£30,988.25"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003144,"£31,110.83"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003145,"£31,750.70"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003146,"£29,755.74"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003147,"£22,282.73"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,JSB UK and Ireland Ltd,5003148,"£13,330.59"
BEIS,UKAEA,05/12/2016,Facilities,Property,Thames Water Utilities,5003149,"£11,214.71"
BEIS,UKAEA,05/12/2016,Energy and Fuels,Property,EDF Energy,5003150,"£30,872.32"
BEIS,UKAEA,05/12/2016,Professional Services,Property,Gerald Honey Partnership,5003151,"£1,337.60"
BEIS,UKAEA,05/12/2016,Professional Services,Property,Gerald Honey Partnership,5003152,"£1,337.60"
BEIS,UKAEA,05/12/2016,Professional Services,Property,Fraser Walker Associates,5003153,£495.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Clean Linen Services Ltd,5003154,£81.93
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Sundry Supplier,5003155,£75.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Orbital Fabrications Ltd,5003156,"£2,165.44"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Forgeweld Ltd,5003158,£411.44
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Forgeweld Ltd,5003159,£444.46
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5003160,£45.60
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Shropshire Stainless & Aluminium Ltd,5003161,£69.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5003162,£28.50
BEIS,UKAEA,05/12/2016,Facilities,Fusion,Farnell Electronic Components Ltd,5003162,£11.44
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003163,£130.45
BEIS,UKAEA,07/12/2016,Engineering Goods,Other,BOC Ltd,5003164,£237.69
BEIS,UKAEA,07/12/2016,Engineering Goods,Other,BOC Ltd,5003165,£41.10
BEIS,UKAEA,07/12/2016,Engineering Goods,Other,BOC Ltd,5003167,£41.10
BEIS,UKAEA,07/12/2016,Engineering Goods,Other,BOC Ltd,5003168,£49.32
BEIS,UKAEA,09/12/2016,Personnel Related,Fusion,Sundry Supplier,5003169,"£62,299.04"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Machining Techology (Mach-Tech) Ltd,5003170,£681.67
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Machining Techology (Mach-Tech) Ltd,5003171,£681.67
BEIS,UKAEA,05/12/2016,Construction,Fusion,RS Components Ltd,5003172,£90.87
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003172,£49.35
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003173,£90.82
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5003174,£194.70
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5003174,£18.36
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003175,£670.85
BEIS,UKAEA,07/12/2016,Engineering Goods,Fusion,BOC Ltd,5003176,£192.00
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003177,£487.49
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003178,"£2,412.96"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5003179,£103.47
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003180,£107.52
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Cromwell Ltd,5003181,£139.20
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Cromwell Ltd,5003182,£135.63
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003183,£159.93
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003183,£11.44
BEIS,UKAEA,07/12/2016,Facilities,Fusion,Knowles and Sons (Oxford) Ltd,5003184,£790.12
BEIS,UKAEA,07/12/2016,Professional Services,Fusion,Cavendish Nuclear Ltd,5003185,"£26,057.89"
BEIS,UKAEA,05/12/2016,Research,Support Services,Sundry Supplier,5003186,£610.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Shawcity Ltd,5003187,£200.00
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Other,Shawcity Ltd,5003187,£18.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Belleville Springs Ltd,5003188,"£2,918.56"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Edm Precision Technologies Ltd,5003189,£738.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Eriks UK,5003190,"£3,392.12"
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Fusion,Eriks UK,5003190,£20.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Precision Waterjet Ltd,5003191,£212.03
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003192,"£3,073.69"
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003193,£30.00
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003194,£25.00
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003195,£246.50
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003196,£10.00
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003197,£226.00
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003198,£15.00
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003199,£25.54
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003200,£15.00
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003201,£10.00
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Hills Waste Solutions Ltd,5003202,£10.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Obart Pumps Ltd,5003204,£119.20
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Fusion,Obart Pumps Ltd,5003204,£11.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,New Pig Ltd,5003205,£4.50
BEIS,UKAEA,05/12/2016,Professional Services,Fusion,RCD Lockinge Ltd,5003206,"£16,133.60"
BEIS,UKAEA,05/12/2016,Travel,Fusion,Leasedrive Rental Management Ltd,5003207,£70.55
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003208,£132.24
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003208,£148.80
BEIS,UKAEA,07/12/2016,Engineering Goods,Fusion,BOC Ltd,5003209,£63.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003210,£152.28
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003211,£20.04
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003212,£33.06
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Newey and Eyre,5003213,£203.06
BEIS,UKAEA,05/12/2016,Facilities,Property,Thames Water Utilities,5003215,"£7,465.30"
BEIS,UKAEA,05/12/2016,Research,Fusion,The University Of Sheffield,5003216,"£5,120.00"
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,New Pig Ltd,5003217,£722.25
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,New Pig Ltd,5003217,£65.70
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Fusion,New Pig Ltd,5003217,£38.25
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Belleville Springs Ltd,5003218,£193.75
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Fusion,Belleville Springs Ltd,5003218,£9.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003219,£293.34
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003219,£35.35
BEIS,UKAEA,05/12/2016,Professional Services,Fusion,Astles Control Systems,5003220,"£1,205.00"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003221,£62.84
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003221,£137.37
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003222,£120.46
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003223,£33.07
BEIS,UKAEA,05/12/2016,ICT,Fusion,RS Components Ltd,5003223,£354.33
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Agilent Technologies LDA UK Limited,5003224,"£1,965.00"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003225,£261.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003225,£19.29
BEIS,UKAEA,05/12/2016,Engineering Goods,Support Services,Edmundson Electricals Ltd,5003226,£144.54
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003227,£58.81
BEIS,UKAEA,07/12/2016,Engineering Goods,Fusion,BOC Ltd,5003228,£27.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Edmundson Electricals Ltd,5003229,"£1,717.44"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Crossman Engineering,5003230,£344.00
BEIS,UKAEA,07/12/2016,Engineering Goods,Fusion,BOC Ltd,5003231,£57.50
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Swagelok London,5003232,"£9,094.68"
BEIS,UKAEA,05/12/2016,Office Solutions,Fusion,Markertech UK Ltd,5003233,£132.12
BEIS,UKAEA,05/12/2016,Office Solutions,Fusion,Markertech UK Ltd,5003233,£55.95
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Hilti GB Ltd,5003234,£153.31
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Edmundson Electricals Ltd,5003235,£4.85
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5003236,£29.00
BEIS,UKAEA,05/12/2016,Learning and Development,Support Services,Abingdon & Witney Co,5003237,"£2,000.00"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Gear Cutting Co Ltd,5003239,"£1,074.00"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,ILF Ltd,5003240,"£1,733.30"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Swagelok London,5003241,£430.99
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Fusion,Swagelok London,5003241,£9.80
BEIS,UKAEA,05/12/2016,Facilities,Other,PHS Group Plc,5003242,£45.28
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Wellington Engineering Co Ltd,5003244,£644.00
BEIS,UKAEA,05/12/2016,ICT,Fusion,Q Associates Ltd,5003245,"£1,467.51"
BEIS,UKAEA,05/12/2016,Travel,Other,Leasedrive Rental Management Ltd,5003246,£1.93
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Pfeiffer Vacuum UK,5003247,£249.13
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Forward 2000 Ltd,5003248,£140.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Ind-Tech Ltd,5003249,£44.58
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Hilti GB Ltd,5003250,"£2,240.89"
BEIS,UKAEA,05/12/2016,Office Solutions,Fusion,Sundry Supplier,5003251,"£3,150.00"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,City Electrical Factors,5003252,£85.19
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003253,£254.36
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,New Pig Ltd,5003254,£19.80
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003255,"£2,256.91"
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003256,£229.50
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003257,£461.26
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003258,"£15,180.00"
BEIS,UKAEA,07/12/2016,Construction,Property,Knowles and Sons (Oxford) Ltd,5003259,"-£1,013.50"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003260,£384.98
BEIS,UKAEA,05/12/2016,Facilities,Fusion,RS Components Ltd,5003260,£158.43
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Lindy Electronics Limited,5003261,£87.89
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003262,£5.14
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003263,£92.12
BEIS,UKAEA,05/12/2016,Office Solutions,Fusion,RS Components Ltd,5003263,£22.49
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003263,£69.02
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003264,£2.38
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003265,£773.20
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,RS Components Ltd,5003265,£64.52
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003265,£789.76
BEIS,UKAEA,05/12/2016,Professional Services,Fusion,RCD Lockinge Ltd,5003266,"£20,167.00"
BEIS,UKAEA,05/12/2016,Facilities,Property,Elior UK Plc,5003267,£357.84
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003268,£286.30
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003269,£52.92
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Ind-Tech Ltd,5003270,£19.00
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Ind-Tech Ltd,5003270,£40.70
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Nce Solutions Ltd,5003271,£85.74
BEIS,UKAEA,08/12/2016,Engineering Goods,Other,Kamet Thermocomponents,5003272,£198.26
BEIS,UKAEA,05/12/2016,Energy and Fuels,Fusion,National Grid Plc,5003273,"£3,704.24"
BEIS,UKAEA,05/12/2016,Waste Management,Fusion,Arco Ltd,5003274,£117.76
BEIS,UKAEA,05/12/2016,Facilities,Fusion,RS Components Ltd,5003275,£144.11
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003276,£84.02
BEIS,UKAEA,05/12/2016,Professional Services,Fusion,Cavendish Nuclear Limited,5003277,"£2,073.68"
BEIS,UKAEA,05/12/2016,Office Solutions,Other,Getty Images,5003278,"£1,150.00"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003279,£26.86
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003279,£35.58
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5003280,£432.65
BEIS,UKAEA,05/12/2016,Professional Services,Fusion,UKAS Laboratory Accreditation Service,5003282,£213.25
BEIS,UKAEA,05/12/2016,Office Solutions,Other,Annodata Business Communications,5003283,"£34,855.59"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5003285,£220.01
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003286,"£3,187.32"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003286,£114.86
BEIS,UKAEA,05/12/2016,Office Solutions,Fusion,Lyreco UK Limited,5003287,£670.75
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Faro Technologies UK Ltd,5003288,£40.00
BEIS,UKAEA,08/12/2016,Engineering Goods,Fusion,Rafix SAS,5003289,"£2,422.66"
BEIS,UKAEA,05/12/2016,Professional Services,Property,LAPD Limited,5003290,"£3,089.50"
BEIS,UKAEA,07/12/2016,Facilities,Fusion,Knowles and Sons (Oxford) Ltd,5003291,£25.00
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003292,£216.00
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003293,£25.00
BEIS,UKAEA,07/12/2016,Facilities,Other,Knowles and Sons (Oxford) Ltd,5003294,£175.50
BEIS,UKAEA,07/12/2016,Facilities,Other,Knowles and Sons (Oxford) Ltd,5003295,£52.21
BEIS,UKAEA,07/12/2016,Facilities,Fusion,Knowles and Sons (Oxford) Ltd,5003296,£28.02
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003297,£25.00
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003298,£108.00
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003299,£25.00
BEIS,UKAEA,07/12/2016,Facilities,Fusion,Knowles and Sons (Oxford) Ltd,5003300,£209.00
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003301,£81.00
BEIS,UKAEA,07/12/2016,Facilities,Support Services,Knowles and Sons (Oxford) Ltd,5003302,£28.02
BEIS,UKAEA,07/12/2016,Facilities,Support Services,Knowles and Sons (Oxford) Ltd,5003303,£28.02
BEIS,UKAEA,07/12/2016,Facilities,Support Services,Knowles and Sons (Oxford) Ltd,5003304,£121.50
BEIS,UKAEA,07/12/2016,Facilities,Property,Knowles and Sons (Oxford) Ltd,5003305,£114.11
BEIS,UKAEA,05/12/2016,Facilities,Property,Cut Keys Direct Ltd,5003307,£7.80
BEIS,UKAEA,07/12/2016,Engineering Goods,Fusion,BOC Ltd,5003308,£289.50
BEIS,UKAEA,07/12/2016,Engineering Goods,Fusion,BOC Ltd,5003309,£456.00
BEIS,UKAEA,07/12/2016,Engineering Goods,Fusion,BOC Ltd,5003310,"£1,516.06"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003313,"£1,848.00"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Spirit Circuits Ltd.,5003314,£655.60
BEIS,UKAEA,13/12/2016,Engineering Goods,Fusion,Underwoods Electrical Distributors,5003315,-£229.95
BEIS,UKAEA,13/12/2016,Engineering Goods,Fusion,Underwoods Electrical Distributors,5003316,-£30.66
BEIS,UKAEA,05/12/2016,Travel,Fusion,Leasedrive Rental Management Ltd,5003317,£19.09
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Routeco,5003318,£390.08
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Screwfix Direct Ltd,5003319,£17.94
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003320,£9.69
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Kemet International Ltd,5003321,£89.25
BEIS,UKAEA,05/12/2016,Travel,Fusion,Leasedrive Rental Management Ltd,5003322,£87.14
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003323,£53.61
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003323,£102.30
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Brite Precision,5003324,£76.65
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Machining Techology (Mach-Tech) Ltd,5003325,"£2,279.13"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Machining Techology (Mach-Tech) Ltd,5003326,£665.68
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Machining Techology (Mach-Tech) Ltd,5003327,£745.08
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Belleville Springs Ltd,5003328,£749.81
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Kemwell Thermal Ltd,5003329,"£3,500.00"
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,TR Fastenings Ltd,5003330,£225.02
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,TR Fastenings Ltd,5003330,£225.02
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003331,£278.32
