Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,26.09.2012,Telephone charges,Air Accident Investigation Branch,ALTERNATIVE NETWORKS PLC,2000012907,1180.32,#,SW11 3UL
Department for Transport,Department for Transport,27.09.2012,P&M Capital Cost,Air Accident Investigation Branch,MANTEC SYSTEMS LTD,2000012975,135501.24,#,NE28 9NZ
Department for Transport,Department for Transport,03.09.2012,Transport Consult,Analysis/Science,OVE ARUP & PARTNERS,2000011116,38014.37,#,NE1 3PL
Department for Transport,Department for Transport,12.09.2012,Research,Analysis/Science,HALCROW GROUP LTD,2000011749,48157,#,W6 7BY
Department for Transport,Department for Transport,13.09.2012,Research,Analysis/Science,TRANSPORT RESEARCH LABORATORY,2000011959,14000,#,RG40 3GA
Department for Transport,Department for Transport,21.09.2012,Computer Consumables,Analysis/Science,SUPPLIES TEAM,2000012478,859.25,#,S9 1XU
Department for Transport,Department for Transport,21.09.2012,Transport Consult,Analysis/Science,CLOCKWORK RESEARCH LTD,2000012483,5337.05,#,W2 1JG
Department for Transport,Department for Transport,21.09.2012,Training,Analysis/Science,VOX COACHING LTD,2000012504,2036.52,#,BS6 9FY
Department for Transport,Department for Transport,05.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000011368,31892.4,#,L2 3YL
Department for Transport,Department for Transport,06.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000011439,28348.8,#,L2 3YL
Department for Transport,Department for Transport,06.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000011439,11516.7,#,L2 3YL
Department for Transport,Department for Transport,06.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000011439,2657.7,#,L2 3YL
Department for Transport,Department for Transport,06.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000011439,1056000,#,L2 3YL
Department for Transport,Department for Transport,07.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000011494,12402.6,#,L2 3YL
Department for Transport,Department for Transport,11.09.2012,Research,Aviation,MANCHESTER METROPOLITAN UNIV,2000011666,53416,#,M1 5GD
Department for Transport,Department for Transport,11.09.2012,Research,Aviation,MANCHESTER METROPOLITAN UNIV,2000011666,52873,#,M1 5GD
Department for Transport,Department for Transport,12.09.2012,Research,Aviation,CIVIL AVIATION AUTHORITY,2000011746,18150,#,RH10 0YR
Department for Transport,Department for Transport,17.09.2012,Research,Aviation,CIVIL AVIATION AUTHORITY,2000012180,47598,#,RH10 0YR
Department for Transport,Department for Transport,17.09.2012,Research,Aviation,CIVIL AVIATION AUTHORITY,2000012180,75565,#,RH10 0YR
Department for Transport,Department for Transport,17.09.2012,Research,Aviation,CIVIL AVIATION AUTHORITY,2000012180,65252,#,RH10 0YR
Department for Transport,Department for Transport,19.09.2012,Research,Aviation,HELIOS TECHNOLOGY LIMITED,2000012357,12500,#,GU14 6UU
Department for Transport,Department for Transport,20.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000012426,17718.01,#,L2 3YL
Department for Transport,Department for Transport,20.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000012426,14174.41,#,L2 3YL
Department for Transport,Department for Transport,20.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000012426,8859.01,#,L2 3YL
Department for Transport,Department for Transport,20.09.2012,Support Services,Aviation,MINISTRY OF DEFENCE,2000012426,885.91,#,L2 3YL
Department for Transport,Department for Transport,21.09.2012,Support Services,Aviation,BAE SYSTEMS (AVIATION SERVICES)LTD,2000012500,17842.8,#,NP15 1XL
Department for Transport,Department for Transport,24.09.2012,Computer equipment,Aviation,DANWOOD GROUP LTD,2000012578,1433.95,#,LN6 3DG
Department for Transport,Department for Transport,25.09.2012,Security,Aviation,NATS (EN ROUTE) PLC,2000012687,395795,#,PO15 7FI
Department for Transport,Department for Transport,25.09.2012,Transport Consult,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000012682,867.5,#,EH4 1PU
Department for Transport,Department for Transport,25.09.2012,Support Services,Aviation,TAG FARNBOROUGH AIRPORT LTD,2000012674,29632.79,#,GU14 6XA
Department for Transport,Department for Transport,26.09.2012,Support Services,Aviation,CARDIFF INTNL AIRPORT LTD,2000012886,24210.6,#,CF62 3BD
Department for Transport,Department for Transport,27.09.2012,Support Services,Aviation,BOURNEMOUTH INTERNATIONAL AIRPORT,2000012960,29137.5,#,BH23 6SE
Department for Transport,Department for Transport,04.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000011188,17044.58,#,MK10 1PX
Department for Transport,Department for Transport,04.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000011188,-1628.74,#,MK10 1PX
Department for Transport,Department for Transport,10.09.2012,Interpreter,Aviation Security ,FCO SERVICES,2000011602,4920,#,MK19 7BH
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,9970.04,#,MK10 1PX
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,5627.77,#,MK10 1PX
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,9565.58,#,MK10 1PX
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,1308.4,#,MK10 1PX
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,5887.53,#,MK10 1PX
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,7359.56,#,MK10 1PX
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,1696.16,#,MK10 1PX
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,5224.85,#,MK10 1PX
Department for Transport,Department for Transport,19.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012331,2582.76,#,MK10 1PX
Department for Transport,Department for Transport,21.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012474,3593.38,#,MK10 1PX
Department for Transport,Department for Transport,21.09.2012,Support Services,Aviation Security ,FCO FOREIGN & COMMONWEALTH OFFICE,2000012474,677.45,#,MK10 1PX
Department for Transport,Department for Transport,25.09.2012,Support Services,Aviation Security ,CIVIL AVIATION AUTHORITY,2000012662,62891.64,#,RH10 0YR
Department for Transport,Department for Transport,05.09.2012,Agency Staff Costs,Business Transformation,BRITISH TELECOMMUNICATIONS PLC,2000011341,11116.2,16/04-15/05/12,DH98 1BT
Department for Transport,Department for Transport,05.09.2012,Agency Staff Costs,Business Transformation,BRITISH TELECOMMUNICATIONS PLC,2000011341,9577.2,16/05/12-15/06/12,DH98 1BT
Department for Transport,Department for Transport,10.09.2012,Electricity,Business Transformation,EDF ENERGY,2000011576,50915.95,EDF - AUG 1ST TO 31ST 2012,DA6 8ET
Department for Transport,Department for Transport,11.09.2012,Rent - L&B (non-PFI),Business Transformation,BERALA SARL,2000011662,1703910,#,B4 6AJ
Department for Transport,Department for Transport,11.09.2012,Rent - L&B (non-PFI),Business Transformation,SAVILLS COMMERCIAL LTD,2000011676,97839,Q3 Rent & SChg @ 9th Fl Southside 29/9/12-24/12/12,EC2M 7EE
Department for Transport,Department for Transport,11.09.2012,Estate Management,Business Transformation,TR CONTROL SOLUTIONS LTD,2000011688,3165.6,ecoDriver Annual Managed Serv Fee 12/7/12-12/7/12,KT12 4RZ
Department for Transport,Department for Transport,12.09.2012,Rent - L&B (non-PFI),Business Transformation,GREAT MINSTER EAST LONDON A/S,2000011748,803400,Accomodation Q3 Sept12-Dec12,SS1 1AB
Department for Transport,Department for Transport,14.09.2012,Telephone charges,Business Transformation,BT CONFERENCING,2000012093,1732.34,BT - MEETME CONFERENCES,NW9 6LB
Department for Transport,Department for Transport,14.09.2012,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000012096,7574.4,ADDITIONAL HANDSETS,MK15 ODJ
Department for Transport,Department for Transport,14.09.2012,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000012096,1639.2,OVERTIME AUG 12,MK15 ODJ
Department for Transport,Department for Transport,14.09.2012,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000012096,13828.8,OVERTIME JUL 12,MK15 ODJ
Department for Transport,Department for Transport,14.09.2012,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000012096,158282.7,OCT-DEC MANAGED SERVICES,MK15 ODJ
Department for Transport,Department for Transport,14.09.2012,Telephone charges,Business Transformation,SIEMENS ENTERPRISE COMMUNICATIONS L,2000012096,1639.2,SIEMENS - O'TIME JUNE 2012,MK15 ODJ
Department for Transport,Department for Transport,14.09.2012,Telephone charges,Business Transformation,VERIZON BUSINESS,2000012098,8597.84,VERIZON - PSTN,RG2 6DA
Department for Transport,Department for Transport,14.09.2012,Telephone charges,Business Transformation,VERIZON BUSINESS,2000012098,13757.83,VERIZON-AUDIO CONFERENCE-,RG2 6DA
Department for Transport,Department for Transport,14.09.2012,Telephone Line Rent,Business Transformation,BT PAYMENT SERVICES LTD,2000012100,552.6,BT RENTAL SEP - NOV A/C 70370170AC01,DH98 1BT
Department for Transport,Department for Transport,18.09.2012,Rent - L&B (non-PFI),Business Transformation,VEHICLE & OPERATOR SERVICES AGENCY,2000012287,10205.67,Accommodation Charges @ Bristol 1/4/12-31/3/13,SA1 8AN
Department for Transport,Department for Transport,18.09.2012,Postage,Business Transformation,ROYAL MAIL,2000012279,3480,One off Payment - Early Timed Collections,S49 1HQ
Department for Transport,Department for Transport,19.09.2012,Telephone charges,Business Transformation,BT PAYMENT SERVICES LTD,2000012355,26102.71,BT - CHARGES A/C 42562170,DH98 1BT
Department for Transport,Department for Transport,20.09.2012,Gas,Business Transformation,CORONA ENERGY RETAIL 4 LTD,2000012415,1783.44,CORONA - AUG-SEP 12 - GAS,WD17 1JW
Department for Transport,Department for Transport,27.09.2012,Telephone charges,Business Transformation,VERIZON BUSINESS,2000012964,7096.14,Verizon - internet charges July 2012,RG2 6DA
Department for Transport,Department for Transport,27.09.2012,Telephone charges,Business Transformation,BT PAYMENT SERVICES LTD,2000012965,518.17,BT Charges & Rental - 02078287219-01.07 - 30.11.12,DH98 1BT
Department for Transport,Department for Transport,27.09.2012,Telephone charges,Business Transformation,BT PAYMENT SERVICES LTD,2000012965,480.89,BT Charges & Rental - 02078289153-01.07 - 30.11.12,DH98 1BT
Department for Transport,Department for Transport,27.09.2012,Telephone charges,Business Transformation,BT PAYMENT SERVICES LTD,2000012965,517.94,BT Charges & Rental - 02078289262-01.07 - 30.11.12,DH98 1BT
Department for Transport,Department for Transport,27.09.2012,Telephone charges,Business Transformation,BT PAYMENT SERVICES LTD,2000012965,566.22,BT Charges - 02078288966-01.07 - 30.11.12,DH98 1BT
Department for Transport,Department for Transport,27.09.2012,Telephone Line Rent,Business Transformation,BT PAYMENT SERVICES LTD,2000012965,63.55,BT Charges & Rental - 02078287219-01.07 - 30.11.12,DH98 1BT
Department for Transport,Department for Transport,27.09.2012,Telephone Line Rent,Business Transformation,BT PAYMENT SERVICES LTD,2000012965,63.55,BT Charges & Rental - 02078289153-01.07 - 30.11.12,DH98 1BT
Department for Transport,Department for Transport,27.09.2012,Telephone Line Rent,Business Transformation,BT PAYMENT SERVICES LTD,2000012965,63.55,BT Charges & Rental - 02078289262-01.07 - 30.11.12,DH98 1BT
Department for Transport,Department for Transport,27.09.2012,Telephone Line Rent,Business Transformation,BT PAYMENT SERVICES LTD,2000012965,63.55,BT Rental - 02078288966-01.07 - 30.11.12,DH98 1BT
Department for Transport,Department for Transport,03.09.2012,Agency Staff Costs,Business Transformation,NETWORKERS INTERNATIONAL (UK) PLC,2000011124,5111.77,#,BR1 1HP
Department for Transport,Department for Transport,03.09.2012,IT Ser Running Costs,Business Transformation,AUDIT BUREAU OF CIRCULATIONS LTD,2000011125,2628,#,HP4 1AD
Department for Transport,Department for Transport,06.09.2012,Newspapers,Business Transformation,,2000011434,578.99,CD Serials & Periodicals Apr12-Mar13,E3 3JH
Department for Transport,Department for Transport,07.09.2012,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000011493,2568,#,SL1 3SA
Department for Transport,Department for Transport,07.09.2012,Other Professional F,Business Transformation,COLLINS CONSTRUCTION PLC,2000011504,188777.14,#,CR0 0XT
Department for Transport,Department for Transport,10.09.2012,Computer equipment,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000011592,2623.9,#,B11 2LE
Department for Transport,Department for Transport,10.09.2012,IT Ser Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000011597,1490.4,#,RG24 8GQ
Department for Transport,Department for Transport,10.09.2012,IT Ser Running Costs,Business Transformation,SOFTWARE BOX LTD,2000011586,747552,#,YO61 1ET
Department for Transport,Department for Transport,11.09.2012,Machinery Rental,Business Transformation,DANWOOD GROUP LTD,2000011663,876.37,#,LN6 3DG
Department for Transport,Department for Transport,11.09.2012,IT Ser Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000011691,1641.74,#,RG24 8GQ
Department for Transport,Department for Transport,11.09.2012,IT Ser Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000011691,4168.72,#,RG24 8GQ
Department for Transport,Department for Transport,11.09.2012,Small Software,Business Transformation,THE PRESS ASSOCIATION LTD,2000011681,850.21,#,SW1V 1A
Department for Transport,Department for Transport,12.09.2012,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000011752,1715.04,#,EC4M 7EG
Department for Transport,Department for Transport,12.09.2012,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000011756,3210,#,SL1 3SA
Department for Transport,Department for Transport,12.09.2012,Agency Staff Costs,Business Transformation,SAND RESOURCES LTD,2000011753,3420,#,TN1 1DJ
Department for Transport,Department for Transport,12.09.2012,Agency Staff Costs,Business Transformation,SAND RESOURCES LTD,2000011753,880.5,#,TN1 1DJ
Department for Transport,Department for Transport,13.09.2012,IT Ser Running Costs,Business Transformation,MICROSOFT LTD,2000011936,67152,#,RG6 1WG
Department for Transport,Department for Transport,14.09.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000012089,196.25,HP CLJ5500 SRS LASER TONER CART BLK,S9 1XU
Department for Transport,Department for Transport,14.09.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000012089,275.4,HP CLJ5500 SRS LASER TONER CART CYAN,S9 1XU
Department for Transport,Department for Transport,14.09.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000012089,275.4,HP CLJ5500 SRS LASER TONER CART YLW,S9 1XU
Department for Transport,Department for Transport,14.09.2012,Financial Consultanc,Business Transformation,PRGX UK LIMITED,2000012107,8176.8,#,LU1 3LU
Department for Transport,Department for Transport,17.09.2012,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000012183,-528.5,#,EC4M 7EG
Department for Transport,Department for Transport,18.09.2012,IT Ser Running Costs,Business Transformation,COMPUTACENTER,2000012275,8419.97,#,AL10 9TW
Department for Transport,Department for Transport,19.09.2012,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000012339,1239.3,#,W1T 5AE
Department for Transport,Department for Transport,19.09.2012,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000012371,227994.58,#,OX4 4DQ
Department for Transport,Department for Transport,19.09.2012,IT Ser Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000012369,1736.95,#,RG24 8GQ
Department for Transport,Department for Transport,19.09.2012,Storage & Distributi,Business Transformation,CAMBERTOWN LIMITED,2000012365,8044.36,#,S63 9BL
Department for Transport,Department for Transport,19.09.2012,Management Consultan,Business Transformation,QUINCEY MASON PRACTICES LTD,2000012350,1544.88,#,NN6 9DS
Department for Transport,Department for Transport,19.09.2012,Management Consultan,Business Transformation,QUINCEY MASON PRACTICES LTD,2000012350,2562.24,#,NN6 9DS
Department for Transport,Department for Transport,19.09.2012,Presentation/Display,Business Transformation,DISPLAY MATRIX LTD,2000012344,907.2,#,BS4 5QW
Department for Transport,Department for Transport,20.09.2012,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000012424,2568,#,SL1 3SA
Department for Transport,Department for Transport,20.09.2012,Small Software,Business Transformation,SOFTWARE BOX LTD,2000012410,19631.03,#,YO61 1ET
Department for Transport,Department for Transport,20.09.2012,Management Consultan,Business Transformation,QUINCEY MASON PRACTICES LTD,2000012419,2449.2,#,NN6 9DS
Department for Transport,Department for Transport,20.09.2012,Media & Press,Business Transformation,DURRANTS LTD,2000012431,3896.37,#,EC1Y 8QE
Department for Transport,Department for Transport,25.09.2012,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000012683,2407.5,#,SL1 3SA
Department for Transport,Department for Transport,25.09.2012,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000012690,2643.8,#,OX4 4DQ
Department for Transport,Department for Transport,25.09.2012,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000012690,30780.62,#,OX4 4DQ
Department for Transport,Department for Transport,25.09.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000012657,513.38,#,S9 1XU
Department for Transport,Department for Transport,10.09.2012,Travel Exp Overseas,Centrally held prog,CAPITA BUSINESS TRAVEL,2000011591,20828.25,Capita - INE - August 2012,DE21 6BF
Department for Transport,Department for Transport,10.09.2012,Travel Exp Overseas,Centrally held prog,CAPITA BUSINESS TRAVEL,2000011591,5522.65,Capita - INE - August 2012,DE21 6BF
Department for Transport,Department for Transport,20.09.2012,Purchasing Card Char,Centrally held prog,BARCLAYS BANK PLC,2000012414,3326.7,Barclays - ISE - Sept 12,NN4 7SG
Department for Transport,Department for Transport,20.09.2012,Purchasing Card Char,Centrally held prog,BARCLAYS BANK PLC,2000012414,22711.29,Barclays - ISE - Sept 12,NN4 7SG
Department for Transport,Department for Transport,21.09.2012,Mobile Phone charges,Centrally held prog,VODAFONE LTD,2000012495,10426.02,VODAFONE 606 MOBILES A/C 604232362,RG14 5FF
Department for Transport,Department for Transport,21.09.2012,Mobile Phone charges,Centrally held prog,VODAFONE LTD,2000012495,12536.73,VODAFONE CHARGES A/C 604232362,RG14 5FF
Department for Transport,Department for Transport,21.09.2012,Mobile Phone charges,Centrally held prog,VODAFONE LTD,2000012495,13327.55,Vodafone 594 Mobiles August INE,RG14 5FF
Department for Transport,Department for Transport,26.09.2012,Legal Consultancy,Centrally held prog,ALLEN & OVERY,2000012901,2389.8,#,E1 6AO
Department for Transport,Department for Transport,04.09.2012,Agency Staff Costs,Commercial & Technical Services,TRANSPORT RESEARCH LABORATORY,2000011185,5972.4,#,RG40 3GA
Department for Transport,Department for Transport,06.09.2012,Agency Staff Costs,Commercial & Technical Services,,2000011435,2565,#,OX10 7DN
Department for Transport,Department for Transport,10.09.2012,Computer Consumables,Commercial & Technical Services,SUPPLIES TEAM,2000011570,2741.8,#,S9 1XU
Department for Transport,Department for Transport,11.09.2012,Agency Staff Costs,Commercial & Technical Services,PRICEWATERHOUSECOOPERS LLP,2000011668,10812.8,#,E14 9SQ
Department for Transport,Department for Transport,17.09.2012,Agency Staff Costs,Commercial & Technical Services,EXPERIS LTD,2000012181,4559.54,#,EC1R 3DR
Department for Transport,Department for Transport,17.09.2012,Agency Staff Costs,Commercial & Technical Services,EXPERIS LTD,2000012181,6079.39,#,EC1R 3DR
Department for Transport,Department for Transport,17.09.2012,Agency Staff Costs,Commercial & Technical Services,PARSONS BRINCKERHOFF LTD,2000012185,6400.8,#,NE4 7YQ
Department for Transport,Department for Transport,17.09.2012,Agency Staff Costs,Commercial & Technical Services,PARSONS BRINCKERHOFF LTD,2000012185,2743.2,#,NE4 7YQ
Department for Transport,Department for Transport,17.09.2012,Agency Staff Costs,Commercial & Technical Services,PARSONS BRINCKERHOFF LTD,2000012185,6096,#,NE4 7YQ
Department for Transport,Department for Transport,17.09.2012,Agency Staff Costs,Commercial & Technical Services,PARSONS BRINCKERHOFF LTD,2000012185,9296.4,#,NE4 7YQ
Department for Transport,Department for Transport,19.09.2012,Agency Staff Costs,Commercial & Technical Services,FIRST ECONOMICS LIMITED,2000012345,4350,#,OX11 9NE
Department for Transport,Department for Transport,25.09.2012,Minor Developments,Commercial & Technical Services,CONNECT INTERNET SOLUTIONS LTD,2000012663,1350,#,L2 6SG
Department for Transport,Department for Transport,25.09.2012,Minor Developments,Commercial & Technical Services,CONNECT INTERNET SOLUTIONS LTD,2000012663,4200,#,L2 6SG
Department for Transport,Department for Transport,07.09.2012,IT Equip Cap Cost,Commercial and Technical Services Research,DELL COMPUTER,2000011491,5656.56,#,RG12 1GG
Department for Transport,Department for Transport,12.09.2012,IT Equip Cap Cost,Commercial and Technical Services Research,SPECIALIST COMPUTER CENTRES PLC,2000011763,4901.95,#,B11 2LE
Department for Transport,Department for Transport,14.09.2012,IT Equip Cap Cost,Commercial and Technical Services Research,Probrand Ltd,2000012090,38632.32,#,B1 3BP
Department for Transport,Department for Transport,21.09.2012,IT Equip Cap Cost,Commercial and Technical Services Research,DELL CORPORATION LTD,2000012485,2317.39,Internal 3G Card Kits E6320,RG12 1LF
Department for Transport,Department for Transport,24.09.2012,IT Equip Cap Cost,Commercial and Technical Services Research,DELL COMPUTER,2000012581,3314.09,#,RG12 1GG
Department for Transport,Department for Transport,04.09.2012,Services prov by OGD,Corporate Director's Officer,HOME OFFICE,2000011182,12069.6,#,NP20 9BB
Department for Transport,Department for Transport,14.09.2012,Support Services,Corporate Director's Officer,COMMUNITIES AND LOCAL GOVERNMENT,2000012114,25009.4,#,HP2 4XN
Department for Transport,Department for Transport,12.09.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000011767,465000,HS2 Exceptional Hardship Scheme,CF10 5BT
Department for Transport,Department for Transport,12.09.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000011767,1350000,HS2 Exceptional Hardship Scheme,CF10 5BT
Department for Transport,Department for Transport,26.09.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000012908,710000,HS2 Exceptional Hardship Scheme,CF10 5BT
Department for Transport,Department for Transport,26.09.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000012908,213750,Property Purchase (HS2) - 8 Pakenham Cl HP19 7GP,CF10 5BT
Department for Transport,Department for Transport,26.09.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000012908,402500,Property Purchase (HS2) - Kingsbury Rd B76 0DE,CF10 5BT
Department for Transport,Department for Transport,14.09.2012,CurrGrtOth to NDPBs,DASH,ITSO LTD,2000011766,84000,ITSO HOPS Provision,MK13 8LW
