P/L Individual Transactions Over £25K,Inv Cert Date between 01/08/2012 and 31/08/2012,,,,,,
Department Family,Entity,Invoice Date,Expense Type,Expense Area,Supplier Name,Invoice Number,Value
Department of Health,Colchester Hospital University NHS Foundation Trust,09/08/2012,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,91104943,"60,560.64"
Department of Health,Colchester Hospital University NHS Foundation Trust,09/08/2012,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,91104943,57.84
Department of Health,Colchester Hospital University NHS Foundation Trust,09/08/2012,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,91104943,38.56
Department of Health,Colchester Hospital University NHS Foundation Trust,09/08/2012,CAPITAL BUILDINGS,CAPITAL SCHEMES,ROSE BUILDERS LTD,9823/12,"54,525.60"
Department of Health,Colchester Hospital University NHS Foundation Trust,09/08/2012,CLINICAL SUPPLIES,MEDICAL PHYSICS,ELEKTA LTD,202301300,"32,661.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,09/08/2012,OTHER OPERATING EXPENSES,PATHOLOGY,WEST SUFFOLK HOSPITAL NHS TRUST,222101,"136,650.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,10/08/2012,CLINICAL SUPPLIES,RADIOLOGY,ACCENTURE (UK) LTD,3003189130,"33,751.03"
Department of Health,Colchester Hospital University NHS Foundation Trust,10/08/2012,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,13959431,"35,111.37"
Department of Health,Colchester Hospital University NHS Foundation Trust,13/08/2012,CAPITAL EQUIPMENT,CAPITAL SCHEMES,BELIMED LTD,E2012060,"66,867.36"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CAPITAL EQUIPMENT,CAPITAL SCHEMES,PHILIPS HEALTHCARE,7300119515,"134,700.64"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050791194CHUFT,"12,720.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050791194CHUFT,"12,720.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"25,920.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"11,880.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"14,040.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"4,500.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"22,800.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"16,800.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"5,100.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"3,900.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783338,"5,040.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783337,"63,360.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783337,"25,920.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783337,"11,880.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783337,"5,100.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783337,"7,500.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050783337,"1,380.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/08/2012,OTHER INCOME,FACILITIES,SWAN HOUSING ASSOCIATION,SWA-ER13-262,"47,926.51"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/08/2012,CAPITAL BUILDINGS,CAPITAL SCHEMES,TOSHIBA MEDICAL SYSTEMS,141203423,"38,978.31"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/08/2012,CAPITAL BUILDINGS,CAPITAL SCHEMES,COLNE VALLEY BUILDING SERVICES LTD,841,"69,540.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/08/2012,CAPITAL EQUIPMENT,CAPITAL SCHEMES,WH BENCE COACHWORKS LTD,11417,"129,468.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/08/2012,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1013072961,"103,929.31"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/08/2012,OTHER OPERATING EXPENSES,FINANCE,NHS LITIGATION AUTHORITY,SICX/00068776,"479,780.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,16/08/2012,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321509519,"41,911.20"
Department of Health,Colchester Hospital University NHS Foundation Trust,17/08/2012,CAPITAL BUILDINGS,CAPITAL SCHEMES,E RAND & SONS LTD,33397,"81,911.53"
Department of Health,Colchester Hospital University NHS Foundation Trust,20/08/2012,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,13959677,"47,582.76"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/08/2012,CLINICAL SUPPLIES,ONCOLOGY,VARIAN MEDICAL SYSTEMS UK LTD,602108198,"228,000.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/08/2012,CLINICAL SUPPLIES,ONCOLOGY,VARIAN MEDICAL SYSTEMS UK LTD,602108198,"79,800.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/08/2012,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1013076157,"112,682.06"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/08/2012,SECONDARY COMMISSIONING,RADIOLOGY,ALLIANCE MEDICAL LTD,1156913,261.25
Department of Health,Colchester Hospital University NHS Foundation Trust,21/08/2012,SECONDARY COMMISSIONING,RADIOLOGY,ALLIANCE MEDICAL LTD,1156913,"82,867.01"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/08/2012,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060021045,"24,962.58"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/08/2012,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1160002322,"71,363.43"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/08/2012,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060021044,"195,274.41"
Department of Health,Colchester Hospital University NHS Foundation Trust,23/08/2012,CAPITAL EQUIPMENT,CAPITAL ESTATES,BURLODGE LTD,99032248,"35,345.74"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,CAPITAL EQUIPMENT,CAPITAL SCHEMES,BELIMED LTD,E2012077,"16,998.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,CAPITAL EQUIPMENT,CAPITAL SCHEMES,BELIMED LTD,E2012077,"12,792.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,CAPITAL EQUIPMENT,CAPITAL SCHEMES,BELIMED LTD,E2012077,"6,680.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,CAPITAL EQUIPMENT,CAPITAL SCHEMES,BELIMED LTD,E2012077,"14,388.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,CAPITAL EQUIPMENT,CAPITAL SCHEMES,BELIMED LTD,E2012077,"2,100.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,CAPITAL EQUIPMENT,CAPITAL IM&T,CISCO SYSTEMS FINANCE INTERNATIONAL,1011260,"217,246.84"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,CLINICAL SUPPLIES,RADIOLOGY,NHS SUPPLY CHAIN,2013002172,"33,859.69"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,OTHER OPERATING EXPENSES,FINANCE,DR FOSTER LTD,0001008310,"21,000.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/08/2012,PREMISES & FIXED PLANT,FACILITIES,COLCHESTER BOROUGH COUNCIL,65712911SEPT12,"66,389.12"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,CAPITAL EQUIPMENT,CAPITAL IM&T,CISCO SYSTEMS FINANCE INTERNATIONAL,1011533,"217,246.84"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,NON CLINICAL SUPPLIES,FACILITIES,SUNLIGHT SERVICE GROUP LTD,SN1054800,"67,802.79"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,PREMISES & FIXED PLANT,FACILITIES,TOTAL GAS AND POWER LTD,79613891/12,"60,308.56"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,PREMISES & FIXED PLANT,FACILITIES,TOTAL GAS AND POWER LTD,78807570/12,"57,791.91"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,PREMISES & FIXED PLANT,ICT,TRUSTMARQUE SOLUTIONS LTD,2175783,"4,006.66"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,PREMISES & FIXED PLANT,ICT,TRUSTMARQUE SOLUTIONS LTD,2175783,"244,540.08"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,PREMISES & FIXED PLANT,ICT,TRUSTMARQUE SOLUTIONS LTD,2175783,"34,201.34"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,PREMISES & FIXED PLANT,FACILITIES,CORONA ENERGY,07220438,"67,200.11"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,PREMISES & FIXED PLANT,FACILITIES,CORONA ENERGY,07467036,"45,686.10"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/08/2012,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,13959793,"42,822.79"
Department of Health,Colchester Hospital University NHS Foundation Trust,30/08/2012,SECONDARY COMMISSIONING,RADIOLOGY,ALLIANCE MEDICAL LTD,1157545,209.00
Department of Health,Colchester Hospital University NHS Foundation Trust,30/08/2012,SECONDARY COMMISSIONING,RADIOLOGY,ALLIANCE MEDICAL LTD,1157545,"87,277.78"
,,,,,,,"4,752,871.15"
Report ID : PL 2_23,Page -1 of 1,Print Date : 20/09/2012,,,,,
