Scheme Reference,Ward,Recipient of ward funding,Scheme details ,Ward Priority met,Date passed to Ward Committee for decision,Date funding approved by Ward Committee,Final amount approved,Status
CL-17-01,Clifton,York City Football Club Foundation ,We host a weekly coffee morning called Sporting Memories every Friday at the stadium. Currently the event is free to attend and those that come down are offered a complimentary hot drink and general sustenance to enjoy whilst they reminisce about sporting nostalgia that is personal to them. ,An Inclusive ward,04/04/2017,04/04/2017,1985,released to the group
Cl-17-02,Clifton,Clifton Parish Church,Clifton parish church to Purchase of stackable chairs and tables,An Inclusive ward,30/03/2017,20/03/2017,1839.9,released to the group
CL-17-04,Clifton,Clifton Parish Church,"Ready steady mums, an opportunity for new and vulnerable mums to meet, socialise and wark around Homestead Park ",Improving opportunities and facilities for young people. Reducing social isolation for a more inclusive Clifton ,04/07/2017,04/07/2017,800,released to the group
CL-17-05 ,Clifton,City of York Football Club Foundation,"York City Football Club Foundation will offer Free football holiday coaching activities for the Summer of 2017. The project  will involve the local community and the bringing of all 3 schools in the area together. 

The sessions will run as a holiday provision using a local community venue, which will allow the residents and families of Clifton to access a free holiday provision. This will run as a daytime and early evening sessions (appropriate to age group) of 2 hours each and are looking to run one day a week in the school holidays over the 2017 summer programme. 

The sessions will be for 7-11, 11+ year olds and we will have a maximum of 32 places per age group.",Improving opportunities and facilities for young people,04/07/2017,04/07/2017,2998,released to the group
CL-17-06,Clifton,St Lukes Church ,"Create a  Project Coordinator post. The person would have three key roles in Coordination of St Luke’s Community Project

To include 
• Friday Cafe 
• Forget Me Not Service:
• Burton Green Outreach.",Engagement with residents for a more cohesive Clifton ,04/07/2017,04/07/2017,3500,released to the group
CL-17-07 ,Clifton,CYC,"To run the 3 activities below 1. Activity week
2. Coffee Morning
3. Grapevine magazine. 
4. After-school club at Burton Green Primary School.
",Improving opporutnities and facilities for young people.,04/07/2017,04/07/2017,3827,released to the group
CL-17-08,Clifton,Citizens Advice Bureau,"CAB will run  a regular Information and Budgeting Support at the St Lukes cafe on Friday mornings, to increase people’s financial capability and money managing.


",Reducing soical isolation for a more cohesive Clifton. ,20/07/2017,20/07/2017,4098,released to the group
CL-17-09,Clifton ,Clifton Elderberries,Grant support for the running cost of Clifton Elderbbieries day trips. Most reisdnets are un able to leave the ward and these trips provide some much needed restbite. ,Reducing social isolation for a more cohesive ward.,06/07/2017,06/07/2017,450,released to the group
CL-17-15 ,Clifton,CYC ,Purchase of 1700 lavender plants along Kingsway North to continue the Colurful Clifton Project with volunteers across the ward,A greener cleaner Clifton. Engagement with residents for a more cohesive Clifton.,08/08/2017,08/08/2017,2465,Paid
CL-17-18 ,Clifton,Vale of York Society,To purchase music equipment and increase music engagement across Clifton Ward. To work on providing some services to support primary schools. Liasing with the elderly within the community and providing community wide engagements throughout the year.,Improving opportunites and facilities for young people,08/11/2017,08/11/2017,600,released to the group
CL-17-20,Clifton ,Clifton Residents Association,"Funding the projects below, in conjuntion with CLifton RA/Clifton Green Primary and Burton Green Primary friends:                                                      1. Dads’ breakfast scheme
2. Family Fun Day – This has become an annual trip for Clifton families to enjoy a trip out to the seaside. This year we would like to pay for an additional bus, so the trip would facilitate over 200 people from our area, enjoying a day at Scarborough together. 
3. Allotment  project – We would like to continue to enhance the allotment spaces/outdoor learning spaces in the area, making them more accessible for all families, encouraging children to grow their own fruit and veg and learn skills for the outdoors that would help them in the future. 
4.  ‘Food to share’ project – This would be an opportunity to celebrate diversity. People from different cultures would bring a traditional dish to the event. People from the area would be invited to join together, in sharing the different foods from around the world. The event would also include some entertainment and information symbolic of some of the cultures on show. 
5. Snack Shack – a charitable enterprise where we can salvage food destined for landfill and prepare healthy snacks for the children to eat after school. The idea being to try and replace crisps and biscuits with healthy food.  ",Improving opportunites and facilities for young people,08/11/2017,08/11/2017,5212,released to the group
CL-17-21 ,Clifton,Accessible Arts and Media,"Funding to support Accessible Arts and Media Creative Community project, by:                                                                                                      • providing creative sessions for older people and those living with dementia in Clifton and in residential care homes based in Clifton using digital technology
• helping residents put together living memory films which they can access online or through iPads
• providing training for learning disabled adults and volunteers accessing mental health services to enable them to co-deliver these activities
• providing training for community groups and residential care home staff to continue these creative activities once this project ends",Reducing soical isolation for a more cohesive Clifton ,26/11/2017,26/11/2017,1000,released to the group
CL-17-22,Clifton,Clifton Timebank,"Set up of a new Clifton Timebank. Residents can access practical help and support from volunteers, who in return can offer support. ",Reducing soical isolation for a more cohesive Clifton ,25/01/2018,25/01/2018,490,released to the group
CO-17-01,Copmanthorpe,Panda playgroup,"A grant towards play equipment, training and expenes for volunteers incl first aid and DBS's.",supporting activities for young people,21/06/2017,21/06/2017,1500,released to the group
CO-17-03,Copmanthorpe ,CYC ,Installation of a street light on the junction of Horseman Close and Horseman Drive.,HEIP - Physical environment improvements to benefit Council tenants,28/06/2017,21/08/2017,1000,commisioned
CO-17-08,Copmanthorpe,CYC,Merchant Way / Flaxman Croft junction road resurfacing,Highways,27/07/2017,20/09/2017,5000,work ordered
CO-17-09,Copmanthorpe,CYC highways,Slurry Sealing 1-25 Gardener's Close,highways,03/08/2017,03/08/2017,1400,completed
CO-17-10,Copmanthorpe,Copmanthorpe WI,A grant to purchase and install HDMI projector with ceiling mount bracket and electric projection screen.,"supporting older people, supporting activities for younger people",02/11/2017,20/12/2017,3202,Funding released to group 
CO-17-11,Copmanthorpe,Copmanthorpe Bowling Club,A grant to Copmanthorpe Bowling Club to purchase a sprayer to apply liquid fertilisers etc. to maintain their bowling green,supporting older people ,13/11/2017,16/11/2017,780,funding released
CO-17-13,Copmanthorpe,CYC Public Protection,"To introduce Cold Calling Zone on Temple Lane, Tadcaster Road and Manor Heath in Copmanthorpe",community safety projects,30/11/2017,20/12/2017,2220,funding released
CO-17-14 ,Copmanthorpe,Copmanthorpe Parish Council,A grant towards commemoration of WW1 end - Beacons of Light on 11 November 2018,"supporting older people, supporting activities for younger people",20/12/2017,06/02/2018,1000,grant released
CO-17-15,Copmanthorpe,Copmanthorpe Tennis Club,A grant towards purchase of junior sized racquets and lvl 1coaching course for a volunteer. ,supporting activities for young people,09/01/2018,06/02/2018,500,grant released
CO-17-16,Copmanthorpe,Copmanthorpe Scout Group,"A grant towards painting a mural on the Scout Hut walls, This is to celebrate 50 years of scouting in Copmanthorpe and provide permanent legacy for future generations.",supporting activities for young people,17/01/2018,06/02/2018,500,grant released
CO-17-17,Copmanthorpe,Copmanthorpe Youth Club,A grant towards replacing kitchen units and worktops at the Club.,"supporting activities for young people, supporting older people",17/01/2018,06/02/2018,1008,grant released
CO-17-19,Copmanthorpe,The Good Companions,A grant towards board games and equipment to be used during group's weekly sessions,Supporting older people,30/01/2017,06/02/2018,200,grant approved
CO-17-20,Copmanthorpe,Copmanthorpe Recreation Centre,A grant towards accessible play equipment for children with special needs or disabilities to be installed within the Recreation Centre play area,Supporting activities for young people,31/01/2017,06/02/2018,4000,grant released
CO-17-21,Copmanthorpe,Panda playgroup,A grant towards purchase and installation of a nappy changing table at Howell Hall.,Supporting activities for young people,01/02/2018,06/02/2018,200,grant approved
DW-15-27,Dringhouses & Woodthorpe,CYC Highways,"Resurface part of Old Moor Lane footpath, near junction with Tadcaster Road , upto £8000",Highways,01/01/2016,09/03/2016,8000,Commissioned to Highways
DW-16-24,Dringhouses & Woodthorpe,CYC,Feasibility study for a pedestrian refuge on on Tadcaster Road between the junction with Nelson’s Lane and existing pedestrian crossing leading to Hob Moor allotments.,Highways,01/09/2016,19/10/2016,1500,commisioned
DW-16-28,Dringhouses & Woodthorpe,CYC Highways,Cycle path surface improvements on Little Hob Moor - upper part,Ward highways/capital pot,08/11/2016,11/11/2016,1750,Commisioned to highways
DW-16-29,Dringhouses & Woodthorpe,CYC,"Vehicle Activated Sign to address vehicle speeding on Chalenors Road, between the junctions with Thanet Road and Eason View.",Highways,01/02/2016,15/11/2016,3500,commisioned
DW-16-38,Dringhouses & Woodthorpe,CYC Parks and Open Spaces,Nelson's Lane play area improvements,"improving the local environment, increasing community involvement, improving assess to services and support  ",01/02/2017,12/02/2017,4381,Commisioned
DW-16-39,Dringhouses & Woodthorpe,CYC Parks and Open Spaces,Woodthorpe Green play area improvements,"improving the local environment, increasing community involvement, improving assess to services and support  ",01/02/2017,12/02/2017,4381,Commisioned
DW-16-41,Dringhouses & Woodthorpe,CYC commisioned an external contractor,To replace out of date contact details on the front panel of the ward notice board on Middlethorpe Grove,"Priorities: Increase community involvement, improving access to services and support. Outcome: enhanced  means of communication to local residents to make them aware of local issues and opportunities",23/03/2017,23/03/2017,65,Completed
DW-17-01,Dringhouses & Woodthorpe,CYC parks and Open Spaces,Nelson's Lane play area improvements,"improving the local environment, increasing community involvement, improving assess to services and support  ",24/01/2017,15/02/2017,5109,Commisioned
DW-17-02,Dringhouses & Woodthorpe,CYC Parks and Open Spaces,Woodthorpe Green play area improvements,"improving the local environment, increasing community involvement, improving assess to services and support  ",24/01/2017,15/02/2017,6624,Commisioned
DW-17-03,Dringhouses & Woodthorpe,Woodthorpe pre-school Playgroup,A grant towards the fence around the playgroup outdoor area to enhance children's safety,Access to services and support,04/05/2017,15/05/2017,0,Funding returned
DW-17-04,Dringhouses & Woodthorpe,York Neighbours,"To sustain and expand York Neighbours activities in Dringhouses and Woodthorpe Ward over the 9 months of 2017-18 before they are able to apply for funding from other streams i.e. the Big Lottery. Funding required to cover costs associated with recruitment and training of new local volunteers, and arranging new referrals/identifying new neighbours.","Access to services and support, Increasing community involvement",04/05/2017,15/05/2017,1000,Funding released
DW-17-05,Dringhouses & Woodthorpe,West Thorpe Pre School,A grant towards outdoor water play equipment and a storage container.,Increasing community involvement,04/05/2017,15/05/2017,264,Funding released
DW-17-06,Dringhouses & Woodthorpe,Dringhouses Bowling Club,A grant to purchase and automated external defibrillator to be mounted outside the club house which will make it available to members of the public.,Promoting community safety ,04/05/2017,15/05/2017,1600,Funding released
DW-17-09,Dringhouses & Woodthorpe,Older Citizens Advocacy York,"A grant towards the postcard project to identify older people who are suffering from loneliness or social isolation. The project will incorporate door to door work in the area of the ward to be confirmed between the Ward Committee and OCAY, ‘pop up’ social hubs in differing areas of the ward and recruitment of community friend volunteers.","increasing community involvement, improving access to services and support",04/05/2017,15/05/2017,1000,Funding released
DW-17-10,Dringhouses & Woodthorpe,Mayfields Community Trust,"A grant for additional and replacement tools and safety equipment  to enable the group to work effectively. The equipment will include  an electric mower battery, brushcutter, heavy duty rubber gloves, hats with visors, secateurs and replacement saw blades","increasing community involvement, improving the local environment",04/05/2017,15/05/2017,810,Funding released
DW-17-11,Dringhouses & Woodthorpe,Friends of Hob Moor,A grant towards purchase and installation of 5 leaflet dispensers at the location of existing notice boards.,"improving the local environment, increasing community involvement, improving assess to services and support  ",04/05/2017,15/05/2017,1628,funding released 
DW-17-12,Dringhouses & Woodthorpe,CYC ,Bench for Chaloners Road Park,improving the local environment  ,12/04/2017,15/05/2017,550,Commisioned
DW-17-13,Dringhouses & Woodthorpe,Dringhouses PC Scout Group,A grant towards purchase of camping equipment to enable the group to cope with increased membership and cater for groups ranging between 30 and 200 people,"Increased community involvement, improved access to services and support",04/05/2017,15/05/2017,1975,Funding released
DW-17-14,Dringhouses & Woodthorpe,Friends of Chapman's Pond,"A grant towards tree work, purchase of 1 year insurance cover for volunteers, grass strimmer, fleece jackets and card payment device to ebable the group to maintain and enhance the quality of the pond and woodland.","Improving local environment, increasing community involvement",04/05/2017,15/05/2017,1006,Funding released
DW-17-15,Dringhouses & Woodthorpe,Dementia Yorkshire,"A grant towards monthly themed sessions for people living with Dementia, their families and carers to attend at St James the Deacon Church in Woodthorpe. The session will aim to promote reminiscence through the use of all 5 senses (where possible). Activities will be chosen specifically for the benefit of those living with dementia and will be person centred. ","Improving access to services and support, increasing community involvement, promoting community safety",04/05/2017,15/05/2017,1500,Funding released
DW-17-16,Dringhouses & Woodthorpe,Woodthorpe York Community Group,A grant towards family fun day on 12 August 2017 on Woodthorpe Green. ,Increasing community involvement,04/05/2017,15/05/2017,1117,Funding released
DW-17-17,Dringhouses & Woodthorpe,Revival Estate Community Association,A grant towards family fund day on 16 July 2017 on the Revival Estate.,Increasing community involvement,04/05/2017,15/05/2017,1200,Funding released
DW-17-18,Dringhouses & Woodthorpe,Woodthorpe Wanderers Junior Football Club,"A grant for additional training materials (balls, nets, cones, bibs) and new kits (shirts, shorts, reading materials) for U6s, U7s, U8s and U9s.","Increasing community involvement, improving access to services and support",04/05/2017,15/05/2017,900,released to the group
DW-17-25,Dringhouses & Woodthorpe,CYC,To reinstate / strengthen the verge at the junction of Nidd Grove and Don Avenue. Currently verge suffers damage due to vehicles driving over.,improving the local environment  ,30/06/2017,27/11/2017,4500,commisioned
DW-17-26A,Dringhouses & Woodthorpe,CYC,Large patching of the road surface atthe junction of Dringthorpe Road with Lycett Road. The ward would like to obtain cost estimate for this potential work.,improving the local environment  ,30/06/2017,15/11/2017,5500,commisioned
DW-17-26B,Dringhouses & Woodthorpe,CYC,Large patching of the road surface at the junction of Lawson Road with Lycett Road.  The ward would like to obtain cost estimate for this potential work.,improving the local environment  ,30/06/2017,15/11/2017,5500,commisioned
DW-17-29,Dringhouses & Woodthorpe,CYC,Ward contribution towards purchase and installation of an accessible roundabout at Woodthorpe Green play area,"improving the local environment, increasing community involvement, improving assess to services and support  ",27/09/2017,19/10/2017,500,released
DW-17-31,Dringhouses & Woodthorpe,CYC,Install light to illuminate the path between Moor Lane and the old Park and Ride car park,improve the local environment ,15/11/2017,15/11/2017,912,commisioned
DW-17-33,Dringhouses & Woodthorpe,CYC,Planting and aftercare of trees at 4 locations suggested by the Council's Arboricultural Manager,Improving the local environment,16/01/2018,30/01/2018,1000,commissioned
DW-17-34,Dringhouses & Woodthorpe,CYC,Painting Woodthorpe Green play area equipment,Improving the local environment,16/01/2018,12/02/2018,1000,commisioned
DW-17-35,Dringhouses & Woodthorpe,Woodward Arborists,"Trees work on Silverdale Court by a contractor incl: crown lifting and crown cleaning of Kansan Cherry trees and the Weeping Willow + re-pollarding down to just above the previous pollard points, removing small side stems from the Birch tree and planting 2 new trees to either side of the dying Cherry tree.",Improving the local environment,16/01/2018,19/02/2018,1600,commissioned
DW-17-36,Dringhouses & Woodthorpe,Gala Signs,Replacement of a broken lock on the ward notice board on Tadcaster Road,Improving the local environment,19/02/2018,20/02/2018,48,commissioned
Dw-17-38,Dringhouses & Woodthorpe,Brunswick Organic Nursery,Supply and  installation of three raised beds. Two raised beds to be installed at the Dringhouses Library courtyard and one outside shops on Moorcroft Road. Beds will be filled  with topsoil/compost/leafmould mix  and looked after local volunteers.,Improving the local environment,13/02/2018,21/02/2018,945,commisioned
DW-17-39,Dringhouses & Woodthorpe,York City Knights Foundation,Young people's activities provision at Moor Lane and on Woodthorpe Green - mobile skatepark and inflatable pitch sessions,"Improving access to services and support, Increasing community involvement",23/02/2018,26/02/2018,2220,commissioned
DW-17-40,Dringhouses & Woodthorpe,CYC,Pot of funding towards refilling and/or relocation of ward funded salt bins,"Improving the local environment, promoting community safety",27/02/2018,02/03/2018,400,ongoing
FH-17-03,Fulford & Heslington,Fulford Scouts ,Funding for extra camping equipment -a 6 man tent and a cast iron 2 burner cooker ,Fostering a sense of community and promote local voluntary groups ,05/07/2017,05/07/2017,500,Ongoing 
FH-17-05,Fulford & Heslington,CYC,Fordlands Crescent ,Enhance and preserve the local environment ,20/04/2017,20/04/2017,1500,with Highways
FH-17-11,Fulford & Heslington ,Fulford Table Tennis Club (sponsor org Fulford Community Sports Club),"Funding to set up a table tennis club, including equipment, sports club affiliation fee and Level 1 award in coaching table tennis",Fostering a sense of community and promote local voluntary groups ,05/07/2017,05/07/2017,1110,Ongoing 
FH-17-12,Fulford & Heslington ,Heslington Sportsfield Management Committee ,Funding to repair the Kompan climbing unit on the Sportsfield,1) Enhance and preserve the local environment 2) Foster a sense of community and support local voluntary groups ,05/07/2017,05/07/2017,222,Ongoing 
FH-17-13,Fulford & Heslington ,Heslington Sportsfield Management Committee ,Funding to repair the damaged wetpour safety surfacing around the playtower unit,1) Enhance and preserve the local environment 2) Foster a sense of community and support local voluntary groups,05/07/2017,05/07/2017,2000,Ongoing
FH-17-14,Fulford & Heslington ,Fulford Show ,Funding to purchase a marquee and two gazebos for Fulford Show,Foster a sense of community and support local voluntary groups,05/07/2017,05/07/2017,260,Ongoing 
FH-17-15,Fulford & Heslington ,York City Knights  ,£1700 contribution towards an inflatable assault course and 6 x 90 min sessions held in F&H ward and £200 towards a Summer Scheme ,Fostering a sense of community and promote local voluntary groups ,20/04/2017,20/07/2017,1700,Funding released to group 
FH-17-19,Fulford & Heslington ,Heslington Village Meeting Room,Grant to Heslington Village Meeting room committee to paint the village meeting room,Foster a sense of community and support local voluntary groups,17/10/2017,19/10/2017,333,PAID
FS-16-09,Fishergate,CYC Highways,Patching and topcoat resurfacing of the section of New Walk from Blue Bridge Lane to Holly Terrace.  Remarking cycle logos at each access point on the side furthest from the steps but no segregated line to encourage more considerate shared use of the space,Promote sustainable transport and increase road safety; Maintain and enhance the quality of the environment ,08/09/2016,09/09/2016,18000,Complete
FS-16-29,Fishergate ,York CVS ,Funding for the Communities Ready for Anything project ,"A welcoming community, working together; Maintain and enhance the quality of the environment ",25/04/2017,25/04/2017,2700,Funding released 
FS-16-29b,Fishergate ,York CVS ,Additional funding for the Communities Ready for Anything project ,"A welcoming community, working together; Maintain and enhance the quality of the environment ",04/07/2017,08/09/2017,800,Funding released to group 
FS-17-02,Fishergate ,OCAY ,Funding for a joint project with Broadway Area Neighbours and Friends (BANF) to offer outreach advocacy work in 'hub's around the ward ,"A welcoming community, working together  ",25/04/2017,25/04/2017,2700,Funding released 
FS-17-03,Fishergate ,"Fishergate, Fulford and Heslington Local History Society",Funding to purchase a 3 panel set of free standing display boards ,"A welcoming community, working together  ",25/04/2017,25/04/2017,345,Funding released
FS-17-04,Fishergate ,Millennium Fair Committee ,Funding to support the running of the fair on 2nd July ,"A welcoming community, working together; Maintain and enhance the quality of the environment ",15/05/2017,22/05/2017,1400,Funding released 
FS-17-08,Fishergate ,The Arts Barge Project, Funding towards the barge conversion and the mooring,"A welcoming community, working together  ",28/07/2017,09/08/2017,2000,Funding released to group
FS-17-12,Fishergate ,CYC Highways ,"Renew the red surfacing at the pedestrian crossing point on Cemetery Road, next to the Conservative Club ",Highways fund ,04/10/2017,05/10/2017,1000,Work commissioned
FS-17-14,Fishergate ,,Printing of 500 New Walk Riverside Path consultation leaflets ,"A welcoming community, working together, Promote sustainable transport and increase road safety, Maintain and enhance the quality of the environment ",16/11/2017,16/11/2017,41.25,Complete
FS-17-15,Fishergate,CYC,Provision of a new salt bin + 1 refill near to the Edible York Barbican beds on Paragon Street ,"Promote sustainable transport and increase road safety, Maintain and enhance the quality of the environment ",08/01/2018,10/01/2018,405,Complete
FS-17-16,Fishergate ,Friends of Danesmead Wood ,Funding for insurance to cover equipment and working in the wood,Maintain and enhance the quality of the environment ,19/01/2018,22/02/2018,145,Funding released to group
FS-17-17,Fishergate ,CYC ,"Funding for 6 replacement trees at various locations in the ward, as identified by Harvey Lowson ",Maintain and enhance the quality of the environment ,12/01/2018,15/01/2018,1500,Complete
FS-17-18,Fishergate,Melbourne Centre CIC,Establish an accessible disco and social evening once a month on a Saturday night for young people who find it difficult to access regular options ,"A welcoming community, working together  ",09/03/2018,08/03/2018,700,Funding released to  group 
FS-17-19,Fishergate ,Melbourne Centre CIC,"Establish a new Green Woodwork venue for education purposes of all ages and levels, situated in the wooded area behind Danesgate School. Four sessions to be funded to build interest","A welcoming community, working together; Maintain and enhance the quality of the environment ",09/03/2018,08/03/2018,660,Funding released to  group 
FS-17-20,Fishergate ,Melbourne Centre CIC,"Improve resources for community use at the Melbourne Centre, specifically developing and using musical equipment for learning and wellbeing activity ","A welcoming community, working together  ",09/03/2018,08/03/2018,400,Funding released to  group 
FS-17-21,Fishergate,Friends of Danesmead Wood ,Purchase of additional equipment and a bench ,Maintain and enhance the quality of the environment ,09/03/2018,08/03/2018,1011.44,Funding released to  group 
GU-17-01,Guildhall,Explore York Library and Archive,Improve the outside area known as Library lawn which attracts anti-social behaviour. The intention is to create a garden area using the sarcophagi as agreed with the City Archaeologist. They will also supplement with 2 raised beds which will be used to grow salads & vegetables supported by Edible York.,By bringing this space into use and involving the local community anti-social behaviour will be greatly reduced. This space will add to the green public spaces within the Guildhall ward. It will provide an additional space for activities for children and families and will be a safe and welcoming space for all to enjoy.,10/05/2017,10/05/2017,400,released to the group
GU-17-02,Guildhall,Door 84,"The toilets are in much need to be refurbished to become more accessible, fit for purpose, increase how welcoming the space feels and comply with adapted health and safety requirements. To create a toilet area which has separate male, female and disabled access and changing facilities for children, young people and adults who need assistance with toileting and getting changed. ","‘People embrace diversity in their communities’ 
This will embrace not only the diversity in the community of Door 84 yet Guildhall as a whole for all of the residents who use the space or intend to in the future. 
",10/05/2017,10/05/2017,5000,Released to the group
GU-17-03,Guildhall,The Arts Barge Project,To build the barge conversion and for mooring. This will allow for all future events to take place. The Arts Barge is a community focused floating arts venue with full disabled access.,"There will be less anti-social behaviour due to many free of charge, accessible activities. Parks and green spaces will be better maintained as Tower Gardens will have volunteers and groups working here. Also, fewer people will suffer from loneliness and will embrace diversity due to the activities on offer. ",14/06/2017,14/06/2017,3000,Released to the group
GU-17-04 ,Guildhall,York BID,"Taxi Rank Marshals 

A taxi marshal trial programme,  where two marshals will be stationed at the Duncombe Place taxi rank on Friday and Saturday evenings, 10pm-4am. They will be tasked with managing the queue, reporting anti-social activity and delivering an efficient and orderly speed of service. The trial will address concerns from businesses, residents and tourists regarding the late night anti-social behaviour at the rank’s location.  


",there is less anti-social behaviour,12/07/2017,12/07/2017,2000,released to the group
GU-17-07,Guildhall,KYRA,"Kyra Women’s Project - Install WIFI/payment of first year bills 
Install wi fi and a telephone line to a new office space and help with payment of first years bills 


The space will ensure that we can continue to provide the provision and give room to ensure security and confidentiality of paperwork. The room is situated on the other side of the building to which we are based and we require to install wi fi and a telephone line.
",people embrace diversity in their communities,12/07/2017,12/07/2017,2103,released to the group
