Period: Nov 2014,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Area Categorisation,Service Division Categorisation,Responsible Unit,Expenses Types,Detailed Expenses Type,Expense Code,Narrative,Payment Date,Transaction Number,Order ID,Amount,Capital/Revenue,Supplier Name,Supplier ID,Customer ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,256.43,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,804.60,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,"-1,417.10",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,"1,323.12",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405921,0,213.75,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405921,0,91.80,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405921,0,"1,233.72",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Management Team,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,25/11/2014,10407944,10060943,855.00,R,Blue Turtle Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,11/11/2014,10402686,0,"1,593.59",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,"1,593.59",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Travelling Expenses,,11/11/2014,10394007,10058924,72.07,R,Redfern Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resources & Performance,,Social Care and Health,Premises,Energy Costs,Gas.,,21/11/2014,10407333,0,-10.51,R,Corona Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Premises,Rents,Rents/Hire Of Premises.,,18/11/2014,10405926,0,33.00,R,Bridges Community Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Premises,Rents,Rents/Hire Of Premises.,,21/11/2014,10407703,10059937,8.75,R,Torfaen County Borough Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Premises,Rents,Rents/Hire Of Premises.,,28/11/2014,10408955,10060212,8.75,R,Torfaen County Borough Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Equipment Purchases,,11/11/2014,10404625,0,15.98,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Equipment Purchases,,28/11/2014,10408639,0,32.78,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resources & Performance,Systems,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Equipment Purchases,,11/11/2014,10404625,0,421.04,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Rental / Hire,,21/11/2014,10407150,0,37.50,R,Torfaen County Borough Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Repairs & Maintenance.,,25/11/2014,10408331,10060971,199.00,R,Rotowash Uk Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,28/11/2014,10408639,0,7.98,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,28/11/2014,10407128,0,41.64,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Day Centres,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Materials & Consumables.,,28/11/2014,10408626,0,5.64,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,25/11/2014,10408328,10055701,205.86,R,Douglas Willis Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,11/11/2014,10405225,10055700,84.65,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,18/11/2014,10406818,10055701,27.31,R,Douglas Willis Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,18/11/2014,10406819,10055713,285.46,R,Michael I Holdsworth Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,14/11/2014,10406419,10055713,441.83,R,Michael I Holdsworth Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,04/11/2014,10403882,10060419,111.88,R,Peters Food Service LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,04/11/2014,10403883,10060419,56.94,R,Peters Food Service LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,14/11/2014,10405754,10055911,99.20,R,3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,18/11/2014,10405972,0,-29.37,R,3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,25/11/2014,10403745,0,61.10,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,25/11/2014,10407973,10055855,148.58,R,Douglas Willis Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,04/11/2014,10403897,10055864,9.90,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Provisions.,,04/11/2014,10403898,10055864,31.30,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Cleaning Materials.,,18/11/2014,10406012,0,106.00,R,Arjo Huntleigh Uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,"Equipment, Furniture and Materials",Bar,,07/11/2014,10404786,10060687,108.06,R,Oranka Juice Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Supplies & Services,"Printing, Stationery and General Office Expenses",Book Purchases,,18/11/2014,10406656,10059071,230.31,R,Waterstones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Supplies & Services,Services,Professional And Specialist Fees,,25/11/2014,10406980,0,"1,652.00",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Supplies & Services,Services,Professional And Specialist Fees,,11/11/2014,10405137,0,467.65,R,The Maltings Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,Communications and Computing,Postages,,14/11/2014,10405900,0,4.96,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Supplies & Services,Services,Training Charges,,25/11/2014,10406863,0,"2,660.51",R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,Services,Training Charges,,18/11/2014,10406513,0,85.80,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Supplies & Services,Services,Training Charges,,04/11/2014,10403825,10060466,93.20,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care Residential,Social Care and Health,Supplies & Services,Services,Assistance To Clients,,04/11/2014,10403106,0,3.00,R,Imprest Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Supplies & Services,Services,Playgroup Fees,,14/11/2014,10404634,0,280.00,R,Little Chums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Other,Social Care and Health,Supplies & Services,Services,Supported Housing Costs,,04/11/2014,10403275,0,437.14,R,The Leaving Care Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioning,Supporting People,Social Care and Health,Third Party Payments,Third Party,Third party payments NOT relating to goods or services,,14/11/2014,10404516,10056105,"55,279.75",R,Reach (Supported Living),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioning,Supporting People,Social Care and Health,Third Party Payments,Third Party,Third party payments NOT relating to goods or services,,14/11/2014,10404513,10055976,"8,893.11",R,SOLAS Cymru Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Learning Disability Team,Social Care and Health,Third Party Payments,Third Party,Conveyance Of Clients,,28/11/2014,10409121,0,"1,718.25",R,Riverwood Housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Other Non Residential Care.,,14/11/2014,10406156,0,"3,197.30",R,Aneurin Bevan Local Health Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Night Sitting Service.,,14/11/2014,10406361,0,285.06,R,Shaw Healthcare (Community Services) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Night Sitting Service.,,04/11/2014,10404177,0,"2,020.32",R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Night Sitting Service.,,14/11/2014,10406133,0,102.00,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,58.16,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,58.16,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-117.24,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Services,Direct Care,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,307359,0,126.43,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,445.12,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,637.20,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,"1,659.20",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,502.24,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408215,0,692.22,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408046,0,960.14,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408053,0,126.50,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408483,0,468.12,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408486,0,795.01,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408350,0,136.95,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,10408352,0,229.08,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405586,0,85.50,R,Shaw Healthcare (Community Services) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406121,0,999.60,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406200,0,323.28,R,Heathdene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406108,0,744.60,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406124,0,770.10,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,18/11/2014,10406910,0,"1,805.78",R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,04/11/2014,10404172,0,281.31,R,Allied Healthcare Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,04/11/2014,307337,0,2.25,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,04/11/2014,307337,0,32.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,04/11/2014,307337,0,32.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,25/11/2014,307408,0,516.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,267.72,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,567.36,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,198.48,R,First Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,07/11/2014,307350,0,"1,876.44",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,567.36,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,"3,510.96",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307394,0,806.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405589,0,979.69,R,Shaw Healthcare (Community Services) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405535,0,62.16,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405642,0,580.16,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405542,0,140.51,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,11/11/2014,10405543,0,303.26,R,Radis Community Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406122,0,218.40,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406123,0,183.60,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406093,0,52.00,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,18/11/2014,10406906,0,161.92,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,18/11/2014,10406287,0,48.07,R,Q Care Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,14/11/2014,10406140,0,187.20,R,Sevacare (Cymru) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,21/11/2014,10407348,0,"2,962.56",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,"-1,501.80",R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,307392,0,-254.00,R,REDACTED PERSONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,10408939,0,217.56,R,Autumn Leaves Homecare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care,Community Care Team,Social Care and Health,Third Party Payments,Third Party,Personal Care.,,28/11/2014,10408914,0,644.91,R,Autumn Leaves Homecare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
