A separate key is published alongside the data to expand on column headings A1 through to G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOBS,KEY,SURVEY,SECTOR,LAW,COUNTRY,SIZE,A1,A2,A3,A4,A6,A8_1,A8_2,A8_3,A8_4,A8_5,A8_6,A8_7,B1,B1A,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8A,B2A,B3,B4,B3B4,C1_1,C1_2,C1_3,C1_4A,C1_5,C1_6,C1_7,C1_8,C1_9,C1_10,C1_11,D1,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D2_12,D2A,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D5_9,D3,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E2,E3,F1,F1A_1,F1A_2,F1A_3,F1A_4,F1A_5,F1A_6,F1A_7,F1A_8,F1A_9,F1A_10,F1B,G1_1,G1_2,G1_3,G1_4,G1_5,G1_6,G1_LAW,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G2_7,G2_8,G4,WEIGHT
160,b000013,NAO SURVEY,Agriculture,Planning,England,Micro (1-9 employees),1 to 4,More than 20 years,Stay the same,Stay the same,Complying with regulation,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,No time at all,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Don't know,Agree,Agree,Tend to disagree,Yes, ,Yes,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Don't know,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,None of these,Not, , , , , , , , , , , ,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Become slightly more time consuming,Increase a little,No, , , , , , , , , , ,No,Not,Consumer Protection,Fire Safety,Health and Safety,Not,Not,Consumer Protection,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,0.754602401
363,b000040,NAO SURVEY,Agriculture,Company,England,Micro (1-9 employees),1 to 4,More than 20 years,Stay the same,Stay the same,Other,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,None / Do not employ any staff,1-2 days,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neither agree nor disagree,Yes, ,Yes,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Very informed,Not,Not,Government departments' websites,Direct contact with Government departments,Not,External insurance company,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,17 - 24,Not,Not,Not,Not,Not,Not,To get the most specialist/up-to-date advice,Not,Not, ,Less time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Decrease a little,No, , , , , , , , , , ,Yes,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.754602401
494,b000081,NAO SURVEY,Agriculture,Planning,England,Micro (1-9 employees),None,More than 20 years,Stay the same,Stay the same,Access to finance,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,None / Do not employ any staff,1-2 days,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Tend to agree,Yes, ,Yes,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Very informed,Not,Not,Not,Not,External accountant,Not,External lawyer,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Not,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,Stayed the same,Stayed the same,Less time consuming,Stayed the same,Stayed the same,Less time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Become slightly less time consuming,Decrease a little,Yes,Not,Not,Not,Not,Not,Not,Local Council,Not,Not,Not,No,Not,Not,Fire Safety,Health and Safety,Not,Not,Health and Safety,Very Satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Yes,0.754602401
435,b000165,NAO SURVEY,Agriculture,Health and Safety,England,Micro (1-9 employees),None,1 - 3 years,Stay the same,Take on staff,Attracting and retaining customers,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,None / Do not employ any staff,Less than half a day,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Tend to disagree,Yes, ,Yes,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Not very informed,Not,The Businesslink website,Not,Not,Not,External insurance company,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,Other,Not,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Not,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,Yes,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.754602401
1531,b000209,NAO SURVEY,Agriculture,Health and Safety,England,Micro (1-9 employees),None,Less than a year,Stay the same,Take on staff,Attracting and retaining customers,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,None / Do not employ any staff,Less than half a day,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Tend to agree,No,too much regulation,Too much regulation,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Fairly informed,Not,Not,Government departments' websites,Not,External accountant,External insurance company,Not,Not,Not,Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Not,Not,Want independent advice,Not,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.754602401
423,b000234,NAO SURVEY,Agriculture,Company,England,Micro (1-9 employees),5 to 9,4 - 5 years,Stay the same,Stay the same,Staff redundancies,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,1-2 days,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Yes, ,Yes,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Fairly informed,Not,Not,Government departments' websites,Direct contact with Government departments,External accountant,Not,External lawyer,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Not,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Don't know,No, , , , , , , , , , ,Don't know,Not,Not,Fire Safety,Health and Safety,Not,Not,Health and Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,0.754602401
316,b000309,NAO SURVEY,Agriculture,Planning,England,Micro (1-9 employees),None,More than 20 years,Stay the same,Stay the same,Complying with regulation,Agree,Agree,Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,1-2 days,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither agree nor disagree,Yes, ,Yes,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Fairly informed,Local Council Inspectors,The Businesslink website,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,External lawyer,External specialist consultant,Not,Not,Not,Not,1 to 4,Not,Not,Not,Not,Want independent advice,Not,Not,Not,Not,Fairly straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,Yes,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.754602401
397,b000310,NAO SURVEY,Agriculture,Planning,England,Micro (1-9 employees),None,6 - 20 years,Stay the same,Stay the same,Attracting and retaining customers,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,None / Do not employ any staff,1-2 days,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Tend to agree,No,too much regulation,Too much regulation,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Not very informed,Local Council Inspectors,Not,Not,Not,Not,Not,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not, , , , , , , , , , ,Fairly straightforward,Stayed the same,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Become slightly more time consuming,Increase a little,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.754602401
488,b000321,NAO SURVEY,Agriculture,Health and Safety,Wales,Micro (1-9 employees),None,More than 20 years,Stay the same,Stay the same,Complying with regulation,Agree,Agree,Agree,Agree,N/A,N/A,Agree,None / Do not employ any staff,Half a day to a day,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Tend to disagree,Yes, ,Yes,Agree,Disagree,Agree,Agree,Disagree,N/A,Disagree,Agree,N/A,Disagree,Disagree,Fairly informed,Local Council Inspectors,Not,Not,Not,External accountant,External insurance company,Not,Not,Not,Not,Not,Not,1 to 4,Not,Not,Not,Not,Not,Worried about penalties for non compliance,Not,Not,Not,Very straightforward,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Stayed the same,Less time consuming,N/A,N/A,Less time consuming,Less time consuming,Stayed the same,Stay the same,No, , , , , , , , , , ,Yes,Not,Not,Not,Health and Safety,Not,Not,Health and Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,0.754602401
6283,b000397,NAO SURVEY,Agriculture,Health and Safety,England,Micro (1-9 employees),1 to 4,6 - 20 years,Take on staff,Take on staff,Attracting and retaining customers,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,N/A,Strongly Disagree,None / Do not employ any staff,Less than half a day,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,No,too much regulation,Too much regulation,Neither Agree nor Disagree,Strongly Agree,Agree,N/A,Strongly Agree,Neither Agree nor Disagree,N/A,N/A,Agree,Strongly Agree,N/A,Fairly informed,Not,The Businesslink website,Government departments' websites,Not,Not,External insurance company,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Not,Need for assurance,Want independent advice,Not,Not,Not,Not, ,Stayed the same,Stayed the same,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,N/A,More time consuming,More time consuming,Stayed the same,Stayed the same,Increase a little,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.754602401
6296,b000405,NAO SURVEY,Agriculture,Employment,Scotland,Micro (1-9 employees),None,1 - 3 years,Stay the same,Take on staff,Complying with regulation,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,None / Do not employ any staff,Half a day to a day,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Tend to agree,No,too much regulation,Too much regulation,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Not very informed,Not,The Businesslink website,Not,Not,Not,Not,Not,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,Stayed the same,Less time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Decrease a little,No, , , , , , , , , , ,No, , , , , , , , , , , , , , , , ,0.754602401
355,b000433,NAO SURVEY,Agriculture,Health and Safety,England,Micro (1-9 employees),1 to 4,6 - 20 years,Stay the same,Stay the same,Attracting and retaining customers,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,None / Do not employ any staff,Less than half a day,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither agree nor disagree,Yes, ,Yes,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Not very informed,Not,The Businesslink website,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not, , , , , , , , , , , ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,Don't know,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.754602401
