Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,404227,"28,227.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,404231,"32,453.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,03/05/2013,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,922993,"-196,518.68"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050889558,"14,750.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050889558,"14,500.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050889558,"11,750.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050889558,"2,950.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050889558,"2,900.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050889558,"2,350.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/05/2013,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,821684,"57,154.53"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,03/05/2013,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014002671,"51,362.31"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,03/05/2013,OBLIGATIONS UNDER FINANCE LEASES AND HIRE PURCHASE CONTRACTS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014002671,"51,362.31"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,03/05/2013,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014002671,"-51,362.31"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/05/2013,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014005794,"67,277.39"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014010177,"62,117.98"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,24/05/2013,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014014300,"68,154.33"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014018392,"81,135.07"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014022385,"61,243.98"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1014026431,"78,894.58"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,10/05/2013,X-RAY EQUIPMENT : PURCHASES,RADIOLOGY,SIEMENS PLC,1020566028,"98,793.84"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,10494,"26,479.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,10494,"5,295.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,10494,"-5,295.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,10494,"-26,479.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,10494,"-26,479.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,8846,"26,479.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,8846,"26,479.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,8846,"5,295.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,8846,"-5,295.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,COMPUTER SOFTWARE / LICENSE  FEES,PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,8846,"-26,479.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,03/05/2013,SPEC REGISTRAR,GEN SURGERY MEDICAL STAFF,UNIVERSITY OF LEEDS,90176971,"27,844.04"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381240,"119,824.10"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381240,"36,562.64"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381240,"24,616.43"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381240,"23,964.82"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381240,-0.01
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381254,"20,012.92"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381254,"6,106.66"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381254,"4,111.42"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381254,"4,002.58"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381254,0.01
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381256,"314,660.16"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381256,"96,014.13"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381256,"64,643.18"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381256,"62,932.03"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,WILLMOTT DIXON CONSTRUCTION,K0068/381256,-0.01
