PRACTICE_NAME,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,POST_CODE,PHONE_NUMBER,Eastings,Northings
CARITAS GROUP PRACTICE,MIXENDEN STONES SURGERY,"MIXENDEN RD, MIXENDEN",HALIFAX,WEST YORKSHIRE,HX2 8RQ,01422 249788,406270,428507
LONGROYDE SURGERY,LONGROYDE SURGERY,38 CASTLE AVENUE,"RASTRICK,BRIGHOUSE",WEST YORKSHIRE,HD6 3HT,01484 721102,413916,421976
NURSERY LANE MEDICAL CENTRE,NURSERY LANE MEDICAL CTR,NURSERY LANE,OVENDEN,HALIFAX,HX3 5TE,01422 355535,407860,427273
CARE UK CLINICAL SERVICES,HORNE STREET HEALTH CTR,HANSON LANE,HALIFAX,,HX1 5UA,01422 399858,408562,425481
MEADOW DALE GROUP PRACTICE,120 NURSERY LANE,OVENDEN,HALIFAX,WEST YORKSHIRE,HX3 5SX,01422 386510,407606,427117
MEADOW DALE GROUP PRACTICE,GROUND FLOOR ROSEMOUNT HOUSE,ROSEMOUNT ESTATE,HUDDERSFIELD ROAD,ELLAND,HX5 0EE,01422 315440,411303,420533
CARITAS GROUP PRACTICE,BOOTHTOWN MEDICAL CENTRE,WOODSIDE ROAD,HALIFAX,,HX3 6EL,0844 4773630,408876,425987
CARITAS GROUP PRACTICE,SHELF HEALTH CENTRE,SHELF MOOR ROAD,"SHELF, HALIFAX",WEST YORKSHIRE,HX3 7PQ,01274 691159,412486,428882
NORTHOWRAM SURGERY,NORTHOWRAM GREEN,NORTHOWRAM,HALIFAX,,HX3 7JE,01422 206101,411232,427230
Meadow Dale GRoup Practice,"Ground Floor, Allan House",,Sowerby Bridge,Halifax,HX6 3AD,01422 834463,406072,423379
TODMORDEN GROUP PRACTICE,TODMORDEN HEALTH CENTRE,LOWER GEORGE STREET,TODMORDEN,,OL145RN,01706 811100,394015,424141
CALDER COMMUNITY PRACTICE,C/O TODMORDEN HEALTH CTRE,LOWER GEORGE STREET,TODMORDEN,,OL145RN,01706 817121,394015,424141
