Unique Reference Number,Transaction Date,Merchant Category Code Description,Location,Merchant Category Group Description,Amount,Supplier
FCOGPC2015110026,02/11/2015,"GROCERY STORES, SUPERMARKETS",MWI,General Retail and Wholesale,899.42,CHIPIKU STORES
FCOGPC2015110030,02/11/2015,"GROCERY STORES, SUPERMARKETS",ESP,General Retail and Wholesale,944.57,LA GRAN DESPENSA
FCOGPC2015110010,02/11/2015,HARDWARE EQUIPMENT AND SUPPLIES,IND,Miscellaneous Industrial/Commercial Supplies,512.31,MRA ENTERPRISES
FCOGPC2015110049,02/11/2015,HOSPITALS,FRA,Medical Supplies and Services,"3,232.61",INSTITUT HOSPITA
FCOGPC2015110011,02/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,518.4,ACCOMODATION PROVIDER
FCOGPC2015110012,02/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,518.4,ACCOMODATION PROVIDER
FCOGPC2015110014,02/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,534.25,ACCOMODATION PROVIDER
FCOGPC2015110019,02/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,684,ACCOMODATION PROVIDER
FCOGPC2015110020,02/11/2015,HOTELS/MOTELS/RESORTS ,DOM,Hotels,691.25,ACCOMODATION PROVIDER
FCOGPC2015110023,02/11/2015,HOTELS/MOTELS/RESORTS ,JAM,Hotels,769.56,ACCOMODATION PROVIDER
FCOGPC2015110050,02/11/2015,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"5,000",ACCOMODATION PROVIDER
FCOGPC2015110041,02/11/2015,LIMOUSINES AND TAXICABS,FRA,Travel - Air/Rail/Road,"1,215.52",GIVERNY CONSULT
FCOGPC2015110016,02/11/2015,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",JPN,Catering and Catering Supplies,578.88,WINESHOP NISHIMURA CO.
FCOGPC2015110029,02/11/2015,MISCELLANEOUS AND SPECIALTY RETAIL STORES,LKA,General Retail and Wholesale,942.77,SWEDISH TRADING AUDIO
FCOGPC2015110013,02/11/2015,MISCELLANEOUS PUBLISHING AND PRINTING,USA,Print and advertising,527.37,FLM GRAPHICS CORP
FCOGPC2015110021,02/11/2015,MISCELLANEOUS PUBLISHING AND PRINTING,USA,Print and advertising,692.38,SHARP PRINTING
FCOGPC2015110007,02/11/2015,MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES,SRB,Miscellaneous Industrial/Commercial Supplies,501.1,POMEC DOO BEOGRAD
FCOGPC2015110025,02/11/2015,MOTION PICTURE THEATERS,PAN,Leisure Activities,840.13,CINEPOLIS SOHO TAQUILL
FCOGPC2015110031,02/11/2015,MOTION PICTURE THEATERS,PAN,Leisure Activities,948.76,CINEPOLIS SOHO TAQUILL
FCOGPC2015110045,02/11/2015,MOTION PICTURE THEATERS,PAN,Leisure Activities,"1,412.59",CINEPOLIS SOHO TAQUILL
FCOGPC2015110039,02/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,"1,155.60",CIVIL SERVICE LEARNING
FCOGPC2015110040,02/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,POL,Professional Services,"1,160.86",MIX OFFICE
FCOGPC2015110027,02/11/2015,"SANITATION, POLISHING & SPECIALITY CLEANING PREP",JAM,Cleaning Services and Supplies,936.68,C & R ENTERPRISE
FCOGPC2015110043,02/11/2015,STAMP & COIN STORES-PHILATELIC & NUMISMATIC SUPPLY,NZL,General Retail and Wholesale,"1,344.67",PITCAIRN ISLAND ADMIN
FCOGPC2015110022,02/11/2015,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,TUR,Telecommunication Services,727.61,HAKAN ILETISIM
FCOGPC2015110038,02/11/2015,"TRANSPRTN-SUBRBN & LOCAL COMTR PSNGR, INCL FERRIES",AUT,Travel - Air/Rail/Road,"1,125.79",WIENER LINIEN
FCOGPC2015110042,02/11/2015,TRAVEL AGENCIES,HKG,Travel Agencies,"1,253.68",HI LEE (HK) TRANS. C L
FCOGPC2015110044,02/11/2015,TRAVEL AGENCIES,IDN,Travel Agencies,"1,401.11",BAYU BUANA TOUR & TRAV
FCOGPC2015110048,02/11/2015,TRAVEL AGENCIES,HKG,Travel Agencies,"2,542.01",HI LEE (HK) TRANS. C L
FCOGPC2015110109,03/11/2015,ADVERTISING SERVICES,ZAF,Print and advertising,"1,497.05",WHO OWNS WHOM
FCOGPC2015110110,03/11/2015,ADVERTISING SERVICES,ZAF,Print and advertising,"1,497.05",WHO OWNS WHOM
FCOGPC2015110055,03/11/2015,"ASSOCIATIONS-CIVIC, SOCIAL, AND FRATERNAL",USA,Leisure Activities,566.76,BRITISH AMERICAN BUSIN
FCOGPC2015110077,03/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",GTM,"Vehicles, servicing and spares",817.01,COFI#O STAHL Y COMP TA
FCOGPC2015110078,03/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",USA,"Vehicles, servicing and spares",829.28,HENNESSY CADILLAC JAGU
FCOGPC2015110069,03/11/2015,AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED,TUN,Auto rental,742.47,AVIS AFRIC AUTO
FCOGPC2015110081,03/11/2015,"AUTOMOTIVE PARTS, ACCESSORIES STORES",CAN,"Vehicles, servicing and spares",858.68,THUNDER GRAPHICS
FCOGPC2015110112,03/11/2015,AUTOMOTIVE SERVICE SHOPS,GBR,"Vehicles, servicing and spares","1,508",GUAVA INTNL
FCOGPC2015110067,03/11/2015,BOOK STORES,LBN,Books and Periodicals,727.15,MALIK'S BOOKSHOP(VERDU
FCOGPC2015110090,03/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,VNM,Miscellaneous Industrial/Commercial Supplies,"1,132.59",NGAN THONG EVENT
FCOGPC2015110051,03/11/2015,CATERERS,ZAF,Catering and Catering Supplies,510.15,APPETITE ON VAAL
FCOGPC2015110068,03/11/2015,CATERERS,ZAF,Catering and Catering Supplies,740.32,APPETITE ON VAAL
FCOGPC2015110099,03/11/2015,CATERERS,GBR,Catering and Catering Supplies,"1,321.20",ALISON PRICE AND COMPA
FCOGPC2015110076,03/11/2015,COMPUTER SOFTWARE STORES,SGP,Computer Equipment & Services,812.64,NINE INK LLP
FCOGPC2015110114,03/11/2015,COMPUTER SOFTWARE STORES,GBR,Computer Equipment & Services,"8,766.49",PCWB TELESALES
FCOGPC2015110082,03/11/2015,DEPARTMENT STORES,QAT,General Retail and Wholesale,866.53,IKEA
FCOGPC2015110095,03/11/2015,DIRECT MARKETING-CATALOG MERCHANTS,GBR,Mail Order / Direct Selling,"1,198.80",HEMSLEY FRASER GROUP L
FCOGPC2015110054,03/11/2015,"DOCTORS, (NOT ELSEWHERE CLASSIFIED)",BRB,Medical Supplies and Services,556.21,BROWN MEDICAL SERVICES
FCOGPC2015110080,03/11/2015,"DRUGS, DRUP PROPRIETARIES, AND DRUGGIST'S SUPPLIES",MEX,Medical Supplies and Services,858.39,CR SERVICIOS HOSPITALA
FCOGPC2015110105,03/11/2015,"DURABLE GOODS, NOT ELSEWHERE CLASSIFIED",GBR,Miscellaneous Industrial/Commercial Supplies,"1,462.50",TETRA SCENE OF CRI
FCOGPC2015110058,03/11/2015,"EATING PLACES, RESTAURANTS",BRA,Restuarants and Bars,594.76,SANTINHO RESTAURANTE
FCOGPC2015110071,03/11/2015,"EATING PLACES, RESTAURANTS",MEX,Restuarants and Bars,794.06,CAPULETO HIGHPARK
FCOGPC2015110097,03/11/2015,"EATING PLACES, RESTAURANTS",AZE,Restuarants and Bars,"1,266.71",SHAM CAFE
FCOGPC2015110102,03/11/2015,ELECTRICAL PARTS AND EQUIPMENT,TUN,Building Materials,"1,359.42",ELECTRO RAOUF CHAABOUN
FCOGPC2015110062,03/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",GRC,General Retail and Wholesale,661.74,IKEA KIFISOU
FCOGPC2015110070,03/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",QAT,General Retail and Wholesale,754.89,FLORANZA INT.NURSERY
FCOGPC2015110065,03/11/2015,"GROCERY STORES, SUPERMARKETS",USA,General Retail and Wholesale,669.68,FOOD BAZAAR
FCOGPC2015110084,03/11/2015,"GROCERY STORES, SUPERMARKETS",LBN,General Retail and Wholesale,907.7,SPINNEYS HAZMIEH
FCOGPC2015110088,03/11/2015,HARDWARE STORES,COL,General Retail and Wholesale,"1,120.30",ELECTRO ILUMINACIONES
FCOGPC2015110063,03/11/2015,"HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS",BLZ,Building Services,664.04,IR LIMITED
FCOGPC2015110086,03/11/2015,"HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS",ZAF,Building Services,"1,067.58",GHIZA PLUMBING SERVI
FCOGPC2015110104,03/11/2015,"HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS",ZAF,Building Services,"1,455.79",GHIZA PLUMBING SERVI
FCOGPC2015110052,03/11/2015,HOTELS/MOTELS/RESORTS ,BRA,Hotels,531.21,ACCOMODATION PROVIDER
FCOGPC2015110053,03/11/2015,HOTELS/MOTELS/RESORTS ,JAM,Hotels,544.4,ACCOMODATION PROVIDER
FCOGPC2015110087,03/11/2015,HOTELS/MOTELS/RESORTS ,EGY,Hotels,"1,106.54",ACCOMODATION PROVIDER
FCOGPC2015110091,03/11/2015,HOTELS/MOTELS/RESORTS ,AZE,Hotels,"1,153.75",ACCOMODATION PROVIDER
FCOGPC2015110103,03/11/2015,HOTELS/MOTELS/RESORTS ,ZWE,Hotels,"1,360.26",ACCOMODATION PROVIDER
FCOGPC2015110106,03/11/2015,HOTELS/MOTELS/RESORTS ,EGY,Hotels,"1,494.64",ACCOMODATION PROVIDER
FCOGPC2015110107,03/11/2015,HOTELS/MOTELS/RESORTS ,EGY,Hotels,"1,494.64",ACCOMODATION PROVIDER
FCOGPC2015110108,03/11/2015,HOTELS/MOTELS/RESORTS ,EGY,Hotels,"1,494.64",ACCOMODATION PROVIDER
FCOGPC2015110056,03/11/2015,HOTELS/MOTELS/RESORTS  ,IND,Hotels,588.72,ACCOMODATION PROVIDER
FCOGPC2015110057,03/11/2015,HOTELS/MOTELS/RESORTS  ,IND,Hotels,588.72,ACCOMODATION PROVIDER
FCOGPC2015110089,03/11/2015,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GBR,General Retail and Wholesale,"1,129.92",S & P EQUIPMENT
FCOGPC2015110072,03/11/2015,MISCELLANEOUS GENERAL MERCHANDISE,SAU,General Retail and Wholesale,800.11,BIN TALEB FOR TRD
FCOGPC2015110079,03/11/2015,MISCELLANEOUS GENERAL MERCHANDISE,NGA,General Retail and Wholesale,836.4,C OFOR TRADING COMPANY
FCOGPC2015110074,03/11/2015,MOTION PICTURE THEATERS,BLR,Leisure Activities,802.57,"FILIAL ""DOM KINO"""
FCOGPC2015110075,03/11/2015,MOTION PICTURE THEATERS,BLR,Leisure Activities,809.43,"FILIAL ""DOM KINO"""
FCOGPC2015110059,03/11/2015,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",AZE,"Office Stationery, equipment and supplies",606.14,ANTARIS
FCOGPC2015110092,03/11/2015,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",GRC,"Office Stationery, equipment and supplies","1,157.10",DOCUSYS SA
FCOGPC2015110096,03/11/2015,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",TUR,"Office Stationery, equipment and supplies","1,251.75",TAKSIM BURO KIRTASIYE
FCOGPC2015110083,03/11/2015,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",USA,Clubs/Associations/Organisations,900.14,SPUR
FCOGPC2015110093,03/11/2015,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),MDA,Professional Services,"1,169.80","""GUTU DM COM"""
FCOGPC2015110094,03/11/2015,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),MDA,Professional Services,"1,173.99","""GUTU DM COM"""
FCOGPC2015110111,03/11/2015,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),MDA,Professional Services,"1,504.04","""GUTU DM COM"""
FCOGPC2015110060,03/11/2015,"PACKAGE STORES, BEER, WINE, LIQUOR",PHL,General Retail and Wholesale,641.1,FORTH AND TAY INC EVT
FCOGPC2015110061,03/11/2015,"PACKAGE STORES, BEER, WINE, LIQUOR",PHL,General Retail and Wholesale,641.1,FORTH AND TAY INC EVT
FCOGPC2015110064,03/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,USA,Professional Services,666.78,IN DAZTECH PROMOTIONS
FCOGPC2015110098,03/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,"1,272",CIVIL SERVICE LEARNING
FCOGPC2015110066,03/11/2015,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",GBR,Leisure Activities,675,TICKETS 
FCOGPC2015110073,03/11/2015,TRAVEL,PHL,Airline,800.66,AIRLINE
FCOGPC2015110085,03/11/2015,TRAVEL,PHL,Airline,"1,004.89",AIRLINE
FCOGPC2015110100,03/11/2015,TRAVEL AGENCIES,ARM,Travel Agencies,"1,327.70",LEVON TRAVEL
FCOGPC2015110101,03/11/2015,TRAVEL AGENCIES,ARM,Travel Agencies,"1,327.70",LEVON TRAVEL
FCOGPC2015110113,03/11/2015,TRAVEL AGENCIES,TUR,Travel Agencies,"1,512.71",MOTO-AZ-AL TURIZM NAKL
FCOGPC2015110145,04/11/2015,ADVERTISING SERVICES,NGA,Print and advertising,700.48,2011LA018922949
FCOGPC2015110188,04/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",GBR,"Vehicles, servicing and spares","1,355.93",LAND ROVER
FCOGPC2015110125,04/11/2015,AUTOMOBILE PARKING LOTS AND GARAGES,BRA,General Retail and Wholesale,561.31,NEWCITY PARK SERVICO
FCOGPC2015110173,04/11/2015,AUTOMOBILE PARKING LOTS AND GARAGES,USA,General Retail and Wholesale,"1,013.50",SUTTER STOCKTON GARAGE
FCOGPC2015110120,04/11/2015,"AUTOMOTIVE PARTS, ACCESSORIES STORES",COL,"Vehicles, servicing and spares",531.2,CENTIGON COLOMBIA
FCOGPC2015110194,04/11/2015,"AUTOMOTIVE PARTS, ACCESSORIES STORES",PAK,"Vehicles, servicing and spares","1,518.28",CORNER TYRE CENTRE
FCOGPC2015110117,04/11/2015,"BUILDING MATERIALS, LUMBER STORES",MNG,Building Materials,502.85,HERMES CENTER 
FCOGPC2015110136,04/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,624,UBIQUS UK LIMITED
FCOGPC2015110150,04/11/2015,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,784,J W PLANT & CO LIMITED
FCOGPC2015110187,04/11/2015,CATERERS,GBR,Catering and Catering Supplies,"1,350.60",ALISON PRICE AND COMPA
FCOGPC2015110141,04/11/2015,"CLEANING AND MAINTENANCE, JANITORIAL SERVICES",CAN,Cleaning Services and Supplies,666.52,CANADA YARD PRO LTD
FCOGPC2015110179,04/11/2015,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",USA,Miscellaneous Industrial/Commercial Supplies,"1,119.89",SOTIS BUSINESS EQUI
FCOGPC2015110155,04/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",UGA,Computer Equipment & Services,819.81,MILLENNIUM EXCLUSIVE
FCOGPC2015110162,04/11/2015,CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED,NGA,Building Materials,904.98,2011LA019120823
FCOGPC2015110192,04/11/2015,DEPARTMENT STORES,PAK,General Retail and Wholesale,"1,490.81",METRO ISLAMABAD
FCOGPC2015110193,04/11/2015,DEPARTMENT STORES,PAK,General Retail and Wholesale,"1,497.83",NEW QUE BEE STORE
FCOGPC2015110168,04/11/2015,DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH.,GBR,General Retail and Wholesale,"1,000.80",IDENTILAM PLC
FCOGPC2015110178,04/11/2015,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,DEU,Mail Order / Direct Selling,"1,099.09",KARL GEUTHER
FCOGPC2015110186,04/11/2015,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,DEU,Mail Order / Direct Selling,"1,340.38",KARL GEUTHER
FCOGPC2015110130,04/11/2015,DIRECT MARKETING-TRAVEL RELATED ARRANGEMENT SERVS.,CHN,General Retail and Wholesale,567.78,CTRIP SH HUACHENG TRAV
FCOGPC2015110159,04/11/2015,"EATING PLACES, RESTAURANTS",SWE,Restuarants and Bars,837.4,CAROTTE
FCOGPC2015110138,04/11/2015,ELECTRICAL AND SMALL APPLIANCE REPAIR SHOPS,BRA,General Retail and Wholesale,626.91,ALDIANNE MANGUEIRA DE
FCOGPC2015110131,04/11/2015,ELECTRICAL PARTS AND EQUIPMENT,KEN,Building Materials,571.36,FARNEL AGENCIES
FCOGPC2015110174,04/11/2015,ELECTRICAL PARTS AND EQUIPMENT,KEN,Building Materials,"1,044.71",FARNEL AGENCIES
FCOGPC2015110167,04/11/2015,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",GBR,Miscellaneous Industrial/Commercial Supplies,998.77,MACHINE MART WEB
FCOGPC2015110195,04/11/2015,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",CAN,Miscellaneous Industrial/Commercial Supplies,"1,521.49",SOFA TO GO
FCOGPC2015110152,04/11/2015,FLOOR COVERING STORES,GBR,General Retail and Wholesale,790.88,WWW.RYALUX.CO.UK
FCOGPC2015110154,04/11/2015,FLOOR COVERING STORES,LBN,General Retail and Wholesale,813.09,NAHAWANDI CARPETS
FCOGPC2015110170,04/11/2015,FLORISTS,HKG,Estate and garden Services,"1,002.89",ELFARONET
FCOGPC2015110171,04/11/2015,FLORISTS,HKG,Estate and garden Services,"1,002.89",ELFARONET
FCOGPC2015110123,04/11/2015,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS",QAT,General Retail and Wholesale,551.2,ORYX EVENTS CO.
FCOGPC2015110121,04/11/2015,"GROCERY STORES, SUPERMARKETS",CRI,General Retail and Wholesale,547.04,PRICE SMART
FCOGPC2015110142,04/11/2015,"GROCERY STORES, SUPERMARKETS",RWA,General Retail and Wholesale,677.32,NAKUMATT KIGALI TILL 1
FCOGPC2015110175,04/11/2015,"GROCERY STORES, SUPERMARKETS",MYS,General Retail and Wholesale,"1,054.40",NG CHOONG YEAM SDN BHD
FCOGPC2015110139,04/11/2015,HOTELS/MOTELS/RESORTS ,MEX,Hotels,634.15,ACCOMODATION PROVIDER
FCOGPC2015110143,04/11/2015,HOTELS/MOTELS/RESORTS ,EGY,Hotels,682.64,ACCOMODATION PROVIDER
FCOGPC2015110182,04/11/2015,HOTELS/MOTELS/RESORTS ,VNM,Hotels,"1,237.20",ACCOMODATION PROVIDER
FCOGPC2015110196,04/11/2015,HOTELS/MOTELS/RESORTS ,NGA,Hotels,"1,639.79",ACCOMODATION PROVIDER
FCOGPC2015110197,04/11/2015,LIMOUSINES AND TAXICABS,GBR,Travel - Air/Rail/Road,"2,169.60",MURRAY CHAUFFEUR
FCOGPC2015110140,04/11/2015,MEN'S/WOMEN'S/CHILDREN'S UNIFORMS/COMMERCIAL CLOTH,KEN,Business Clothing and Footwear,653.67,SAFESOL LIMITED
FCOGPC2015110156,04/11/2015,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",JPN,Catering and Catering Supplies,820.21,SQ BANGIT FLORDELIZA
FCOGPC2015110166,04/11/2015,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",JPN,Catering and Catering Supplies,956.91,SQ BANGIT FLORDELIZA
FCOGPC2015110147,04/11/2015,MISCELLANEOUS GENERAL MERCHANDISE,USA,General Retail and Wholesale,734.66,SQ SPINA
FCOGPC2015110164,04/11/2015,MISCELLANEOUS GENERAL MERCHANDISE,SYC,General Retail and Wholesale,926.09,ISPC (SEYCHELLE
FCOGPC2015110165,04/11/2015,MISCELLANEOUS GENERAL MERCHANDISE,ZAF,General Retail and Wholesale,947.35,THE DRAIN SURGEON
FCOGPC2015110189,04/11/2015,MISCELLANEOUS GENERAL MERCHANDISE,ZAF,General Retail and Wholesale,"1,391.96",THE DRAIN SURGEON
FCOGPC2015110190,04/11/2015,MISCELLANEOUS GENERAL MERCHANDISE,ZAF,General Retail and Wholesale,"1,440.17",THE DRAIN SURGEON
FCOGPC2015110119,04/11/2015,MISCELLANEOUS PUBLISHING AND PRINTING,GBR,Print and advertising,513,WWW.THOMASTELFORD.ORG.
FCOGPC2015110148,04/11/2015,MISCELLANEOUS PUBLISHING AND PRINTING,MEX,Print and advertising,736.91,FACTOR DIGITAL
FCOGPC2015110172,04/11/2015,MISCELLANEOUS PUBLISHING AND PRINTING,MEX,Print and advertising,"1,008.35",FACTOR DIGITAL
FCOGPC2015110176,04/11/2015,MISCELLANEOUS PUBLISHING AND PRINTING,CAN,Print and advertising,"1,090.63",THE PRINTING HOUSE 
FCOGPC2015110177,04/11/2015,MISCELLANEOUS PUBLISHING AND PRINTING,CAN,Print and advertising,"1,090.63",THE PRINTING HOUSE 
FCOGPC2015110180,04/11/2015,MISCELLANEOUS PUBLISHING AND PRINTING,MEX,Print and advertising,"1,210.03",FACTOR DIGITAL
FCOGPC2015110115,04/11/2015,MOTION PICTURE THEATERS,AUS,Leisure Activities,500,NEW FARM CINEMAS
FCOGPC2015110157,04/11/2015,MOTION PICTURE THEATERS,USA,Leisure Activities,826.54,CINEPOLIS COCONUT GROV
FCOGPC2015110158,04/11/2015,MOTION PICTURE THEATERS,USA,Leisure Activities,826.55,CINEPOLIS COCONUT GROV
FCOGPC2015110169,04/11/2015,MOTION PICTURE THEATERS,AUS,Leisure Activities,"1,001.95",NEW FARM CINEMAS
FCOGPC2015110191,04/11/2015,MOTION PICTURE THEATERS,USA,Leisure Activities,"1,470.66",MOVIE HOUSE & EATERY A
FCOGPC2015110132,04/11/2015,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",CAN,"Office Stationery, equipment and supplies",577.73,CORPORATE EXPRESS
FCOGPC2015110137,04/11/2015,"ORGANIZATIONS, RELIGIOUS",KEN,Clubs/Associations/Organisations,626.82,59116001
FCOGPC2015110146,04/11/2015,"PACKAGE STORES, BEER, WINE, LIQUOR",USA,General Retail and Wholesale,723.87,BEVERAGES & MORE 
FCOGPC2015110133,04/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,580.98,PAYPAL FRPAYPAL FRPAY
FCOGPC2015110134,04/11/2015,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,580.98,PAYPAL FRPAYPAL FRPAY
FCOGPC2015110153,04/11/2015,"QUICK COPY,REPRODUCTION AND BLUEPRINTING SERVICES",TTO,"Office Stationery, equipment and supplies",796.79,DOCUCENTRE LTD.
FCOGPC2015110163,04/11/2015,SECURITIES-BROKERS/DEALERS,GRC,Financial Services,925.91,G4S SECURE SOLUTIONS S
FCOGPC2015110122,04/11/2015,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,UKR,Telecommunication Services,547.39,CITRUS
FCOGPC2015110161,04/11/2015,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY",DEU,Leisure Activities,898.66,DUESSELDORFCONGRESS
FCOGPC2015110181,04/11/2015,TOURIST ATTRACTIONS AND EXHIBITS,GBR,Leisure Activities,"1,213.08",CLARION EVENTS LIMITED
FCOGPC2015110126,04/11/2015,TRAVEL,GBR,Airline,562.16,AIRLINE
FCOGPC2015110127,04/11/2015,TRAVEL,GBR,Airline,562.16,AIRLINE
FCOGPC2015110129,04/11/2015,TRAVEL,GBR,Airline,567.33,AIRLINE
FCOGPC2015110185,04/11/2015,TRAVEL,USA,Airline,"1,316.73",AIRLINE
FCOGPC2015110124,04/11/2015,TRAVEL AGENCIES,GBR,Travel Agencies,555.76,EBK EBOOKERS
