Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"33,038.40",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"254,951.65",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"116,139.33",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"38,722.80",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"258,497.43",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"387,199.08",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"89,799.35",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,OIL,DIRECTOR OF FACILITIES MANAGEMENT,CORONA ENERGY,"32,693.56",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"129,136.29",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"779,298.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,TELEPHONES,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT PLC,"33,440.37",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,MINOR CLINICAL EQUIPMENT,DIRECTOR OF SERVICE DELIVERY - GENERAL MEDICINE & A&E LINCOLN,MEDTRONIC LTD,"60,270.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"504,483.52",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,RENTS,DIRECTOR OF SERVICE DELIVERY - GENERAL MEDICINE & A&E LINCOLN,REGENT'S PARK CARDIOVASCULAR SOLUTIONS L,"76,717.50",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"240,232.56",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"41,795.63",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"32,613.37",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"37,597.95",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"137,453.96",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"250,239.07",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,RENTS,DIRECTOR OF SERVICE DELIVERY - GENERAL MEDICINE & A&E LINCOLN,REGENT'S PARK CARDIOVASCULAR SOLUTIONS L,"87,457.96",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"32,271.42",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"273,843.38",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"37,887.17",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,BUILD MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,SEYMOUR & CASTLE LTD,"174,086.57",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2012,ADMIN CLERICAL OTHER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE TEACHING PCT,"4,035.21",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2012,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE TEACHING PCT,"25,086.98",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2012,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE TEACHING PCT,"34,791.14",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"31,188.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,RENTS,DIRECTOR OF FACILITIES MANAGEMENT,PROGRESS CARE HOUSING ASSOCIATION LTD,"83,937.11",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,WAN USAGE,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT GLOBAL SERVICES,"73,060.45",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"78,161.50",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"1,879.50",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/12/2012,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"457,379.20",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/12/2012,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, LINCOLN & LOUTH",NHS LITIGATION AUTHORITY,"293,702.80",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/12/2012,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, BOSTON & GRANTHAM",NHS LITIGATION AUTHORITY,"180,010.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/12/2012,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"26,060.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"48,978.79",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"139,812.71",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"203,733.38",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"211,241.04",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ACCENTURE UK LTD,"93,262.60",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,STRUCTURE,CAPITAL PROGRAM,J TOMLINSON LTD,"300,516.83",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"68,320.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"80,389.83",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"116,139.33",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,CPAP MACHINES,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"28,167.35",Dec-12
