Special Advisers in post on Friday 30 November 2014,,,
  ,,,
Appointing Minister,Special Adviser in Post,Payband,"Salary if  £58,200 or higher (£)"
The pay bands and pay ranges for special advisers for 2014-15 are as follows:,,,
,,,
"Scheme Ceiling £142,668",,,
"Pay Band 4 £88,966 - £106,864",,,
"Pay Band 3 and Premium £66,512 - £103,263",,,
"Pay Band 2 £52,215 - £69,266",,,
"Pay Band 1 £40,352 - £54,121",,,
"Pay Band 0 up to £40,352",,,
,,,
"The paybill for the period 2013-14 was £8.4m. This includes salary, severance pay and pension contributions.",,,
