Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Democratic Services,1302,Computer Equipment and Software,19/04/2018,0000213661,388.45,Revenue,Twofold Limited,13140
Rushmoor Borough Council,Democratic Services,1327,Security Services,12/04/2018,0000213662,546.91,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Strategy and Communiations,1415,Consultancy,19/04/2018,0000213663,1950.00,Revenue,South East Employers,00906
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,19/04/2018,0000213671,1740.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Holding Accounts,9446,Community Safety Partnership,12/04/2018,0000213675,700.00,Holding Accounts,Pegasus Building Services,14976
Rushmoor Borough Council,Control Accounts,9362,Local Enterprise Partnership,19/04/2018,0000213676,744.90,Control Accounts,Cyan Solutions Ltd,13258
Rushmoor Borough Council,Information Technology,3306,Photocopiers,12/04/2018,0000213678,2633.51,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Planning,2611,Consultancy,19/04/2018,0000213681,1678.75,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,12/04/2018,0000213682,295.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2541,Bus Shelter Maintenance,26/04/2018,0000213684,1796.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,6573,Contract Costs,12/04/2018,0000213685,4050.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2517,Tree Maintenance,19/04/2018,0000213686,324.00,Revenue,Charterhouse Tree Care,11919
Rushmoor Borough Council,Community,2517,Rowhill Copse,19/04/2018,0000213686,638.00,Revenue,Charterhouse Tree Care,11919
Rushmoor Borough Council,Democratic Services,1310,Cabinet Expenses,12/04/2018,0000213690,290.31,Revenue,Arco,06118
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,12/04/2018,0000213692,1236.00,Revenue,Gilgen Door Systems,00445
Rushmoor Borough Council,Community,6518,Contract Costs,26/04/2018,0000213693,5600.00,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,12/04/2018,0000213697,813.75,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Environmental Health and Housing,2204,Stray Dog Out of Hours Service,12/04/2018,0000213697,275.00,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Community,2518,Refreshment Purchases,12/04/2018,0000213698,619.54,Revenue,Tchibo Coffee International Ltd,05547
Rushmoor Borough Council,Planning,2609,Local Plan Preparation,19/04/2018,0000213699,395.73,Revenue,Hart District Council,14520
Rushmoor Borough Council,Information Technology,3305,Kitchen Equipment,12/04/2018,0000213700,602.12,Revenue,Hce,11207
Rushmoor Borough Council,Information Technology,7500,Web Developments,12/04/2018,0000213707,860.00,Capital,Profectus Group Ltd,14309
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,12/04/2018,0000213711,419.62,Revenue,Shred It Limited,06913
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,12/04/2018,0000213712,331.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Customer Services,3809,Subscriptions,12/04/2018,0000213713,1050.00,Revenue,Tameside Metropolitan Borough,03505
Rushmoor Borough Council,Information Technology,3300,External Support For Systems,12/04/2018,0000213714,4750.00,Revenue,Welldata Ltd,14546
Rushmoor Borough Council,Planning,2609,Temporary Staff,12/04/2018,0000213716,3026.25,Revenue,Vivid Resourcing,14866
Rushmoor Borough Council,Legal,1210,Contract Staff,19/04/2018,0000213718,558.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,19/04/2018,0000213719,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,19/04/2018,0000213720,594.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2518,Agency Sales,12/04/2018,0000213721,8588.62,Revenue,Aspiremedia Productions Ltd,14977
Rushmoor Borough Council,Community,2518,Panto Expenditure,12/04/2018,0000213722,10000.00,Revenue,Hopkins Associates Ltd,00463
Rushmoor Borough Council,Information Technology,3302,Application Software,26/04/2018,0000213725,103500.98,Revenue,Idox Software Ltd,00661
Rushmoor Borough Council,Information Technology,7306,Contract Costs,26/04/2018,0000213725,9543.11,Capital,Idox Software Ltd,00661
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,19/04/2018,0000213731,2109.75,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2526,Electricity,19/04/2018,0000213737,550.95,Revenue,Total Gas & Power Limited,13301
Rushmoor Borough Council,Community,2518,Equipment Maintenance,12/04/2018,0000213742,1004.40,Revenue,Adhesive Specialities Ltd,01702
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,26/04/2018,0000213743,879.06,Revenue,Phs Group Plc,03869
Rushmoor Borough Council,Community,2518,Refreshment Purchases,12/04/2018,0000213745,260.70,Revenue,Bentons,12526
Rushmoor Borough Council,Information Technology,3305,Operational Equipment,12/04/2018,0000213749,325.00,Revenue,Options Management,14093
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,12/04/2018,0000213750,953.81,Revenue,Adt Fire And Security Plc,03782
Rushmoor Borough Council,Democratic Services,1304,Mayoral Charity Dinner Dance,19/04/2018,0000213752,700.00,Revenue,Pranai Patel Digital Media,14978
Rushmoor Borough Council,Democratic Services,1304,Mayoral Charity Dinner Dance,19/04/2018,0000213753,8604.70,Revenue,H H Clark (Caterers) Ltd,01393
Rushmoor Borough Council,Information Technology,3304,Telephones,12/04/2018,0000213755,1000.00,Revenue,Spring Telecom Ltd,08672
Rushmoor Borough Council,Community,2553,Revenue Mobilisation Costs,19/04/2018,0000213759,1124.50,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,19/04/2018,0000213760,950.61,Revenue,Glasdon Uk Ltd,13236
Rushmoor Borough Council,Community,2538,Computer Equipment and Software,12/04/2018,0000213762,731.25,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Environmental Health and Housing,2218,Agency Staff,19/04/2018,0000213763,391.60,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Information Technology,3300,External Support For Systems,12/04/2018,0000213765,956.30,Revenue,Frontier Software Plc,00387
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,19/04/2018,0000213769,772.15,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2550,General Repairs and Maintenance,19/04/2018,0000213772,285.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,12/04/2018,0000213773,2380.00,Revenue,Pjk Solutions Ltd,14615
Rushmoor Borough Council,Strategy and Communiations,1415,Consultancy,19/04/2018,0000213775,3825.60,Revenue,Sylvan Associates Ltd,14983
Rushmoor Borough Council,Information Technology,3304,Telephones,19/04/2018,0000213776,632.24,Revenue,Vodafone Ltd,08758
Rushmoor Borough Council,Community,2518,Payment to Artistes,12/04/2018,0000213777,3813.25,Revenue,Sweeney Entertainments,11119
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,19/04/2018,0000213781,500.00,Revenue,Airey Consultancy Services,08608
Rushmoor Borough Council,Community,6541,Contract Costs,19/04/2018,0000213783,2676.50,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Community,6545,Contract Costs,19/04/2018,0000213783,950.00,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Community,2560,Payment to Contractor Sums,19/04/2018,0000213784,3433.82,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2560,General Repairs and Maintenance,19/04/2018,0000213785,1200.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,6543,Contract Costs,19/04/2018,0000213786,1825.00,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Community,6545,Contract Costs,19/04/2018,0000213787,5656.85,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Community,6543,Contract Costs,19/04/2018,0000213788,1067.00,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Environmental Health and Housing,6226,Contract Costs,26/04/2018,0000213791,6291.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2506,General Repairs and Maintenance,19/04/2018,0000213792,1450.00,Revenue,Hampshire Metalcrafts Ltd,11646
Rushmoor Borough Council,Democratic Services,1313,Hampshire and Isle of Wight Subscription,19/04/2018,0000213809,9212.90,Revenue,Local Government Association,00573
Rushmoor Borough Council,Community,2517,Licences,19/04/2018,0000213810,475.00,Revenue,Aspire Defence Services Limited,14318
Rushmoor Borough Council,Legal,1202,Counsels Fees,19/04/2018,0000213811,702.50,Revenue,Bevan Brittan Llp,08417
Rushmoor Borough Council,Community,2535,Core Funding Grant,19/04/2018,0000213812,75500.00,Revenue,Rushmoor Voluntary Services,00838
Rushmoor Borough Council,Community,2534,Payment to Contractor,19/04/2018,0000213814,10570.00,Revenue,Rushmoor Voluntary Services,00838
Rushmoor Borough Council,Democratic Services,1327,Postages,26/04/2018,0000213816,2532.93,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2517,Playground Apparatus,19/04/2018,0000213818,950.00,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Democratic Services,1327,Operational Equipment,26/04/2018,0000213820,1242.43,Revenue,Neopost Finance Limited,01283
Rushmoor Borough Council,Legal,1208,Repair and Maintenance Paved Areas,19/04/2018,0000213829,1980.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2537,Security Services,19/04/2018,0000213830,2228.52,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2549,Materials,19/04/2018,0000213831,950.00,Revenue,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,6524,Contract Costs,19/04/2018,0000213836,5998.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2502,Fencing and Repairs,19/04/2018,0000213840,300.00,Revenue,Girling Pipeworks,05392
Rushmoor Borough Council,Information Technology,3305,Gas,26/04/2018,0000213842,2693.88,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2526,Gas,19/04/2018,0000213846,277.54,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2551,Gas,26/04/2018,0000213847,3894.45,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2551,Electricity,26/04/2018,0000213850,1160.03,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2518,Electricity,26/04/2018,0000213852,2468.99,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1210,Contract Staff,26/04/2018,0000213853,1355.20,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,3305,Electricity,26/04/2018,0000213855,6274.84,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Planning,2609,Temporary Staff,19/04/2018,0000213856,1417.50,Revenue,Vivid Resourcing,14866
Rushmoor Borough Council,Community,2537,Electricity,26/04/2018,0000213857,1473.49,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Customer Services,3811,Contract Staff,19/04/2018,0000213858,1046.50,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Legal,1210,Contract Staff,26/04/2018,0000213859,656.40,Revenue,Hays,02287
Rushmoor Borough Council,Environmental Health and Housing,2402,Youth Aims Service 2018/19 Contribution,26/04/2018,0000213863,27400.00,Revenue,Step By Step Partnership Ltd,02660
Rushmoor Borough Council,Information Technology,7500,Web Developments,19/04/2018,0000213866,1075.00,Capital,Profectus Group Ltd,14309
Rushmoor Borough Council,Information Technology,3305,Kitchen Equipment,19/04/2018,0000213867,300.59,Revenue,Bewleys (Peros Limited),14519
Rushmoor Borough Council,Information Technology,3305,Kitchen Equipment,19/04/2018,0000213868,276.98,Revenue,Bewleys (Peros Limited),14519
Rushmoor Borough Council,Information Technology,3305,Repair and Maintenance of Fixed Plant,19/04/2018,0000213870,4887.90,Revenue,J T Edwards Ltd,14300
Rushmoor Borough Council,Information Technology,3307,Stationery,19/04/2018,0000213871,283.40,Revenue,Oak Farm News,01964
Rushmoor Borough Council,Community,2555,Payment to Contractor,19/04/2018,0000213872,10228.29,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Highways,26/04/2018,0000213873,67840.85,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Doman Road Lease,26/04/2018,0000213873,9281.25,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Car Parks,26/04/2018,0000213873,7607.55,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Anciliary Costs,26/04/2018,0000213873,464.87,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Parks,26/04/2018,0000213873,2535.85,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Contract Variations Highways,26/04/2018,0000213873,1131.05,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2550,Grave Digging and Maintenance,19/04/2018,0000213874,2491.10,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2517,Pond Aerator/Weeder,19/04/2018,0000213877,400.87,Revenue,Fishkit Ltd,14987
Rushmoor Borough Council,Community,2513,Community Matters Grant,19/04/2018,0000213879,2500.00,Revenue,The Community Matters Partnership,13092
Rushmoor Borough Council,Community,2518,Cleaning,19/04/2018,0000213881,262.45,Revenue,Jms Janitorial Supplies,00521
Rushmoor Borough Council,Legal,1212,Gas,19/04/2018,0000213884,251.69,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2551,Book of Remembrance,19/04/2018,0000213891,388.61,Revenue,Hilton Cabinet Co Ltd,00024
Rushmoor Borough Council,Community,2549,Materials,19/04/2018,0000213893,375.99,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Community,2549,Materials,19/04/2018,0000213894,306.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Community,6517,Contract Costs,26/04/2018,0000213895,1150.00,Capital,Geoinvestigate Ltd,14186
Rushmoor Borough Council,Information Technology,3306,Photocopiers,19/04/2018,0000213898,2159.94,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,19/04/2018,0000213904,763.82,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,19/04/2018,0000213906,495.00,Revenue,Solace Group Ltd,08897
Rushmoor Borough Council,Community,2538,NPAS Fees,26/04/2018,0000213911,1314.60,Revenue,Patrol,05572
Rushmoor Borough Council,Environmental Health and Housing,6242,Contract Costs,19/04/2018,0000213929,2580.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1209,General Repairs and Maintenance,19/04/2018,0000213930,1640.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2556,Payment to Contractor,19/04/2018,0000213931,660.00,Revenue,R Collard Ltd,06188
Rushmoor Borough Council,Community,2551,Caskets and Urns,26/04/2018,0000213936,472.50,Revenue,Ashdown Supplies,00118
Rushmoor Borough Council,Community,2518,Trade Refuse,26/04/2018,0000213939,370.71,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,26/04/2018,0000213940,379.00,Revenue,Event-X Limited,04123
Rushmoor Borough Council,Community,2538,Cinergic,26/04/2018,0000213943,3896.62,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Information Technology,3305,Operational Equipment,26/04/2018,0000213945,3216.00,Revenue,J T Edwards Ltd,14300
Rushmoor Borough Council,Legal,1210,Contract Staff,26/04/2018,0000213949,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Community,2536,Direct Grants,26/04/2018,0000213953,2500.00,Revenue,Age Concern Hampshire,02254
Rushmoor Borough Council,Information Technology,3306,Photocopiers,19/04/2018,0000213954,507.85,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Community,2551,Memorial Expenses,26/04/2018,0000213956,539.85,Revenue,Gravograph Ltd,07800
Rushmoor Borough Council,Information Technology,7500,Digital Strategy Infrastucture,19/04/2018,0000213958,1881.90,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Revenues Citizens Account Development,19/04/2018,0000213958,1254.60,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Digital By Design/Communities,19/04/2018,0000213958,627.30,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Web Developments,19/04/2018,0000213958,313.65,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,19/04/2018,0000213958,1881.90,Revenue,Uk Transform Ltd,11773
Rushmoor Borough Council,Environmental Health and Housing,6242,Contract Costs,26/04/2018,0000213960,2380.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Community,6518,Contract Costs,26/04/2018,0000213963,-600.00,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Community,2526,General Repairs and Maintenance,26/04/2018,0000213965,339.08,Revenue,Chubb Fire & Security Ltd,09577
Rushmoor Borough Council,Community,2510,Operational Equipment,26/04/2018,0000213966,500.00,Revenue,Aspire Defence Services Limited,14318
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,26/04/2018,0000213968,585.00,Revenue,Clearwater Technology Ltd,14478
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,26/04/2018,0000213969,1100.00,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Customer Services,3811,Contract Staff,26/04/2018,0000213971,800.10,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Planning,2609,Temporary Staff,26/04/2018,0000213976,1665.00,Revenue,Vivid Resourcing,14866
Rushmoor Borough Council,Customer Services,3811,Contract Staff,26/04/2018,0000213977,962.00,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Legal,1209,Subscription,26/04/2018,0000213980,355.48,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Planning,6608,Contract Costs,26/04/2018,0000213981,2195.00,Capital,Cd Surveys Ltd,12612
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,26/04/2018,0000213982,2270.00,Revenue,Hi-Tech Property Services Ltd,14192
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,26/04/2018,0000213983,490.00,Revenue,Hi-Tech Property Services Ltd,14192
Rushmoor Borough Council,Director of Resources,3106,Agency Staff,26/04/2018,0000213984,3300.00,Revenue,Wokingham Borough Council,14453
Rushmoor Borough Council,Community,2549,Operational Equipment,26/04/2018,0000213990,306.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Legal,1210,Contract Staff,26/04/2018,0000213991,1306.80,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,26/04/2018,0000213992,540.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2511,General Repairs and Maintenance,26/04/2018,0000214000,267.97,Revenue,Chubb Fire & Security Ltd,09577
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,26/04/2018,0000214013,2500.00,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Environmental Health and Housing,2212,Payment to Contractor,26/04/2018,0000214018,1666.66,Revenue,Sdk Environmental,12590
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,26/04/2018,0000214021,1800.23,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,26/04/2018,0000214021,1059.43,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Payment to Contractor,26/04/2018,0000214021,304.76,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Payment to Contractor,26/04/2018,0000214021,769.92,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Clinical Waste,26/04/2018,0000214021,321.36,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,26/04/2018,0000214021,1978.22,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Amenity Base,26/04/2018,0000214023,14540.21,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,26/04/2018,0000214023,1315.18,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,26/04/2018,0000214023,748.55,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,26/04/2018,0000214023,8321.54,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,26/04/2018,0000214023,27874.84,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Grounds Maintenance,26/04/2018,0000214023,7358.45,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Amenity Base,26/04/2018,0000214023,7452.13,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,26/04/2018,0000214023,3521.51,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Prospect Estate Base,26/04/2018,0000214023,3339.25,Revenue,Serco Ltd,13135
