Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Number
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,COLLINS DJ & PTS,CONTRACT PAYMENT,89736.28,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,COOKE & PARTNERS,CONTRACT PAYMENT,94830.73,
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,NCAS,COVENTRY & WARWICKSHIRE PARTNERSHIP TRUST,11575003,55561,14898
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,COX & MARK,CONTRACT PAYMENT,30705.47,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,COX & MARK,CONTRACT PAYMENT,37477.83,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,CRAGS HEALTH CARE,CONTRACT PAYMENT,63692.25,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,CRICH MEDICAL PRACTICE,CONTRACT PAYMENT,33468.79,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,CRICH MEDICAL PRACTICE,CONTRACT PAYMENT,60380.62,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,CULVERWELL & PARTNERS,CONTRACT PAYMENT,111504.35,
Department of Health,Derbyshire County PCT,22/11/2012,Commissioning Other Contr,MRI SCANS-NORTH DERBYSHIRE CCG,DAVID ORMEROD,11588730,53555.21,1056
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,DAVIDSON & PTS,CONTRACT PAYMENT,142689.89,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,BALANCE SHEET,DERBY HOSPITALS NHS FOUNDATION TRUST,11578836,5186874,PPNOVSLA201213LESSPREPAYMENTOCT
Department of Health,Derbyshire County PCT,30/11/2012,Hlthcre-Foundation Trsts,BALANCE SHEET,DERBY HOSPITALS NHS FOUNDATION TRUST,11635722,600000,PP302839
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBY HOSPS FT,DERBY HOSPITALS NHS FOUNDATION TRUST,11547691,248947.48,301802
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,DERBYSHIRE COMMUNITY HEALTH SERVICES - SOUTHERN DERBYSHIRE CCG,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,11552732,67231.8,11857129
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,DCHS,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,11552751,1041232,11857141
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,DCHS,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,11563253,10585527,11857281
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,DENTAL DCHS PROVIDER CONTRACT,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,11563253,426562.58,11857281
Department of Health,Derbyshire County PCT,01/11/2012,NHS Payables,BALANCE SHEET,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,11509791,715749.58,11856843
Department of Health,Derbyshire County PCT,29/11/2012,Commissioning Other Contr,PCT INVESTIGATIONS TEAM,DERBYSHIRE COUNTY COUNCIL,11625035,153489,1800040324
Department of Health,Derbyshire County PCT,12/11/2012,Grants,WINTER PRESSURES - COUNTY,DERBYSHIRE COUNTY COUNCIL,11509857,32064.43,1800042473
Department of Health,Derbyshire County PCT,29/11/2012,Rent,Surplus/Held for Sale Property,DERBYSHIRE COUNTY COUNCIL,11579197,45616.5,1800051882
Department of Health,Derbyshire County PCT,08/11/2012,Services from Local Auth,Emergency Planning Service,DERBYSHIRE COUNTY COUNCIL,11542833,28320,1800041616
Department of Health,Derbyshire County PCT,12/11/2012,Commissioning Other Contr,FOSTON HALL,DERBYSHIRE HEALTH UNITED LTD,11516778,157628.75,6501
Department of Health,Derbyshire County PCT,08/11/2012,Out of Hours Dev Fund GMS,OOH'S,DERBYSHIRE HEALTH UNITED LTD,11547721,649633,PPNOVEMBER2012
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DHCFT COMMUNITY PAEDS,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11547735,169857,12185846
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - EREWASH CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557876,12727.81,12185573
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - HARDWICK CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557876,11268.4,12185573
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - NORTH DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557876,32575.77,12185573
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - SOUTHERN DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557876,31877.02,12185573
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - EREWASH CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557934,-7446.83,12185843
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - HARDWICK CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557934,-6592.95,12185843
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - NORTH DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557934,-19059.53,12185843
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - SOUTHERN DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557934,-18650.69,12185843
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,Derbyshire Healthcare FT (IAPT) Southern Derbyshire CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557936,99319.97,12185848
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,Derbyshire Healthcare Foundation Trust (IAPT)- Erewash CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557936,67871.95,12185848
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,Derbyshire Healthcare Foundation Trust (IAPT)- Hardwick CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557936,13932.66,12185848
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,Derbyshire Healthcare Foundation Trust (IAPT)- North Derbyshire CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557936,17913.42,12185848
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - EREWASH CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557937,814393.85,12185849
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - HARDWICK CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557937,721013.04,12185849
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - NORTH DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557937,2084372.86,12185849
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - SOUTHERN DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557937,2039663.25,12185849
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,FOSTON HALL,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557937,21844,12185849
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - EREWASH CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557938,35570.79,12185850
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - HARDWICK CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557938,8986.16,12185850
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - NORTH DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557938,25978.05,12185850
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,FOSTON HALL,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557938,273,12185850
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - EREWASH CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557939,23839.34,12185851
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - HARDWICK CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557939,21105.84,12185851
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - NORTH DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557939,60965,12185851
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DERBYSHIRE HEALTHCARE FT - SOUTHERN DERBYSHIRE CCG,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557939,59755.82,12185851
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,FOSTON HALL,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557939,819,12185851
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,PTB-DMHS,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11557940,334985,12185852
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,DONCASTER AND BASSETLAW,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,11531330,418324,82107750
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,DR JACKSON & DR GREEN,CONTRACT PAYMENT,56848.26,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,DRS MEE ABELL WOODCOCK& CHURCH,CONTRACT PAYMENT,68653.2,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,OPTHALMIC SERVICES,EAGLE EYEHEALTH LTD,CONTRACT PAYMENT,30080.55,
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,EAST CHESHIRE,EAST CHESHIRE NHS TRUST,11547737,470943,17463808
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,EMAS,EAST MIDLANDS AMBULANCE SERVICES NHS TRUST,11552822,1590490,11300958
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,EYAM SURGERY,CONTRACT PAYMENT,41641.05,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,EYAM SURGERY,CONTRACT PAYMENT,49581.45,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,FARRELL & PARTNERS,CONTRACT PAYMENT,67817.93,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,FRIENDLY FAMILY SURGERY,CONTRACT PAYMENT,37120.8,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,GAME HOULTON & SWORD,CONTRACT PAYMENT,32507.46,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,GAME HOULTON & SWORD,CONTRACT PAYMENT,34473.14,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,GLADSTONE HOUSE SURGERY,CONTRACT PAYMENT,55554.86,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HAMILTON & PARTNERS,CONTRACT PAYMENT,120469.64,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HANNON HARRISON & CLEGG,CONTRACT PAYMENT,58691.57,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HASLAND MEDICAL CENTRE,CONTRACT PAYMENT,26760.13,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HASLAND SURGERY,CONTRACT PAYMENT,36603.84,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,NCAS,HEART OF ENGLAND NHS FOUNDATION TRUST,11547775,26167.09,130550
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HEARTWOOD SURGERY,CONTRACT PAYMENT,93419.29,
Department of Health,Derbyshire County PCT,15/11/2012,IM&T GMS,PC IM+T HARDWARE,HEWLETT PACKARD LTD,11515759,38337,7303145
Department of Health,Derbyshire County PCT,15/11/2012,IM&T GMS,PC IM+T HARDWARE,HEWLETT PACKARD LTD,11515760,38337,7303536
Department of Health,Derbyshire County PCT,01/11/2012,Commissioning Other Contr,CAB,HIGH PEAK CITIZENS ADVICE BUREAU,11493443,25964,CAB201213Q3HP
Department of Health,Derbyshire County PCT,01/11/2012,Commissioning Other Contr,FOSTON-ESCORTS + BEDWATCH,HM PRISON SERVICE,11449130,25955.29,377600
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HOGG & PARTNERS,CONTRACT PAYMENT,64015.1,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HOLDEN CHAMBERLAIN & PTS,CONTRACT PAYMENT,73679,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HURST WOODS & HURST,CONTRACT PAYMENT,33644.38,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,HURST WOODS & HURST,CONTRACT PAYMENT,45692.61,
Department of Health,Derbyshire County PCT,15/11/2012,Commissioning Gen/Acute,NCAS,HYWEL DDA LOCAL HEALTH BOARD,11531250,71897,4019932
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,ILKESTON FAMILY PRACTICE WIC,CONTRACT PAYMENT,26658.8,
Department of Health,Derbyshire County PCT,29/11/2012,Commissioning Other Contr,AUDIOLOGY-NORTH DERBYSHIRE CCG,INHEALTH LTD,11613671,45301.63,IHL00026840
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,IVY GROVE SURGERY,CONTRACT PAYMENT,66747.99,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,JAMISON & PARTNERS,CONTRACT PAYMENT,85196.66,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,JESSOP MEDICAL PRACTICE,CONTRACT PAYMENT,118911.53,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,JONES TL & CLAYTON C,CONTRACT PAYMENT,25076.35,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,JORDAN & PARTNERS,CONTRACT PAYMENT,42719.03,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,JORDAN & PARTNERS,CONTRACT PAYMENT,52000.08,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,KILLAMARSH MEDICAL PRACTICE,CONTRACT PAYMENT,83634.26,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,KING & PARTNERS,CONTRACT PAYMENT,83317.14,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,KIRTLEY BROOM WARD SHELLY,CONTRACT PAYMENT,47209.35,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,KIRTLEY BROOM WARD SHELLY,CONTRACT PAYMENT,76588.99,
Department of Health,Derbyshire County PCT,29/11/2012,Audit Fees: Statutory,CSO - 28 - Financial Accounting,KPMG LLP,11625041,32973.5,5500605921
Department of Health,Derbyshire County PCT,15/11/2012,Hcare Srv Rec NHS Trust,LEEDS TEACHING,LEEDS TEACHING HOSPITALS NHS TRUST,11531233,111809,390839
Department of Health,Derbyshire County PCT,01/11/2012,Healthcare Srv Rec PCTs,LOW SECURE EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11481417,-78114,17322717
Department of Health,Derbyshire County PCT,01/11/2012,Healthcare Srv Rec PCTs,LOW SECURE EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11481418,335132,17322725
Department of Health,Derbyshire County PCT,01/11/2012,Healthcare Srv Rec PCTs,M.H. PERINATAL COUNTY EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11509782,109779,17322695
Department of Health,Derbyshire County PCT,01/11/2012,Healthcare Srv Rec PCTs,NOTTS HEALTHCARE - EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11509782,2.71,17322695
Department of Health,Derbyshire County PCT,01/11/2012,Healthcare Srv Rec PCTs,MH Eating Disorder - County - North Derbyshire CCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11509783,28386.35,17322696
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,MEDIUM SECURE EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11557941,203468,17322763
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,MEDIUM SECURE EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11557942,226558,17322764
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,3YR AVERAGE,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,-4147,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,ADDENBROOKES HOSP NHS TRU,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,5335,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,BARTS + THE LONDON,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,12514,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,BLACKPOOL FLYDE + WYRE,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,4172,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,BMT DATABASE,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,246,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,CHRISTIES FT - SCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,47047,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,CLAREMONT STH ACTIVITY,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,5458,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,CRANE LEVY TRENT COM,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,909,17322762
Department of Health,Derbyshire County PCT,15/11/2012,Healthcare Srv Rec PCTs,CRH EMSCG,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11570091,535982,17322762
