Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,102
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,95.2
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,"2,587.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,448.8
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,"1,499.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,"1,975.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,108.8
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,95.2
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,"2,567.00"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,448.8
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,"1,513.00"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,"1,662.60"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,31/08/2016,105.4
Security / Safety,ACC SECURITY SOLUTIONS,Central Services to the public,Repairs and Maintenance,16/08/2016,"3,458.24"
Counselling Services,Acorn Recovery Projects,Adult Social Care,Third party payments - Private/Voluntary Sector,09/08/2016,"2,250.00"
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,01/08/2016,-972
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,01/08/2016,"2,716.00"
Social Care Services,Activecare Ltd,Adult Social Care,Care Payments,01/08/2016,448
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,09/08/2016,"2,088.00"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,09/08/2016,"2,720.00"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,09/08/2016,"1,560.00"
Transport and Travel,Adams Travel,Childrens & Educational Services,Leasing /Transport Hire,09/08/2016,"1,288.00"
Construction / Building Services,ADAPTACARE LTD,Capital Expenditure,Capital Expenditure - Works,26/08/2016,"3,095.00"
Construction / Building Services,ADAPTACARE LTD,Capital Expenditure,Capital Expenditure - Works,26/08/2016,"4,041.00"
Professional / Trade Body,ADASS,Childrens & Educational Services,Fees and Charges,16/08/2016,"1,717.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,-580.24
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,-505.2
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,-615.44
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,"-1,010.52"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,"1,739.20"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,"4,420.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,128
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,"1,868.00"
Social Care Services,ADLINGTON MANOR LTD,Adult Social Care,Care Payments,01/08/2016,"3,492.00"
Child / Family Support,ADOPTION MATTERS NORTHWEST,Childrens & Educational Services,Professional Fees,05/08/2016,"14,430.00"
Child / Family Support,ADOPTION MATTERS NORTHWEST,Childrens & Educational Services,Professional Fees,05/08/2016,658.2
Community Building / Facility,ADSWOOD COMMUNITY CENTRE,Planning Services,Third party payments - Private/Voluntary Sector,18/08/2016,800
Legal Services,Advanced Legal Solutions Ltd,Central Services to the public,Information and Communications Technology,23/08/2016,"5,319.74"
Financial Services,Advanced Payment Solutions Ltd,Central Support Costs,Fees and Charges,09/08/2016,711.48
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,02/08/2016,"11,880.56"
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,05/08/2016,"9,377.50"
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,22/08/2016,"2,634.50"
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,22/08/2016,"2,676.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,22/08/2016,"11,242.50"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,22/08/2016,"4,959.20"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,22/08/2016,"6,795.14"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,22/08/2016,"7,763.40"
Professional / Consultancy Services,AECOM,Highways & Transport Services,Agency Staff,22/08/2016,"15,317.66"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,17/08/2016,"1,767.00"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,17/08/2016,"3,589.82"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,22/08/2016,"1,540.45"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,22/08/2016,"1,329.11"
Child / Family Support,AFTER ADOPTION,Childrens & Educational Services,Professional Fees,05/08/2016,"4,000.00"
Child / Family Support,AFTER ADOPTION,Childrens & Educational Services,Fees and Charges,01/08/2016,799
Welfare Services,Age Concern Manchester,Adult Social Care,Care Payments,08/08/2016,830.28
Social Care Services,Agricultural Rural Centre CIC,Adult Social Care,Care Payments,17/08/2016,500
Mobility Equipment / Supplies,AIDSERVICE LTD,Childrens & Educational Services,Furniture and Equipment,12/08/2016,600
Mobility Equipment / Supplies,AIDSERVICE LTD,Childrens & Educational Services,Furniture and Equipment,12/08/2016,45
Social Care Services,Akari Care Ltd,Adult Social Care,Care Payments,22/08/2016,"1,306.46"
Transport and Travel,ALFA TRAVEL,Cultural & Related Services,Publicity and Promotion,05/08/2016,"1,378.10"
Transport and Travel,ALFA TRAVEL,Cultural & Related Services,Publicity and Promotion,12/08/2016,"1,018.20"
Social Care Services,Alice Chilton In-Home Care Services,Adult Social Care,Care Payments,17/08/2016,660
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Central Support Costs,Cleaning,24/08/2016,845.71
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Central Support Costs,Cleaning,24/08/2016,25
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,88.5
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,199.65
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,22.96
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,147
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,89.7
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,37.24
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,18
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,18
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,18
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,69.75
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,33.95
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,4.54
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,37.8
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,39.96
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,13.96
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,21.04
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,6
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,16
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,10.9
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,46
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,114.7
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,8.42
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,19.4
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,19.4
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,9.7
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,12.9
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,8.4
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,8.4
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,8.4
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,8.4
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,2.84
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,5.8
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,6.72
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,6.72
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,0.92
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,30.35
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,20.8
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,5.27
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,4.5
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,25.78
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,2.84
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Cultural & Related Services,Cleaning,05/08/2016,12.79
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Central Support Costs,Cleaning,25/08/2016,573.5
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Central Support Costs,Cleaning,11/08/2016,772.17
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Central Support Costs,Cleaning,11/08/2016,63.48
Facilities / Room Hire,ALMA LODGE HOTEL,Childrens & Educational Services,Office Expenses,17/08/2016,"1,368.34"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,240
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,825.15
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,672
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,672
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,834
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,-522.8
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,"-6,889.32"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,"-6,959.64"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,"2,244.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,"23,408.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,448
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,448
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,"8,960.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,448
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,01/08/2016,"22,296.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,-320
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,-365.71
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,-320
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,-630
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,-217.14
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,"2,258.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Adult Social Care,Care Payments,22/08/2016,"17,681.00"
