Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005489,"789,996.72",A&E BLOCK CONTRACT CCG AUGUST 2014,
Department of Health,03F,31/08/2014,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005561,"53,990.00",111 CONTRACT AUGUST 2014,
Department of Health,03F,31/08/2014,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005589,"118,422.33",PTS CONTRACT AUGUST 2014 EXCLUDING CQUINS,
Department of Health,03F,31/08/2014,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,440276,"79,149.00",1/12TH OF AGREED CONTRACT VALUE APRIL 14 - MARCH 15,
Department of Health,03F,31/08/2014,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9358,"(38,662.00)",A & E BLOCK CONTRACT APRIL  & MAY 2014,
Department of Health,03F,31/08/2014,Hcare Srv Rec Fdtn Trust-Non Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210010848,"14,094,283.00",AUGUST 14/15 BLOCK CONTRACT INVOICE,
Department of Health,03F,31/08/2014,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,R PLUNKETT,101416-21-AUG-2014,"57,521.81",REIMBURSEMENT OF CARE FEES FOR PATIENT,
Department of Health,03F,31/08/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-START (HULL),220142015,"27,500.00",SUPPLY OF SERVICES JULY 2014,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010814PFHUL,"419,093.00",PERIOD OF SERVICE AUGUST 2014 SAC,
Department of Health,03F,31/08/2014,Clinical&Medical-Othe Public Sector,COLLABORATIVE COMMISSIONING,HULL CITY COUNCIL,1000195519,"34,973.06",RECHARGE IN RESPECT OF THE COLLABORATIVE SERVICES APRIL - JUNE 2014,
Department of Health,03F,31/08/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000195547,"543,944.05",CHC RECHARGES JULY 2014,
Department of Health,03F,31/08/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000195776,"41,293.40",FNC RECHARGES 23/06/14 - 20/07/14,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000196976,"25,500.00",GENERALIST OUTREACH SERVICE APRIL TO JUNE 2014,
Department of Health,03F,31/08/2014,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000197088,"123,028.56",CARE IN THE COMMUNITY AUGUST 2014,
Department of Health,03F,31/08/2014,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1308,"91,849.90",5564 3/3/14 - 28/3/14,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090232,"157,596.76",EQUIPMENT PURCHASES 28/06/14 - 25/07/14,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090256,"47,236.98",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE JULY 2014,
Department of Health,03F,31/08/2014,Clinical&Medical-Voluntary Sector,WHEELCHAIR SERVICE,NOTTINGHAM REHAB SUPPLIES,1800090257,"34,806.64",EQUIPMENT COSTS FOR WHEELCHAIR (CHILDRENS) SERVICE JULY 2014,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,31415,"(52,067.94)",COMPLETED REFERRALS 14/14,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,3.1415E+15,"52,067.94",PROVISION OF COUNSELLING SERVICES JUNE 2014,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,3.14152E+15,"52,086.83",JUNE 2014 COUNSELLING SERVICE,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,359HC04,"37,823.40",INTERPRETING SERVICES FACE TO FACE & TELEPHONE,
Department of Health,03F,31/08/2014,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,48337726,"32,179.00",Q1 2014-2015 RENTAL COST FOR ORGANISATION,
Department of Health,03F,31/08/2014,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48337727,"229,362.00",Q1 2014-2015 SUBSIDRY COST FOR ORGANISATION,
Department of Health,03F,31/08/2014,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,48338879,"32,179.00",Q2 2014-2015 RENTAL COST FOR ORGANISATION,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004168,"1,947,425.00",CONTRACTUAL INCOME RECURRENT AUGUST,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004170,"46,616.00",CONTRACTUAL INCOME NON RECURRENT AUGUST,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004176,"44,563.00",CONTRACTUAL INCOME  - COMMUNITY PAEDIATRICS AUGUST,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004341,"243,919.00",13/14 CQUIN ACHIEVED FOR QTR 4 ,
Department of Health,03F,31/08/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR010,"46,600.00",CONTRACT FUNDING FOR 14/15 ,
Department of Health,03F,31/08/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR010,"46,600.00",CONTRACT FUNDING FOR 14/15 ,
Department of Health,03F,31/08/2014,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,ACTION ON HEARING LOSS,INV0138084,"38,400.00",PROVISION OF HEAR TO HELP HEARING AID SUPPORT APRIL - MARCH 2015,
Department of Health,03F,31/08/2014,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,803Z352,"69,075.00",UNREGISTERED PATIENTS REVENUE AUGUST 2014,
Department of Health,03F,31/08/2014,Public Relations Expenses,COMMUNICATIONS & PR,ESKIMO SOUP LTD,3729,"27,234.00",CCG WEBSITE PHASE 1 ,
Department of Health,03F,31/08/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000714,"33,796.71",CHC VARIOUS 01/07/14 - 31/07/14,
