"Publication of Spend NEP 25k Publication of User Defined Spend Amount Paid >£25k (Payment Date) Parameters : AP-ORG ID : '322' , AP-PAYMENT DATE START : '01-AUG-2011' , AP-PAYMENT DATE END : '31-AUG-2011' , AP-MINIMUM PAYMENT LIMIT : '25000.00' , INCLUDE RECLAIMABLE VAT? : 'N' Report Run : 02-SEP-11  10.53.25 AM",,,,,,,,

Org Id:322,,,,,,,,

Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"4,649.13",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"4,649.04",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,346.40",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,726.23",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,483.20",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,239.74",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,098.50",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,082.82",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,929.83,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,929.81,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,915.42,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,902.36,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,721.88,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,721.88,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,703.30,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,469.28,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,432.68,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,424.50,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,360.94,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,360.94,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,345.25,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,296.64,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,216.56,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,183.08,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,183.08,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,180.47,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,144.38,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,144.38,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,140.66,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,137.35,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,129.12,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,86.54,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,84.90,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,72.19,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,72.19,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,36.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,33.50,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,27.47,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,25.82,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,15.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,6.70,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,3.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,0.02,"41,634.64 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,COMPUTER MAINTENANCE,RADIOLOGY,ACCENTURE (UK) LTD,3003157646,"59,367.42","71,240.90 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,MISCELLANEOUS EXPENDITURE,CHIEF EXECUTIVE,ADVISORY BOARD COMPANY,713391,"65,890.00",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,MISCELLANEOUS EXPENDITURE,CHIEF EXECUTIVE,,,19.50,"79,087.50 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,RENAL FLUIDS,RENAL,BAXTER HEALTHCARE LTD,001016940,"58,638.21","58,638.21 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,BECKMAN COULTER UK,1227009,"5,427.60",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,628.75",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,528.32",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,438.32",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,400.40",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,354.92",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,271.52",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,085.52",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,893.20,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,893.20,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,750.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,732.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,558.36,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,543.13,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,523.40,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,465.52,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,448.35,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,374.08,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,362.04,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,325.75,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,305.66,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,287.66,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,283.75,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,280.08,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,270.98,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,254.30,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,247.50,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,220.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,220.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,220.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,209.40,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,191.25,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,178.64,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,178.64,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,177.86,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,165.39,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,165.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,150.12,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,146.40,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,137.80,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,114.18,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,111.67,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,108.63,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,104.68,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,102.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,101.98,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,101.38,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,93.88,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,93.88,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,93.10,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,89.67,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,74.82,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,72.41,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,67.48,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,56.75,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,49.87,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,49.50,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,44.06,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,44.06,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,44.06,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,41.88,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,38.25,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,35.57,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,33.08,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,33.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,31.83,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,27.56,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,24.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,22.84,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,20.40,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,20.40,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,20.28,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,18.78,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,18.78,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,13.50,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,9.97,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,6.37,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,4.80,"28,335.74 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,MISCELLANEOUS EXPENDITURE,FINANCE & BUSINESS,BOSTON CONSULTING GROUP UK LLP,12142,"85,000.00","102,000.00 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,EXTERNAL CONSULTANCY FEES,FINANCE & BUSINESS,,12185,"90,000.00","108,000.00 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,12/08/2011,EXTERNAL CONSULTANCY FEES,FINANCE & BUSINESS,,12186,"35,000.00","42,000.00 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,CONSULTANT,GYNAECOLOGY,CITY HEALTH CARE PARTNERSHIP (CIC),90002902,"62,356.23","62,356.23 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,26/08/2011,ENERGY MANAGEMENT CONTRACTS,ESTATES OPERATIONS,DALKIA UTILITIES SERVICES PLC,310046005,"55,092.28","66,110.74 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/08/2011,SERVICES FROM OTHER NHS BODIES,RENAL,DEPARTMENT OF HEALTH,205328,"2,966,504.67","2,966,504.67 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,26/08/2011,RATES,ESTATES OPERATIONS,EAST RIDING OF YORKSHIRE COUNCIL,56397171 11/12-SEP-11-11,"127,440.00","127,440.00 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/08/2011,SERVICES FROM OTHER NHS BODIES,INNOVATION & STRATEGY,EAST RIDING OF YORKSHIRE PCT,70005875,"38,800.00","38,800.00 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/08/2011,SERVICES FROM OTHER NHS BODIES,INNOVATION & STRATEGY,,70100712,"-38,800.00","<38,800.00>"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,GAS,SUSTAINABILITY & SOCIAL VALUE,GAZPROM MARKETING AND TRADING RETAIL LTD,1181860,"62,706.79",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,GAS,SUSTAINABILITY & SOCIAL VALUE,,,"12,541.35","75,248.14 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,GAS,SUSTAINABILITY & SOCIAL VALUE,,1214000,"25,429.24",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,GAS,SUSTAINABILITY & SOCIAL VALUE,,,"5,085.84","30,515.08 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,GAS,SUSTAINABILITY & SOCIAL VALUE,,1214001,"60,062.81",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,GAS,SUSTAINABILITY & SOCIAL VALUE,,,"12,012.57","72,075.38 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,26/08/2011,DRUGS,PHARMACY,GRIFOLS UK LTD,5811002253,"27,200.00","27,200.00 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,DRUGS,PHARMACY,HEALTHCARE PRODUCT SERVICES LTD,9730006964,"33,900.00",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,DRUGS,PHARMACY,,,"6,780.00","40,680.00 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,26/08/2011,RENT,ESTATES OPERATIONS,HEALTHCARE SOLUTIONS LTD,2085,"435,331.20","522,397.44 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,HOSPITAL ENGINEERING INFORMATION SYSTEMS LTD,K/72040,"20,932.80",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,"4,186.56",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,605.86,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,318.48,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,X-RAY FILM AND CHEMICALS : PURCHASES,BREAST SCREENING,,,121.17,0.00 
