A3131 - Expenditure Over Threshold,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Note : This Report has a prompt “Threshold Amount” which is mapped to AP Invoice Total Amount i.e. Invoice Header Amount (column Threshold Amount is not available in the report output). The AP Amount column on the report represents the invoice distribution amount (which is not Invoice header amount).,,,,,,,,,
Time run: 01/12/2017 10:22:33,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Bury CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,19575663,"766,201.34 ",,6210109052
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,19587108,280.00 ,,ROC000013722
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,19587108,371.61 ,,ROC000013722
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,19587108,"26,506.06 ",,ROC000013722
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,19587108,162.95 ,,ROC000013722
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,19587108,"2,562.50 ",,ROC000013722
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,19587108,468.06 ,,ROC000013722
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL CENTRE,19587108,"3,017.60 ",,ROC000013722
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,19587112,"2,520.00 ",,ROC000013724
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,19587112,"5,904.47 ",,ROC000013724
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,19587112,"56,552.06 ",,ROC000013724
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,19587112,135.66 ,,ROC000013724
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,19587112,"6,358.33 ",,ROC000013724
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BLACKFORD HOUSE MEDICAL CENTRE,19587112,"6,677.29 ",,ROC000013724
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A S VIJAYKUMAR & DR A S RAJKUMAR,19587115,"30,955.40 ",,ROC000013726
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR A S VIJAYKUMAR & DR A S RAJKUMAR,19587115,"1,487.79 ",,ROC000013726
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR A S VIJAYKUMAR & DR A S RAJKUMAR,19587115,"3,441.67 ",,ROC000013726
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A S VIJAYKUMAR & DR A S RAJKUMAR,19587115,"3,954.71 ",,ROC000013726
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR C SHEKAR & PARTNERS,19587119,"53,900.00 ",,ROC000013728
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR C SHEKAR & PARTNERS,19587119,280.00 ,,ROC000013728
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR C SHEKAR & PARTNERS,19587119,"5,532.86 ",,ROC000013728
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR C SHEKAR & PARTNERS,19587119,457.79 ,,ROC000013728
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C SHEKAR & PARTNERS,19587119,"6,663.04 ",,ROC000013728
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR M I QURESHI & PARTNERS,19587126,"1,680.00 ",,ROC000013732
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR M I QURESHI & PARTNERS,19587126,825.80 ,,ROC000013732
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M I QURESHI & PARTNERS,19587126,"60,347.71 ",,ROC000013732
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR M I QURESHI & PARTNERS,19587126,"15,332.52 ",,ROC000013732
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M I QURESHI & PARTNERS,19587126,"6,495.53 ",,ROC000013732
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR P J WOODCOCK & PARTNERS,19587130,"55,867.07 ",,ROC000013734
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR P J WOODCOCK & PARTNERS,19587130,"4,005.13 ",,ROC000013734
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR P J WOODCOCK & PARTNERS,19587130,144.05 ,,ROC000013734
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P J WOODCOCK & PARTNERS,19587130,"8,429.41 ",,ROC000013734
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR P W V THOMAS & PARTNERS,19587134,"27,284.71 ",,ROC000013736
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR P W V THOMAS & PARTNERS,19587134,700.00 ,,ROC000013736
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR P W V THOMAS & PARTNERS,19587134,743.22 ,,ROC000013736
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR P W V THOMAS & PARTNERS,19587134,436.48 ,,ROC000013736
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P W V THOMAS & PARTNERS,19587134,"3,661.33 ",,ROC000013736
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR SUBBIAH & PARTNERS,19587135,"36,824.21 ",,ROC000013738
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR SUBBIAH & PARTNERS,19587135,137.45 ,,ROC000013738
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SUBBIAH & PARTNERS,19587135,"5,411.33 ",,ROC000013738
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DRS SAXENA & PARTNERS,19587139,"36,100.89 ",,ROC000013740
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DRS SAXENA & PARTNERS,19587139,"5,780.60 ",,ROC000013740
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DRS SAXENA & PARTNERS,19587139,"1,148.85 ",,ROC000013740
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS SAXENA & PARTNERS,19587139,"4,827.74 ",,ROC000013740
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DRS CHEONG & AL-DUBBAISI,19587143,"3,509.65 ",,ROC000013742
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DRS CHEONG & AL-DUBBAISI,19587143,"32,743.03 ",,ROC000013742
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DRS CHEONG & AL-DUBBAISI,19587143,"2,400.00 ",,ROC000013742
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS CHEONG & AL-DUBBAISI,19587143,"3,660.15 ",,ROC000013742
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ELMS MEDICAL CENTRE WHITEFIELD,19587146,"1,073.54 ",,ROC000013744
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ELMS MEDICAL CENTRE WHITEFIELD,19587146,"41,448.28 ",,ROC000013744
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ELMS MEDICAL CENTRE WHITEFIELD,19587146,"3,100.00 ",,ROC000013744
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ELMS MEDICAL CENTRE WHITEFIELD,19587146,"5,759.37 ",,ROC000013744
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,FAIRFAX GROUP PRACTICE,19587148,420.00 ,,ROC000013746
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,FAIRFAX GROUP PRACTICE,19587148,"1,610.31 ",,ROC000013746
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FAIRFAX GROUP PRACTICE,19587148,"72,649.44 ",,ROC000013746
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FAIRFAX GROUP PRACTICE,19587148,"8,250.83 ",,ROC000013746
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GREENMOUNT MEDICAL CENTRE,19587150,"71,340.68 ",,ROC000013748
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GREENMOUNT MEDICAL CENTRE,19587150,908.38 ,,ROC000013748
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,GREENMOUNT MEDICAL CENTRE,19587150,374.84 ,,ROC000013748
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,GREENMOUNT MEDICAL CENTRE,19587150,"9,877.52 ",,ROC000013748
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GREENMOUNT MEDICAL CENTRE,19587150,"3,737.50 ",,ROC000013748
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GREENMOUNT MEDICAL CENTRE,19587150,"8,491.89 ",,ROC000013748
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HUNTLEY MOUNT MEDICAL CENTRE,19587154,"21,656.16 ",,ROC000013752
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,HUNTLEY MOUNT MEDICAL CENTRE,19587154,451.71 ,,ROC000013752
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HUNTLEY MOUNT MEDICAL CENTRE,19587154,"3,000.00 ",,ROC000013752
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HUNTLEY MOUNT MEDICAL CENTRE,19587154,"2,171.56 ",,ROC000013752
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,KNOWSLEY MEDICAL CENTRE,19587156,"1,680.00 ",,ROC000013754
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KNOWSLEY MEDICAL CENTRE,19587156,"29,481.24 ",,ROC000013754
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,KNOWSLEY MEDICAL CENTRE,19587156,"1,564.15 ",,ROC000013754
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,KNOWSLEY MEDICAL CENTRE,19587156,"3,716.67 ",,ROC000013754
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KNOWSLEY MEDICAL CENTRE,19587156,"4,552.66 ",,ROC000013754
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,LONGFIELD MEDICAL PRACTICE,19587158,619.35 ,,ROC000013756
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,LONGFIELD MEDICAL PRACTICE,19587158,"33,481.38 ",,ROC000013756
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LONGFIELD MEDICAL PRACTICE,19587158,"4,093.18 ",,ROC000013756
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,MONARCH MEDICAL CENTRE,19587160,165.16 ,,ROC000013758
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MONARCH MEDICAL CENTRE,19587160,"23,183.76 ",,ROC000013758
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,MONARCH MEDICAL CENTRE,19587160,417.25 ,,ROC000013758
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MONARCH MEDICAL CENTRE,19587160,"2,458.33 ",,ROC000013758
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MONARCH MEDICAL CENTRE,19587160,"2,734.56 ",,ROC000013758
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,REDBANK GROUP PRACTICE,19587162,"76,991.36 ",,ROC000013760
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,REDBANK GROUP PRACTICE,19587162,"2,660.00 ",,ROC000013760
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,REDBANK GROUP PRACTICE,19587162,"1,775.47 ",,ROC000013760
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,REDBANK GROUP PRACTICE,19587162,656.35 ,,ROC000013760
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,REDBANK GROUP PRACTICE,19587162,"23,233.97 ",,ROC000013760
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,REDBANK GROUP PRACTICE,19587162,"10,385.23 ",,ROC000013760
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ROCK HEALTHCARE,19587163,(369.38),,ROC000013761
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ROCK HEALTHCARE,19587164,"52,771.12 ",,ROC000013762
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ROCK HEALTHCARE,19587164,"17,381.87 ",,ROC000013762
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROCK HEALTHCARE,19587164,"2,629.35 ",,ROC000013762
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,140.00 ,,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,"2,559.98 ",,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,"53,336.97 ",,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,830.08 ,,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,"3,300.00 ",,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,145.23 ,,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,"6,428.44 ",,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,647.10 ,,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ST GABRIELS MEDICAL CENTRE,19587166,562.50 ,,ROC000013764
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,TOTTINGTON HEALTH CENTRE,19587168,980.00 ,,ROC000013766
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,TOTTINGTON HEALTH CENTRE,19587168,"4,335.45 ",,ROC000013766
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,TOTTINGTON HEALTH CENTRE,19587168,"84,931.30 ",,ROC000013766
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,TOTTINGTON HEALTH CENTRE,19587168,"1,323.82 ",,ROC000013766
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,TOTTINGTON HEALTH CENTRE,19587168,"2,475.00 ",,ROC000013766
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TOTTINGTON HEALTH CENTRE,19587168,"10,095.71 ",,ROC000013766
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,UNSWORTH MEDICAL CENTRE,19587170,"5,078.67 ",,ROC000013768
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,UNSWORTH MEDICAL CENTRE,19587170,"50,328.57 ",,ROC000013768
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,UNSWORTH MEDICAL CENTRE,19587170,322.31 ,,ROC000013768
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,UNSWORTH MEDICAL CENTRE,19587170,"3,223.67 ",,ROC000013768
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,UNSWORTH MEDICAL CENTRE,19587170,157.50 ,,ROC000013768
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,UNSWORTH MEDICAL CENTRE,19587170,"6,134.34 ",,ROC000013768
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,WHITEFIELD HEALTH CENTRE,19587172,"2,890.30 ",,ROC000013770
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WHITEFIELD HEALTH CENTRE,19587172,"60,495.83 ",,ROC000013770
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WHITEFIELD HEALTH CENTRE,19587172,"7,008.03 ",,ROC000013770
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,WHITTAKER LANE MEDICAL CENTRE,19587174,"1,120.00 ",,ROC000013772
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,WHITTAKER LANE MEDICAL CENTRE,19587174,247.74 ,,ROC000013772
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WHITTAKER LANE MEDICAL CENTRE,19587174,"42,821.31 ",,ROC000013772
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WHITTAKER LANE MEDICAL CENTRE,19587174,"3,116.67 ",,ROC000013772
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WHITTAKER LANE MEDICAL CENTRE,19587174,"6,032.24 ",,ROC000013772
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR KOTEGAONKAR & PARTNERS,19587176,"43,801.32 ",,ROC000013774
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,DR KOTEGAONKAR & PARTNERS,19587176,"2,282.28 ",,ROC000013774
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR KOTEGAONKAR & PARTNERS,19587176,"2,058.33 ",,ROC000013774
Department of Health,NHS Bury CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR KOTEGAONKAR & PARTNERS,19587176,"4,744.53 ",,ROC000013774
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,RAMSBOTTOM GROUP PRACTICE,19587178,"54,577.26 ",,ROC000013776
Department of Health,NHS Bury CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,RAMSBOTTOM GROUP PRACTICE,19587178,548.67 ,,ROC000013776
