Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"34,988.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"68,740.77",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"62,995.96",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,OTHER SENIOR MANAGER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"4,873.85",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,OTHER SENIOR MANAGER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"4,873.85",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,TELEPHONES,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,104.62,Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,TRAVEL AND SUBSISTENCE EXPS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,102.61,Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"40,771.70",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"41,155.65",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"41,941.50",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,MINOR CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDTRONIC LTD,"46,050.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/01/2012,EQUIPMENT >5K,CAPITAL PROGRAM,MOWBRAY & SON LTD,"15,769.96",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"44,602.28",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/01/2012,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"58,524.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,POSTAGE,DIRECTOR OF FACILITIES MANAGEMENT,NEOPOST (FRANKING MACHINE),"30,000.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"128,943.25",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"96,320.51",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"96,320.51",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"128,943.25",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/01/2012,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, LINCOLN & LOUTH",NHS LITIGATION AUTHORITY,"291,948.40",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/01/2012,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, BOSTON & GRANTHAM",NHS LITIGATION AUTHORITY,"178,931.60",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/01/2012,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"396,195.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,AGENCY MEDICAL STAFF,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"195,819.56",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,AGENCY MEDICAL STAFF,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"92,423.74",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,AGENCY MEDICAL STAFF,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"217,315.56",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,AGENCY MEDICAL STAFF,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"170,997.25",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"109,238.79",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"147,516.86",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"331,269.89",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"323,346.98",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/01/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"258,927.53",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"758,560.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"29,479.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"186,635.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"78,673.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"42,027.48",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"37,268.09",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"44,876.44",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"32,556.96",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,718.12",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,984.12",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,DESKTOP HARD/W,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,PRO AV LTD,"39,425.80",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"25,635.43",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"43,116.96",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"50,293.20",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"67,877.52",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,MINOR CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,SORIN GROUP UK LTD,"39,240.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,09/01/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,SOUTHERN ELECTRIC/GAS PLC,"50,337.79",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,SOUTHERN ELECTRIC/GAS PLC,"50,405.34",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/01/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,SOUTHERN ELECTRIC/GAS PLC,"30,808.09",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,SOUTHERN ELECTRIC/GAS PLC,"26,712.11",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,PHOTOCOPIER MACHINES,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,THE DANWOOD GROUP LTD,"81,152.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/01/2012,CPAP MACHINES,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"42,365.11",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/01/2012,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"41,364.46",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"55,156.33",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,RENTS,DIRECTOR OF NURSING & PATIENT SERVICES,VANGUARD HEALTHCARE SOLUTIONS LTD,"100,506.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,23/01/2012,RENTS,DIRECTOR OF NURSING & PATIENT SERVICES,VANGUARD HEALTHCARE SOLUTIONS LTD,"98,712.00",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,CONSULTANCY FEES,DIRECTOR OF NURSING & PATIENT SERVICES,VERITA,"42,055.50",Jan-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/01/2012,CONSULTANCY FEES,DIRECTOR OF NURSING & PATIENT SERVICES,VERITA,"41,642.50",Jan-12
