Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department For Transport,Department for Transport,04.12.2012,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000018000,1239.3,#,W1T 5AE
Department For Transport,Department for Transport,12.12.2012,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000018563,991.44,#,W1T 5AE
Department For Transport,Department for Transport,19.12.2012,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000019220,1239.3,#,W1T 5AE
Department For Transport,Department for Transport,20.12.2012,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000019346,3000,#,SL1 3SA
Department For Transport,Department for Transport,20.12.2012,Agency Staff Costs,Business Transformation,MICHAEL PAGE INTERNATIONAL,2000019346,9000,#,SL1 3SA
Department For Transport,Department for Transport,27.12.2012,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000019566,1239.3,#,W1T 5AE
Department For Transport,Department for Transport,27.12.2012,Small Software,Business Transformation,THE PRESS ASSOCIATION LTD,2000019586,850.21,#,SW1V 1A
Department For Transport,Department for Transport,05.12.2012,Publications for Res,Business Transformation,CREATIVE CHOICE CIC,2000018174,655.2,#,SW1H 0DJ
Department For Transport,Department for Transport,19.12.2012,IT Ser Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000019252,2824.2,#,RG24 8GQ
Department For Transport,Department for Transport,19.12.2012,IT Ser Running Costs,Business Transformation,CENTERPRISE INTERNATIONAL LIMITED,2000019252,1733.81,#,RG24 8GQ
Department For Transport,Department for Transport,04.12.2012,IT Ser Running Costs,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000018013,11034,#,B11 2LE
Department For Transport,Department for Transport,19.12.2012,Storage & Distributi,Business Transformation,CAMBERTOWN LIMITED,2000019249,13052.86,#,S63 9BL
Department For Transport,Department for Transport,11.12.2012,Small Software,Business Transformation,INSIGHT DIRECT (UK) LTD,2000018470,2867.47,#,UB8 1PH
Department For Transport,Department for Transport,11.12.2012,Small Software,Business Transformation,INSIGHT DIRECT (UK) LTD,2000018470,31995.77,#,UB8 1PH
Department For Transport,Department for Transport,10.12.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000018388,1041.31,279-8686 Cyan Toner Cartridge HPCM6030,S9 1XU
Department For Transport,Department for Transport,10.12.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000018388,1561.97,279-8687 Toner Cartridge Yellow HPCM6030,S9 1XU
Department For Transport,Department for Transport,11.12.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000018471,520.66,#,S9 1XU
Department For Transport,Department for Transport,11.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000018471,1561.97,279-8723 Magenta Toner CP6015/CM6030/CM6,S9 1XU
Department For Transport,Department for Transport,17.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000019048,98.12,C9730A HP CLJ5500 SRS LASER TONER CART B,S9 1XU
Department For Transport,Department for Transport,17.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000019048,98.12,C9730A HP CLJ5500 SRS LASER TONER CART B,S9 1XU
Department For Transport,Department for Transport,17.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000019048,137.7,C9731A HP CLJ5500 SRS LASER TONER CART C,S9 1XU
Department For Transport,Department for Transport,17.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000019048,137.7,C9731A HP CLJ5500 SRS LASER TONER CART C,S9 1XU
Department For Transport,Department for Transport,17.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000019048,137.7,C9732A HP CLJ5500 SRS LASER TONER CART Y,S9 1XU
Department For Transport,Department for Transport,17.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000019048,137.7,C9732A HP CLJ5500 SRS LASER TONER CART Y,S9 1XU
Department For Transport,Department for Transport,17.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000019048,137.7,C9733A HP CLJ5500 SRS LASER TONER CART M,S9 1XU
Department For Transport,Department for Transport,17.12.2012,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000019048,137.7,C9733A HP CLJ5500 SRS LASER TONER CART M,S9 1XU
Department For Transport,Department for Transport,10.12.2012,Training,Business Transformation,SOFTWARE BOX LTD,2000018386,1080,#,YO61 1ET
Department For Transport,Department for Transport,20.12.2012,Computer equipment,Business Transformation,REMPLOY LTD,100023457,3266.7,ACTIVITY 8223282,LS12 6LN
Department For Transport,Department for Transport,20.12.2012,Computer equipment,Business Transformation,REMPLOY LTD,100023457,-5040.3,CREDIT FOR INVS 82726244 AND 82726245,LS12 6LN
Department For Transport,Department for Transport,20.12.2012,Computer equipment,Business Transformation,REMPLOY LTD,100023457,1773.6,IT Disposals Collection November,LS12 6LN
Department For Transport,Department for Transport,04.12.2012,IT Ser Running Costs,Business Transformation,SPECIALIST COMPUTER CENTRES PLC,2000018013,62401.15,#,B11 2LE
Department For Transport,Department for Transport,06.12.2012,IT Ser Running Costs,Business Transformation,COMPUTACENTER,2000018242,3900,#,AL10 9TW
Department For Transport,Department for Transport,13.12.2012,IT Ser Running Costs,Business Transformation,SOFTWARE BOX LTD,2000018871,2289.6,#,YO61 1ET
Department For Transport,Department for Transport,17.12.2012,IT Ser Running Costs,Business Transformation,SOFTWARE BOX LTD,2000019056,3402,#,YO61 1ET
Department For Transport,Department for Transport,19.12.2012,Live Running Non IBM,Business Transformation,CABLE & WIRELESS,2000019222,2310.36,C&W 01.12.2012-31.12.2012,MK3 5JP
Department For Transport,Department for Transport,06.12.2012,Telephone charges,Business Transformation,VERIZON BUSINESS,2000018240,12117.18,Verizon - internet charges - Nov 12,RG2 6DA
Department For Transport,Department for Transport,06.12.2012,Telephone charges,Business Transformation,VERIZON BUSINESS,2000018240,8817.84,Verizon - internet charges - Nov 12,RG2 6DA
Department For Transport,Department for Transport,17.12.2012,Telephone charges,Business Transformation,CABLE & WIRELESS,2000019050,-651.26,#,MK3 5JP
Department For Transport,Department for Transport,17.12.2012,Telephone charges,Business Transformation,CABLE & WIRELESS,2000019050,4419.9,#,MK3 5JP
Department For Transport,Department for Transport,19.12.2012,Telephone charges,Business Transformation,BT CONFERENCING,2000019221,1204.78,BT - KG,NW9 6LB
Department For Transport,Department for Transport,19.12.2012,Telephone charges,Business Transformation,BT PAYMENT SERVICES LTD,2000019236,25773.31,#,DH98 1BT
Department For Transport,Department for Transport,11.12.2012,Telephone Line Rent,Business Transformation,CABLE & WIRELESS,2000018477,-1767.36,CREDIT FOR INV UK10/112012/573,MK3 5JP
Department For Transport,Department for Transport,11.12.2012,Telephone Line Rent,Business Transformation,CABLE & WIRELESS,2000018477,19375.96,RENTAL DECEMBER 2012,MK3 5JP
Department For Transport,Department for Transport,18.12.2012,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000019150,225845.5,#,OX4 4DQ
Department For Transport,Department for Transport,18.12.2012,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000019150,10141.88,#,OX4 4DQ
Department For Transport,Department for Transport,19.12.2012,Management Consultan,Business Transformation,QUINCEY MASON PRACTICES LTD,2000019230,1394.16,#,NN6 9DS
Department For Transport,Department for Transport,19.12.2012,Management Consultan,Business Transformation,QUINCEY MASON PRACTICES LTD,2000019230,1130.4,#,NN6 9DS
Department For Transport,Department for Transport,19.12.2012,Management Consultan,Business Transformation,QUINCEY MASON PRACTICES LTD,2000019230,2637.6,#,NN6 9DS
Department For Transport,Department for Transport,04.12.2012,Property Consultancy,Business Transformation,DRIVERS JONAS DELOITTE,2000017996,2682.6,#,MK9 1FD
Department For Transport,Department for Transport,12.12.2012,Legal Consultancy,Business Transformation,CRIPPS HARRIES HALL LLP,2000018590,1113.6,#,TN1 1EG
Department For Transport,Department for Transport,19.12.2012,Gas,Business Transformation,CORONA ENERGY RETAIL 4 LTD,2000019224,-2664.05,CORONA - GAS (CRED) - NOV/DEC 12,WD17 1JW
Department For Transport,Department for Transport,19.12.2012,Gas,Business Transformation,CORONA ENERGY RETAIL 4 LTD,2000019224,3317.52,CORONA - GAS - NOV/DEC 12,WD17 1JW
Department For Transport,Department for Transport,19.12.2012,Gas,Business Transformation,CORONA ENERGY RETAIL 4 LTD,2000019224,2376.17,CORONA - GAS - NOV/DEC 12,WD17 1JW
Department For Transport,Department for Transport,14.12.2012,Electricity,Business Transformation,EDF ENERGY,2000018959,40112.58,EDF - Nov 12,DA6 8ET
Department For Transport,Department for Transport,19.12.2012,Water,Business Transformation,THAMES WATER,2000019233,4573.5,Thames water-Great Minster House 06.11.12-05.12.12,LS14 3WP
Department For Transport,Department for Transport,24.12.2012,Rent - L&B (non-PFI),Business Transformation,CRIPPS HARRIES HALL LLP,2000019539,30189.76,#,TN1 1EG
Department For Transport,Department for Transport,12.12.2012,Legal Consultancy,Business Transformation,CRIPPS HARRIES HALL LLP,2000018590,9255.6,#,TN1 1EG
Department For Transport,Department for Transport,20.12.2012,Management Consultan,Business Transformation,TURNER & TOWNSEND,2000019343,26966.99,#,LS18 4GH
Department For Transport,Department for Transport,06.12.2012,Agency Staff Costs,Business Transformation,NETWORKERS INTERNATIONAL (UK) PLC,2000018246,7050.72,#,BR1 1HP
Department For Transport,Department for Transport,24.12.2012,Machinery Rental,Business Transformation,DANWOOD GROUP LTD,2000019532,568.14,#,LN6 3DG
Department For Transport,Department for Transport,12.12.2012,Financial Consultanc,Business Transformation,PRGX UK LIMITED,2000018587,8176.8,#,LU1 3LU
Department For Transport,Department for Transport,19.12.2012,Rent - L&B (non-PFI),Business Transformation,HOME OFFICE,2000019215,190000,Accommodation Charges @ Marsham St. Aug-Oct 12,NP20 9BB
Department For Transport,Department for Transport,10.12.2012,Travel Exp Overseas,Centrally held prog,CAPITA BUSINESS TRAVEL,2000018397,5369,Capita - ISE - Nov 12,DE21 6BF
Department For Transport,Department for Transport,14.12.2012,Purchasing Card Char,Centrally held prog,BARCLAYS BANK PLC,2000018957,2238.9,Barclays - DFT ISE - December 2012,NN4 7SG
Department For Transport,Department for Transport,14.12.2012,Purchasing Card Char,Centrally held prog,BARCLAYS BANK PLC,2000018957,33592.18,Barclays - ISE - Dec 12,NN4 7SG
Department For Transport,Department for Transport,31.12.2012,Legal Consultancy,Centrally held prog,ALLEN & OVERY,2000019869,3056.98,#,E1 6AO
Department For Transport,Department for Transport,31.12.2012,Legal Consultancy,Centrally held prog,ALLEN & OVERY,2000019869,12325.5,#,E1 6AO
Department For Transport,Department for Transport,31.12.2012,Legal Consultancy,Centrally held prog,ALLEN & OVERY,2000019869,14887.2,#,E1 6AO
Department For Transport,Department for Transport,31.12.2012,Legal Consultancy,Centrally held prog,ALLEN & OVERY,2000019869,14100.14,#,E1 6AO
Department For Transport,Department for Transport,11.12.2012,Agency Staff Costs,Commercial & Technical Services,,2000018491,8280,#,
Department For Transport,Department for Transport,13.12.2012,Agency Staff Costs,Commercial & Technical Services,FIRST ECONOMICS LIMITED,2000018867,2850,#,OX11 9NE
Department For Transport,Department for Transport,27.12.2012,Agency Staff Costs,Commercial & Technical Services,PRICEWATERHOUSECOOPERS LLP,2000019571,32828.57,#,E14 9SQ
Department For Transport,Department for Transport,31.12.2012,Computer Consumables,Commercial & Technical Services,SUPPLIES TEAM,2000019849,1309.82,#,S9 1XU
Department For Transport,Department for Transport,14.12.2012,Prog&ProjMgmt Consul,Commercial & Technical Services,TEAM ANIMATION LTD,2000018976,21467.83,#,KT11 2HU
Department For Transport,Department for Transport,20.12.2012,Prog&ProjMgmt Consul,Commercial & Technical Services,CMC PARTNERSHIP (UK) LTD,2000019336,13500,#,SW1V 2AJ
Department For Transport,Department for Transport,21.12.2012,Training,Commercial & Technical Services,CORDIE LTD,2000019459,450,#,BH25 6QJ
Department For Transport,Department for Transport,19.12.2012,Minor Developments,Commercial & Technical Services,CONNECT INTERNET SOLUTIONS LTD,2000019223,1350,#,L2 6SG
Department For Transport,Department for Transport,19.12.2012,Minor Developments,Commercial & Technical Services,CONNECT INTERNET SOLUTIONS LTD,2000019223,4200,#,L2 6SG
Department For Transport,Department for Transport,05.12.2012,CurrGrtPriSec-P&NPIS,Commercial & Technical Services,RAIL SAFETY & STANDARDS BOARD,2000018160,8335000,RSSB Inv Op/I003818,NW1 2DX
Department For Transport,Department for Transport,11.12.2012,IT Equip Cap Cost,Commercial and Technical Services Research,EQUANET,2000018480,2160,ESeries Docks,BL9 7BJ
Department For Transport,Department for Transport,20.12.2012,IT Equip Cap Cost,Commercial and Technical Services Research,Probrand Ltd,2000019339,989.52,4GB encrypted Memory Sticks,B1 3BP
Department For Transport,Department for Transport,20.12.2012,IT Equip Cap Cost,Commercial and Technical Services Research,Probrand Ltd,2000019339,1091.88,8GB encrypted Memory Sticks,B1 3BP
Department For Transport,Department for Transport,27.12.2012,Other Professional F,DASH,ENVIRONMENTAL SCIENTIFICS GROUP LTD,2000019563,5728.8,#,DE15 0YZ
Department For Transport,Department for Transport,19.12.2012,Non Stock Machine Co,DASH,SUPPLIES TEAM,2000019218,449.59,CE270A Black Toner CE270A,S9 1XU
Department For Transport,Department for Transport,19.12.2012,Non Stock Machine Co,DASH,SUPPLIES TEAM,2000019218,339.85,CE271A Cyan Toner CE271A,S9 1XU
Department For Transport,Department for Transport,19.12.2012,Non Stock Machine Co,DASH,SUPPLIES TEAM,2000019218,331.45,CE272A Yellow Toner CE272A,S9 1XU
Department For Transport,Department for Transport,19.12.2012,Non Stock Machine Co,DASH,SUPPLIES TEAM,2000019218,328.85,CE273A Magaenta Toner CE273A,S9 1XU
Department For Transport,Department for Transport,19.12.2012,Non Stock Machine Co,DASH,SUPPLIES TEAM,2000019218,134.11,Q1338A HP LASERJET 4200 SRS LASER TONER,S9 1XU
Department For Transport,Department for Transport,21.12.2012,Subscriptions to Pro,DASH,SMARTEX LTD,2000019446,3000,#,CB9 7RL
Department For Transport,Department for Transport,19.12.2012,Support Services,DASH,VEHICLE CERTIFICATION AGENCY,2000019234,17500,#,BS5 6XX
Department For Transport,Department for Transport,19.12.2012,Support Services,DASH,VEHICLE CERTIFICATION AGENCY,2000019234,24000,#,BS5 6XX
Department For Transport,Department for Transport,10.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000018405,652500,Property Purchase- HS2 Exceptional Hardship Scheme,CF10 5BT
Department For Transport,Department for Transport,13.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,1500000026,-227500,#,CF10 5BT
Department For Transport,Department for Transport,17.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000019067,580000,"Property Purchase,HS2 Hardship Scheme",CF10 5BT
Department For Transport,Department for Transport,18.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000019148,531500,#,CF10 5BT
Department For Transport,Department for Transport,19.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000019251,467500,HS2 Eceptional Hardship Scheme,CF10 5BT
Department For Transport,Department for Transport,19.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000019251,765000,"Property Purchase,HS2 Hardship Scheme",CF10 5BT
Department For Transport,Department for Transport,20.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000019352,472500,HS2 Property Purchase,CF10 5BT
Department For Transport,Department for Transport,20.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000019352,400000,#,CF10 5BT
Department For Transport,Department for Transport,20.12.2012,Cap Grt Pri Sec-Cos.,DASH,EVERSHEDS LLP,2000019352,1745000,#,CF10 5BT
Department For Transport,Department for Transport,03.12.2012,Grt Aid to NDPBs,DASH,HS2,2000017918,14000000,HS2 December Grant 2012,SW1E 5DU
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,5443.88,#,NR3 1PD
Department For Transport,Department for Transport,05.12.2012,Legal Consultancy,DASH,WINCKWORTH SHERWOOD,2000018142,105751.8,#,SE1 9BB
Department For Transport,Department for Transport,21.12.2012,Prog&ProjMgmt Consul,DASH,PARSONS BRINCKERHOFF LTD,2000019443,125590.23,#,NE4 7YQ
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,3194.89,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,3981.38,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,520.88,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,580,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,1547.44,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,1934.88,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,1706.62,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,3074,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,661.2,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,2610,#,NR3 1PD
Department For Transport,Department for Transport,10.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018408,798.75,#,NR3 1PD
Department For Transport,Department for Transport,12.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018591,14713.58,#,NR3 1PD
Department For Transport,Department for Transport,05.12.2012,Publicity,DASH,CREATIVE CHOICE CIC,2000018174,5917.6,#,SW1H 0DJ
Department For Transport,Department for Transport,11.12.2012,Printing,DASH,WILLIAMS LEA LIMITED,2000018508,10857.6,#,NR3 1PD
Department For Transport,Department for Transport,12.12.2012,Agency Staff Costs,DASH,BADENOCH & CLARK,2000018563,5225.76,#,W1T 5AE
Department For Transport,Department for Transport,12.12.2012,Agency Staff Costs,DASH,BADENOCH & CLARK,2000018563,5225.76,#,W1T 5AE
Department For Transport,Department for Transport,12.12.2012,Agency Staff Costs,DASH,BADENOCH & CLARK,2000018563,4180.61,#,W1T 5AE
Department For Transport,Department for Transport,12.12.2012,Agency Staff Costs,DASH,BADENOCH & CLARK,2000018563,5225.76,#,W1T 5AE
Department For Transport,Department for Transport,12.12.2012,Agency Staff Costs,DASH,BADENOCH & CLARK,2000018563,5225.76,#,W1T 5AE
Department For Transport,Department for Transport,31.12.2012,Agency Staff Costs,DASH,ADVANTAGE TECHNICAL RESOURCING LTD,2000019882,5379.89,#,RG21 4FF
Department For Transport,Department for Transport,31.12.2012,Agency Staff Costs,DASH,ADVANTAGE TECHNICAL RESOURCING LTD,2000019882,12658.56,#,RG21 4FF
Department For Transport,Department for Transport,31.12.2012,Agency Staff Costs,DASH,ADVANTAGE TECHNICAL RESOURCING LTD,2000019882,12658.56,#,RG21 4FF
Department For Transport,Department for Transport,31.12.2012,Agency Staff Costs,DASH,ADVANTAGE TECHNICAL RESOURCING LTD,2000019882,9346.06,#,RG21 4FF
Department For Transport,Department for Transport,31.12.2012,Agency Staff Costs,DASH,ADVANTAGE TECHNICAL RESOURCING LTD,2000019882,12342.1,#,RG21 4FF
Department For Transport,Department for Transport,11.12.2012,Stationery (Non-stk),General Counsel's Office,OFFICE DEPOT UK LIMITED,2000018469,588,5226498 A4 Printing Paper 100% recycled,SP10 4BA
Department For Transport,Department for Transport,17.12.2012,Books,General Counsel's Office,SWETS INFORMATION SERVICES,2000019047,1095.79,#,OX14 1UQ
Department For Transport,Department for Transport,11.12.2012,Treasury Solicitors,General Counsel's Office,TREASURY SOLICITOR,2000018464,4812.96,#,WC2B 4TS
Department For Transport,Department for Transport,21.12.2012,Treasury Solicitors,General Counsel's Office,TREASURY SOLICITOR,2000019467,1080.6,#,WC2B 4TS
