Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,92,86.49,194,187.9,267,259.74,243,235.51,130,118.17,0,0,926,887.81,43,39.25,3,3,6,5.4,0,0,52,47.65,978,935.46,"£3,322,428","£12,841","£163,076","£51,630","£685,662","£339,376","£4,575,012","£225,900",£0,"£225,900","£4,800,912",
Monitor - Independent Regulator of NHS Foundation Trusts,Executive Non-Departmental Public Body,Department of Health,16,15.56,5,5,33,32.4,108,103.55,16,15.7,0,0,178,172.21,7,7,18,17.6,30,23.9,0,0,55,48.5,233,220.71,"£920,103",£0,£0,£0,"£195,760","£96,627","£1,212,490","£535,211","£743,648","£1,278,859","£2,491,349",
National Institute for Health and Clinical Excellence,Special Health Authority,Department of Health,7,3.6,102,90.25,227,214.03,189,172.89,59,53.65,4,4,588,538.42,13,12.52,1,1,44,42.57,0,0,58,56.09,646,594.51,"£1,940,560","£29,688",£0,£0,"£255,613","£184,588","£2,410,450","£360,342",£0,"£360,342","£2,770,792",From April 2012 to March 2013 NICE is hosting the National Clinical Assessment Service (NCAS)
National Patient Safety Agency,Special Health Authority,Department of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0,£0,£0,£0,£0,£0,£0,Closed,Closed,£0,£0,NPSA closed on 9 July 2012
National Treatment Agency for Substance Misuse,Special Health Authority,Department of Health,6,6,18,17.8,50,47.98,73,68.58,5,5,0,0,152,145.36,0,0,0,0,1,0.6,0,0,1,0.6,153,145.96,"£695,515","£17,323",£0,£0,"£63,799","£53,523","£830,160","£12,222",£0,"£12,222","£842,382",
NHS Blood & Transplant,Special Health Authority,Department of Health,2544,2070,1149,1052,1508,1377,427,416,58,57,67,57,5753,5029,193,193,23,23,27,27,0,0,243,243,5996,5272,"£11,983,267","£747,588",£0,"£460,717","£1,665,308","£1,080,929","£15,937,809","£753,783",£0,"£753,783","£16,691,592",
NHS Business Services Authority,Special Health Authority,Department of Health,1542,1379.93,369,342.63,273,266.14,138,133.81,46,46,0,0,2368,2168.51,137,137,1,0.6,0,0,0,0,138,137.6,2506,2306.11,"£4,375,279",£500,"£148,442","£59,507","£492,501","£324,737","£5,400,966","£156,992",£0,"£156,992","£5,557,958",
NHS Commissioning Board Authority,Special Health Authority,Department of Health,0,0,14,13.8,39,38.6,92,80.96,54,43.9,0,0,199,177.26,25,25,19,16.3,0,0,0,0,44,41.3,243,218.56,"£1,005,170",£0,£0,£0,"£191,034","£140,635","£1,336,839","£198,722",£0,"£198,722","£1,535,561",Most staff on secondment from NHS or DH
NHS Institute for Innovation & Improvement,Special Health Authority,Department of Health,2,1.6,19,18.6,23,21.5,66,63.9,24,22.6,1,1,135,129.2,22,21.3,0,0,16,12.8,0,0,38,34.1,173,163.3,"£570,688",£0,£0,£0,"£72,469","£59,556","£702,713","£248,202","£41,790","£289,992","£992,705",
NHS Litigation Authority,Special Health Authority,Department of Health,7,6.6,20,19.1,46,44.68,44,42.93,5,5,0,0,122,118.31,4,3.64,2,2,1,0.87,1,1,8,7.51,130,125.82,"£403,781","£47,234",£0,£743,"£58,737","£40,563","£551,058","£29,629","£16,751","£46,380","£597,438",
NHS Trust Development Authority,Special Health Authority,Department of Health,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,"£5,131",£0,£0,£0,£0,£0,"£5,131",,,£0,"£5,131",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
