Section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1, Global communications revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,21.4,4,0.5,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,13.3,3.6,0.5,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,18.1,3.5,0.9,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,25.6,7.9,1.1,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,37.2,11.2,3,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,32.6,10,1.3,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,27.4,10.5,1.2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,60.8,8.7,0.8,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,73,24.9,2.6,100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,183.8,81.5,10.7,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on Ofcom / IDATE data for telecommunications/TV and Ofcom analysis based on data taken from PricewaterhouseCoopers Global Entertainment and Media Outlook 2010-2014 @ www.pwc.com/outlook for radio. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Telecoms revenue excludes revenue from narrowband internet and corporate data services and broadband revenues for BRA, RUS, IND and CHN. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.4,Communications sector revenues per capita ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,46,7,0.6,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,9,3,0.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,117,20,1.3,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,151,40,1.6,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,155,53,3,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,529,190,41.7,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,427,150,32.3,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,522,136,24,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,462,86,3.9,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,626,168,21.7,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,574,196,20.1,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,540,104,26.8,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,599,265,35.3,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,440,135,19.6,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,452,137,36.8,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,506,160,20.5,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,442,169,19.2,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on Ofcom / IDATE data for telecommunications/TV and Ofcom analysis based on data taken from PricewaterhouseCoopers Global Entertainment and Media Outlook 2010-2014 @ www.pwc.com/outlook for radio. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Telecoms revenue excludes revenue from narrowband internet and corporate data services and broadband revenues for BRA, RUS, IND and CHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telecoms and TV rounded to nearest £1, radio rounded to nearest £0.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.5,Global  advertising expenditure by source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newspapers,Magazines,Television,Radio,Cinema,Outdoor,Internet,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,72.8,29.4,84.9,20.2,1,13.1,9.9,231.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,75.1,31.1,89.4,20.9,1.1,14.7,14.4,246.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,76.3,32.3,94.1,21.4,1.2,15.6,22.1,263,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,79,33.3,101.9,22.3,1.3,17.3,31,286.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,74.7,32.3,106.4,21.6,1.3,18.3,36.4,291.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,59.4,25.3,96.8,18.4,1.3,15.8,36.8,253.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Warc data (www.warc.com), Ofcom calculations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.6,NO CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.7,2009 Advertising expenditure analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,US,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
Newspapers,25%,21%,36%,18%,19%,29%,17%,30%,23%,31%,35%,45%,10%,10%,8%,41%,31%,,,,,,,,,,,,,,,,,,
Magazines,9%,15%,14%,12%,12%,8%,7%,8%,7%,15%,9%,2%,10%,7%,8%,4%,2%,,,,,,,,,,,,,,,,,,
TV,28%,30%,23%,52%,37%,31%,43%,32%,43%,21%,22%,25%,52%,64%,54%,42%,40%,,,,,,,,,,,,,,,,,,
Radio,4%,7%,4%,5%,11%,13%,3%,9%,9%,6%,3%,10%,7%,4%,4%,3%,8%,,,,,,,,,,,,,,,,,,
Cinema,1%,1%,0%,1%,0%,,,1%,0%,0%,1%,1%,1%,0%,0%,1%,,,,,,,,,,,,,,,,,,,
Outdoor,6%,11%,5%,2%,4%,4%,15%,4%,5%,4%,5%,9%,6%,3%,13%,7%,7%,,,,,,,,,,,,,,,,,,
Internet,27%,16%,18%,10%,17%,16%,15%,17%,12%,22%,25%,8%,13%,12%,12%,3%,11%,,,,,,,,,,,,,,,,,,
TOTAL £bn,13.1,10.3,15.4,7.4,85.3,6.5,25.6,6,4.9,3.3,1.8,1.1,2,5,3.9,2.6,11.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Warc data (www.warc.com), Ofcom calculations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Excludes expenditure on cinema advertising  in CAN, JPN and CHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.8,NO CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.9,NO CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.10,No CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.11,Reduction in expenditure on communications services over past 12 months by communications service subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion internet users who take service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pay TV subscription,Mobile phone usage,Fixed line telephone calls,Fixed line broadband,Broadband via a mobile network using USB stick or dongle on computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,16%,24%,15%,8%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,21%,23%,10%,6%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,12%,19%,9%,8%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,16%,25%,12%,4%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,16%,17%,9%,7%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,6%,23%,10%,6%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom Consumer Research October 2010 Q: Over the past twelve months have you decreased the amount of money you spend on any of the following things? Base: Those respondents who take service. Total sample size: UK=1016, France=1017, Germany=1014, Italy=1002, US=1017, Japan=1001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.12,Reduction in expenditure on  goods and services in the previous 12 months by internet users ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion internet users ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pay TV subscription,Mobile phone usage,Fixed line telephone calls,Fixed line broadband,Broadband via a mobile network using USB stick or dongle on computer,Night/meals out ,Holidays/weekends away,New furniture or home improvements,Healthclub membership or sports,Clothing or footwear,Household groceries,"Personal care, toiletries, cosmetics","Music, books, DVDs",Newspapers and magazines,,,,,,,,,,,,,,,,,,,,,
UK,9%,22%,13%,7%,1%,55%,44%,37%,18%,41%,29%,24%,38%,24%,,,,,,,,,,,,,,,,,,,,,
FRA,7%,21%,8%,6%,1%,52%,42%,33%,19%,39%,25%,25%,36%,24%,,,,,,,,,,,,,,,,,,,,,
GER,2%,17%,8%,6%,1%,39%,29%,25%,14%,22%,13%,8%,21%,18%,,,,,,,,,,,,,,,,,,,,,
ITA,6%,24%,8%,6%,3%,56%,51%,39%,33%,42%,14%,25%,38%,28%,,,,,,,,,,,,,,,,,,,,,
USA,12%,14%,6%,7%,1%,56%,43%,37%,19%,43%,30%,25%,41%,22%,,,,,,,,,,,,,,,,,,,,,
JPN,2%,20%,8%,6%,1%,52%,40%,21%,8%,43%,30%,18%,30%,15%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2010 Q: Over the past twelve months, have you decreased the amount of money you spend on any of the following things? Select all that apply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Base: UK=1016, France=1017, Germany=1014, Italy=1002, US=1017, Japan=1001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.13,Intention of internet users to reduce spend on communications services in next 12 months (users of service)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pay TV subscription,Mobile phone usage,Fixed line telephone calls,Fixed line broadband,Broadband via a mobile network using USB stick or dongle on computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,12%,14%,12%,7%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,20%,20%,7%,6%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,12%,9%,6%,5%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,23%,16%,13%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,12%,12%,7%,6%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,5%,23%,9%,4%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom Consumer Research 2010 Q: Over the next twelve months do you intend to decrease the amount of money you spend on any of the following things? Select all that apply Base: Survey respondents with service. Total sample size: UK=1016, France=1017, Germany=1014, Italy=1002, US=1017, Japan=1001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.14,Anticipated reduction in spend on a selection of  goods and services in next 12 months ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion internet users ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pay TV subscription,Mobile phone usage,Fixed line telephone calls,Fixedline broadband,Broadband via a mobile network using USB stick or dongle on computer,Night/meals out ,Holidays/weekends away,New furniture or home improvements,Healthclub membership or sports,Clothing or footwear,Household groceries,"Personal care, toiletries, cosmetics","Music, books, DVDs",Newspapers and magazines,,,,,,,,,,,,,,,,,,,,,
UK,7%,13%,10%,6%,1%,30%,27%,25%,15%,24%,19%,15%,24%,13%,,,,,,,,,,,,,,,,,,,,,
FRA,7%,18%,6%,6%,1%,36%,30%,27%,15%,28%,21%,9%,24%,18%,,,,,,,,,,,,,,,,,,,,,
GER,2%,11%,5%,4%,2%,16%,14%,14%,8%,11%,8%,4%,11%,8%,,,,,,,,,,,,,,,,,,,,,
ITA,6%,22%,9%,9%,3%,38%,33%,33%,26%,28%,12%,21%,27%,22%,,,,,,,,,,,,,,,,,,,,,
USA,9%,10%,4%,6%,1%,36%,28%,25%,13%,26%,19%,16%,24%,16%,,,,,,,,,,,,,,,,,,,,,
JPN,2%,21%,8%,4%,1%,49%,36%,22%,7%,36%,25%,16%,25%,14%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom Consumer research October 2010 Q: Over the next twelve months, do you intend to decrease the amount of money that you spend on any of the following things? Select all that apply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.15,"Fixed-line voice and mobile connections per capita, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed line connections per 100 households 2009,,,,,,,Mobile connections per 100 households (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,FRA,GER,ITA,USA,JPN,,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,
54,37,58,37,46,39,,129,95,132,152,93,87,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.16,Fixed broadband and DTV penetration in 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Broadband connections per 100 Households 2009,,,,,,,DTV per 100 TV households 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,FRA,GER,ITA,USA,JPN,,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,
70,69,62,49,71,64,,91,81,48,71,83,69,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.17,Bundling prevalence in selected EU countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% households taking two or more communications services at a single price from same supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Households with bundle in 2007,Increase 2007-2009,Households with bundle in 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,30%,10%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,35%,16%,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,36%,5%,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,15%,6%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,32%,10%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,42%,18%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,32%,11%,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,15%,12%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,20%,5%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Eurobarometer e-Communications Household Surveys 293 (2007) and 335 (2009)  Survey 293 fieldwork carried out Nov-Dec 2007. Survey 355 fieldwork carried out Nov – Dec 2009.  Q: By bundle we mean a combined package offering more than one communication service from the same provider at a single price. Does your household buy two or more of the following services as part of a bundle?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.18,Regular use of selected communications services / media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion internet users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Watch TV,Listen to the radio,Use mobile phone,Use home fixed line phone,Access the internet via a computer/laptop,Read a national newspaper,Read a local newspaper,Read a magazine,Play games on a console,Listen to music on a portable media player,Watch a DVD,,,,,,,,,,,,,,,,,,,,,,,,
UK,94%,72%,89%,73%,94%,57%,53%,45%,46%,48%,62%,,,,,,,,,,,,,,,,,,,,,,,,
FRA,95%,77%,90%,81%,90%,37%,50%,59%,60%,43%,58%,,,,,,,,,,,,,,,,,,,,,,,,
GER,91%,77%,87%,83%,93%,42%,58%,45%,45%,46%,52%,,,,,,,,,,,,,,,,,,,,,,,,
ITA,92%,74%,96%,75%,94%,60%,55%,62%,47%,58%,67%,,,,,,,,,,,,,,,,,,,,,,,,
USA,93%,73%,83%,59%,91%,23%,60%,51%,48%,42%,64%,,,,,,,,,,,,,,,,,,,,,,,,
JPN,92%,35%,89%,43%,95%,48%,26%,44%,45%,41%,52%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research, October 2010. Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001 Q; Which of the following do you regularly do (at least once a week)?  Select all that apply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.19,Ownership and use of devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCR,DVD Recorder,DVR,Console connected to TV,HD ready TV,Desktop Computer,Laptop computer,Tablet computer,Portable media player,Phone that can access internet,,,,,,,,,,,,,,,,,,,,,,,,,
UK,45%,29%,32%,55%,59%,66%,75%,4%,52%,57%,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,49%,27%,19%,56%,46%,76%,70%,3%,45%,46%,,,,,,,,,,,,,,,,,,,,,,,,,
GER,45%,27%,20%,41%,39%,75%,71%,4%,51%,55%,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,58%,66%,23%,48%,48%,74%,81%,4%,64%,66%,,,,,,,,,,,,,,,,,,,,,,,,,
USA,49%,26%,39%,50%,57%,80%,64%,5%,44%,44%,,,,,,,,,,,,,,,,,,,,,,,,,
