Energy and nutrient intakes derived from food & drink eaten out by the age the household reference person left full-time education Average per person per day (a) Aged 14 and under,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,292,271,263,254,234,237,221,217,222,233,204,206,199
,9,,,MJ,1.2,1.1,1.1,1.1,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.8
,8,Energy from all sources excluding alcohol,,kcal,255,238,231,224,205,210,197,196,197,212,187,187,181
,1,Protein,,g,9.5,8.9,8.7,8.6,7.8,8.2,7.6,7.6,7.7,8.5,7.4,7.5,7.2
,3,Fat,,g,12,11,11,10,10,10,9,9,9,10,9,9,9
,4,Fatty acids:,Saturates,g,3.8,3.6,3.4,3.3,3.1,3.1,2.9,2.9,2.9,3.1,2.8,2.7,2.6
,5,Fatty acids:,Mono-unsaturates,g,4.9,4.6,4.4,4.3,4.0,4.1,3.9,3.8,3.9,4.4,3.8,3.7,3.6
,6,Fatty acids:,Poly-unsaturates,g,2.4,2.2,2.2,2.1,2.0,2.0,1.9,1.9,1.9,2.1,1.8,1.8,1.8
,47,Cholesterol,,mg,39,38,36,35,32,34,32,31,32,35,31,30,31
,7,Carbohydrate (b),,g,29,27,26,25,23,23,22,22,22,23,20,21,20
,31,,Total sugars,g,13,12,12,11,10,9,9,9,9,8,8,8,7
,32,,Non-milk extrinsic sugars,g,10,10,9,9,8,7,7,7,7,6,6,6,6
,24,,Starch,g,16,15,15,15,13,14,13,13,13,15,13,13,13
,35,Fibre (c),,g,1.8,1.6,1.6,1.5,1.4,1.5,1.4,1.3,1.4,1.6,1.4,1.3,1.3
,33,Alcohol,,g,5.3,4.7,4.6,4.3,4.1,3.7,3.5,3.0,3.5,2.9,2.5,2.7,2.5
,10,Calcium,,mg,80,77,73,71,64,65,62,63,62,65,60,60,56
,11,Iron,,mg,1.2,1.1,1.1,1.1,1.0,1.1,1.0,1.0,1.0,1.1,1.0,1.0,1.0
,39,Zinc,,mg,1.1,1.1,1.0,1.0,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.8
,37,Magnesium,,mg,36,33,32,31,28,28,27,26,27,28,25,24,24
,23,Sodium (d),,g,0.33,0.32,0.31,0.30,0.27,0.29,0.27,0.27,0.27,0.30,0.26,0.26,0.25
,36,Potassium,,g,0.43,0.39,0.38,0.37,0.34,0.35,0.32,0.32,0.32,0.36,0.31,0.30,0.30
,15,Thiamin,,mg,0.22,0.20,0.19,0.19,0.17,0.18,0.17,0.16,0.17,0.19,0.17,0.16,0.16
,16,Riboflavin,,mg,0.19,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12
,19,Niacin Equivalent,,mg,5.2,4.8,4.7,4.6,4.2,4.3,4.0,3.9,4.0,4.2,3.7,3.8,3.6
,40,Vitamin B6,,mg,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,41,Vitamin B12,,?g,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5
,22,Folate,,?g,51,44,44,43,39,40,37,35,37,39,35,34,34
,20,Vitamin C,,mg,10,8,8,8,7,8,7,7,7,8,7,7,7
,12,Vitamin A:,Retinol,?g,49,55,45,43,43,41,41,41,39,43,35,33,37
,13,Vitamin A:,Carotene,?g,440,340,338,345,309,343,296,287,304,359,307,289,280
,14,Vitamin A:,Retinol equivalent,?g,122,112,101,101,94,98,91,89,89,103,86,81,84
,21,Vitamin D,,?g,0.33,0.32,0.31,0.31,0.28,0.29,0.28,0.27,0.28,0.30,0.27,0.27,0.26
,46,Vitamin E,,mg,1.72,1.59,1.58,1.52,1.41,1.45,1.35,1.34,1.36,1.51,1.29,1.29,1.29
Energy and nutrient intakes derived from food & drink eaten out by the age the household reference person left full-time education Average per person per day (a) Aged 16,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,342,342,324,311,286,287,274,253,268,273,248,212,224
,9,,,MJ,1.4,1.4,1.4,1.3,1.2,1.2,1.1,1.1,1.1,1.1,1.0,0.9,0.9
,8,Energy from all sources excluding alcohol,,kcal,312,315,297,285,259,263,253,235,248,253,230,198,210
,1,Protein,,g,11.3,11.5,10.9,10.7,9.7,10.0,9.6,8.9,9.5,10.0,9.0,7.8,8.3
,3,Fat,,g,15,15,14,14,12,13,12,11,12,12,11,9,10
,4,Fatty acids:,Saturates,g,4.7,4.7,4.5,4.2,3.8,3.9,3.8,3.5,3.7,3.8,3.4,2.9,3.0
,5,Fatty acids:,Mono-unsaturates,g,6.1,6.2,5.8,5.6,5.0,5.2,5.0,4.6,5.0,5.2,4.6,4.0,4.2
,6,Fatty acids:,Poly-unsaturates,g,3.0,3.0,2.8,2.7,2.5,2.6,2.5,2.3,2.5,2.6,2.3,2.0,2.1
,47,Cholesterol,,mg,45,46,45,43,39,40,39,36,39,40,36,31,32
,7,Carbohydrate (b),,g,36,36,34,32,30,29,28,26,27,27,25,22,23
,31,,Total sugars,g,15,15,15,13,13,12,11,11,10,10,9,8,9
,32,,Non-milk extrinsic sugars,g,12,12,12,11,10,9,9,8,8,7,7,6,7
,24,,Starch,g,20,21,19,19,17,18,17,16,17,17,16,14,15
,35,Fibre (c),,g,2.2,2.2,2.0,2.0,1.8,1.9,1.8,1.6,1.8,1.9,1.7,1.4,1.5
,33,Alcohol,,g,4.3,3.9,3.9,3.6,3.8,3.5,3.0,2.7,2.7,2.9,2.5,2.0,2.0
,10,Calcium,,mg,95,96,92,88,81,83,78,73,77,78,72,63,64
,11,Iron,,mg,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.3,1.3,1.2,1.0,1.1
,39,Zinc,,mg,1.3,1.4,1.3,1.2,1.1,1.2,1.1,1.0,1.1,1.2,1.0,0.9,0.9
,37,Magnesium,,mg,40,39,37,35,33,33,31,29,30,31,28,24,26
,23,Sodium (d),,g,0.40,0.42,0.40,0.38,0.35,0.36,0.35,0.32,0.35,0.36,0.33,0.28,0.29
,36,Potassium,,g,0.50,0.49,0.47,0.44,0.41,0.41,0.40,0.36,0.39,0.41,0.36,0.31,0.33
,15,Thiamin,,mg,0.26,0.27,0.24,0.24,0.21,0.22,0.22,0.20,0.22,0.23,0.20,0.17,0.18
,16,Riboflavin,,mg,0.20,0.20,0.19,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.14,0.13,0.13
,19,Niacin Equivalent,,mg,5.8,5.8,5.5,5.3,5.0,5.0,4.8,4.4,4.6,4.8,4.3,3.8,4.0
,40,Vitamin B6,,mg,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3
,41,Vitamin B12,,?g,0.7,0.8,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5
,22,Folate,,?g,56,55,51,50,46,47,45,40,43,46,40,34,36
,20,Vitamin C,,mg,12,11,10,10,9,10,9,8,9,10,9,7,8
,12,Vitamin A:,Retinol,?g,57,57,57,54,48,54,49,42,45,48,45,36,35
,13,Vitamin A:,Carotene,?g,505,475,411,412,372,401,387,343,385,421,348,285,311
,14,Vitamin A:,Retinol equivalent,?g,142,136,126,123,110,120,114,99,109,118,102,83,86
,21,Vitamin D,,?g,0.39,0.40,0.39,0.38,0.34,0.35,0.35,0.32,0.34,0.35,0.32,0.28,0.30
,46,Vitamin E,,mg,2.15,2.17,2.02,1.96,1.78,1.83,1.78,1.65,1.74,1.80,1.62,1.39,1.50
Energy and nutrient intakes derived from food & drink eaten out by the age the household reference person left full-time education Average per person per day (a),Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,313,326,325,303,316,298,283,272,281,254,239,238,235
,9,,,MJ,1.3,1.4,1.4,1.3,1.3,1.2,1.2,1.1,1.2,1.1,1.0,1.0,1.0
,8,Energy from all sources excluding alcohol,,kcal,286,294,296,277,294,277,263,251,262,237,222,222,222
,1,Protein,,g,10.7,11.0,11.1,10.5,11.2,10.6,10.1,9.6,10.1,9.2,8.7,8.7,8.8
,3,Fat,,g,14,14,14,13,14,13,13,12,13,11,11,11,11
,4,Fatty acids:,Saturates,g,4.4,4.4,4.5,4.1,4.4,4.1,3.9,3.7,3.9,3.6,3.2,3.2,3.2
,5,Fatty acids:,Mono-unsaturates,g,5.5,5.6,5.7,5.3,5.8,5.4,5.2,4.9,5.2,4.7,4.4,4.4,4.4
,6,Fatty acids:,Poly-unsaturates,g,2.8,2.8,2.8,2.7,2.9,2.7,2.7,2.5,2.6,2.4,2.2,2.2,2.2
,47,Cholesterol,,mg,42,43,43,41,45,41,40,38,40,37,33,35,34
,7,Carbohydrate (b),,g,32,33,34,31,32,31,29,28,29,26,24,25,25
,31,,Total sugars,g,14,14,14,13,13,12,11,11,11,10,9,9,9
,32,,Non-milk extrinsic sugars,g,11,11,11,10,10,9,8,8,8,8,7,7,6
,24,,Starch,g,19,19,19,18,20,19,18,17,18,16,16,15,16
,35,Fibre (c),,g,2.0,2.0,2.0,1.9,2.1,2.0,1.9,1.8,1.9,1.7,1.6,1.6,1.6
,33,Alcohol,,g,3.8,4.6,4.1,3.7,3.2,3.0,2.9,2.9,2.8,2.4,2.5,2.2,1.8
,10,Calcium,,mg,92,94,94,87,92,87,82,79,82,74,71,71,71
,11,Iron,,mg,1.4,1.5,1.4,1.4,1.5,1.4,1.4,1.3,1.4,1.2,1.2,1.2,1.2
,39,Zinc,,mg,1.2,1.3,1.3,1.2,1.3,1.2,1.2,1.1,1.2,1.0,1.0,1.0,1.0
,37,Magnesium,,mg,37,38,37,35,36,34,32,31,32,29,27,27,27
,23,Sodium (d),,g,0.38,0.40,0.40,0.38,0.40,0.38,0.37,0.35,0.36,0.33,0.32,0.31,0.31
,36,Potassium,,g,0.45,0.46,0.47,0.43,0.46,0.44,0.41,0.39,0.41,0.37,0.34,0.34,0.35
,15,Thiamin,,mg,0.24,0.24,0.24,0.23,0.25,0.24,0.23,0.21,0.23,0.20,0.19,0.19,0.19
,16,Riboflavin,,mg,0.19,0.19,0.19,0.18,0.19,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14
,19,Niacin Equivalent,,mg,5.4,5.7,5.6,5.3,5.5,5.2,5.0,4.8,4.9,4.4,4.2,4.2,4.2
,40,Vitamin B6,,mg,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
,41,Vitamin B12,,?g,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5
,22,Folate,,?g,51,52,52,48,51,48,45,44,46,40,38,37,37
,20,Vitamin C,,mg,12,10,11,10,11,11,10,9,10,9,8,8,8
,12,Vitamin A:,Retinol,?g,57,57,58,56,58,52,48,50,49,43,43,41,43
,13,Vitamin A:,Carotene,?g,478,401,429,385,456,431,407,365,412,356,312,315,334
,14,Vitamin A:,Retinol equivalent,?g,136,124,130,120,134,124,115,111,118,102,95,93,98
,21,Vitamin D,,?g,0.39,0.40,0.40,0.38,0.40,0.38,0.38,0.35,0.37,0.34,0.31,0.33,0.32
,46,Vitamin E,,mg,2.04,2.07,2.07,1.94,2.08,1.98,1.90,1.83,1.86,1.69,1.58,1.62,1.59
Energy and nutrient intakes derived from food & drink eaten out by the age the household reference person left full-time education Average per person per day (a) Aged 19 and under 22,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,341,340,351,322,329,309,277,295,289,310,281,265,246
,9,,,MJ,1.4,1.4,1.5,1.3,1.4,1.3,1.2,1.2,1.2,1.3,1.2,1.1,1.0
,8,Energy from all sources excluding alcohol,,kcal,311,312,324,298,303,284,258,275,268,291,262,251,231
,1,Protein,,g,11.7,11.7,12.4,11.6,11.7,11.0,10.1,10.9,10.5,11.6,10.4,10.0,9.1
,3,Fat,,g,15,15,15,14,14,14,12,13,13,14,13,12,11
,4,Fatty acids:,Saturates,g,4.8,4.7,4.9,4.4,4.5,4.2,3.9,4.1,4.0,4.3,3.8,3.7,3.4
,5,Fatty acids:,Mono-unsaturates,g,5.9,5.9,6.3,5.9,5.9,5.5,5.1,5.4,5.2,6.0,5.2,5.0,4.5
,6,Fatty acids:,Poly-unsaturates,g,3.0,3.0,3.2,3.0,3.1,2.8,2.6,2.8,2.7,3.0,2.7,2.6,2.3
,47,Cholesterol,,mg,44,44,48,45,46,43,39,43,41,45,41,39,34
,7,Carbohydrate (b),,g,35,36,36,33,34,32,28,30,29,31,29,27,26
,31,,Total sugars,g,15,15,14,12,13,12,10,11,11,11,10,9,9
,32,,Non-milk extrinsic sugars,g,12,12,11,9,10,9,8,8,8,8,8,7,7
,24,,Starch,g,20,21,22,20,21,19,18,19,18,20,18,18,16
,35,Fibre (c),,g,2.2,2.1,2.3,2.1,2.2,2.0,1.9,2.0,1.9,2.2,1.9,1.9,1.7
,33,Alcohol,,g,4.2,4.0,3.8,3.4,3.7,3.6,2.8,2.9,3.0,2.7,2.7,2.1,2.2
,10,Calcium,,mg,102,102,104,97,97,91,83,89,87,90,83,79,74
,11,Iron,,mg,1.5,1.6,1.7,1.6,1.6,1.5,1.4,1.5,1.4,1.6,1.4,1.3,1.2
,39,Zinc,,mg,1.4,1.3,1.4,1.3,1.3,1.2,1.1,1.2,1.2,1.3,1.2,1.1,1.0
,37,Magnesium,,mg,40,39,40,38,38,36,32,34,34,36,32,31,28
,23,Sodium (d),,g,0.41,0.43,0.45,0.42,0.42,0.40,0.37,0.39,0.38,0.41,0.37,0.36,0.33
,36,Potassium,,g,0.49,0.48,0.51,0.46,0.47,0.44,0.41,0.43,0.42,0.47,0.41,0.40,0.36
,15,Thiamin,,mg,0.26,0.25,0.27,0.25,0.26,0.24,0.22,0.24,0.23,0.26,0.23,0.22,0.20
,16,Riboflavin,,mg,0.20,0.20,0.20,0.19,0.19,0.18,0.16,0.17,0.17,0.18,0.16,0.15,0.14
,19,Niacin Equivalent,,mg,5.9,5.8,6.1,5.8,5.8,5.5,4.9,5.3,5.1,5.5,5.0,4.8,4.4
,40,Vitamin B6,,mg,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
,41,Vitamin B12,,?g,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.6,0.5
,22,Folate,,?g,55,53,55,52,53,49,45,48,46,51,45,44,39
,20,Vitamin C,,mg,13,11,12,11,11,11,10,10,10,11,10,10,9
,12,Vitamin A:,Retinol,?g,61,63,62,59,55,50,49,54,52,53,51,47,42
,13,Vitamin A:,Carotene,?g,516,420,473,444,454,423,389,408,412,477,400,407,325
,14,Vitamin A:,Retinol equivalent,?g,147,133,141,133,130,121,114,122,120,133,117,115,97
,21,Vitamin D,,?g,0.44,0.43,0.45,0.43,0.44,0.40,0.38,0.40,0.41,0.42,0.40,0.38,0.35
,46,Vitamin E,,mg,2.23,2.24,2.36,2.19,2.22,2.06,1.89,2.03,1.94,2.12,1.90,1.83,1.70
Energy and nutrient intakes derived from food & drink eaten out by the age the household reference person left full-time education Average per person per day (a) Aged 22 and over,Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,363,334,352,325,310,312,313,309,287,322,282,240,253
,9,,,MJ,1.5,1.4,1.5,1.4,1.3,1.3,1.3,1.3,1.2,1.3,1.2,1.0,1.1
,8,Energy from all sources excluding alcohol,,kcal,335,305,327,301,288,288,293,292,266,303,263,224,239
,1,Protein,,g,13.0,11.8,12.6,11.7,11.3,11.5,11.6,11.5,10.4,12.2,10.5,9.1,9.7
,3,Fat,,g,16,14,16,14,14,14,14,14,13,15,13,11,11
,4,Fatty acids:,Saturates,g,5.1,4.6,4.9,4.5,4.3,4.3,4.3,4.4,4.0,4.4,3.9,3.3,3.4
,5,Fatty acids:,Mono-unsaturates,g,6.4,5.8,6.3,5.8,5.6,5.6,5.8,5.9,5.2,6.1,5.2,4.4,4.8
,6,Fatty acids:,Poly-unsaturates,g,3.4,3.1,3.3,3.0,2.9,2.9,3.0,3.0,2.7,3.1,2.7,2.3,2.5
,47,Cholesterol,,mg,49,45,49,44,43,44,45,45,40,47,40,34,37
,7,Carbohydrate (b),,g,37,34,36,33,32,31,32,32,29,32,29,25,26
,31,,Total sugars,g,15,14,14,13,12,12,11,11,11,11,10,9,9
,32,,Non-milk extrinsic sugars,g,11,10,11,10,9,9,8,8,8,8,7,6,6
,24,,Starch,g,22,21,22,21,20,20,20,20,18,21,19,16,17
,35,Fibre (c),,g,2.4,2.2,2.4,2.2,2.1,2.1,2.2,2.1,1.9,2.3,1.9,1.6,1.8
,33,Alcohol,,g,4.0,4.1,3.6,3.4,3.1,3.5,2.9,2.5,3.1,2.8,2.7,2.3,2.0
,10,Calcium,,mg,109,100,104,100,95,93,94,91,85,96,86,73,75
,11,Iron,,mg,1.7,1.6,1.7,1.6,1.5,1.6,1.6,1.6,1.4,1.7,1.5,1.2,1.3
,39,Zinc,,mg,1.5,1.3,1.4,1.3,1.3,1.3,1.3,1.3,1.1,1.4,1.2,1.0,1.1
,37,Magnesium,,mg,43,39,41,38,36,37,37,35,33,38,33,28,29
,23,Sodium (d),,g,0.45,0.43,0.46,0.43,0.41,0.41,0.42,0.42,0.38,0.44,0.38,0.32,0.34
,36,Potassium,,g,0.54,0.48,0.52,0.47,0.45,0.47,0.46,0.45,0.41,0.48,0.41,0.35,0.38
,15,Thiamin,,mg,0.29,0.26,0.28,0.26,0.25,0.25,0.26,0.25,0.22,0.27,0.23,0.19,0.21
,16,Riboflavin,,mg,0.22,0.20,0.20,0.19,0.18,0.19,0.18,0.18,0.17,0.19,0.17,0.14,0.15
,19,Niacin Equivalent,,mg,6.5,5.9,6.2,5.8,5.6,5.7,5.6,5.5,5.0,5.8,5.0,4.4,4.6
,40,Vitamin B6,,mg,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
,41,Vitamin B12,,?g,0.8,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.6
,22,Folate,,?g,60,53,57,52,50,52,51,49,45,53,45,38,41
,20,Vitamin C,,mg,15,12,13,12,11,12,12,11,10,12,10,8,9
,12,Vitamin A:,Retinol,?g,69,61,67,59,56,59,56,57,54,58,56,45,42
,13,Vitamin A:,Carotene,?g,593,441,500,452,429,462,474,440,388,494,395,319,365
,14,Vitamin A:,Retinol equivalent,?g,168,135,151,135,128,136,135,130,119,140,122,98,103
,21,Vitamin D,,?g,0.49,0.47,0.49,0.44,0.43,0.46,0.44,0.45,0.42,0.45,0.40,0.36,0.39
,46,Vitamin E,,mg,2.51,2.28,2.42,2.24,2.13,2.15,2.18,2.14,1.95,2.23,1.95,1.64,1.76
