Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport - air,Accommodation/Meals,Mode of transport - rail,Mode of transport - Eurostar,Mode of Transport - taxi,"PURPOSE - DETAIL - Include information on reason for type of ticket bought - eg economy, no further information required,  club class - reason it was required. (Delete from version for publishing)",Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)"
Richard Burge - Director Wilton Park,30-Aug-16,1 day,30.8.16-Shoreham station,London Meeting,0,0,0,0,38.87,PI / GQCA01X / RDAB-30.8.16-Shoreham station,0,38.87
Richard Burge - Director Wilton Park,05-Sep-16,1 day,RDAB-Shoreham-5/9/16,London Meeting,0,0,0,0,20,PI / GQCA01X /  RDAB-Shoreham-5/9/16,0,20
Richard Burge - Director Wilton Park,06-Sep-16,1 day,RDAB-Shoreham-6/9/16,London Meeting,0,0,0,0,20,PI / GQCA01X /  RDAB-Shoreham-6/9/16,0,20
Richard Burge - Director Wilton Park,06-Sep-16,1 day,RDAB-The Beeches-6/9/16,London Meeting,0,0,0,0,20,PI / GQCA01X /  RDAB-The Beeches-6/9/16,0,20
Richard Burge - Director Wilton Park,08-Sep-16,1 day,RDAB-Gatwick-8/9/16,London Meeting,0,0,0,0,50,PI / GQCA01X /  RDAB-Gatwick-8/9/16,0,50
Richard Burge - Director Wilton Park,08-Sep-16,1 day,RDAB-Beeches-8/9/16,London Meeting,0,0,0,0,50,PI / GQCA01X /  RDAB-Beeches-8/9/16,0,50
Richard Burge - Director Wilton Park,13-Sep-16,1 day,RDAB-Brighton Station -13/9/16,London Meeting,0,0,0,0,35,PI / GQCA01X /  RDAB-Brighton Station -13/9/16,0,35
Richard Burge - Director Wilton Park,13-Sep-16,1 day,RDAB-Brighton Station- Gatwick-13/9/16,London Meeting,0,0,0,0,50,PI / GQCA01X /  RDAB-Brighton Station- Gatwick-13/9/16,0,50
Richard Burge - Director Wilton Park,14-Sep-16,1 day,RDAB-Brighton Station- The Beeches-14/9/16,London Meeting,0,0,0,0,35,PI / GQCA01X /  RDAB-Brighton Station- The Beeches-14/9/16,0,35
Warren Tucker - non Executive Director ,20-Jul-16,1 day,FCO ,Board meetings,0,0,20,0,0,Economy,0,20
Warren Tucker - non Executive Director ,04-Jul-16,1 day,FCO ,Board meetings,0,0,42,0,0,Economy,0,42.25
Warren Tucker - non Executive Director ,31-Aug-16,1 day,FCO ,Board meetings,0,0,4,0,0,Economy,0,4
Warren Tucker - non Executive Director ,06-Sep-16,1 day,FCO ,Board meetings,0,0,37,0,0,Economy,0,37.41
Warren Tucker - non Executive Director ,06-Sep-16,1 day,FCO ,Board meetings,0,0,0,0,5,Economy,0,5
Warren Tucker - non Executive Director ,26-Sep-16,1 day,FCO ,Board meetings,0,0,47,0,0,Economy,0,47.45
Warren Tucker - non Executive Director ,29-Sep-16,1 day,Hanslope Park,Board meetings,0,0,0,0,70.95,Private vehicle mileage costs ,0,70.95
